kotlin/collections: {kotlin/collections, acee8c7ba1054f76dbcaf3935da95d44}
android/support/coordinatorlayout: {android/support/coordinatorlayout, f5649c67bb0f45aebcffe7a7a3f8e869}
android/support/constraint: {android/support/constraint, b2142f59f324b1f903629c11b3645554}
ffc/entity: {ffc/entity, f11a955384b0bc42f6ff47f723333aca}
android/support/print: {android/support/print, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/graphics: {android/support/graphics, dcae6082ae3b82dc5959cc937fc4eb7c}
kotlinx/android/extensions: {kotlinx/android/extensions, 6b5fcde9acd4cbdb10ee601183196c87}
android/support/fragment: {android/support/fragment, f5649c67bb0f45aebcffe7a7a3f8e869}
android/support/v14: {android/support/v14, fd74818b2606a2f5f3a32bb40a2e6fc5}
ffc/android: {ffc/android, 989c40f0e3116b5c2c0bfc93de0e3281}
kotlin/ranges: {kotlin/ranges, 84bbccca7cbab13d345e962a19fb0897}
com/berry_med/monitordemo: {com/berry_med/monitordemo, 7a5f0a6beecd6919c35bb04539c735e4}
android/support/coreutils: {android/support/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/bumptech/glide: {com/bumptech/glide, e766b9b095635a0016eedb376abbbf35}
androidx/core/graphics: {androidx/core/graphics, 89f58c7d98ef382191c9b4849faad5a7}
android/support/design: {android/support/design, 7bc0df8b27b381a30098b96a6a39f2f5}
ffc/app: {ffc/app, a08d460f04fd6b9aa17f6dafd2f58a59}
okhttp3/internal: {okhttp3/internal, 6b8923328bd74fe850ebdb5a86f4b551}
android/support/drawerlayout: {android/support/drawerlayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
android/arch/core: {android/arch/core, a6e96e816ab64abaf39023632a37b803}
android/support/multidex: {android/support/multidex, ba3a017f8d0fdbf4b368cb791aa3bec5}
android/support/mediacompat: {android/support/mediacompat, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/github/chrisbanes: {com/github/chrisbanes, 34ee1727d7c4abc136faa0d061ab040a}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
android/arch/lifecycle: {android/arch/lifecycle, 00584a9e3f56e4174462fa177b316a48}
okio: {okio, cfd8b538dc5d00c8a8f9d09193d6cbd2}
androidx/annotation: {androidx/annotation, d05f93d07c662616805e791bcff36728}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 109f8b51c0ce32f08a0af99dd9f6b0c9}
com/google/firebase: {[com/google/firebase, com/google/android, ], 48ae5960b1455f16b691487323fde67f}
kotlin/jvm: {kotlin/jvm, d82d1490a449d9f32ba458f5b54aa189}
retrofit2: {retrofit2, 4f10b09e16a96167cf89f26847b75186}
