coil: {coil, 8a9a8dccbd461ff1d744c23370793078}
kotlin/io: {kotlin/io, 3ac2a3400e685bb4fd521146e38ee02f}
androidx/profileinstaller: {androidx/profileinstaller, b426be055f9e89840ae73f67f7f614b4}
androidx/appcompat/widget: {androidx/appcompat/widget, 9c545e313c9034adc916eb66ca3592c6}
kotlin/time: {kotlin/time, a8b0223b31ed6b1485e4f908c8bebb65}
com/lazygeniouz/dfc: {com/lazygeniouz/dfc, 70c89d1465b1e78d45688d69b6911c2a}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
dagger/internal: {dagger/internal, 1e2f61454c5e4e31dcd2ff15e6da24e0}
coil/memory: {coil/memory, 13a97e24e949a097f156cad8385dbbf4}
androidx/compose/material: {androidx/compose/material, 73d663c5e7ccdcc68e1ed348da9a73ab}
com/ramcosta/composedestinations: {com/ramcosta/composedestinations, 377e76fa8fce366d3dae7331ffc031e1}
coil/decode: {coil/decode, 2cdb9ed9bf066d6e2fbacabb4a3f7063}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, d8f68e7162674cba916e8fbf91759643}
com/github/materiiapps: {com/github/materiiapps, 0c9980c34b8ee8838d81535067b22f22}
androidx/datastore/core: {androidx/datastore/core, d0ae4357eb083d3d2423cf865fd8f92c}
okio/internal: {okio/internal, 41627a3d1a4a42599f6cd80430534d6b}
androidx/concurrent/futures: {androidx/concurrent/futures, d642d3f6b915b49edf90e1f53dc7d130}
retrofit2: {retrofit2, 0afd7dc45110d0a2f7c203e4a7c87dfc}
kotlin/collections: {kotlin/collections, 497298b79d108241c85454cf4fc4209b}
kotlin: {kotlin, 6bc0c24faf229f9dfd37bad384efe6bc}
com/ammar/wallflow: {com/ammar/wallflow, 2ff65fc2ea927670f2841260f4ecb702}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, c9e90421ad0e62814379e9e609f1c2f6}
kotlin/coroutines: {kotlin/coroutines, 16ed60c20190966b67ae99b1e5fb11ef}
coil/transform: {coil/transform, 0386b0160ee1064ed6b22e28bd60c760}
androidx/interpolator/view: {androidx/interpolator/view, ec3237740e3996f4e9eb065b60c63f55}
androidx/window/layout: {androidx/window/layout, 8e2d2382f1b8766745ebe4fce8cc2e40}
okio: {okio, 8a7343f737d50166c6e05a8336c41036}
androidx/paging: {androidx/paging, cbd58c1ba73fec0ddc682d65ef986426}
kotlinx/collections/immutable: {kotlinx/collections/immutable, 604321a253efd019c01b95810feaf0f1}
androidx/work: {androidx/work, ec042317d28c687449570eb5431a6158}
androidx/appcompat/graphics: {androidx/appcompat/graphics, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/emoji2/text: {androidx/emoji2/text, efe0a62afea65981df159dc54f96edc3}
_COROUTINE: {_COROUTINE, f725c6029a1757c465bfb60557239fbe}
org/jsoup: {org/jsoup, 6395979fc256b5e1631baea7c2421fed}
coil/disk: {coil/disk, 33fa1a6c41b8e185e357e4403179547f}
androidx/window/core: {androidx/window/core, bf88c31bced686c9845c02d8dd82f9fd}
kotlin/ranges: {kotlin/ranges, b4116719a5bc6f2d19f698aefa1dd2c7}
androidx/tracing: {androidx/tracing, 92577b9e5eceec04bc54d4451ccc3f3e}
androidx/graphics/path: {androidx/graphics/path, 36198cbc79cbe808da5078d8460cb14b}
coil/util: {coil/util, e6db2ba0b931460c3ab4a46315a79ce1}
coil/transition: {coil/transition, e8f5f148e9702aba872c71c366f4b11c}
