org/aspectj/lang: {org/aspectj/lang, d6caf6bdb3161c5e6ad2452650ca107e}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 4ab40d1d192a05f52dd8ed93a03c235e}
kotlin/reflect: {kotlin/reflect, 703cfda6f9111c0d733a8f809172175d}
kotlin/text: {kotlin/text, c075bde39c7dd7d6daa66e918a2698c0}
android/graphics: {android/graphics, 9c5bf96aa69b29e23d79d2b6c9654dea}
androidx/exifinterface/media: {androidx/exifinterface/media, 17227e610e8a17f3401da79756f4e02d}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a94f578c8cc600c7d64068f2b9484d7}
okhttp3: {okhttp3, 53ae9a1473d3bb6973f7635502bca341}
android/view: {android/view, 8b9db32b43c5f50350fae5110accd877}
androidx/core: {androidx/core, ab7b5e5c66d7b54ae873269928da0503}
androidx/collection: {androidx/collection, d585339f7076994fe5185850988f5d18}
cn/hutool/http: {cn/hutool/http, 8c06493e9983b62d0ef64805d70782fa}
androidx/multidex: {androidx/multidex, c44bfcbb87fb8a3291efce730718b981}
org/slf4j: {org/slf4j, 5a91f078b5251e6886d935fe64495132}
com/jakewharton/processphoenix: {com/jakewharton/processphoenix, ed396cd4ddbb5f6da00b484aa139473a}
androidx/browser/customtabs: {androidx/browser/customtabs, f740ab191d1ed754461e1f33fc8d427d}
androidx/viewpager/widget: {androidx/viewpager/widget, 43132671065ffee7d4b9d8a8060a26d9}
android/system: {android/system, 20d45543fb5fc26f155d40720fb766fe}
android/app: {android/app, e505b9ea204710a6953ce9b765a895bc}
androidx/sharetarget: {androidx/sharetarget, 5e57a4a3c323642bed2687581ae85b69}
androidx/customview/view: {androidx/customview/view, ce01b9fa8a7207845c8e016aac347585}
org/apache/commons: {org/apache/commons, 91bf2fa37bdfada0e9fe3a25b4004ac8}
android/service/media: {android/service/media, 1d322fa18055ad5b28b9ff7608e56e8b}
org/h2/engine: {org/h2/engine, 2e70ba31fdc662577ca14f1edea401a6}
org/telegram: {org/telegram, 6f32c6ba0b229399c28fb6c027bf6bac}
kotlin/comparisons: {kotlin/comparisons, 3866996fc0ac2b7d198fd487600c4acb}
com/coremedia/iso: {com/coremedia/iso, 78a8a0d132fed71377997202206811f6}
android/hardware/biometrics: {android/hardware/biometrics, 66fcb521333db75b5dc2c06c1acc3272}
kotlin/jvm: {kotlin/jvm, 1a05c58d279e15c580fbf09321613976}
android/content: {android/content, 2c6911a288f30f871e67b3b5e384aa97}
kotlin/io: {kotlin/io, 4390fef8e4927719fd257c3a1b88fbc0}
android/security: {android/security, 86bbb995c8a95109308954c126873ee3}
org/osmdroid/events: {[org/osmdroid/views, org/osmdroid/tileprovider, org/osmdroid/util, org/osmdroid/events, org/osmdroid/api, ], 1276ab8b45838d31c617645d02a2793b}
android/net: {android/net, eb96ffe1ba4d3556c91b943a0164ef6d}
org/openintents/openpgp: {org/openintents/openpgp, 9885269f73cc6f1fc770fa6039429e50}
com/github/shadowsocks: {com/github/shadowsocks, 334d87708c58bcbb5ab0061c58291540}
com/v2ray/ang: {com/v2ray/ang, a197c19c0bc19e1163f82860b8ad491e}
android/webkit: {android/webkit, fa68d772a92e1186344e0bdf10bd63a1}
com/google/zxing: {com/google/zxing, 27a68d28a4ac06b186e15eafba5bff08}
org/h2/store: {[org/h2/security, org/h2/store, ], dba868539d81d58204683de445112c47}
android/service/chooser: {android/service/chooser, c521009f5036d9ab02277bb2807d2b16}
org/aspectj/runtime: {org/aspectj/runtime, 90a984aa5143d4ce3a380d4eda6ab897}
androidx/arch/core: {androidx/arch/core, acf7ef943fdeb3cbfed8dd0d8f584731}
android/support/customtabs: {android/support/customtabs, e39cc6fba57070cb9dd34794109eb03e}
kotlin/properties: {kotlin/properties, e425d5af3d12f96fd0cfc443104011bb}
android/animation: {android/animation, df478feb8753f1cac686d089a780a575}
okhttp3/internal: {okhttp3/internal, a5068ab1e91d4fdf6ca955575608b67d}
javax/validation/constraints: {javax/validation/constraints, af9e9276b348cf5c98265070c7b8c085}
org/h2/api: {org/h2/api, d8ab0df64739607d2b6133c23dcff6be}
okio/internal: {okio/internal, a6b4ff293e2951a4acc1588ac9aac869}
org/metalev/multitouch: {org/metalev/multitouch, 34f2fe57d16ee2bf9b8a8d36040ef420}
androidx/concurrent/futures: {androidx/concurrent/futures, a8dc0f9c6ca4e7d5abcff22e94990c5b}
uk/co/jemos: {uk/co/jemos, 33bd9cefac00107157a530bfc4724c1d}
kotlin/collections: {kotlin/collections, 31539cdd6ff83ee699e8c2247289fa71}
org/objenesis: {org/objenesis, 97244bc97d33b6c054f4a5c07988e4b5}
org/osmdroid/config: {org/osmdroid/config, a8f8819dfc035ccfe924357e5131e7ad}
org/webrtc: {org/webrtc, 315423460967a2cdca237cdaa694d1f6}
androidx/customview/widget: {androidx/customview/widget, 8c58ea2e9a5fec32bd5953298da2ede0}
com/carrotsearch/randomizedtesting: {com/carrotsearch/randomizedtesting, cdc2e83b5d969babaa74f4203247a3e8}
kotlin: {kotlin, 9df3bce4af51910b0f931ed1dbf910a4}
android/provider: {android/provider, a4da3e04e6e7d40a41d7257971e75fd0}
kotlin/coroutines: {kotlin/coroutines, c7422e68c404f9e481883e188d5a3e8a}
kotlin/concurrent: {kotlin/concurrent, 8288d9b793d8056245c96689ad5bb32b}
androidx/interpolator/view: {androidx/interpolator/view, 6ed7cdb923c34eac2991aaa01741703a}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], f89dafcc8b29195c9eaeabb8e09050ea}
com/android/internal: {com/android/internal, e3c0a425ec2c47b67599a8ff5554c565}
com/fasterxml/jackson: {com/fasterxml/jackson, 35a302eb30fe5cc610b170ff6c9cdf5f}
android/text: {android/text, c9ac978fef454332b842a8dd98ca267d}
android/widget: {android/widget, 4c1ce4f49bbbc84b419fffd911e40df5}
kotlin/time: {kotlin/time, 80d841a7803de470d2ddcddbb74061f9}
com/googlecode/mp4parser: {com/googlecode/mp4parser, 305e0b58be83368d4f94c85638c46537}
org/h2/mvstore: {[org/h2/compress, org/h2/mvstore, org/h2/value, ], bc64688a5df731eeebef559b09c3b180}
kotlin/ranges: {kotlin/ranges, e29ba1dade193371f95b21605f253c0e}
android/hardware/fingerprint: {android/hardware/fingerprint, ca492b472cfef67d7f0f637f44b6015b}
com/google/gson: {com/google/gson, 00c5003d5b12419d4565716fd572a19d}
org/sufficientlysecure/keychain: {org/sufficientlysecure/keychain, 712aeb20edeb25b43d027a73ab8d7a05}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 8d8bf3d5f13716a762d45faad4e532e4}
okio: {okio, a08ed2c7094ba6cfb659e05c345a19f5}
