androidx/appcompat: {androidx/appcompat, 5d8ebdc4c9e6ec9506ee5f9bec1ff49e}
androidx/transition: {androidx/transition, 7060bae2249d2a2312a87f06900e7ee5}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], ba458d7c62f4a1336066a2f5ed9e3a28}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
kotlin/internal: {kotlin/internal, 61a4a0a5a815120ca0e46ce93a0d41e8}
dagger/internal: {dagger/internal, 85835eef833ecaab15c03527452a778c}
de/schildbach/pte: {de/schildbach/pte, 0f260d79e7bdf57d448a33f680125e33}
androidx/cardview: {androidx/cardview, 27aa524cb2f4f84ce1769b2787aa9a7b}
com/google/gson: {com/google/gson, b84177e419bbe1efec6aae98045754e3}
androidx/drawerlayout: {androidx/drawerlayout, 3a5b664498e5ab6631648d86435a3147}
androidx/arch/core: {androidx/arch/core, fb351ff41061f0438e66fd567a4812f2}
com/mapbox/turf: {[com/mapbox/turf, com/mapbox/geojson, ], 81610bcd6cb2b5edcfb73fed8dc70e11}
org/slf4j: {org/slf4j, e66274ee5648698fc4145160fbfb3e97}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
androidx/viewpager/widget: {androidx/viewpager/widget, 838dd4f0aac755f69ced092cc694cd86}
androidx/loader/content: {androidx/loader/content, 14d01ab936561687a00652bee5f58356}
okhttp3/logging: {okhttp3/logging, a6e7a7c71e0fdd6812beeb0b2cc6991b}
com/google/android: {com/google/android, a8b8e93a39f5ade035c041f2ddbe48e2}
de/grobox/transportr: {de/grobox/transportr, b2545af6956e55abbaa619a912adf715}
kotlin/concurrent: {kotlin/concurrent, bd2a0f6e6ce5cdf1b0e7880886ba199f}
de/cketti/library: {de/cketti/library, 30caf8f84834ba9b8b4a06c91b4d7dfd}
com/mapbox/mapboxsdk: {[com/mapbox/geojson, com/mapbox/android, com/mapbox/mapboxsdk, ], 4c4dc090140ce5a23e06707722a0d574}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
com/google/common: {com/google/common, d757e51374ce5decbb482fb55c0d8ae9}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, b73ce0c38c64eefa6fb7524013a35f14}
androidx/savedstate: {androidx/savedstate, c52f0b032b29f930b096ab947e7e8789}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/fragment/app: {androidx/fragment/app, 44b54205a30a2620a237301b8c7ac1f8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9b51f2623b1aa35e81ab0db53e931b6c}
com/omadahealth/github: {com/omadahealth/github, 89dbcb640f302fd5d944af292f4f41d4}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 4810a6d1694b41b67f12c7935beb2fa7}
okhttp3/internal: {okhttp3/internal, e36fe5495ba9271b45abb44268bf5ff6}
kotlin/ranges: {kotlin/ranges, cd3117a7c5823b123e3f1cdad604f132}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/mikepenz/materialdrawer: {[com/mikepenz/materialdrawer, com/mikepenz/fastadapter, ], 9b8470265e510485b4ba14c572982ae9}
okio/internal: {okio/internal, c89dade1999c92351cb0b3d239f41f40}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
uk/co/samuelwall: {uk/co/samuelwall, 5b90b7d7282c6e996327c1e525499fa5}
okio: {okio, adf4862fe4510899b30ea3ff895b45f8}
androidx/recyclerview: {androidx/recyclerview, 15bc59e94e696aebdd57f0078d568eeb}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 8f5a6ad7d85b8cb61fd81356bbc497e2}
androidx/loader/app: {androidx/loader/app, 4ef40b23bc8dcb21057cdb597787b1b5}
