a6: {a6, ef63a3fbd26e7b2ddcd7c24447f72132}
androidx/versionedparcelable: {androidx/versionedparcelable, 2c57fd89b040a28529a4c4353161499d}
s: {s, 2278c457b2f20c24bd93e0eee554baaa}
f2: {f2, d7e7b512ee29c80e763ee0e5438993b3}
g8: {g8, 08be6958613ea1184dc7c6ae4c4897ad}
v9: {v9, bfdbe5f2021576848de3580bef13d6be}
da: {da, 16d3fc20f48c9443ddd1f1abda476ed1}
bd: {bd, 56963ba8239e5359af75cf2a50a763e8}
w5: {w5, d90172a0c5bcd840e4114f75a3872930}
z4: {z4, b98287a1628e3d4a9a827f5790fdc93e}
p5: {p5, 12633efa6705af041ee1971e04b0d9ba}
d3: {d3, 1b67bc74f2aa44a0f42496c8f9b535f6}
k2: {k2, 1c1c45cec61e3a53964f194e7b5cbf18}
m: {m, b130212a19f7323bb1c8b8ccee3541b4}
q9: {q9, 204338ceee79fca7a55120f8a465af94}
y4: {y4, c5b2f2471a7f166632f9a29d671fe2f1}
androidx/compose/runtime: {androidx/compose/runtime, 23a74f6669448a0c9a1f528bf2b5d8b4}
u8: {u8, 155010d7c42ce49cba5bb618819848b2}
m1: {m1, c14693c1de6ad09492a1e682659745b2}
x2: {x2, 1d3cf05278b788fbcbbd3ac3387a7927}
a2: {a2, 4941ffb0c8136f0f6739424d0639ad86}
n9: {n9, d70784d49658d35ed29a712f0eeecf59}
s9: {s9, e703881eecc001eb0fb9845f301f63ae}
n0: {n0, ce63b5086331446f86f9231fd98220eb}
k5: {k5, 4fdb57b603ef31a7363329aa371ee89b}
f: {f, b2013bda284d413d4b390bcd4403cc57}
x9: {x9, cb23c792432ed1072057444332220df5}
jc: {jc, 6258aefaeb7e255ac3b3e25d7bbe110a}
i9: {i9, 310e7284b5cfebf513915601717e3a1d}
ezvcard/util/org: {ezvcard/util/org, 0db390eeeb150a4b7e83ec8056f6ee13}
j1: {j1, adaaf35bb3995e9988999394dc1534b2}
m8: {m8, 3bc145e104387de89cc81411d9b18ee2}
com/qtalk/recyclerviewfastscroller: {com/qtalk/recyclerviewfastscroller, ea5c9b78fa23f5f21fc43ad676cc5722}
a9: {a9, 6facd874b577c9ad361f5cc0e4ba28ef}
h7: {h7, a0e3c3da3cb6a20d683c186951a0da6d}
f9: {f9, d92b876dc11f3773e0342ec42b0722de}
i7: {i7, fcf619ea5a6f8fbdb3aec1ae7f457375}
nb: {nb, 8fc4710c047ca53daab77cb69946e9f4}
u7: {u7, 1c2f2bbbfd8de0be33894228dfaa0d2a}
v7: {v7, 6b741d1d41a6e55c358418fe20f185ab}
l5: {l5, 46e8389e2e9e0b43033612cf72869f16}
i0: {i0, 5ddd0fb37b4d4b51ebefa781516db74f}
s0: {s0, e2253288a1a9f572f7b6435e77eed5cf}
t7: {t7, 225222f6da90de937022ba2e190c97c3}
kc: {kc, 020c81fc5123564d758e2bb02252dde6}
b7: {b7, db4f5320a42b2caaa716906451006804}
gd: {gd, 60f80dfee8678c01d5e2c9669125e675}
c7: {c7, 7512ae4ae074251d73c0de1b88732251}
p: {p, 7e3d8c47fb3ec998c1bc78ea807cb9de}
kotlin: {kotlin, b097c8ce1c31748226239d546e314059}
e8: {e8, 8b93a4d47d2089a2718a9f65e1d26b98}
o7: {o7, c0fa27da9bf24be13aaf9396c8769b45}
t0: {t0, 54c8242246b73e1c3da6b0d7918297f9}
i8: {i8, ba09050393be8316515561b62458a05e}
ca: {ca, ecf707338e173b7e8350cc44d3f20ba7}
r3: {r3, 5cf747854ec6be045488c4a896ddcc09}
com/fasterxml/jackson: {com/fasterxml/jackson, df82348b5800feaa7d2b4f3aa4bc6e97}
i: {i, b78c422d144e7bea378b0e2a5525c611}
p1: {p1, 000d516da1200aa9bebf3b3694c27d8e}
d7: {d7, 97132472321885403a7bd44c0fab1f02}
ic: {ic, 1ab18a18d0f0dc45b84b91692935928b}
com/google/gson: {com/google/gson, 49cf4a09b5f54e3e7db2933e6a1d4160}
q5: {q5, dc9a55f226c5c731ba271007eae4eb03}
e7: {e7, d098520943260867349426d9332acaf8}
f7: {f7, ee66d432c11fdb1ec905b701b3aace88}
qc: {qc, 3644c3d80b5b46a036ac627b488c94a9}
androidx/activity: {androidx/activity, 81a6bd83534c672794e0444a737852a0}
k8: {k8, 9a3234f5eaf2c143732f32472156dba7}
y0: {y0, 4eea91fc7ebd623fbfc7dc06e7791393}
y9: {y9, 9f40bc79ef75a5ff0aec0c75b2ed58de}
com/google/android: {com/google/android, f43f847c09681596964334503636f3c7}
z1: {z1, 466d3f586cce08df2eda0c183b5619ca}
ac: {ac, 0b7c704bc95eba38f68b7e5b79eac907}
w0: {w0, 05203bb3a791a94809a62475b907db79}
ba: {ba, 4a68919a2ab285b25f6b5d44fd118b7a}
j5: {j5, ba312a6fe6569a5835b0d8dec6384a53}
ia: {ia, 0f6be8faf34dd6a186eac17c9dee6d69}
wb: {wb, 69fad897e79a362b9c6585fdcccff235}
d0: {d0, c469bbd275b9d2a6cccb3e2a1c36dd63}
b: {b, ea0d036eb6b09745e65183c70055ef17}
k1: {k1, b0ad771728e7a0be20f8ca2f92d8c84f}
mb: {mb, d5f292555f88c85f8c1fd5019b86aae0}
x7: {x7, 56e4cf1998a25e4e7d4e448ba2030dc5}
a5: {a5, 300fa93ab5e620245581b4bb1fe28bd2}
rb: {rb, bf837590d7d9b307d0314b84d31a9759}
l2: {l2, 18064eacee50441eeea8a94a9e437e55}
i3: {i3, 24465cef6d649fdfeedbc057f0a78af0}
sb: {sb, 728170ad19aed33d7fdbd22e73c67cd0}
m5: {m5, 5b7bc45a7a2e35187475cae1c4858cd5}
j2: {j2, 1d3728988251a4ce459f2562b1722e36}
od: {od, 80e1b62e30f246ebcb3e76063d68ad7d}
com/caverock/androidsvg: {com/caverock/androidsvg, 29e5a4af3af019621880f846c081be58}
n5: {n5, aa7dc86357050ffcb5b9dcf0a905c13f}
androidx/appcompat/view: {androidx/appcompat/view, a5f3f3d838e1eb33328640c367bb548a}
xa: {xa, b3e4168f6b35458d00458e6ff6e75fe9}
o4: {o4, 21468a0f7c9b6441fa9e10dd11ff4fb6}
g0: {g0, 7d93b272b20a4fcdecb6639985a1c0f9}
o2: {o2, 97195a588ba8b2405de520d55967fb6d}
a7: {a7, fe7d298a844c419e4b382694445da06d}
androidx/lifecycle: {androidx/lifecycle, cc4352e110b9d1bf729e9a95fa1ebe43}
h4: {h4, 11f83145e35ba8c317d50584890861bf}
ha: {ha, 9221afea128e6d1063e79e09e385de42}
t4: {t4, b55923ed09d6c3a583e9b264032460b1}
u2: {u2, 2be67d4532a7582f843264609730e0a6}
c8: {c8, 4e7b8773caa0038c9c3eab2a4011997e}
h3: {h3, 5bcf4938055a5c1e3168d5ac81c7a85b}
kotlinx/serialization: {kotlinx/serialization, 5b9f705a079e90ad377141af8494e354}
r7: {r7, 44d6f97a89c7aec1b8743eddd50f7eba}
com/google/protobuf: {com/google/protobuf, fb261a101854f69055e27d0f156b30a7}
s7: {s7, 78b269e6dede21dc60176e1d3de16b3c}
q1: {q1, f9dcf0a17703ea349926a8ec310a267a}
freemarker/core: {freemarker/core, 447c32316eac0a19b29d0a2526728d49}
yc: {yc, d0b83f472524e65c3cd4abd13eef550c}
b0: {b0, c65e26a4b581c7ba5698a379ef1a9098}
u: {u, 5aa8fe57e9ce98939c3fdf51941d2ed9}
f3: {f3, 15690b685e406b24a2b4fad86f161bdc}
cd: {cd, e1ebb31e2c04ba6a505716c74a7ee10f}
oa: {oa, 1f10fc3973aa64e399753cf3b29e5edb}
kotlin/io: {kotlin/io, 7f5c88d9d4f7a3056345ca57b6a719c3}
w4: {w4, 30a5fbb47a10dac3f1a1909c8d5f0b1d}
db: {db, fefb63b189a8b8b95fe62126f5aac8ba}
z2: {z2, d14eb013afb20b60ec59d757012ff309}
com/alexvasilkov/gestures: {com/alexvasilkov/gestures, dc0fcb873a3682e6e0914c14e8098dd6}
com/simplemobiletools/gallery: {[com/simplemobiletools/gallery, com/simplemobiletools/commons, ], b0e3b3f0448f550e3c07a18bc6e691d5}
z5: {z5, 2f2255324129c75faa89a6d5d73d18b8}
y6: {y6, f477afeb7f9646c2523d28c39f9e98e1}
n: {n, f830b254035591b089ecc116ed1a5b78}
p6: {p6, b0f93a85f8e0441527870a6ff7920d1e}
d4: {d4, 1c358ddfc5123e10596673690f6b6acc}
e2: {e2, ee269376c853479b9a1c2d0ddca6eb89}
q8: {q8, 76018ad3a209d1a10d032936380aa28f}
y3: {y3, befb98f35a18dc55620daca66857e783}
v5: {v5, 5b385dfa550605258598b5f28a3a5db6}
a1: {a1, d456ab615d010978e989a12fbeaae314}
n6: {n6, 2c5f12256277d0efe9ecf9c125a20235}
s8: {s8, c616adac1233f3bc681253b6fe28e695}
x3: {x3, 5ff62cf777028cdafa769cadbbee0236}
k4: {k4, 00ca47c784d8276a2d761760186eda28}
id: {id, dce122791943bcc7b1e9e1a7b0e3afae}
wa: {wa, a30e90c0cb0378350b7c0cfef1727eb7}
g: {g, 48c880804a769ac2f81647c8f8cfebe4}
n1: {n1, bcd3e10a633ea6d16cdc4f54b4a6fe23}
androidx/appcompat/widget: {androidx/appcompat/widget, 9e9e06657a12f2b7d38a15f66a2bab6f}
pc: {pc, 4f680488d9806117c567119dfa00d0fa}
bb: {bb, b2437bdf47f822b8d0252c62d0fa1ee7}
j6: {j6, 9efd3d93273471acbc8a61456d8c72aa}
sa: {sa, 36969be6d51f1568b97c0810f74ed6c3}
s3: {s3, 0196e19b155da48e20ca340edc480894}
x4: {x4, 0c9078911b61bd9d01b5f7626612a740}
a8: {a8, 5dd0f1eab5ca8d4ccda1984d32d46d62}
h0: {h0, ea824c7520ed102f6cf92a37f912a741}
i6: {i6, 86136ea54f2a320a6450dd8c6b1eb061}
uc: {uc, f35ad2f236ce26c6da48b87f5a9eae0f}
nc: {nc, 4911bf03c68bd339a4d6b7617aff924f}
ed: {ed, 23464075c83d41cf7e64480473d8f82a}
e9: {e9, 7e03482f892a0b663b87c42717af6f13}
l6: {l6, dcbf91d254309dc72ce18cd6cefba2f1}
pd: {pd, 971bda61f8dcccea7d519bf630868507}
u6: {u6, b9622bcc0f2a1295a1ec86b7f62eba58}
m0: {m0, f812f6638a0f37531fe6b2c5fa673745}
v4: {v4, 3479b50bcaa6819bf64d18d3e929b13a}
t8: {t8, 03d1c9a276253fad3e04683d326e1ccc}
c6: {c6, a6df0c5e6c703cdcf01a0f10e0dbb2d7}
kb: {kb, 4d6d049aec1a2d598c712c01a6e19bc5}
l8: {l8, 7c0f61dd7a0dca0155a7c0ede20aa6a9}
androidx/compose/compiler: {androidx/compose/compiler, 165e7d87bfada842789c46a7cafc55f1}
q: {q, 22750dc12c2f2c2597de8cbabbbfa7b3}
b4: {b4, c4d3c5c12d654215ce8165d24570fb69}
o1: {o1, de79cc5f1ebf33ac2f7dd69fbf94b9ec}
fa: {fa, cae4a2d95b6986bccefc6b3d4d9581fa}
ld: {ld, a1ac02eca05abd86674442e6c1bb8273}
t1: {t1, 7d7f4e2799af2bc7cc5206059e3c8796}
o6: {o6, 1acefc806f3de18c585cbc11b3e9a993}
io/reactivex/exceptions: {io/reactivex/exceptions, 01ba9d2cea79bada3b61536f0db0ae82}
x: {x, 504934bea43a95bf66287a6f88137d95}
r0: {r0, 0d7799429bcc7ce61bd7ca024c75e5ee}
p2: {p2, 95caf0bd4500a16868f10e280ffd666c}
d8: {d8, 71701503265b03c53f62b32f1355d86a}
j: {j, 9d42560fcf9820edd7052e61128379c9}
q4: {q4, 32c0be1c59c07a854a2b502bde492fc8}
androidx/compose/foundation: {androidx/compose/foundation, 689ca2feebff3ea3c5a543b6b0484e9f}
kotlin/jvm/internal: {kotlin/jvm/internal, bef4311e8b19b41f1a1d1934a131dc43}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ee4b2e1d236d6e9ccf32e29d4a92343d}
eb: {eb, e5bd08ca1e12e2f723acae2586580d08}
e6: {e6, 86fc4a910f33aeead258c47aaf2f320b}
qb: {qb, 02dbaad46b5ae2997f1a941930aba192}
jd: {jd, 94de0f8653854f3fa3646bf3953267ba}
y8: {y8, f233823e3c5d14d32fdceb35206d3316}
ab: {ab, 67e967dfdb505503897dd0b4a07ff15a}
androidx/startup: {androidx/startup, 54cfd93fec9a70e9d67a3447497e2e59}
w3: {w3, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/compose/ui: {androidx/compose/ui, 6d90040c21b94586d637489e71ef1f3c}
d1: {d1, d87c62b81f70f97e53da1b6959fac56f}
c: {c, a2355c712f3f41d245a9e8b562aec131}
k0: {k0, 4012952722a98ddb85fc3da2c503b3cd}
androidx/media3/decoder: {androidx/media3/decoder, b7c504c1dc59ee6d5cb47ab7ba0ef728}
ma: {ma, d73de52854d3409fabeb20c4b8ed75b2}
x0: {x0, 1176c00eb8bb8d4a54c29f4974820d96}
rc: {rc, d52206726ec63ebc292d6eaf2d490911}
xb: {xb, 56b239764f50332e333c23fccdf54b2c}
m3: {m3, 0be9b9cce12285cc92ca12bf1330930f}
i2: {i2, 4332630239a9b32db7e1f15bbc03f493}
freemarker/template: {freemarker/template, 7a223f51c44683eedf54a54e2713df70}
a4: {a4, 5e0a3230d2d0bb09bfc09303d65d2fa7}
androidx/compose/animation: {androidx/compose/animation, 89487e4714ecb9de1e7c33b5c58ca4c9}
j8: {j8, 54261681744bbd17860f235982a9299a}
g3: {g3, 4076e5f563a03fac9881b425c25ea00a}
j3: {j3, d20891ce84247dbdbea7b3ee0a27359b}
m4: {m4, 72584919b2cca54dec78bd9c9dcabe84}
d: {d, 0770719b2c78bb9fdaa9494413403657}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 1f203508520891916676f53dd63a33a5}
n2: {n2, c26e42c87ab4d9dc2b45690b4094b416}
r4: {r4, 16447da7187da6482272362eb13cb1ae}
v0: {v0, 53918ba240da4575abb457bce95f4bd1}
nd: {nd, 786d4aee89ae0a39c2c6398f4ab3b3ae}
ya: {ya, d763a89d599ae9bc3bb8e78f89b3a8f5}
b8: {b8, 53b06c16943af37445d4bda4e49b6368}
vb: {vb, 1a0f586b9bcf13bcc12d0d7a36e0c2ab}
h5: {h5, 8c1f621c0169e6d47f3d16466b01e148}
c2: {c2, 75db10f8513daa31fa2c75ed61cf7cec}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
t5: {t5, 8401ca580c958ad8333b72c9cf1fa962}
l3: {l3, 993eb42741c7719669236c4dad7be532}
u1: {u1, d073aa5d05db58ff718e36b4aaff8ca6}
ezvcard/io: {ezvcard/io, 49500e4c92643af36adbea5486552a68}
hb: {hb, cc10ccac3ca40e5f3cdda04ab057c89f}
la: {la, 8df364fafac66c62dade6ffa97e6f4c4}
b1: {b1, 431579ad65566aa6cf131a2e9647a9c5}
q0: {q0, bd43bb177d58ef8fcbe287aa2e0e3505}
fb: {fb, b0884765cea4d669be5bf96aa5c2c6ce}
f0: {f0, ca4a8bd9efaf2b52e53a33b6c33bce8b}
o5: {o5, 413da0ae149aacadda54db1f3c4ff9a8}
androidx/profileinstaller: {androidx/profileinstaller, dbfcbfad6f17a1e859940ca3fd5e418b}
ka: {ka, 9aae1032c310eb1ca56448a239928714}
tc: {tc, 9daac6d47d8898b4eae7c65274d8acd9}
v: {v, aca2433d932157e2adde40527ca01ff1}
com/github/mangstadt: {com/github/mangstadt, a22bed6f5e073d23c03afac473510171}
androidx/appcompat/app: {androidx/appcompat/app, 28486b76bd25fb3eec4791b7e1a04a82}
w7: {w7, 95add8276dfe87239ab256629e244959}
dc: {dc, e070437ef1941adf06804ad6d86ca078}
p7: {p7, ad16ea00afe42b8fe675c247acb533b8}
o: {o, 3aa0df1ff0f8aa39277b449b7ba453d9}
z3: {z3, 3fb8e033cc306cdfc81edb5fd2103bdb}
za: {za, c30f33bb4fd6822915f4ff70ba310154}
y: {y, cabfee9a87cf474f0f5b4a4e9a41b528}
q7: {q7, 4569ac23ba18df8a165cacbbd3f807ed}
d5: {d5, 30aa14faec57355f333454bd3c5d9649}
e1: {e1, 1c4034310bb75fc12553ef7c1c00e8d0}
y2: {y2, 9112ac175300b0ee075fdddc29bff4c0}
ja: {ja, a51567bee3b3dd80917f2250c0a1909e}
com/davemorrissey/labs: {com/davemorrissey/labs, 9c0b4b85407cbe3a8ce8b88c172ae21e}
z8: {z8, cdb6ec37ed1921e8aafc4e085d81e60f}
n7: {n7, 4d9f4efd48af75ab8293eae6015524d0}
androidx/media3/extractor: {androidx/media3/extractor, b838154e405cada82ff8a1b767c24572}
a0: {a0, 7bc5161ac7683639ddad20b93a9a6199}
k7: {k7, 0bcb977792100e597cef636819dc51e2}
p8: {p8, f6fdd79b486042724d1a04e4c81bce33}
g4: {g4, ea2aadbcf93870b9549d9b18242f6bd4}
androidx/biometric/auth: {androidx/biometric/auth, 542dd9699021b2a489ba6c7d8f6e4a23}
bc: {bc, 365cba9ef6c2b1500748687b91b239b9}
com/google/vr: {com/google/vr, 5ee95db9392d846d9db69db8ef27e4c0}
androidx/core/content: {androidx/core/content, 1b2213ec3a993480ebc589fe126fa1ae}
j7: {j7, 79185f8f0b7826d95ecbcd40c4abe511}
y7: {y7, 5fd3aa7d9291f864e9a90398d7c8f625}
r8: {r8, e27ac0c2e9b269a15dd05c392fbe83d7}
x5: {x5, a019e0fbca7b4a525e06adc26ac3d2cc}
s2: {s2, f69da50aa595c072a56c63d8a701fa0e}
g7: {g7, 04c78ef9fd2f993e8bf4d101a18ae193}
l0: {l0, 22685afc1eb778752aa029f848108bd5}
h1: {h1, 4f48dd2a34626fca2fc257af1c1b57be}
ub: {ub, 7ba7a39d3a4978c98a8f85efa4449483}
androidx/emoji2/text: {androidx/emoji2/text, a37662c2b043cb8e2534b782a3523eeb}
i5: {i5, 3b8aed7d7f5ddb715a05d6ce40216a4c}
ob: {ob, 3df686d5fbfbca4c8875b1be0952dec5}
l7: {l7, c4d5429c83c82d9421b6c6333539c2d5}
w9: {w9, f1f671487e9530167ffadbdaa11ef2eb}
m7: {m7, 5c0ce5da3216b21de797920cf815ef5a}
t9: {t9, f2c609d1f924a20dd21a9f882e2470a3}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 756f54dff43fa0c2402ceab0a850651e}
u5: {u5, ff65c695bdabb46fa539001d6c3f47a9}
h8: {h8, 604e89b7672bdf9e528574b73be9d4c3}
androidx/core/widget: {androidx/core/widget, afd21277897e6e938b396427d4e58a37}
c1: {c1, 172571bbae5bc6b7d4dd5c6b10d29f77}
l9: {l9, 985277cd467db63c1788668e693a427d}
cc: {cc, 0a0f0d55c14d295c5f8d044eef6d675b}
androidx/media3/common: {androidx/media3/common, bab852963cf9b1522951659b00853e95}
ra: {ra, 826b80d2937c7048cddaf51b91350ce3}
o0: {o0, e30ad4cfbdcb9725b1d57d9d7af46c7d}
b5: {b5, 18f9c52e8dd17be62df52713c8dd3fac}
o9: {o9, 4fc3090d5ec94f5eb0796a515c5d7d86}
t2: {t2, 57356451333ca0a85c42579c73462af3}
r1: {r1, d0fa3caca493fafd0856897c6b969884}
s5: {s5, 17a405056d531ba6b05eb4cf33cfbd91}
d9: {d9, fc6acccb668d6aba5652aea90d53eee0}
k: {k, 30d22d3a68209bf01ea506d613ffed76}
c5: {c5, 517447464c4fb6f2d635e37e1e37066f}
androidx/core/os: {androidx/core/os, f9658b3afd5bc8a8db21168d75f7f4ce}
p3: {p3, 87474e3d999753dea7408ea3e4d5e14b}
e5: {e5, c025b5fad279d47fca2a4cced240bdfc}
b2: {b2, b2817362f052ba38998fc1372edf5b83}
q3: {q3, 6a32c8690b2a9f2635ddd179cff06276}
com/github/ajalt: {com/github/ajalt, 2d81d1bd58c86bab1f28dc69359f49d3}
v3: {v3, 7b255f447ac03a52e86f532f76c24efa}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f98157616bfc4ef4a067467b675ab946}
kotlinx/coroutines: {kotlinx/coroutines, b254dda5f5d1e3b7b2e2ac9dca027cfd}
r: {r, c751d9429980f00da7ecb81b1518f4e9}
kd: {kd, b939773d8e4e8fcb5479bbc4a17f3cb5}
qa: {qa, 0d042f2e54130da2e89572bdb82364f6}
f5: {f5, 5e8664a9420f2edbb4494a064596a8eb}
g9: {g9, f59cb29f72959f78dd5ceba9809a1b35}
gb: {gb, 682f0e21e082fd947e7fc2414d19f1a8}
v8: {v8, bb66b145404efaa72775ef22a479aea3}
zb: {zb, ad71d190101d409033211cdca0656e79}
androidx/room: {androidx/room, c09c2a88847eb7860d272b9a951ac2d2}
w2: {w2, a8a90050a76d01dc45edca9d46c5381e}
com/zomato/photofilters: {com/zomato/photofilters, f19ee39a3d74297ad856969a116413fa}
aa: {aa, 7c28f3188c417df46ddfe2b68afb1126}
z7: {z7, bd5b96cd8584b0f42e199bd3852c34db}
k3: {k3, 14eaee2e7d10b10826fa730eb81ac197}
p4: {p4, 678f9038c1dc4d3f3703e36841a04d51}
l: {l, 842a2cd8dc82e68084ca9fcbe334ee1f}
androidx/compose/material3: {androidx/compose/material3, f770e0af11c987ee68be48b5e84c901f}
d2: {d2, 7d2cf5ca57097eaa255bcb6159b523ac}
ec: {ec, adffd28c9871f5b6877bda1f97df88cc}
x1: {x1, 2a624a633993d97245d0a8f4308d3bba}
androidx/viewpager/widget: {androidx/viewpager/widget, bb6b02ea39307ca806400f2f0a2bd961}
y5: {y5, 2f38eb70ca93862e30c794a94f17fa12}
xc: {xc, 23dcdf9b3ef922091aedc41d0dbe4d77}
m2: {m2, ad68ce67f9466f5fc0aa7948550a2535}
j9: {j9, db9bac77242c5093af0d3071ae785b22}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
n8: {n8, 18c57515cb6a725530cf15894d658e1e}
a3: {a3, 1c84bc9471baea40f1af634dc1857b8e}
androidx/fragment/app: {androidx/fragment/app, e06c7e84aaea8580f8723ec619ffd429}
j0: {j0, 233c451bffce32df97b52b01b650875b}
n3: {n3, 0da6a7749b77bb0075227dce2e9a68d5}
e: {e, 20aaefd31f25329539cdab6c3a9a97c7}
jb: {jb, 6ff047d2f7da8f81d478283821d3b510}
com/squareup/picasso: {com/squareup/picasso, 4060e2fde322a941bfe52488cff39690}
u9: {u9, 06b6c8d3aeabcd8a5289803c33668c4e}
pa: {pa, 4e123fdd71c101be3862df07f53cbe24}
v1: {v1, efd2ac6484e8b6cd84da526adbf7b59b}
n4: {n4, e03f2e467523e41a0e23de7a738c9922}
m9: {m9, ee6607d1b3f973b8db90e3c32874e8f5}
r5: {r5, 05a777a5b3848377a14ae513abbd6fef}
vc: {vc, b490e59589a906c21c8d7fa39721fd2c}
rd: {rd, 0304f41f35c3102ddb7c44f31f0b6330}
g2: {g2, 0c31a7fe1efe95510f0dda6670a6fbdc}
h6: {h6, 582b05216a3232ae1ab84e46915ccbd4}
androidx/media3/exoplayer: {androidx/media3/exoplayer, ec663578004e6e6ea6a2674f73e6dafe}
u0: {u0, 0109b425d0b35344aa4c6a696862781e}
pb: {pb, b8f03314f2bfcfe396d1abcc99ed0e69}
i1: {i1, 8db05d6220704c54679abbeec3d52849}
v6: {v6, d1abf540ec8e655eb5ccb73e6a50a1ec}
l4: {l4, 600b435ab066ac543310d4027336a8a9}
s1: {s1, db559f0ab7fae093bf56e64d3ce8783a}
t6: {t6, 5b423304f0929fa8384cfc21c873e69b}
hc: {hc, 1fd2c15abc06e97f35d0f430babf3a4f}
fc: {fc, 7eaaec59c3c2c9d09a4cff7d708f07ef}
lb: {lb, 72725b59b0cd6398e2276afda7dbd510}
b6: {b6, 0847c00015b1e6d548362e41e690626d}
c4: {c4, f03cd8d15e65690c220aea2ad7e2cc58}
f1: {f1, 6fe6210f5572503b377e43c0c6519dfc}
com/bumptech/glide: {com/bumptech/glide, b4fb72e2757b7d4d28402ecc5400cdbf}
w: {w, 3d89382af2f13c364b92bf5b1a75a4a0}
p9: {p9, d396a2f2e63d263fac576b31dcd63b5d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, a5779ef64ba161b02fd5e88291d0016c}
com/canhub/cropper: {com/canhub/cropper, 9f7c87e63ed022bebf2f4073b0bd4a46}
b9: {b9, b6b9485da3b658b0514410dfb734c117}
hd: {hd, 60e52e99c279f0a4c0bee81de1776e73}
r2: {r2, 376ea108e8d54260a60f53d76ac4bb03}
w6: {w6, aa29d5100eac473eeef61909749990ca}
dd: {dd, 7a22dffa6deb9bba4bb51a5cf4718202}
h: {h, 9dbbedf06887c0aef3b4eb0bf8c20614}
d6: {d6, 04824a45b32580ced7f088ab6bd0e5ce}
p0: {p0, 6303357ce5dd8bf83dea116bf1873ea0}
z0: {z0, 6da6b3d6c0fcb2911ad8cee93c5c514d}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, cbb011c420495be84fe5948ecd512049}
q6: {q6, dce0b596601dc8d929719428f59faea6}
