a6: {a6, 30f144e07e64e53be75f11bdf4c3361c}
b4: {b4, 970bf11e650665c40188c75b551d5ffd}
x2: {x2, bfdbe5f2021576848de3580bef13d6be}
v: {v, f91a10530ee8f47b14d7258899f136c2}
a2: {a2, 3f5b94fed1d553f6d4b42be206f182b1}
androidx/core/app: {androidx/core/app, 483962047d6a8ddf2b9e7b6ea0c64f3b}
n0: {n0, f8824fda19a4fda3823d4ab327f405d3}
u0: {u0, e4f2a929af7413e0826d7880176a3e21}
k5: {k5, 00e744b1b936fd4400ebddae435a5aee}
z5: {z5, 987ea044839c330afbf34a566d7c4f3c}
i1: {i1, 0ee26b1ac1b5e2b232fce623dfa0e139}
f: {f, fab32dab85ff24d0a084a92aee261db9}
l4: {l4, b3af35726b0794de4775cdfb97e0fad8}
n: {n, 6d8f169f312a81d50441b2fff10f44cd}
d4: {d4, abb99e41179ca2ad88960878f1a47d9e}
e2: {e2, 198b0313d358b0abeb7aac6bfe02a0cc}
j1: {j1, 79960a6c908d38e94f9234d55a014203}
u: {u, e8776d7da33d94f240ee4ed8576ca38d}
y3: {y3, e26e28cd147958bc2a107405f87c2519}
s1: {s1, e191a84e08e1a9404dd0538c6bacf7d9}
o: {o, 7b421ecc8bd343524155abc75eb8a967}
f1: {f1, 1799842e07ca6dcba9841bb22907a3de}
z3: {z3, 3337aade1dcc47fc5c6bde67240fd55f}
a1: {a1, d0615ab7d34bf3d3903a24ff42574ee4}
w: {w, 9012e8e42f23cea4c4394043db2c6865}
x3: {x3, 8b5bffd6540a77c1d359438fb7087b1e}
g5: {g5, 4c2eea79e9dcd4d17213b3eabd1efc9a}
k4: {k4, acd7ad2c8dbba9d20b66b7be458ab3f6}
y: {y, 6946f658cf7571e0100cea2d8f0eb315}
g: {g, 7dd3bf077efc9c592ab8bbc44696e31b}
n1: {n1, b84c22dc21e282d56ff944eddaa6ce45}
androidx/appcompat/widget: {androidx/appcompat/widget, 09e861f9baea5942085b112e7392e1a1}
l5: {l5, 1958679256d91d59644736990e875d2b}
i0: {i0, 160e2e10da0c14509e72447807311fcc}
s0: {s0, a44f55edd1db05b91c298fcdb747a350}
u4: {u4, 73da6253bb82ef5ec750d7b5812c9331}
e1: {e1, 1d2ea6b0de6d4b97a7af1f942e66bfe5}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
y2: {y2, 4d709fa1067a491190516b5d1ff4cc17}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 2f62b1dbd8627df1f9b8ab32223b2f99}
h: {h, fd083c34cc9cbe4af66a2972ddfdd8f4}
s3: {s3, cbad8dab9fce3ae9214ee3f7d017fc54}
x4: {x4, 70b663dedc24045b138e2ed77db46be7}
p0: {p0, 08636d9c515a685e3decec1c1a99e8a5}
p: {p, 5bd47a3e4c6a40dd16b294944321b9ff}
androidx/emoji2/text: {androidx/emoji2/text, 266bcd448d1ef4cdd939319c978f5507}
z0: {z0, b27a6d1dd8502dc89cdc8d86bbe35f2d}
a0: {a0, 91e9477fc71857eaccb8e7a477d4f201}
h0: {h0, 7beb6321da6f663a5997c852ff1d078e}
g4: {g4, 110119608959e00e9e6f0a1fc9c97740}
com/twofortyfouram/spackle: {com/twofortyfouram/spackle, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 28b6a6cdd4c0536e3a90e6136749b3f7}
s5: {s5, e2ad634ee1995b1835e924a407df3178}
m0: {m0, 7ee7c3364270be59d517f17ac5ca715f}
t0: {t0, e818dab73f4e8bdb9a580814c7bf9a43}
v4: {v4, ee2eab8de322da66fa9c9da450b71fdb}
e0: {e0, 1207fb8c2b20298a9bf119f991208997}
r3: {r3, 7e5d3f6453ba98b7a820bf63a7e7aca9}
androidx/core/content: {androidx/core/content, f7805e9f7aa31edfe77bab78a9cef57f}
x5: {x5, 1e3bb619788477c3b908c60c4141bf02}
d5: {d5, 89e4265857110f4907e7e62a710684b2}
i: {i, a46ee8dadaaffcccf1e48824e7b5ca29}
p1: {p1, 290a077338eff3519aa42ea77e63a6a5}
s2: {s2, ee6607d1b3f973b8db90e3c32874e8f5}
androidx/work: {androidx/work, c0b674598aa1270fd87fee0df666c19d}
q: {q, 41f729f6f04dc12b27fc975c286e5315}
h1: {h1, f6481138bcaa92807f83630285bbc7dc}
n4: {n4, 059fa408796facf245d0e97a8d344b71}
y1: {y1, dbf4f4c464399595a0891b9d70ba4b08}
o1: {o1, 3efee000df0551b63a38cc871531ad26}
i5: {i5, ef61a487f356afec286c23754a86b026}
v5: {v5, fa9347116f73147d95648e7dba6cc625}
a: {a, ba0e06054fdfdb2790da3480e4ffde17}
t1: {t1, d22c6fc0d0d803f514aa33b95dde1c4a}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
j4: {j4, acca8449797be91fc2f780afbef67cdb}
w1: {w1, b90290316697e92234af817883b46179}
q5: {q5, 445d69b7efdfb8bf245cf37747a1efe1}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 550651a2e4254790e32b6748f1b6fab4}
x: {x, 78edd359cb1f0a5548cc27e9317fda55}
u5: {u5, 2f48b2661e4a07fcc0aac89c91599375}
r0: {r0, 3f88d7deec0c1b9bc10b716cb3f0d153}
