androidx/appcompat: {androidx/appcompat, 897df2938a1f236543733b992de2ec93}
androidx/core/content: {androidx/core/content, d6e369428f72d68d448238f4f5def6fc}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/coroutines: {kotlin/coroutines, 386dca95ca72615005de193865c6decf}
kotlin/text: {kotlin/text, 4768c937345583af789dda1476ba260c}
me/saket/cascade: {me/saket/cascade, e304fd82399c3eba75e4da961cd95be7}
io/ktor/events: {[io/ktor/http, io/ktor/utils, io/ktor/events, ], e44f12303b9ac2bee8175a77b2d7b4e5}
uk/uuid/slf4j: {uk/uuid/slf4j, 59a298dc5d2467679328f8571a078120}
okhttp3: {okhttp3, 81cf13f45db785483f1e6ef1a6ea3b78}
kotlin/internal/jdk8: {kotlin/internal/jdk8, d9b60710f50923ddd27ba7b908341f42}
okio/internal: {okio/internal, 57166635db20888c52cb81bbf0375f95}
androidx/collection: {androidx/collection, c7391f366cb4e3dc12772691c78d21ce}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
coil/request: {coil/request, b3670a9964a6dad47f1b26b61b265e41}
kotlin/random: {kotlin/random, a8d653a2ec1802dad6da8f8248028431}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, 482032fb4fb239ac2a5dca39f4144f61}
kotlin/jvm/internal: {kotlin/jvm/internal, b7ec3c5539f34f039e338dc6e93db461}
org/commonmark/internal: {[org/commonmark/parser, org/commonmark/node, org/commonmark/internal, ], 46e391d9afbbb121d60935d646d9b3b8}
coil/memory: {coil/memory, 2841a7c035b52351a02d771a15e5375d}
coil/key: {coil/key, 95c38365ec49c4a165d0af70d785e9a0}
com/google/accompanist: {com/google/accompanist, 17e998b0d9a0b853e994012d675dcd09}
org/commonmark/ext: {org/commonmark/ext, 71cc68dcff37e4438022b801c3bc3659}
org/slf4j: {org/slf4j, 716f70c414abf4acd771d2bd7d2065ae}
androidx/core/os: {androidx/core/os, b27f21b9c66e71805c05020c2166a45d}
coil/map: {coil/map, c6a476740a3a4b61c1e68dc998d5b725}
androidx/compose/material: {androidx/compose/material, c35c5ec0e7dbcacb8f129b5195ebcc5a}
okio: {okio, 2bc897d26bfae71d00c10758c4cd9e15}
androidx/core/app: {androidx/core/app, 75555cb07311caf691945bcecdd357e1}
kotlin/sequences: {kotlin/sequences, 67a8f58d7953cf44c55c8eb745225f74}
io/github/z4kn4fein: {io/github/z4kn4fein, 66e8d35132637da566cf5e4e6d714280}
kotlin/jvm/functions: {kotlin/jvm/functions, 4911bf03c68bd339a4d6b7617aff924f}
coil/decode: {coil/decode, cca14b615b50d2613168700c0b0c4ab7}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, 0e7c768c79716bb6091eb0b496697c1a}
kotlin/time: {kotlin/time, 5a0915ccfd15c2e4cc0c8737e9e88b9c}
_COROUTINE: {_COROUTINE, 705e23c4af5548fad47104d3c9aa27bf}
com/crazylegend/crashyreporter: {com/crazylegend/crashyreporter, 20a3d8b2b412af111c559a330bf59247}
io/ktor/util: {[io/ktor/client, io/ktor/http, io/ktor/serialization, io/ktor/util, io/ktor/utils, ], f92f7260a07f706db126f672b2fce30b}
androidx/exifinterface/media: {androidx/exifinterface/media, 866a7aee572060f831788080e645f95c}
androidx/savedstate: {androidx/savedstate, ab96afd0eb9a5d6039e63bb778295379}
okhttp3/internal: {okhttp3/internal, c9804011f17b7f207584a8b20610cb58}
androidx/fragment/app: {androidx/fragment/app, e4396b4c9358db621bedc1fe5ba1e2e2}
coil/network: {coil/network, bb080c824666cbb80442f9bc3be73da8}
androidx/core/graphics: {androidx/core/graphics, 24aa3096881a969c82b70d70d0593153}
coil/disk: {coil/disk, 52c5a9818995c590380e564b086191eb}
kotlin/collections: {kotlin/collections, 054ecd16ad3b2be14372adcdbae7f2b4}
kotlin/ranges: {kotlin/ranges, bbe1fc25786ac9f4f02b7aafede58c03}
androidx/tracing: {androidx/tracing, 92577b9e5eceec04bc54d4451ccc3f3e}
it/vercruysse/lemmyapi: {it/vercruysse/lemmyapi, 379db029f1bb990aa0819a3d6af62043}
androidx/startup: {androidx/startup, 0bc934513827245e9319c34e7eeffce7}
kotlin/comparisons: {kotlin/comparisons, 343049e85db847b010e39d92369a7497}
coil/util: {coil/util, c0fd7221d93e97f56bd25b254b315c35}
coil/intercept: {coil/intercept, 168f2381ce5178be6b9d961178846e7a}
androidx/concurrent/futures: {androidx/concurrent/futures, 7cc9d14ae3dc7e7801271584787d5692}
coil/transition: {coil/transition, 1aa69d16b055140d818fea4affb6ee2a}
kotlinx/serialization/modules: {kotlinx/serialization/modules, 0fb01c242eebcefa7285da3c7c672cc4}
io/noties/markwon: {io/noties/markwon, 8d6d1f186a4e8ff2f71fc47f278b548d}
