a/s/a: {a/s/a, 605e29dd24d3a6cf3cf5fb97a0230d48}
a/b/a: {a/b/a, 443f0cde5655bc77de04d840b6e9c598}
c/a: {c/a, 99a5a771f7e3ce3e9f327b599e37ba89}
d/a/a: {d/a/a, ee133869921b5d26147cf6f832b4ccd2}
b/f/b: {b/f/b, acf7ef943fdeb3cbfed8dd0d8f584731}
f/i: {f/i, 2f98f4fd60829d2567feda6a980af495}
com/google/android: {com/google/android, e350708a6162393adbb31e9dba724595}
androidx/work: {androidx/work, 7d5084f45a8777ad755c483ab8220072}
a/i/b: {a/i/b, d34f622c2c3b057524e27000e0962813}
androidx/cardview/widget: {androidx/cardview/widget, 60250aa19c87fe04e46c2651146e75d8}
b/g/a: {b/g/a, d4e6bc4c64ba1f5a7cd9ebbab47f844b}
kotlinx/android/extensions: {kotlinx/android/extensions, acf7ef943fdeb3cbfed8dd0d8f584731}
a/t: {a/t, 5c49544787993b72479ad480214622b5}
b/k/a: {b/k/a, 75de0888ae41a86efa9a7d030b612a8a}
a/h/a: {a/h/a, 7ca553698579ba895e4cba239233bfb7}
a/p: {a/p, b9a53df84ad3b99d1cd2ebce768e565f}
com/mikepenz/google_material_typeface_library: {com/mikepenz/google_material_typeface_library, 68ef3b3a205be21baa5491d3c3e96926}
a/r: {a/r, 80699703ab6f94f12feae94e1e5776b7}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 829d6d335a806b834c0a1e56130122ef}
b/c/a: {b/c/a, b4b6a4848aeb12197c63229b8e9179f5}
f/b: {f/b, 7eb347c6621bc659912563a021134b5d}
b/a/a: {b/a/a, 4aeba829c0a24e78eb602b99adffaa6d}
androidx/core/graphics: {androidx/core/graphics, 5f80a3deb576187c9911cf6f323f6fe1}
g: {g, e0c30cd517cced0ab2208d96d7b52184}
a/d: {a/d, 7e81c0d673e970accda2b291c1380177}
d/b: {d/b, af5f4b4a0593573f082ab0240fbdd75b}
a/l/a: {a/l/a, eae9875d5f6958d01515e2c21035f117}
a/e/a: {a/e/a, b878010b1c5aead8f1d51811c3ec6975}
kotlinx/coroutines: {kotlinx/coroutines, 3a8622fccfacc5f45217f7aff732245e}
b/i/a: {b/i/a, 253c583e6bac701b342108f63b4b4b43}
com/davemorrissey/labs: {com/davemorrissey/labs, fafdbbb175cab69148e2cc03383774cc}
i/a/a: {i/a/a, cb3469befbc94b2b1b2ebea464996090}
g/a: {g/a, 5138459943dc7b07df89af6b2a03ff9c}
androidx/navigation/fragment: {androidx/navigation/fragment, c8063663bf4ba37eaf959b0b26ee61b9}
a/j/a: {a/j/a, 094a8db919d1d84efb94688b298533c8}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 879edb9eac9053ec66d41baebe0a59bc}
f/d: {f/d, f4bbf38dbd1fdff8c65e81165b857cb4}
a/f: {a/f, f5d9ac5aabb7dc4edd07285387a07a73}
com/yarolegovich/discretescrollview: {com/yarolegovich/discretescrollview, a362214ccbe63997d1191fa3ed5d68d7}
f/f: {f/f, b1c2ebbdf915bf7f5d928f3f4f07c1b6}
androidx/databinding: {androidx/databinding, 6acb06c6650fe6f0df3733b69444ff8e}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 84a7d6018bb8250eb0823ba4bc6cf11b}
