androidx/appcompat: {androidx/appcompat, a6d24a3fcc56bdaf10cd323158193229}
androidx/lifecycle: {androidx/lifecycle, f0641d2c7bcd7721b7aed9a2e08bdc72}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
kotlin/reflect: {kotlin/reflect, d118540d81e4a4e0557e25f22f62ecff}
kotlin/text: {kotlin/text, 38887bbb10c5d8f6e27f60ab13b3b925}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 7634c5dad21d72f3ff5166032ae79ba9}
okhttp3: {okhttp3, 8f1b4461bd2652b482e3dded2ddfc9a5}
androidx/core: {androidx/core, 29beb90b86f76b804fa00a2991b9243b}
androidx/collection: {androidx/collection, 028227f1c3788c107c6915c8ace2be1f}
curtains: {curtains, ebd828f910d33b9fdb5200e322fd1fc0}
androidx/transition: {androidx/transition, 3bbfce3cb37f0179eceffce1e3d2f25c}
androidx/media: {androidx/media, 123cc3b29ea7081c6ac146c283910b35}
androidx/browser/customtabs: {androidx/browser/customtabs, 4c5f320ec53fe784643dc1ae734d42e4}
androidx/viewpager/widget: {androidx/viewpager/widget, 6c3dec81de2edad84c37d34747502147}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
com/skydoves/balloon: {com/skydoves/balloon, 46a3841c58043bb218677fc3a33a0c75}
androidx/viewpager2: {androidx/viewpager2, a6af5193c2a3e179960398b43b021efe}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
org/apache/commons: {org/apache/commons, 6fe1c432ede073313855168735cf112c}
org/maplibre/android: {[org/maplibre/android, org/maplibre/geojson, ], 0d9aba02d5d820e7d4074f6115904c81}
androidx/recyclerview: {androidx/recyclerview, 436b75fb9792f2cd1e92353e8166372b}
kotlin/comparisons: {kotlin/comparisons, a07b3869db75a418c9972a3abcdaaa24}
com/android/installreferrer: {com/android/installreferrer, edcef8f69442e4e0162d9c2856f20b47}
kotlin/jvm: {kotlin/jvm, 9a29fb16fc988837d5c6473f8d0ef2da}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 5794a4a972006f914e03dcee4a727f16}
org/wikimedia/metrics_platform: {org/wikimedia/metrics_platform, 46c3e558df2adfa08e4ea623998c4e1d}
kotlin/io: {kotlin/io, f3a696b9fcd7a7105caf1a8de47f6079}
androidx/profileinstaller: {androidx/profileinstaller, 0a6f28399d2f9c5bebc2d35f8a3fbe3e}
kotlinx/parcelize: {kotlinx/parcelize, 430a14a5e807f6d6a02e3053930895fd}
kotlin/time: {kotlin/time, c0417cc047c8a069ecd01a5db16cfadd}
org/reactivestreams: {org/reactivestreams, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b9d46a130269f2759394903d4054cf8c}
androidx/sqlite/util: {androidx/sqlite/util, ae9d98726a658a57ff6811e34e63fc0e}
com/google/mlkit: {[com/google/mlkit, com/google/firebase, com/google/android, ], 3e5684dd4ded4a19b7a0111d1084bbbf}
androidx/drawerlayout: {androidx/drawerlayout, a1d386dd8015d06ebbd4d1005282ec08}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
androidx/arch/core: {androidx/arch/core, ff3db04e1104b88e729f055fd6e1c6c7}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e13f616c37cb55a280e7987754c217fe}
okhttp3/internal: {okhttp3/internal, 6084a1170c301ebc70c13987a4522d9c}
okio/internal: {okio/internal, aaff0a8be9ec39f9bee9022897ff215f}
androidx/concurrent/futures: {androidx/concurrent/futures, 940ee8a2741eecba1ae8fc21766eff42}
org/wikipedia: {org/wikipedia, 37f7d392c4af0b347fbe5974e0986664}
kotlin/collections: {kotlin/collections, 15ab89893fd37f9338c55a3db3a6353c}
androidx/fragment: {androidx/fragment, c94313d1098acb6f967865c1214dc7fa}
androidx/customview/widget: {androidx/customview/widget, d31390e8a29f71901e8e9479acbdbc70}
kotlin: {kotlin, 278af100754c725b761d118cf8999d3e}
org/maplibre/turf: {[org/maplibre/geojson, org/maplibre/turf, ], e898bc473855e8a009e146db4efc6a4d}
leakcanary: {leakcanary, 20398b7494bc5aceca7aebbad7a82131}
kotlin/coroutines: {kotlin/coroutines, 4e9c55b578611a03066dedc766e0abc0}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 9a672d267a88f76bf3f7e0cefd5df193}
curtains/internal: {curtains/internal, b96989c645d0495f09064fff09244c93}
okio: {okio, 5a85c7eb2a606edd1a28cb3b724bd397}
androidx/paging: {androidx/paging, 4ded72377c568b9d0c8e9704cb504c66}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, d4892bc3b7e4f04712a128e7b8395e53}
androidx/work: {androidx/work, 229d851188f305ff8e7aef65d825c8cd}
androidx/emoji2/text: {androidx/emoji2/text, b53568dc7c30d2ba188778ae0d6e7c10}
_COROUTINE: {_COROUTINE, 8e0f39b725c217c6bb62b24541ee0a02}
androidx/exifinterface/media: {androidx/exifinterface/media, a6814d5219eaa7ce558784ea1e0efc31}
org/jsoup: {org/jsoup, 8d35a34757d6e25dea7a68149e13e8a0}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/bumptech/glide: {com/bumptech/glide, e4ebdd58543c551de217bf50819d9378}
okhttp3/tls: {okhttp3/tls, 47f09a7121e2b007ac3bcf3e480c53e8}
kotlin/ranges: {kotlin/ranges, a435512c8e3004e52ad1c228d44713df}
androidx/tracing: {androidx/tracing, 71644e674b922946f39849903d85f891}
com/github/chrisbanes: {com/github/chrisbanes, 77ea6327604210446a3f008ee1125a1c}
com/google/gson: {com/google/gson, 34fb9aef6501449de95306b78340895f}
okhttp3/logging: {okhttp3/logging, 7d5681e63fe7dc9b4b3df9b2896c4b3a}
