androidx/appcompat: {androidx/appcompat, f341181919ddc03c92841eecf19cfa24}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 1540d9ce7c2d5402ae80f08a4becd6f3}
androidx/sqlite/db: {androidx/sqlite/db, f30a45ec6697b609c0ef236133a3de2d}
androidx/lifecycle: {androidx/lifecycle, 56088efc13ba54eda37e45bc90317dc5}
androidx/legacy/app: {androidx/legacy/app, 8836705ac67ef741f1d4e9bbf067fec4}
androidx/versionedparcelable: {androidx/versionedparcelable, ad9a50ac883d949995918d621e5b4058}
okhttp3: {okhttp3, 66ebb006ecbb4c072d66ed9f5f42782c}
androidx/core: {androidx/core, 49553eb89c9d60a8273698f141c618b4}
androidx/collection: {androidx/collection, 6f1cac74c4f31ab55e496fcd5cf72c03}
androidx/transition: {androidx/transition, 00398e6030de1a09a2f77ee04ce675b0}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, b1edee0f963b248acf55c59ea3113dab}
androidx/cursoradapter: {androidx/cursoradapter, 5256c2d3bbecbec03155f21ce61e7e4c}
androidx/multidex: {androidx/multidex, 761f8a784c3fe1a49eb856cac30d224c}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
androidx/media: {androidx/media, 9ead0a297ef18a6197c8209a95abb74e}
butterknife/internal: {butterknife/internal, 2de1266a06abeaa3c0056db00d22da9f}
com/wangdaye/me: {com/wangdaye/me, 5f99f511ef6568d7af1cf4badafed4ce}
org/reactivestreams: {org/reactivestreams, f2c0ab0033b9dba5248bed9a187813ba}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 132816519b65ad227697d8b043351e6f}
androidx/viewpager2: {androidx/viewpager2, bdf97cfc42dec17464439f65116633f4}
androidx/documentfile: {androidx/documentfile, fc65952333a347717573b2dcbd0aef6b}
android/support/customtabs: {android/support/customtabs, ce54323de51089f18675b29b01e25c81}
androidx/recyclerview: {androidx/recyclerview, 6bc41ea6a2cbf2b4af211feccd2fc787}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 024b5128cf6d2ed456a0013a5b49301c}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 109f8b51c0ce32f08a0af99dd9f6b0c9}
com/tencent/bugly: {com/tencent/bugly, f62920ab7c422cd273b0574d86a7a4f7}
androidx/loader: {androidx/loader, 36f41872bd85ce12d537103b8e6efc81}
androidx/interpolator: {androidx/interpolator, 0fe191d1451d04af1e8482845e27e77e}
com/wangdaye/search: {com/wangdaye/search, aa8797d5542c03b5103a44f4ec2b9f1b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 07ead53a1d13637c95f449e9c6b30696}
com/wangdaye/db: {[com/wangdaye/base, com/wangdaye/db, ], 1cb91867a2f06d71450ffb206f7ec745}
dagger/internal: {dagger/internal, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/slidingpanelayout: {androidx/slidingpanelayout, b46c2d259f826cd0a3aeaa89b8aa2192}
androidx/drawerlayout: {androidx/drawerlayout, 622bcdbf7e044eec246972609bc1f270}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 1157cc5ef114e558baa5977ec8368790}
androidx/arch/core: {androidx/arch/core, 0025363909878f30d3e268b56157d51d}
cn/nekocode/rxlifecycle: {cn/nekocode/rxlifecycle, 88f61e0423e677bd78b1767c62a3a92e}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
io/reactivex: {io/reactivex, c2379832690fcff7b298301152b91edc}
androidx/cardview: {androidx/cardview, 09515ac4a15fbb3b8a6e5adb16e9cae7}
android/didikee/donate: {android/didikee/donate, 4078697e37a41218288b20c3ea8e5471}
com/wangdaye/about: {[com/wangdaye/base, com/wangdaye/about, com/wangdaye/common, ], 6fbc1ad994a8ca9d3d815ccd9efc46a5}
androidx/concurrent/futures: {androidx/concurrent/futures, 488295b94501add02f4edbe57afdae88}
com/pixelcan/inkpageindicator: {com/pixelcan/inkpageindicator, a484cfd870facb74a3b3d231986c578f}
com/liulishuo/filedownloader: {com/liulishuo/filedownloader, 83eabb93b801796776a916997fb16491}
retrofit2: {retrofit2, 93b1a719157a372a526d1de872b16992}
butterknife: {butterknife, 453feb01eb780c9996ca4b3f4bf034eb}
androidx/fragment: {androidx/fragment, fadbb53772dc1b9ec21b71375cee7e66}
com/wangdaye/mysplash: {com/wangdaye/mysplash, 348cfa415c4d8cc6f4967b01208774ef}
com/wangdaye/photo: {com/wangdaye/photo, eabb1374fec733ab888baf63909d2f36}
org/greenrobot/greendao: {org/greenrobot/greendao, ed5263cffd63979a7c3a877309e919f4}
com/wangdaye/main: {com/wangdaye/main, e9c34ac8459045a1767c98071449ad10}
com/github/rahatarmanahmed: {com/github/rahatarmanahmed, 7eabed1fc30ba12f2466ae591de41ca8}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/alibaba/android: {com/alibaba/android, 1acfd26e6c43a994c5750835fee61bd8}
okio: {okio, 58bcd2858d9a623bb22846f65ab826a4}
androidx/work: {androidx/work, 3375ab5ac2b085b71b202ecddce60e2c}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, a26d68553808a5fa1fa0d8e5867ff389}
com/bumptech/glide: {com/bumptech/glide, 4950a1f004bed9d190092bccf3db0e64}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
com/google/gson: {com/google/gson, 03ca8ce39b0f40d786a4370d54f2e6aa}
androidx/customview: {androidx/customview, f30ccbeb1c0fc215d4e8bf0f93e2ff7b}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
com/github/aakira: {com/github/aakira, 229604902088a8b90ddb82b063609336}
com/wangdaye/muzei: {com/wangdaye/muzei, f92003c2c25a740ba5ea20a8fba504ab}
