androidx/appcompat: {androidx/appcompat, 6620caab6deea3cf8bb8ebc10669ba69}
androidx/cardview: {androidx/cardview, 629a63d98fe70f1cc7039a37eb6c2fd4}
com/airbnb/lottie: {com/airbnb/lottie, a32f8e59438acb7a8f8131bb85a36195}
androidx/drawerlayout: {androidx/drawerlayout, 1fb930d925ecc47472e34cbf0f70e301}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 0e4bb71068a2b42138c7181cc29dc06b}
com/frybits/harmony: {com/frybits/harmony, 4b97e69b11f2540511cdf8efce117b72}
com/facebook/shimmer: {com/facebook/shimmer, 933b19bfb4b9a0a45ea2016a92b7080a}
androidx/exifinterface: {androidx/exifinterface, c1a799a7a0cbb64cb3b13606eff98ce2}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, fe61eaf9739b1b27d0bf9a127e88dfbe}
androidx/webkit: {androidx/webkit, 2afc061d06ccb2b8680356b972624110}
androidx/work: {androidx/work, 8c099a3e7c31dcd884eae7b417db1bec}
com/duckduckgo/webcompat: {com/duckduckgo/webcompat, a4c7bd764e3ce6a2e7477ff4b12f5216}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
androidx/concurrent/futures: {androidx/concurrent/futures, a9992cc286b4216d8a92ba2be6e6a54f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, c22a58a51342b15d1c3469e7ca65b947}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 781bfc20b8db24aa6e40961a06fecabb}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d43582b1091088343ef02ede7a82a95a}
androidx/documentfile: {androidx/documentfile, ace5d9be6dc5bdddf07ce2d8a3165904}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, feb701d2cca97b5246f6e2d78da7668c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f4e22f81ecbff30422ca0eccafabca9b}
anvil/hint/binding: {anvil/hint/binding, 20732029edab27e5e430cd351db3b399}
com/duckduckgo/windows: {[com/duckduckgo/networkprotection, com/duckduckgo/browser, com/duckduckgo/appbuildconfig, com/duckduckgo/app, com/duckduckgo/common, com/duckduckgo/windows, com/duckduckgo/anrs, com/duckduckgo/navigation, com/duckduckgo/savedsites, com/duckduckgo/widget, com/duckduckgo/voice, ], 18ec15b0f9aa70bbe95031433fe706bf}
androidx/biometric: {androidx/biometric, af9b42cb5a7fdc1ed2a9048bd4f90512}
androidx/tracing: {androidx/tracing, b9cf7e46039783f5f378f56641df7092}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8f556874adddcf79a88c80c2baf77e65}
anvil/hint/multibinding: {anvil/hint/multibinding, 74fc977ef1573495b30ed4e903334fe3}
androidx/customview: {androidx/customview, 2739fd67b49ea81e13e27a28ccdf096b}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 121c01c6f97c1c4a2da197b051dcb624}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, 9033a97d9834a0f8f8d5873e7be88459}
anvil/hint/merge: {anvil/hint/merge, 03045fe8f533d918401b5904c218120b}
