a6: {a6, 52a4cd4b8c4f6243555bc36e86f96677}
m3: {m3, f72ac516d647329ee351c9ef8b8721c2}
i2: {i2, 444ffee4da0d6e64b5f69fb65f660eae}
androidx/lifecycle: {androidx/lifecycle, af22478413203b58a8ad0133408fd534}
a4: {a4, 95bbce76f035a4a3f407ffc3ef1003a1}
h4: {h4, 1f063e71e8b31bb6daff951518d3593d}
t: {t, 9f8d35d5ee50782553a17c2a9eb43a0a}
g2: {g2, 3ebb555fe5014e216b055d6847d37a47}
androidx/media: {androidx/media, fd1f60293de9db726a18862adff7834a}
j3: {j3, e517ffedb385c04f41b5a0ef3ee618ac}
m4: {m4, 916e0afecdd618c7f6b4d7cf98f1621a}
t4: {t4, b1445fd3bc862a1512883668dbbce3e0}
u2: {u2, 31dc1bc524e709b1bc7f39797e28fce7}
s: {s, e75f6b7f6d118838946eee64130940f6}
d: {d, 4ded6aaad454c1bf0b2ed2d53e21cf60}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 368cd6b518b7d712fb33026eff425c9b}
h3: {h3, d652965af1c9caaafdbd08081b5ac40a}
n2: {n2, f26b1ecc8d02121417b572960803c5a6}
k3: {k3, 55747f2b03fd8d4d475c15273abd0118}
p4: {p4, 798b045dadb509ec3491e3ffd8e93b1f}
r7: {r7, 5356e843636a947db0e688b800db4d4d}
y0: {y0, b33b0368401659975312059b9bb933c2}
f2: {f2, b1d86a7055934d2c315b23c5e715f90b}
v0: {v0, 482d68fb643543ad11b70301981f4abe}
d2: {d2, f667626bf9a1fcf0a3e9b76055b9216c}
q1: {q1, 532a5147d51600a29f5f291d8c2a378c}
x1: {x1, 81e34f95182f3089664808e16167e4b1}
g3: {g3, 8a64de794450953105f3d0cb36c36a14}
androidx/viewpager/widget: {androidx/viewpager/widget, edf481062f7f33d093e1b6b7a7f3fbc4}
r4: {r4, f75ba8b600e6593bcc438cd9d15c6e36}
b0: {b0, 6c8d04c1df0a9d1bdd67185c04fd42ad}
y5: {y5, 15c15319b7405cc2af087a1e2702fbfc}
m2: {m2, db6a120f0f9a210469c587a342337201}
s4: {s4, ba17230517a98048677b28af05089878}
d7: {d7, fa14b2ac8f6ee6fee0e774abcc10421a}
o5: {o5, 2b6470c1e83c8ad3e773704ac0e61182}
h5: {h5, 0a4913d69a1764efe1266da9023dcd65}
w5: {w5, 63840c93a46e674281c6f6798a75bcef}
c2: {c2, 6e1a813e8b60332e03fe04df0c629622}
a3: {a3, 70f3e7f2bb152d19b8515c7aefbe7bc5}
z4: {z4, 586409a2510478e4c822733c4330ec53}
androidx/fragment/app: {androidx/fragment/app, 13a097759df7fbbf8982683f3091ed82}
t5: {t5, df1d20d8818ba3182ef4dd6d8d556008}
j0: {j0, 6c4745ed5190d9d8f4230dcf045186a5}
l3: {l3, d674616aa377380b5617030f0c507f31}
n3: {n3, f5f6b6e71d29ec8404c09f632be82d58}
u1: {u1, 322ba7064a903e724cee99b2d30f1c44}
e: {e, fc884800c6c73c731ed5b0542f9f6947}
p5: {p5, 2b6470c1e83c8ad3e773704ac0e61182}
d3: {d3, 6fb5436ed1cb63dcf8ec96ef33eac0ce}
z6: {z6, 97562086927eedec0bf0027b8f83a632}
f3: {f3, 22f63ac9f754f58bf264b56473c49075}
com/github/niqdev: {com/github/niqdev, 46a9b4fdee0ec69e633af526769a4512}
k2: {k2, 2663454fb635584a07e11672fd067c0c}
m: {m, 7a1e99cf9e30e3fdb9456451f12ab49a}
e3: {e3, 603d3d2daaf7a3d1c86d7bc6fb335b3f}
v1: {v1, fc919466663bfdeeeaf70ee02ee59a47}
y4: {y4, dd2558f25100489658a8802a535112be}
q0: {q0, aaa2a539173592a0411f64ffba71ebe3}
f0: {f0, 8138999e336b49f8317ef549026c2405}
c5: {c5, 8bb02d8b472576e50c6ce072efb4ec20}
w4: {w4, 766a193fdb339535239709e51564618e}
androidx/profileinstaller: {androidx/profileinstaller, 425b9a241a9be398b353473a0397a5e9}
r5: {r5, 64b48b329ba84b2497c50d142052c644}
z2: {z2, 843d7b0b79b6b20a4a4d24bec6786d45}
o4: {o4, 1a5eeb885b3edb92b56048337f520d95}
m1: {m1, b7c1ae02e3bf550801335846e6b7ee0a}
androidx/emoji2/text: {androidx/emoji2/text, 17609596a0c10b5ea4d6b0c85ba93c46}
x2: {x2, 9143eaec12d441abccda7543e7a8bead}
v: {v, ac9e9b72bd39a336e67af102ebcd6f63}
a2: {a2, 5f14dd352d80836be205eb1b238a46d2}
h6: {h6, 4a88284fcf53f65b30015b05e9039a57}
androidx/core/app: {androidx/core/app, 69ac4434146c17cde85076e6f03fb5bb}
n0: {n0, a431c4576a985a18b0fa3d5b4fe41379}
u0: {u0, 513842f310dd4fc1119b731cbd6b83dd}
k5: {k5, d5051cf02efc47a9780cc057c8aaef92}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 5f275d213f6cebf9a1da896b134a845e}
z5: {z5, f238bb0b0d0fd70f51f825af60600b2a}
i1: {i1, 7cf9dd608a704fb610f5fee23560f6cc}
f: {f, 59616200f30614a2e10af8e4be58c939}
v6: {v6, 6d61394b86c005ed40ab82769c7c13b8}
l4: {l4, ebdea43abda70e4bdce4d1f38f4ec378}
y6: {y6, b8521486da8216a41d9cfd2b7cd7c059}
n: {n, eb17ed36a1a05dd7c4921547ead07c73}
p6: {p6, 10b385afb60dc25b7324958b2a054606}
s1: {s1, 2a46b1fe4965e988775b4bf729c285dd}
e2: {e2, a2e6051e8aa0735e8da81332b56bfc17}
t6: {t6, 969b5f8d3a1a5f80082fa4452675b7ca}
j1: {j1, 9d770539e78af19ec9d32696406b21bb}
u: {u, 86cc24eb5166142b80d200bd7b1b0540}
com/google/zxing: {com/google/zxing, 5d2f14aaf1943c3ce924873ec0e82e2b}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, 087a1dd336fb3e5b5c78285f37118a6b}
y3: {y3, 587eb980ec879573649ad8caff9e0e50}
c4: {c4, 5ada3ebbc92e8f62cedf9a60e64b6e1b}
p7: {p7, fae33cf9f6e9487a972201113d90c6af}
d4: {d4, 45c30bab49583b314e1f708a872da546}
o: {o, e01dc759672bfaf4a3864bc677146fe3}
f1: {f1, 6079b7710950de6daf97049c6862e5af}
a1: {a1, dd2eeabf51ecf8265ebc9ef9b0f5cde7}
h7: {h7, 8f19866a53b40969de818f4fd54ab2df}
n6: {n6, 4f6ac2c523c96026e97fc28080f14901}
w: {w, 85adcfad578efbe9cf6d16660bccd6fe}
i7: {i7, f6ca8e1aa33fb962ac8f1ac4bef7b64a}
x3: {x3, 0064cc3ab4b6e5413009029690be863a}
g5: {g5, 8aff4a6c0202691258029d528441eb98}
k4: {k4, 39ffc9f8216ea90ba7e3191442986180}
n7: {n7, f73d2e1b8e0dd959805344da4fde8bf8}
d0: {d0, 8ebaac73a71398bcb68f6085314c9105}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 1ce34ebcc860c2f348924dd5e7da9a58}
g: {g, 13a167eb4ce7806f293b93d38c091a0e}
n1: {n1, 333a5eebbdf5ff43b26d86df1c22b77b}
be/ugent/zeus: {be/ugent/zeus, 7975c01baeb14695393231e4c6c48b0b}
b1: {b1, 66d62632cd5b45a56d0d1bbb7d092f01}
l5: {l5, 0963a0eaaa5d253572ca06441f6b4e7f}
i0: {i0, b686d8642af25bd4b73dd299d79a2c53}
q7: {q7, 5d506748b8c9c956aa2f52d877a1624e}
s0: {s0, 09738cc3fd779d8d59e7e4cd9a56c233}
u4: {u4, c71176d722c44486cba9776ae8e44560}
r2: {r2, 085a82a0a9c15224ba53b59659ee4b45}
e1: {e1, f720bc2937f2e5a6fb20ff7e8e0535c6}
j6: {j6, 1c08ef55d764371673ded9602858769f}
androidx/appcompat/app: {androidx/appcompat/app, 924b50f4f4fb5912065f72d1870d06dd}
b7: {b7, 65182214824d49b72f02678c92ee4a4e}
a0: {a0, 58c6973a4502e59ca2d7830e9de6c1f5}
w6: {w6, a354efa650734581e6d35aa0f23a6156}
h: {h, 72fa22900f6cf38b1f3ae9f168434d66}
s3: {s3, d7b26182db6b200d8b55ee3592196cde}
x4: {x4, e29d820d26c477a39390429940a68cd8}
c7: {c7, 7e4f7ecff96566a4ce77e98f8db5759f}
p0: {p0, dac755c1cf7c926a75ed09503f0bf632}
p: {p, 70b107718bca0eb22bbbb68c3139b2f4}
z0: {z0, 8839992b9cf53cdb67b6d047db7a4c9b}
kotlin: {kotlin, 5397013de1b65019c066c7cf7d54e5a5}
h0: {h0, 9c6150864968de966d1f8eb5a715a44e}
i6: {i6, 6ca584da0d6cb1bdd36546a3baa85a64}
net/cachapa/expandablelayout: {net/cachapa/expandablelayout, 9ecce86bf1d1fea07e1fe91f5f461e80}
g4: {g4, 981bfe7d661b27fd62a6998f55b7a6af}
androidx/core/os: {androidx/core/os, f9658b3afd5bc8a8db21168d75f7f4ce}
s5: {s5, 3543c52eb7be2d992cea98a62bd4cf95}
k7: {k7, 6bb2e6e45aab84b2112311b0c17c0fde}
o7: {o7, d7c3a949097f15787491675ff4feaa14}
m0: {m0, ae788a27d77629fe63bf908602786b9c}
b6: {b6, 0f8f7c7a078d759b24b09d6263e42100}
v4: {v4, 654341d021a499e9ae9b9d34725d54f9}
l0: {l0, b534ad6ad15f14bb83db6bca228cd433}
q6: {q6, fac76d919d04e46b2cd19c00212ff513}
e0: {e0, 4969ee8ddb429abb5d187fcddc685023}
org/osmdroid/views: {org/osmdroid/views, 7075b8ae054ddd3282efe515ae1b7859}
okhttp3/internal/http2: {okhttp3/internal/http2, 8f68eaf456cd01412404113701cb4b03}
r3: {r3, 6e4a23680ce59087e2a80dda1a2b3656}
com/squareup/picasso: {com/squareup/picasso, 4060e2fde322a941bfe52488cff39690}
androidx/viewpager2/widget: {androidx/viewpager2/widget, e0ab7aeb79fca07899a6124a737475fb}
f6: {f6, 9869f9eadd2f76b63d0aa36da5c9203c}
j7: {j7, 950bf2c7cd2a5e1f3f967a8521fbbbd0}
okhttp3/internal/connection: {okhttp3/internal/connection, d09d27de6bf5f2f8a94a5abbed843c86}
c6: {c6, b2bef49e3529e5e1b89197b7cc13ea62}
a7: {a7, 8241c02bcffb63d679fb077a62043549}
y2: {y2, 99e1129acf5074fc53b025ebd3069537}
l6: {l6, d4c635281690774a772d87f1c90f35cc}
x5: {x5, 770e2b9a16a93a6ed3856bdbdb7d93a6}
d5: {d5, 161560afa0bac0aa0a4219f84e29c88f}
i: {i, 614d4da5799174f66cac1740bf59a2ae}
p1: {p1, dcbf91d254309dc72ce18cd6cefba2f1}
s2: {s2, 7c6304ead04a73976d5b9bdbaa642e6e}
g7: {g7, 4419a95dd9a60ebf431b324c3fda14a0}
q: {q, 02291c31849588534074ac7f93eaa583}
h1: {h1, 2203ffbef3609ba4ad53dd398127f4e4}
n4: {n4, e7b20becaf602e077dc3443f44f139a0}
b4: {b4, 9ca5786a450dd3a065020d8be91e99c2}
o1: {o1, 7edb2f2a52e8e367e02c472d1d9a1161}
i5: {i5, 12b2aa0da65fbaaeaac23186da73c050}
a: {a, aa9c04a185ebe82a0e39724b8e52620e}
l7: {l7, acace3adc9baecd3bf1ba1964e6a8ca1}
t1: {t1, 2b266982c44b56b2daea9c95c657d109}
androidx/versionedparcelable: {androidx/versionedparcelable, 41e4d97ac17453fb584b5bbe4d17e47f}
com/squareup/moshi: {com/squareup/moshi, 542dd9699021b2a489ba6c7d8f6e4a23}
o6: {o6, 7ff9475953103fea2291254243cb75cf}
m7: {m7, 40e5865010449df9a4c7c9e1d50e08d5}
j4: {j4, 1228d97782df8d5589a8f16693040972}
w1: {w1, 0b2b958abacf57762a376878ae0c5cb5}
q5: {q5, e381f6991873210ea6cc1b6be99b5314}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 9d4a5463ff6ca96fa7545bf74340a53e}
e7: {e7, e15858ed2eda351c788a81a9606e744e}
x: {x, 4df8c5f70a21607c960fe248fb479da4}
u5: {u5, 832208a68d05cad202c9117b1e3134b4}
k6: {k6, ee51e743223e868f1578937183c00460}
r0: {r0, 1b9c34b1ef0a46e970bf08fc49263535}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 2e7fabb849f212993d640208803193e6}
