androidx/appcompat: {androidx/appcompat, 348e4ba586086951c85786362ce9014e}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 05421925c67e132839579c07e310fd01}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 988ef92deaa8e44279017f7a9ae518f9}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8409ce40a073552f045a835bebbc8aba}
coil/memory: {coil/memory, a3330c8a6a797b461b6e4a99398678a5}
androidx/drawerlayout: {androidx/drawerlayout, 69ef5d7c1d536a08db36e9116966051e}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, a06e0b59822194579867fb21e8d1f2a0}
androidx/exifinterface: {androidx/exifinterface, a1c5aa823528497df8963dcd6f264533}
coil/decode: {coil/decode, 9578766f5ab44572217360e3a16254e9}
androidx/arch/core: {androidx/arch/core, 21c8ec1fc737baaf7d820141697af356}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/enterprise/feedback: {androidx/enterprise/feedback, 508b1a9af25c4e993fa9c8aba98d8f8a}
androidx/media3/decoder: {androidx/media3/decoder, 833810c053a1bced1018b6684504d09b}
androidx/biometric: {androidx/biometric, b5f9d797019dc39e180ea1598121a5cd}
androidx/concurrent/futures: {androidx/concurrent/futures, ea9f3a411d06cc12e5ed27af25fdfaf6}
androidx/media3/container: {androidx/media3/container, 42c0f9a0d1bac277488be609f43cbb47}
androidx/tracing: {androidx/tracing, 622e904ecb4466f446ce74c637c971ca}
androidx/fragment: {androidx/fragment, 65e0cfee0bccb241484dc3561a4c3acd}
androidx/media3/extractor: {androidx/media3/extractor, c5dc72cd8411f930e0f3229267f3b5ea}
coil/transform: {coil/transform, ad84b8ad7bfae9927ef636d89625009e}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/work: {androidx/work, 7a67dbdb5fe2ec7b3c7e0b2ee249a67d}
androidx/print: {androidx/print, 19eb2a49fdeda506e3391b1ebff8eabe}
com/bumptech/glide: {com/bumptech/glide, a238be5e151ba0348b2bc4bd8574145e}
coil/disk: {coil/disk, a1d0e4a4b44c6fc7268caf6b2afd4eb5}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
coil/util: {coil/util, ba44dd9eabb73e5c0b1cb80d5d2e1941}
androidx/customview: {androidx/customview, f30abdc9ab892ba2ef3404a1e1abe578}
