a6: {a6, 6b99c34c7352e0eb355630c966b59bc5}
i3: {i3, 3d714ce7727f3a7266afd1ef017c0282}
sb: {sb, 1ddfac9dc8cbe5e560d3d72b6817f48c}
m5: {m5, c6a476740a3a4b61c1e68dc998d5b725}
j2: {j2, 0c96d6404535483d30e972bb423478d1}
n5: {n5, ac4ee6e6630c5a6dfbfe48f68860f867}
androidx/appcompat/view: {androidx/appcompat/view, bf7cfb30b0151c077f2a1da350f15964}
xa: {xa, 68c5e1b77d896ecf005268da77f6b048}
o4: {o4, 8e99c70adf5744ca550096454fc08b46}
g0: {g0, d59b3500effda004d452a87ec44ded62}
o2: {o2, 1fd38eebf6c1a8f7546187b6d81885c3}
androidx/lifecycle: {androidx/lifecycle, d0bcad4a79493ba26da96fb5c7a34ffd}
c3: {c3, bf4147769c95f94caf81c03939c78b31}
h4: {h4, e904635ba32cc9d94514b6130cab461e}
ha: {ha, 72945cf125835e621fa96996707c160e}
t4: {t4, a65bd7d728c74d012d19985b47b30f33}
u2: {u2, 864ec3438eb788064111529a9a17bc2e}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
h3: {h3, fe4cf0f1a914175167b163e112d27c52}
yb: {yb, 25ad2ff892330256dc1fd918e7476ade}
q1: {q1, 96cc58425ed5487f87d1ca124ab925cf}
yc: {yc, c742b1ac49a5e8cbd098b097a5141461}
b0: {b0, 7c203d2e429c926e297c74738594056d}
tb: {tb, a88f43ab5439a9260674c8ad9e0a2d8f}
u: {u, 4492d22368e61588ca952d7701b389b1}
f3: {f3, c1eb68d327ea8514b788afaef47c2d2c}
oa: {oa, 1e0e6b242a424c7ca6fa906626c35872}
w4: {w4, 275c64468145633dea28278aafe0d437}
db: {db, 8086138030b63889d8c914926d6c6a46}
z2: {z2, 21ccc0b5f59cae7684729e387a0db2b8}
androidx/compose/material3: {androidx/compose/material3, 9321390537b94804b06a28e015f3a14f}
z5: {z5, a388c46f8ab6354fb73292e19364aff7}
y6: {y6, 8d6a406b8c877f034414d421b1de715e}
n: {n, d1b83178c4a743aa42fc8d78179655e9}
p6: {p6, e915387b706b2f1f096fef414b5a2b2c}
d4: {d4, d3870511ef6102c7095b0b653b263b17}
e2: {e2, 7135efe17027e10d997a31e386226a8b}
q8: {q8, 04d0ec925aadc50ced4329b91ecd7390}
y3: {y3, 8009e3b87bc67e8f5474e9bd01bb1eb1}
v5: {v5, aeb2742cfb846f8c39cf105769196bc0}
a1: {a1, aa39fdbd8dee8af7069c4ef609d23b84}
ga: {ga, 4e283549074d4ef9a8b7e8ba1d1c0a25}
s8: {s8, 7c987eec59809b99ac6d00961f01ce90}
x3: {x3, 555f40d19ee6dcd1f4c87b18378acec4}
k4: {k4, 310bbfbd998f4973c6e0f2145e588bb2}
wa: {wa, 8b98d7e76672ca81ed9d2d16c023f866}
g: {g, 21fddfe2ec49be12af1b6a4a9468632b}
n1: {n1, 54b82212d66b09a0771a7572188631a9}
i8: {i8, 31e5a78da42ddda2246c0280b709b5a6}
bb: {bb, d9b60710f50923ddd27ba7b908341f42}
j6: {j6, ea2c215e0a714c6c308c007769314a49}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 8c31fcb9848fcaa022fd59c1e904abf2}
sa: {sa, a666dc194a3baeb1f934e4e86246f6ed}
s3: {s3, 4df3c0e3e1584d3fc7187d00666d8b1a}
x4: {x4, e3300086e78ee639329ea15fd3744776}
a8: {a8, 0e1c73a9e07c61e604672b396ebf9883}
i6: {i6, d2474eb9f762f60031de57ebd3688bc1}
uc: {uc, 06cfeba8bff25f1b152dabccd644e0d2}
nc: {nc, ee51e743223e868f1578937183c00460}
lb: {lb, 398ec0df668b936323d0b95dc5eee1c6}
l6: {l6, d153e3f26035e3e456b6333903bbc32f}
u6: {u6, 8980b7fdb26fe37b2de4b34a24924ab8}
m0: {m0, 3025ec12722744c1be371d6baf214b3e}
oc: {oc, 26bc6a4924fd0e5c331ceed596395693}
t8: {t8, 7fb89212078b04bcf34b05357e17349f}
c6: {c6, 3fc279be7e56f89e45faf94eeb6f6a22}
kb: {kb, d443c4dce8baef743c7a5ce3886cc7cc}
l8: {l8, 04a41b6fd93427dbd15c277486b9f6b1}
q: {q, 3c3bd1a21ec15e029bacff40c1f6b298}
b4: {b4, fac7aafedfedd4ba163b2028ae5f2fae}
o1: {o1, ca7612310919829b59502e7b63aff9cf}
fa: {fa, 56d48a25b2a73b5285be730c6b4d3fa0}
t1: {t1, a18e55c4688ca7bebae147e72904d26d}
va: {va, 3ca621cb5042c0062c9731825093c123}
n6: {n6, 823c7792b77f6add58ae7d153c63efa1}
x: {x, f3ca463f86cd45c42fdb9465f03a15c5}
r0: {r0, 85d3db336d97adecdce3c8522f9b1d20}
p2: {p2, 2a4c4bcc0e9ffb7f2a4e03013e6f59b6}
d8: {d8, 925fd9578a32990cd33f35137c2d6f08}
j: {j, 58b9dcbb928a6d2bfdae45ee39ece6eb}
q4: {q4, b79a1c66e8b7cc98c22becdbede4b0b1}
androidx/compose/foundation: {androidx/compose/foundation, c1fa9174beceb99d742ed51c242ad132}
eb: {eb, c068195f363b7b27685c6329386e3826}
e6: {e6, 8b9d0a37de324ab1fe3c841b75bd4f8f}
qb: {qb, eac64005b0294848a139672c24a3a49d}
f4: {f4, 2c36d2b4b881daa45eeda2540b999982}
y8: {y8, 3869280ebe5d386e16fc02f4e0998ae6}
ab: {ab, d9b60710f50923ddd27ba7b908341f42}
z6: {z6, b6caf6c637241b532626199888307775}
androidx/startup: {androidx/startup, 72608a9d8e6beaefaa3657d10ce07fb4}
w3: {w3, 11e527acf5b4f95e19c65f2bf59d5ef5}
androidx/compose/ui: {androidx/compose/ui, 7b1eae9726f2fd3e644382cc321922e5}
d1: {d1, 128a011783c66f3a641833e8b1c12994}
c: {c, 13ee6a6b9e6f002eaf7fec401465e9fa}
k0: {k0, 16383f3fd529a813df65680a887c9595}
gq/kirmanak/mealient: {gq/kirmanak/mealient, 2d76981ca7e7fb0f5c390fdc637c0738}
ma: {ma, 4ff2fe5525cbd8866a9087cb147eda1b}
x0: {x0, 0866fd247ea5cf9d110eb91ce2fc73c6}
rc: {rc, 543b88bfae564c1455374dadff8c42b2}
xb: {xb, d929f084ffbad5d6fe11c9cabadd6c54}
m3: {m3, 32008288b5de3fcbf5e71cd30c54b7c9}
i2: {i2, 9b029ce1c8945bae7c02a7a55ef60f15}
a4: {a4, 68453e2193803f047f198e52e97cba3a}
androidx/compose/animation: {androidx/compose/animation, 148047809205adf06683057623645948}
j8: {j8, 0543f94e8bfe0d5d78ae348aff7ac7a3}
j3: {j3, c857d40a2db8815af09131426b3c4fb5}
m4: {m4, a42b48149dc74291ffc16d1c22115903}
d: {d, c5a06d8743c7520e41189c8dde0b252a}
n2: {n2, a2dc434426127fad73cdeca13c2b5945}
r4: {r4, 067d954af4e3673ad5ee9514cef7263c}
v0: {v0, 0d6e508c3b77fd26e713e76e24968b91}
org/slf4j: {org/slf4j, acf7ef943fdeb3cbfed8dd0d8f584731}
g3: {g3, 2ac032105c9cd943cef3070f14229ee9}
ya: {ya, 6fc2605ceec8960d5e22561e1defb629}
b8: {b8, 631e8c237df0dc340cd79b29fe4425e4}
vb: {vb, d9b6865a1d7e92082afcb46b175bb3d6}
h5: {h5, 6b3b354dcea4d97cf9e099a44e6725dc}
androidx/sharetarget: {androidx/sharetarget, 4be5f52cf09b1f9727bcf0d86c661aa3}
c2: {c2, bee8397587b11cc8848c257611ca5376}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
t5: {t5, e2d3cbf2c4b539813a202124e6020900}
l3: {l3, 1e373e4a05a299d4ab3e86b03a679251}
u1: {u1, 2f827a09531abdf636302c5303f3900c}
s6: {s6, 601bf2b2fb46513ae728a5dc48b68f76}
hb: {hb, 3543c52eb7be2d992cea98a62bd4cf95}
la: {la, 4decb790bbdfefe03e7c76ef43a1567c}
b1: {b1, bb69d74383f3e1c3302b983e2976c855}
q0: {q0, 559739dc9d67657bcc5b4a1e90e4abe9}
f0: {f0, 957152240fcb9502693eb36985157e0a}
c5: {c5, 87ea5964fcd0e2b69756a97c59b9a744}
androidx/profileinstaller: {androidx/profileinstaller, 9a134a8a9d902fdf4a7905ae7fb0a699}
ka: {ka, d6ee6445b9ea9cc3e825301668341cce}
tc: {tc, d5d1e8ba56aa1c753c58552b4e348e18}
v: {v, 539d9415cb5a3e81f1b1942473644530}
pc: {pc, 430213a995eeb7c46ddbf88d61ac6322}
androidx/appcompat/app: {androidx/appcompat/app, 032206a4a6147504f1be2203dd3c9fcc}
w7: {w7, 2ab22565f24eec147bf4c12aa3c2deea}
dc: {dc, a20fd20761f573d6d877aaec5e8ab732}
p7: {p7, 72164ae17cdcef853c274089406edad1}
o: {o, 57c82696c750611421145f990941b84f}
z3: {z3, 87fee05067a495cca2a775be654add6f}
za: {za, 30a059febd79ab1e270d8f5540972365}
y: {y, 3b5d8cf237d296399c0c61812f7f08ef}
q7: {q7, df171b22a10422d522c9614887e7e0be}
e1: {e1, 7ffff1cdbce41330f6f1657d3ab454c5}
y2: {y2, f375e34e522885c7bd7f5539403a98f3}
ja: {ja, 0bcb87a39aeb0b9378e1bd4c6979c34b}
z8: {z8, 888e55e136d29ba317b5a890b1f6e26d}
n7: {n7, acf7ef943fdeb3cbfed8dd0d8f584731}
a0: {a0, 4075f82a024605d2a7e3b0965f858972}
k7: {k7, 931bfa1f5c6e3f7eb9c5261153469dc8}
p8: {p8, 25dbce349350a7a6d760fc7955c41755}
g4: {g4, 6af85b85e41f15663e9e10662e399bef}
bc: {bc, 8314b20bf9454e916765852353e01eb7}
androidx/core/content: {androidx/core/content, 335813810e4a572bed07e96b06832afc}
a7: {a7, 803db9b694ced4042451a2d9c78c8c99}
r8: {r8, c8c008da952a75aa2d347e86697d7711}
x5: {x5, 93b7fd47e13b71ddc051367d40160a02}
s2: {s2, cf6f27adacb21a5d33542b8286893720}
g7: {g7, 1352625206e34e5884947e49f3195156}
l0: {l0, 514dca50b2c1dae09d03eaa320b3c8d9}
h1: {h1, ad4da523f999a3558bc81b704a441fa6}
ub: {ub, cccf9838050813d2cd544b81adf588bc}
androidx/emoji2/text: {androidx/emoji2/text, 8256d98b3ee5e3d6e3713ffcbf02077d}
i5: {i5, 840d7580b817c06330204cdc24437374}
ob: {ob, ff620676f2f4ca900b866cdc485e6a54}
l7: {l7, b148ec713c6bff604d25be1ec57bf394}
w9: {w9, 5381ac286a579fe4391e951fa87151c6}
t9: {t9, 4e9743b9545e1205a006d54f789f08f2}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 9ba063fb523762ce42cb2628c2de19e1}
u5: {u5, 1dc80d81985ebec4cb268b33e6feb6b8}
androidx/core/widget: {androidx/core/widget, f2114371cfdaebe84b9fdf1f676b5564}
c1: {c1, 7c7cbfe83bbe29da2279a77889c782be}
l9: {l9, bd2da88f997f6a34eeb3ebfc6dedcc6d}
cc: {cc, fee9c885bea7f52f86409ebcc8568823}
ra: {ra, 845aae5aa824e8265da8576cb5fdd795}
v4: {v4, 562fd8b987b59cbd10d1022fe08f2f0b}
o0: {o0, 20d41a50b90dbf063a4496a663624b80}
o9: {o9, cdc1df7483e19ac5b39a6c99463a617b}
t2: {t2, 62b09cc6f8255901069bda892248dbf9}
r1: {r1, 28199d3209d72fc11b999cbc4c07ecb1}
s5: {s5, b99b52410396d0bfbabc13e832a99c19}
d9: {d9, 097b4cdbf0a2d7d3c485af558f8cf323}
k: {k, 54ea87254d0e0dcf2773c4c52a06c956}
p3: {p3, 4357bc828390769e5e7d49ea2cf95cf1}
e5: {e5, e4baad14a1a6c3251fffa61d9ae25755}
b2: {b2, 83cfc684c43d84e862163fe48a055cfc}
q3: {q3, d9b717359015cd06dd1a005b4cd9d80a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 65f71af3a774b7902732c71199f0fbde}
r: {r, cc733617d853418926876d42d2508bd2}
qa: {qa, ff8deeb2c8cbaf1bb97d426d94cb325d}
f5: {f5, 90a81189378f4f486b8a12f2d5f77c53}
g9: {g9, cc11f5ce9475283f8ac659eb9f924932}
gb: {gb, 5ede2611a27f2e922ea03f7d095f3b9a}
v8: {v8, 3308f8f35b6880f4ae8e7f53455ceb34}
zb: {zb, e34ce4179ca74912c9926196c2e7321c}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, ea66dc99d47a4f4c4af8704fe80a42cc}
aa: {aa, e2f3c96c4c16e64f98b27f96219b217b}
z7: {z7, 0ee42b35e36b6cd3761a194466fec193}
k3: {k3, 76873a3bd34f69f29be98a668f4f2620}
p4: {p4, c65187751a8aca691524ad7891c24549}
l: {l, b58dd6ad98f852acc542c338b1800e2c}
d2: {d2, 9acac71abbe88b09f01df2d29e577fee}
ec: {ec, 0fb01c242eebcefa7285da3c7c672cc4}
x1: {x1, b82c2dae05d8cc63bdd230e794ae6c07}
y5: {y5, c6370fdd3f148225823364d72a42390b}
xc: {xc, 0e160f0c52b7851a329e4b94a679613e}
m2: {m2, 17be2266b601554190f57d4c97b0338c}
j9: {j9, 15e75651403490759130aee2a1445082}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
n8: {n8, 10e6fced412253c2db0999d6f62846e6}
o5: {o5, 9e5893dd322ce48e849db3a14e5eab18}
a3: {a3, 2485f9098cf86c7629384054815fa45a}
androidx/fragment/app: {androidx/fragment/app, 7df5e0ff1db40ad791cab2fca9ecece9}
j0: {j0, d32a133de3ee878ed5fd7bdc1505b3e7}
n3: {n3, 5a9c6b5c60b9f19e6ffe74924ac1be77}
x8: {x8, 485766251a3f01851dccb9bb301756ff}
jb: {jb, 28d378f153f89752a34d2dbd45f4f860}
u9: {u9, 719f8eedee3b1d305b6ef15f543a4032}
pa: {pa, 2f33a4e2957688717634c500f3d21234}
v1: {v1, 283371a2c461512ccd920c5b7eb87965}
gc: {gc, 839b145282b828a1c67b88b87027e784}
m9: {m9, b3746fd14e271fdd0c0ed8d4680483ef}
r5: {r5, c15aa7c988509fd15afb86c0b6842a79}
f8: {f8, 135e5960dbee5f54904a24c6d86d48e0}
vc: {vc, a767bd6dbae11c12d87496372ad40897}
g2: {g2, 4105af1de8a7bcac9da7db44ccc7b6e9}
h6: {h6, 455e7533659d688c8b003e6813203ad5}
u0: {u0, efddfe26d2e898edb8ddaf4b41cc2784}
pb: {pb, 2fc8c93124d57509c5a10fcff140df43}
i1: {i1, 2faa7b337e0035f3c7db2316505d6959}
v6: {v6, 8f22342a0e1a2e87eff293fac0c9dce5}
l4: {l4, 4bf2d7784375636f40a7f79a8c019204}
s1: {s1, f0ce330a3e878b7d4e2baba261480e14}
t6: {t6, 4a9de622ec535ed5f31b656784f2de2f}
hc: {hc, 8db712a785c2f18d6b4f0a4f05ffbe59}
fc: {fc, b6609d207a37a8e8279f281d2f77aedc}
e9: {e9, badc768142de9f6b4fa61078d2bd59eb}
b6: {b6, 944d5aa3d96ba381e5b3b6c8c25efa76}
c4: {c4, fd216d8b4c49056c7bb8b04df10b3e0e}
f1: {f1, bacea6b5d27559f002e4479520fff77f}
w: {w, f57c0638e1a698a320385d480b8318e9}
p9: {p9, 62147ec90362151db4b9c9d24061c49c}
b9: {b9, 196fa71ad03fd5f930cf0b60f0f161d6}
com/google/crypto: {[com/google/crypto, com/google/protobuf, ], 4e44273653c972fe30c70f8c7aca40a4}
r2: {r2, 10a536dfce6caaf9f328ef50c7944f42}
w6: {w6, acf7ef943fdeb3cbfed8dd0d8f584731}
h: {h, d68365868df2d990109865bccea7516c}
d6: {d6, 63428bfc7d34f2b0a03a3f4d2f3336f7}
p0: {p0, f3f24f1b57e878990d30cecda3017247}
z0: {z0, 8994bf0bc77f4c3457ff26f72553b883}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, c35dbbf0c91ed16ceae04a77e848f7c8}
q6: {q6, df6298ca416d216a4d7ed61f9fe09188}
e0: {e0, 6d915ffe9f18ed640a467424fb2394c7}
z9: {z9, 39f2a9b8b84a2d693995bedfd4fee2b3}
n4: {n4, de233aa1ba72e0c8d0c09d84d0ae03b1}
k9: {k9, 7dae789806d6af0ad21782943897512a}
y1: {y1, f4e55ab72adc5f0d4476ec8640483c60}
a: {a, 78cfdf251d4a21f7ea117874c9c18e0d}
ib: {ib, df1d20d8818ba3182ef4dd6d8d556008}
wc: {wc, a3cf241a3884114a378a5bc8943bf300}
j4: {j4, d89c995a26eb53dd546a7d87bedfe958}
w1: {w1, 1dcb09e40b298e02e4c20c018445b5de}
k6: {k6, 58a5bef283a1b529a7f6b3194254914a}
