androidx/appcompat: {androidx/appcompat, fede920c5dfe39bd2d12e0f34adf1bc6}
androidx/recyclerview: {androidx/recyclerview, a54b36fc82efb7686e58c011eeef5ec7}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 34144ead163e927e1ad8e3934eb55f0b}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
kotlin/jvm: {kotlin/jvm, 780a19b2534af43385682a371394677d}
com/readystatesoftware/sqliteasset: {com/readystatesoftware/sqliteasset, 997ff51ed5c678c6817981da3fc01c55}
kotlin/io: {kotlin/io, 5cf6f3c6df46742d329dd953f477f33e}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/profileinstaller: {androidx/profileinstaller, 56e264b0aacfe9d185fa2dd0f1d30eba}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
androidx/drawerlayout: {androidx/drawerlayout, 987e4ee6a3ff40904c8285b1897fbb51}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
kotlinx/android/extensions: {kotlinx/android/extensions, 0b673089e13ca677ab8987ab281d2f03}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
kotlin/properties: {kotlin/properties, 7b17590e1bdfb31b39aa5a28d044ff56}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/sqlite/db: {androidx/sqlite/db, eebf6c259720393e18b50080c5adc92c}
androidx/concurrent/futures: {androidx/concurrent/futures, 7b929ee65567b82a978992a4de58d565}
kotlin/collections: {kotlin/collections, fcd341d4129ee453d8afb290ceb0bd7c}
androidx/fragment: {androidx/fragment, 87fd7199f3a5c256d7cf53ee45e9b7c2}
kotlin/contracts: {kotlin/contracts, 9c8bef231f249be25df528c988e85561}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
kotlin: {kotlin, 8f693abf125329860831380027eb02b7}
com/readystatesoftware/android: {com/readystatesoftware/android, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/coroutines: {kotlin/coroutines, 9808dd7389ac115ee75ab108006f589f}
kotlin/concurrent: {kotlin/concurrent, 99ba8644906ccfda6477d1c9eb73a56b}
kotlin/comparisons: {kotlin/comparisons, 61434e7dbd45b22a88ae8b98d07f5663}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/work: {androidx/work, 09402f335effa647f239db106218338d}
androidx/legacy/app: {androidx/legacy/app, 0ce703508e0e2ea7f9a977858f898a97}
kotlin/time: {kotlin/time, 0289e24cd3c829d389aad7f32f56b067}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
com/bumptech/glide: {com/bumptech/glide, 38b9068e6c7dcda8cb333a758bf2cfca}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, 18b445c1f9d3a73f519ab9d49c7407c9}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlinx/android/parcel: {kotlinx/android/parcel, 13f0cfdf13e7cfed1d652dbc45ca907c}
androidx/customview: {androidx/customview, af2508fb39756721d8e6296be514d7df}
com/shawnlin/numberpicker: {com/shawnlin/numberpicker, 4e5692078bf7413fe44ab5622ec52e94}
