androidx/appcompat: {androidx/appcompat, 4e7a196637d2f880ad2569d76a51389d}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
com/google/common: {com/google/common, 300ab078b1d605e0d12e26972e5eecb0}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, 14fddd152630b95be7a412dacf7b73c6}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, b04bfd20245c18f857bf37c864dadc6b}
com/optimaize/langdetect: {com/optimaize/langdetect, c052994404c6391535ba15999477aafb}
androidx/exifinterface/media: {androidx/exifinterface/media, 2a8d87d45f41bed70778ec2b54b399b3}
org/jsoup: {org/jsoup, 9128f48259f2df68f66095f7b88d605b}
okhttp3/internal: {okhttp3/internal, 26d37b87360671b439efd4e0816c98d5}
com/bumptech/glide: {com/bumptech/glide, b6d443ea60de789f2a6c08da94e528f8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 15f2d792165ad1aeebc5642629647ea3}
free/rm/skytube: {free/rm/skytube, 1f92530439c5cc17dbffaf3c1fb88803}
kotlin/ranges: {kotlin/ranges, 6f25e4ed2840947ffa1876cd4c7d0a0c}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
androidx/recyclerview: {androidx/recyclerview, e7c83a2f9f6581db3323617801756b7a}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 51c9c4f4f7748a807de770182760a30f}
okio: {okio, e6f9f17e8e4bd026eb39b0bc4bb48faf}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 3d1e3d9250b7f191895859e431d4283c}
kotlin/jvm: {kotlin/jvm, c8bab481d447c9a09feebef9beeb80a7}
androidx/loader/app: {androidx/loader/app, eea82b838c21a3f3b73fa3d976b55e88}
