androidx/appcompat: {androidx/appcompat, 9c99c4e1e50d45880d563ff782821e9e}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, cf38e2ca99c27c0f5265ce89f7268cb1}
androidx/media3/session: {androidx/media3/session, 0e9480b6c9419d912be0924a237ed923}
kotlin/reflect: {kotlin/reflect, 30fca3c14c02be01bee2c6c9c0108bda}
kotlin/text: {kotlin/text, 17e51285fb8fc57ab4c71139e35ec41a}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, fd135f517749dbee6e871d245d09005d}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, f3223e50f25c792b8a71bbd357fb0188}
androidx/collection: {androidx/collection, 1be73b16fdcc0c20e21a578e0fdc939c}
android/service/quicksettings: {android/service/quicksettings, c4e9eeb25e17c46354752ac4239a9772}
androidx/transition: {androidx/transition, 9abb26e6bf249a6e68db4ce38a723917}
com/bytehamster/lib: {com/bytehamster/lib, 774707dbc43dc26a884e7db36a773bbb}
androidx/media: {androidx/media, 2288031319d48ee4ab59d4dfe1ee6f32}
com/google/android: {com/google/android, 3fdbfad11eb39c4d2edeed1d04f090e2}
kotlin/jdk7: {kotlin/jdk7, bf78859827d5a086e77cdc38f114fafe}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
com/skydoves/balloon: {com/skydoves/balloon, 8ed1a2f57c09f7d223212b104bfdfd86}
androidx/viewpager2: {androidx/viewpager2, f0c60c0e52f08b4f7122d21eb67bdb16}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
androidx/recyclerview: {androidx/recyclerview, a1e799321e5f397475d4307e84dbc3ce}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
androidx/gridlayout: {androidx/gridlayout, 55cb780e0f31652c62a634279e3a6dba}
kotlin/jvm: {kotlin/jvm, cf1433bf7067665b41251431a061f334}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
androidx/profileinstaller: {androidx/profileinstaller, cf984c057293ce02d64761f68174fbfa}
ac/mdiq/podcini: {ac/mdiq/podcini, 9570fc4d994bc0f176ffcd5f1c2fda42}
androidx/media3/exoplayer: {androidx/media3/exoplayer, b9b7f8966937d594808ae931a2594a16}
it/xabaras/android: {it/xabaras/android, a2c5ac48f3fcc4faada8f08362e450e0}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a8e3cb9196ae4e8c11c31aaea27a43b8}
androidx/sqlite/util: {androidx/sqlite/util, a150d4af107a15f4a5b1e0ca63c1668e}
de/mfietz/fyydlin: {de/mfietz/fyydlin, 4cd4980913e25846184d46c970ae2dc9}
androidx/drawerlayout: {androidx/drawerlayout, 5562bd44f7c5607842680e6c31215c56}
com/squareup/moshi: {com/squareup/moshi, c8c19978a91d55082b32c8536f4416dd}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
androidx/arch/core: {androidx/arch/core, 115db4cf1857fdd953e60c80f260c4f0}
net/dankito/readability4j: {net/dankito/readability4j, 4caa099d45f48f0f03f0c82036e48a28}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 669bb5d45f9a908629310fdf41f8b54b}
io/reactivex: {io/reactivex, 6911013dd9aad976affe2dd90d7a354a}
androidx/media3/decoder: {androidx/media3/decoder, 4b331eb32c0e51f55ac6df8d8b8609d3}
androidx/concurrent/futures: {androidx/concurrent/futures, 31029367abcd4f2e1a51e917b11215a5}
kotlin/collections: {kotlin/collections, 739008ccf149fb2268e35fc0d9a57320}
androidx/fragment: {androidx/fragment, 723a82d8fed6dacfe4df02e4bfdd05cf}
androidx/media3/container: {androidx/media3/container, e5043023564618ce7d4c2c2a3da49f79}
androidx/customview/widget: {androidx/customview/widget, 0b4ab0f4871e6dd3b8efa9ef1ba71b12}
kotlin: {kotlin, 6cf0d9223f195649ee1549bffbd7d90e}
androidx/media3/extractor: {androidx/media3/extractor, 5226d88595c549b2847a1acd39015cdc}
kotlin/coroutines: {kotlin/coroutines, d97714352105d41fd41ffc437cff87cc}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 3663e9a36101f6814221fa5ee216cabf}
androidx/work: {androidx/work, 561e14fe24e7225061e8afca9ea206e4}
androidx/emoji2/text: {androidx/emoji2/text, 8f89bdaa2875763388e91fe02240aca0}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
androidx/exifinterface/media: {androidx/exifinterface/media, 192f1466fd989b62e812f8429a4ca832}
org/jsoup: {org/jsoup, d41d8cd98f00b204e9800998ecf8427e}
com/bumptech/glide: {com/bumptech/glide, fc874a6435a95f95f480c797d4709887}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 2a85826d987072cbd17d47122422e0f1}
kotlin/ranges: {kotlin/ranges, c219c025e9103ed5e876aca4c0b6dfea}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
