androidx/appcompat: {androidx/appcompat, f0aa611b613101eea7dec2f49e8ad298}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 00e5645c39b2eac0e5f034808fdbd6e5}
androidx/sqlite/util: {androidx/sqlite/util, 8176854d09a46848f8051008e874b50d}
androidx/transition: {androidx/transition, d65051bd0e67d0cb08664dd32a0d1456}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
rikka/shizuku: {rikka/shizuku, 6811851ab94a6fab9e8677fb93317c95}
kotlin/internal: {kotlin/internal, 2e42d355d810b3cbdeca0e0839e49a71}
androidx/cardview: {androidx/cardview, ef8449d2cc58366dc605a98c8fa3d341}
com/google/gson: {com/google/gson, 224c3dbeeedaddaf09252e3a6d807853}
androidx/arch/core: {androidx/arch/core, 23265b7ed47c8bf5beeb4bd00a33a6b1}
io/github/g00fy2: {io/github/g00fy2, 1ebc3071acdaa7a064e7277d8aa68858}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
kotlinx/coroutines: {kotlinx/coroutines, e8c617f3729f8bac1d5ec89edb4eccec}
dev/rikka/tools: {dev/rikka/tools, 2e68f5ad2f9e58db10162bd6b3c3f551}
org/lsposed/hiddenapibypass: {org/lsposed/hiddenapibypass, cc82208ee59e5b49dd3124224ac9a4bf}
androidx/compose/ui: {androidx/compose/ui, 716012f93b1e764f64f0de3d8ae94f1e}
moe/shizuku/server: {moe/shizuku/server, 4f59ad4d93915416a39261f82da8393f}
com/google/android: {com/google/android, c85b2f4ab35a3f8e807f3fb7ddcfa8f8}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 4cf089de8b03f12cb9168ee563181073}
kotlin/sequences: {kotlin/sequences, 0579bd25e9838edf8d6305c782eb9475}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 35e8aca7f6705a92d9c473b91501f038}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/emoji2/text: {androidx/emoji2/text, a39adc4f048193cd41de8f0934d5303a}
androidx/work: {androidx/work, d523e269f9e8e96f1b9550d0031dcc24}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e2827a7e4da21e9e79b934c0323b11a9}
com/topjohnwu/superuser: {com/topjohnwu/superuser, 0f6c7d569be349bba47c1660740f3996}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/savedstate: {androidx/savedstate, 03a93789bd7be32648b2887229973c23}
okhttp3/internal: {okhttp3/internal, 5ca49eeb3b01f36eee20fe148950d663}
okhttp3/dnsoverhttps: {okhttp3/dnsoverhttps, de69320f0cc3c9fb5eb3b385b880c0be}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 49d07c21c8ca1c5fd30b1a53ab37e9ca}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, b6ef666a9619ada5eaa1c29d93223540}
kotlin/ranges: {kotlin/ranges, 80351d3d0519578990f64ecf572f01a2}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
okio/internal: {okio/internal, 152ad1c568c83fb7d47db8e55fa584e1}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 87a5475eda4fe24cc4c65e2293fe8d78}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 770194d8a9c86d198c8a21d01927d3b1}
androidx/concurrent/futures: {androidx/concurrent/futures, 2fac66b457b61ed440208d2dfe4d6dea}
okio: {okio, 08ae979aa82d018ba53e94a5ba52711c}
androidx/recyclerview: {androidx/recyclerview, 098180771af9e2f8835bee5a7f0b78d1}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
kotlin/jvm: {kotlin/jvm, 64d36c92c9a00f2fc50bf495d9b5fd95}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
