p2: {p2, 01dbd3eeade954720e460904984789b6}
b2: {b2, 6f2c28c5333be04fe3bed59d2ff1b336}
q3: {q3, 173248ed76520952086a223ed9759778}
androidx/cardview/widget: {androidx/cardview/widget, 56fc3db0c3ba8e95ab68df79fde130ff}
l2: {l2, a18aa0a4e3a91ae95b566dc21fa8655f}
i3: {i3, f40ec34efad53652609e286f9ff8b5d4}
androidx/core/graphics: {androidx/core/graphics, c760ce7a900678f5913f006f846068e0}
o3: {o3, a6b7561d97049782aaba0f930aac7285}
androidx/savedstate: {androidx/savedstate, d589a11361f32fc88bf793d6530df4af}
m5: {m5, a1332fd1a7115f01178129ff59fb6926}
t3: {t3, 186fc9d1973d0a621f319fa367eb799c}
j2: {j2, 23dd71682bf3afc067e3f833bc31597b}
v3: {v3, fb00d629314580f8e7858a6c182d62de}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3fe0ae13af31a47535b483c0f12513b7}
h2: {h2, a529000c1aa51feefde996316753172f}
n5: {n5, 84d3caa4e56f0a928c52d1b1e66b19c4}
u3: {u3, 9c3ba11cf5e887deb7b358c04b643a35}
r: {r, aca419419be2f1cfb1a65ce48ee3b275}
f5: {f5, 4934d5f8778e765c7b7074e78deb2a59}
androidx/appcompat/view: {androidx/appcompat/view, a31f4b3e0172d6452cbd5fad9a05e2ed}
w3: {w3, 88c7556809c63349b5ae302f9a137ce3}
z: {z, 9649234ef75a1d849befea417777fff3}
androidx/compose/ui: {androidx/compose/ui, 9eb762c1dccff3fe2728b3cc8ef9a510}
s4: {s4, 1debaade0c7cc68934eb75b16f5d28bd}
c: {c, d11c97e1eff29a6517157548e7b8b6fa}
k0: {k0, 57c8dfb3b43dcad24a91e51ae86d2844}
androidx/loader/app: {androidx/loader/app, 28ef0c65c62ae8000d09f2ac214158dc}
g0: {g0, c3ec40aaa48a62a2a62a73b5a56241af}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
x0: {x0, 3e26496d8832657a912e3876bbcce547}
b3: {b3, 82c557326a22a5d858319211c86774be}
w2: {w2, 4801b616271a60683751775f1a374b12}
q2: {q2, f376a323b1b26ac691ff86a020e78f81}
e4: {e4, ba85bfaaf60ca2cce50cd84a63c166b1}
o2: {o2, d9f381c4b33857b851019e95edcb0b6e}
m3: {m3, fa9cb5fdb14ea0505d76c70b934b17e8}
i2: {i2, 60f8f0b0fb0aea3a2fa32170e11f6772}
androidx/lifecycle: {androidx/lifecycle, b3d1fc5f7a213520c80083691620cbd6}
inc/flide/vim8: {inc/flide/vim8, 3f7b2ae34a7cf172ac038bcb7894d4e1}
c3: {c3, 3bb125d34032eddf7f50bf4a055f1cfb}
a4: {a4, 80f0ae8b75c5dee32b80e4fa371fb1df}
h4: {h4, b8d4a440e2e3b285ff0d1f50bc066268}
t: {t, a0061546d46ab97809293968afab3ad4}
g2: {g2, be8a1232ff86b541d65bf0458e04d236}
j3: {j3, 56f8c76d722e4986be7da1eaa0fec7a5}
m4: {m4, 6ed68dc81a1a8166f13b3d20698f8b8f}
t4: {t4, f2b1d897d77c6d77b9b1d840f7296839}
u2: {u2, 77cc9060bf64d2c5b4dd80e989e275a0}
s: {s, ce2a8b21ffe9534c4487ed7751a1f60b}
d: {d, b310a262ed6afe93a5181581fbdfafa5}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, e3364d300104ee27a845a50f08b6deda}
n2: {n2, 34073a59499b6694810a3ed4138d03fa}
k3: {k3, eccdc4290307c06324ccbcd46c073a6e}
p4: {p4, ba1338071f22ed8b334a1e2b12eee4b9}
l: {l, f913845b1a7a3eb06f4abec5f75bc0ea}
y0: {y0, 062dbdbd7f2957ab5ae70a65ec7bee3c}
androidx/compose/material3: {androidx/compose/material3, 3086fdbc94853f0adf7b2d56e4385a97}
f2: {f2, 3243e2cbfa927264d5720aef5660425f}
v0: {v0, 2f08775e74b07f0e2a635fb3109bc733}
d2: {d2, c5a0247884e0592c5d146997638c3c58}
q1: {q1, 74333f0c09fb12d60cff764d95569196}
x1: {x1, a22251385a5918d2830e7fa29fb03a09}
g3: {g3, 0d55d8b89745af1044a73a9ccaac4685}
r4: {r4, 93123d6dd3e3a05b2178e686926c639f}
b0: {b0, 2ff1351d1fbf060155c06175089a22d5}
m2: {m2, a0cb5283a2130da1a9e432fb674550f8}
d1: {d1, 1bebaf33b167182ccdb348007735e61d}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
o5: {o5, c9c00912d2fd88b13d521d7e9dd42c0e}
h5: {h5, c534a4179bbdccc27ac8e011090acc72}
androidx/navigation/compose: {androidx/navigation/compose, 40252e1b1a8adad874196224dad2fdb2}
c2: {c2, 60d82990d4d58b886026cdf7e7666d46}
a3: {a3, 484537e8547c26cf0c78d4ae7c95288f}
z4: {z4, 5561def40c57f3df464303c2d3bb740d}
androidx/fragment/app: {androidx/fragment/app, 7a4a8d1474e86eb332aacf8465b8496f}
t5: {t5, f404a0ab7cd421f834cc38fa16e37ab5}
j0: {j0, 1ca5e6d946ae061691bd6032d176f828}
l3: {l3, 6953d8b8c0af469640ada32a02f8dfa6}
n3: {n3, 7019e4b24ace1958e5daeece19e35297}
u1: {u1, d7e208ba524b668e35c153761f8e2884}
e: {e, 08ba4ece355069103ca7dd60d87cfc48}
p5: {p5, 612824753883a4549057e57a55e4f3fc}
d3: {d3, 7ac0372ba817a7951213bf6c443a482d}
l0: {l0, 0f076eafb33543a5377424e900d9512e}
f3: {f3, 9e84753bb1136326fbe798d72a695d3b}
k2: {k2, 41632183e592bfc942d889ea2ae838f8}
m: {m, 63f3ef93ace13885f77cf377859a7a9e}
v1: {v1, 0caf0845bc212605c8bf4f488dd241b9}
y4: {y4, b0d87cc2dd462d8b91cf9b7c38c11478}
q0: {q0, 2ffde2a3d5aee5bdd703128abb368d36}
f0: {f0, 04e52ce09b27d4a19de9891acdb364cc}
c5: {c5, 5d94432772951e7d5c949cfd53312116}
w4: {w4, c706d0bdc996c6d13c1576824e1516bc}
androidx/profileinstaller: {androidx/profileinstaller, ed69bcbebf08e135e17bda3aeb8b0cf2}
r5: {r5, e7f920557604074916542a1ed59f5ed7}
z2: {z2, 0f8f7c7a078d759b24b09d6263e42100}
o4: {o4, 1c15cbdc99f16f9b0704e6b02d3ceeaa}
m1: {m1, 2942bb59c4e5085a182ce22298090c3b}
androidx/emoji2/text: {androidx/emoji2/text, 7316e9be186a2ee53a0fd0ef38a1dddc}
x2: {x2, f61cddaaa2f56ab0b4328def3585d1a6}
v: {v, 82f1ee1cb3eb8c4b673dc7b4857a665e}
a2: {a2, 19eab23cd5aeac0a1e81a124a5e087d2}
androidx/core/text: {androidx/core/text, 168d379c4b17883edeee040cc656aebe}
androidx/core/app: {androidx/core/app, 399c05c98cad761639e583e29a87e818}
n0: {n0, 8a0c84baaea1fa975fda679f3966d5d8}
u0: {u0, 2ffa5cfe3f66d9bb60ee196ac72ea155}
k5: {k5, 753c6f66be1220026373253918d71e7b}
i1: {i1, 398f242a67f0d342d7908ee24e7bb06a}
f: {f, b3df28799a691daf8bf30206ca8ed0e1}
l4: {l4, b09726b8b096919443247bc5142aef43}
n: {n, 359364244e7d1a3acc84cb71e3c7e37e}
d4: {d4, c8e03b5c81ff2190fb73b060b93bf5b7}
e2: {e2, 7987e12b47c7b2ce4516917ac7da56bc}
j1: {j1, 8a2692997ad0b2a6478bdb677223b9cb}
u: {u, fb9346192a839560d28f5a001622527d}
y3: {y3, 17752426c396185f3ee4e466e688daa6}
c4: {c4, 752e947060dfe17ae0ac892c872aee76}
s1: {s1, eca529e8acd1f03259a82c9bb2710211}
o: {o, 8938989da76be4c44217cce25e8b730a}
f1: {f1, 2f712911e7c9c8988a1c2a533e1f57e3}
z3: {z3, 55060ffd8dd6bc1ea6638907aed6dc36}
a1: {a1, 3c6d6db8bdb1cc9046c06ce0e47da526}
w: {w, d38551b9d4de9761c3abe7029eb58e62}
kotlin/properties: {kotlin/properties, baf516873ec87c00a487a4f0db9d9c22}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 1b8acfb1e773bb36d2fbb35d5266d2a0}
x3: {x3, 2210683af49b8877f4d763bd478002e7}
g5: {g5, a47af7872924e02d4769103a3e02d95e}
k4: {k4, 8c4ae69a86a81b2bdd59ebc767874098}
y: {y, b4bf98283b36ab97b1be7b2e9aaa898b}
g: {g, f27d4608676a28d7251ba8a6d5be40fd}
n1: {n1, 4a5906cc0ae7daf449f383a52d6022d8}
androidx/core/util: {androidx/core/util, 0908374a426ebda684873f9edfa1c3d0}
androidx/appcompat/widget: {androidx/appcompat/widget, 9ca7fbd45cf7a42e5dc425acd720306c}
l5: {l5, c9eadddcd88d4df853e5cabddf3802da}
i0: {i0, 99db2a665b33c360f08aa849ed440338}
s0: {s0, a518b97066a5ac2758257692f685f2d4}
u4: {u4, 393e1ec3d950d70a0298603b0dac8ffa}
androidx/concurrent/futures: {androidx/concurrent/futures, 5da5bef0eea74c80e4908a7e3d5d0647}
com/networknt/schema: {com/networknt/schema, ed22a4594ddc995f6314db7e19e62733}
r2: {r2, 5f012b6bcc54f4fd69b73d0839ca9c4c}
e1: {e1, e2408264d535d022e4b9bcc54f306cdf}
androidx/core/os: {androidx/core/os, 160f768b92f566dbd6df24f41dfa79c1}
androidx/appcompat/app: {androidx/appcompat/app, 3ead4d3a211c140516b53f295750a390}
kotlin/collections: {kotlin/collections, b252f9e5a9bed9ea6f4adb9f91c29765}
com/hijamoya/keyboardview: {com/hijamoya/keyboardview, f83fcea2931ccf5a1134420697a0e0ee}
y2: {y2, 629e268117cff80d2c4182aefcae3617}
kotlin: {kotlin, 6492ede62c593cfec96763b5ed9d1535}
h: {h, 9108d4c970cc4f5cb66efb38713c3224}
s3: {s3, 9a6e475d917c6b633443b8e0ec4f9861}
x4: {x4, 4ea33a4c965d3aedab483b6939e1c176}
androidx/core/view: {androidx/core/view, a6a0b88b45a945eff0af036d09cccdae}
p0: {p0, 3b722e9d83bb7f7cb2d4bef1d9b97fce}
p: {p, cfbb3897559e94a1e9e48bd69f6ab476}
androidx/core/provider: {androidx/core/provider, b35b315c5c3a65a62baa5e0503e6ab47}
z0: {z0, 80b6353ddb90f6323927b6f6ab5cc159}
a0: {a0, ac2a995b08f7a538818393af64c9e3c5}
h0: {h0, 1115b9cf650dfccfc15e7ae81157af4b}
ch/qos/logback: {ch/qos/logback, d648c65be7cee4ce92c28a2bb8598b59}
g4: {g4, 75bad0ddf381a054246475471ea2312c}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 8a169a80fce4d579a2812925709d90ed}
s5: {s5, a166943e6ac70fbf6e12eea7f36f156f}
m0: {m0, baaf8fdec9cf51680e992beead8a67e6}
t0: {t0, 1005168024bcded97094f3c159b57445}
v4: {v4, 7956425c331617d728d1616a8ad08f4a}
e0: {e0, 3c1485b7e5bb639c05d78fcb410625d7}
r3: {r3, aa0386553870c82fe77a06da38919487}
androidx/core/content: {androidx/core/content, 322e114169c967a9bad71370e3234877}
kotlin/reflect: {kotlin/reflect, 942f2d15595cb11d414753d733a71cbb}
d5: {d5, 88d2ec2dc4a2abfbc0413730720e4558}
com/fasterxml/jackson: {com/fasterxml/jackson, 168cecce3120179a9ca1f35993bf5635}
i: {i, c230f65a13eb4a759e885433d1c2ceae}
p1: {p1, a8fbee126a2290d1ecf6cc486812e345}
s2: {s2, 25d4ee2dadbc9cf2bf5e0f55abdecab8}
q: {q, 5a50b2f89b72e3570c1b4c1c04b192c8}
h1: {h1, 43a99caefb4285b2d703f12eef59ad2a}
n4: {n4, eb447aea85552596a5d64d5cfdab6d72}
y1: {y1, 4e7e5bc528abd776e579e1f85ad40bb7}
o1: {o1, 272d15936133125c117249f0aeb06b59}
i5: {i5, 6e8a4124dd1d5166d87fda2fb9ac28f5}
a: {a, 7b1966d2c3c6fee928cfa77516fa5dac}
t1: {t1, 6fb3328649f30f6cbdc1316279994c61}
androidx/versionedparcelable: {androidx/versionedparcelable, cb747663c9006500083293412c69ef1f}
j4: {j4, 9e146a55c30b76f53f1181d8f7aac602}
w1: {w1, 5a3366353a7ee039c8c17ffc35d80c52}
androidx/recyclerview/widget: {androidx/recyclerview/widget, f725ad29de1cd5c6b8570a0ce36d4a69}
x: {x, ecf91a7fc1b8be1fd27140f0a1fbc2a9}
u5: {u5, 5f87b592bd8029da47d0b7429174459e}
r0: {r0, 866fe0517b86965507bef7c8ac9a1e3d}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 15dbe701e85736098acf2b682138c908}
