androidx/appcompat: {androidx/appcompat, d6455f2d060022b953b6db8ec80a4c3c}
com/h6ah4i/android: {com/h6ah4i/android, 4515f5e6b02ad7faccddf5a8df0bfb72}
kotlin/text: {kotlin/text, d267f76bc3a6bd7524188b1d5dca9180}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 17faf664d63ba17a14a4caa8a0619b5c}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/time: {kotlin/time, 858c9ffcf2e784c497f5cefffbb0ceb9}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/ranges: {kotlin/ranges, 798addff274e0bf40c490a7ca7d3d93a}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
androidx/documentfile: {androidx/documentfile, e22976f96cd13bde836300f702c8fc60}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
org/acra: {org/acra, 2a987628b7a5b19161a7cc03d2c993e0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 730d94693129fa11db206abdedf2b0e7}
io/reactivex: {io/reactivex, 75cb947663157d3d90d2c6cf39c67691}
kotlinx/coroutines: {kotlinx/coroutines, ff89b98e56ab7bafc2a2b607fddecf28}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 4002994531f2fef96cae141f98f1dd00}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
androidx/window: {androidx/window, aadde76e2534c189fe139c5e1a775f3a}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
androidx/databinding: {androidx/databinding, d6f0f6bc3a3cb21fe619726e8a16e4a4}
