androidx/appcompat: {androidx/appcompat, 50684918551c263fe41416c0e11e1ccc}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/exifinterface: {androidx/exifinterface, 407941a2e99ef8db1090ed27b950dbd5}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
com/bigkoo/pickerview: {com/bigkoo/pickerview, 3deed1157149c7a28bb51cca16d9844d}
dagger/internal: {dagger/internal, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/browser: {androidx/browser, 44efe4f61ef57e7e132dcdb04e8e9552}
io/grpc: {io/grpc, 8bb3733c677f0dbe49e2fbe0a00a20f8}
org/checkerframework/checker: {org/checkerframework/checker, 9c6c0b66d6c47154da14ad4cd741c190}
com/google/common: {com/google/common, 30fca3c14c02be01bee2c6c9c0108bda}
com/firebase/ui: {com/firebase/ui, 258471e8805a2b816933ca28869d4272}
android/annotation: {android/annotation, 9c6c0b66d6c47154da14ad4cd741c190}
com/contrarywind/interfaces: {com/contrarywind/interfaces, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, e7cb16e4fdd00d277662faf43dda75fb}
android/support/customtabs: {android/support/customtabs, fd3cb656c50befe10b474f99bcbe8611}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 83ff08858fdd13abd1c9715e030bbea4}
io/opencensus/trace: {[io/opencensus/trace, io/opencensus/common, ], 5404d5d8527d1872f28d983a1ce88f1d}
com/google/firebase: {[com/google/firebase, com/google/android, ], 8bc2f9ce8e270634cc2d3078c3c26c25}
androidx/multidex: {androidx/multidex, 903f2bd691859506bb806c968dd4e463}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, f9b476f71df12ff666700e8a3b4902ab}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okhttp3/internal: {okhttp3/internal, 7958d1a7c9b47a55ef6d792c98e3e3b5}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
androidx/recyclerview: {androidx/recyclerview, c98d48ef80855f4d8e408f357f136b9b}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/customview: {androidx/customview, 7d9913df13294a4bba97af3f27ef9dd3}
androidx/annotation: {androidx/annotation, 30acee34a8172360df63e7232b20bfca}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 5ef66b5151b9e3ca6c92caa68f99ad69}
