androidx/appcompat: {androidx/appcompat, 7174bea62ddbf927f6d5764c1e40578d}
androidx/viewpager/widget: {androidx/viewpager/widget, 9251ee17f3f43c56d705bb156bad72b6}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, a54eb4ba81c1a3d2ca515dcff023d645}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/whispersystems/curve25519: {org/whispersystems/curve25519, ea656d3237f8cd5266ba6fccb353c1ea}
androidx/recyclerview: {androidx/recyclerview, b8e98f51a4a9a346be96acda4507d8fb}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, cc27a4d69d82bc0f37f5f0546dd93fd0}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 9c6218c6249555a0fc5e843cd8c2659c}
kotlin/jvm: {kotlin/jvm, 60c692cf43cee3a70e9d80cbace9c11c}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
org/bouncycastle/jcajce: {[org/bouncycastle/jcajce, org/bouncycastle/crypto, ], af389d0e04f64ab0cff3ba85d6cdc1d5}
de/gultsch/minidns: {de/gultsch/minidns, e7bbddf6445ddb8365a238e5b740b8bc}
androidx/profileinstaller: {androidx/profileinstaller, 7be24faeeb93ad37430283e9f28e3a42}
org/bouncycastle/math: {org/bouncycastle/math, fd92572bf899c43714c9b55708ec1adc}
org/osmdroid/events: {[org/osmdroid/views, org/osmdroid/tileprovider, org/osmdroid/util, org/osmdroid/events, org/osmdroid/api, ], 821f10ebf7d01f6a1d3d218ddb701a32}
com/google/protobuf: {com/google/protobuf, a6e51e63cce6035fa05ebc83b769c191}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 49a4576868dfc2c8f8013e32375e385a}
com/google/zxing: {com/google/zxing, bcd69713305bd1a1b1fa258203e92dab}
org/hsluv: {org/hsluv, 9803143373aef337c044810ff1d546e2}
gnu/inet/encoding: {gnu/inet/encoding, f852ccaff57bf1e8c29d68b70773d815}
androidx/arch/core: {androidx/arch/core, df81edcb9505d3feb8a7a3f679bbf149}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 13993a98a417203a7365fb04f14088e3}
com/canhub/cropper: {com/canhub/cropper, 3437b3c6e7f6a32561b783f8addd3c33}
androidx/emoji2/bundled: {androidx/emoji2/bundled, 1be23e65c9da71a424503b3ed1e1a1c4}
okio/internal: {okio/internal, 110c518454f0c88b3e64529b0f58ac99}
org/metalev/multitouch: {org/metalev/multitouch, 97dec96aba51a1b0c98cc28e70350214}
androidx/concurrent/futures: {androidx/concurrent/futures, 2b0e342881661f839ec4deab02a54ae4}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/asn1, ], 53c781a002fb85555b99abbccc6368bd}
org/whispersystems/libsignal: {org/whispersystems/libsignal, 745c8ba4aeb9378a047625d908f13eca}
retrofit2: {retrofit2, 3d4b57e690d9d05659e35d8536202508}
kotlin/collections: {kotlin/collections, 9b4d900faaf9a4b0c385003fb49df944}
androidx/fragment: {androidx/fragment, d0723d265e11572dc5d7b9d1e2246076}
kotlin/ranges: {kotlin/ranges, dd22597b8579623544e542be37357cb4}
org/osmdroid/config: {org/osmdroid/config, c5eac3310e9ba3dd576127356a9b5dfd}
org/webrtc: {org/webrtc, 1a9ddf3408b89ddcbca7aaa65f6c6ed3}
androidx/customview/widget: {androidx/customview/widget, 21933a8546fabb5c04ce2ce7ec41675f}
kotlin: {kotlin, 419f4a5f3094b3b11eb522ead833048c}
kotlin/coroutines: {kotlin/coroutines, a907a2ab3d7485e4e00de59376088bd0}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 95ac6d22077db69787a1cd6498d1b4ee}
org/conscrypt: {org/conscrypt, bb545fad1a7a944a8cdcd628ca837d5b}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 9fc87e0e3f7012a72f072160ebf606a6}
androidx/emoji2/text: {androidx/emoji2/text, d91a569a450bb159ada9667c11dd68cb}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, ], c463083264f6abd97202508f2f3dca7a}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
com/otaliastudios/transcoder: {com/otaliastudios/transcoder, e7ade8a07bcffa96d6373644756e6201}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, dabaffe652eca6babbca730dd76f3e03}
com/otaliastudios/opengl: {com/otaliastudios/opengl, 998c99b47d941523d23f0b8dc1a5bdaf}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
com/google/gson: {com/google/gson, 99ba58367592401ed4bfceedc86fbf3b}
okio: {okio, 3beddcfc661b74df82fac0cc721035ce}
