androidx/appcompat: {androidx/appcompat, 70df8e0eedf861f1d09841baf8a38615}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 42d7a45cf33d55b8c3d5688ee6ce9124}
androidx/loader/app: {androidx/loader/app, 70e1b7d6f1b9a8d8cac0a35af6423d89}
androidx/room: {androidx/room, 967ac081d4e05c746867151c7ee619dc}
androidx/sqlite/db: {androidx/sqlite/db, 76eb976ffac45f193aa6103108fdf3b1}
androidx/lifecycle: {androidx/lifecycle, eea3f7431e69fc9f944e138893fb028d}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
kotlin/reflect: {kotlin/reflect, 50d37077fb5a4b14c32a9ba6f747a45c}
kotlin/text: {kotlin/text, 59c69d441f806771c79ab99569fb8cf1}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, ccb7f48781736d944533f9edee3d176d}
okhttp3: {okhttp3, bddb05f04e583df645e4941d90196a68}
fr/free/nrw: {fr/free/nrw, 5d7ee08b585d1a9856a9f57d6ae7e5e8}
androidx/core: {androidx/core, 5267ef2da1f557fdbb3d9d079e7fd65a}
androidx/collection: {androidx/collection, e99bf26679bd3c44cf21896ce48a4242}
androidx/transition: {androidx/transition, 09f166b6b2ac2dacc3c6a55c8ab5af65}
androidx/multidex: {androidx/multidex, 315c439f9d0f52ac52e63bdb4f55e55a}
androidx/browser/customtabs: {androidx/browser/customtabs, 442340e9c36b302216286a830e02ac7c}
androidx/viewpager/widget: {androidx/viewpager/widget, 0d393a7aa192807c69aa6c575b47cf9f}
butterknife/internal: {butterknife/internal, 369eec45e4d6c17e967a8b2496f457ed}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
brut/util: {brut/util, a64dbb4e9c4baba862daa2695e97a553}
androidx/recyclerview: {androidx/recyclerview, 4f230fd95234f48aba04e6bdac825673}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
kotlin/jvm: {kotlin/jvm, 13752b4235e579323bb05cbe3872ac98}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 158a6e7f9f1890c2aa01b27ef9ac1654}
com/mindprod/ledatastream: {com/mindprod/ledatastream, dc6938b07767e126db97ef5b81e2b882}
kotlin/io: {kotlin/io, 39d98f5c09fed287f2ea8eada08ef108}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e942fc981f37a1763496e0fc4c5f86d6}
dagger/android: {dagger/android, e72d416cac0dcbf4dcb81346d94dd83b}
androidx/sqlite/util: {androidx/sqlite/util, bd1931933c0272de297b803b48eb4ab3}
dagger/internal: {dagger/internal, 1d58d67b600470a86b6da0fcaa304568}
com/mapbox/turf: {[com/mapbox/turf, com/mapbox/geojson, ], 20399c7414c3a301a1fde4b50e99d034}
com/viewpagerindicator: {com/viewpagerindicator, db4ea212e81f712ce937b61073b09251}
androidx/arch/core: {androidx/arch/core, 06c7167ef85837abcd0aa7e466a41065}
org/wikipedia/login: {[org/wikipedia/dataclient, org/wikipedia/login, org/wikipedia/gallery, ], ac9c542684f271e7215c00369bbb793e}
kotlin/properties: {kotlin/properties, 0fbd32867114dad098e173998b76f501}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 4d35cbd7e988332904997954e54d9626}
org/wikipedia/csrf: {[org/wikipedia/dataclient, org/wikipedia/csrf, org/wikipedia/gallery, ], ac9c542684f271e7215c00369bbb793e}
okhttp3/internal: {okhttp3/internal, b172e1a48e25e4c01cb6e85ddddde63a}
io/reactivex: {io/reactivex, 94be81a7f122e5e8b915042513595152}
com/facebook/drawable: {com/facebook/drawable, acf7ef943fdeb3cbfed8dd0d8f584731}
okio/internal: {okio/internal, c89dade1999c92351cb0b3d239f41f40}
com/karumi/dexter: {com/karumi/dexter, eecd265ea8a0a963a88fcdf54c8811b6}
kotlin/collections: {kotlin/collections, 7e283ecbffd3d7a9355321d46fdbb8a2}
androidx/fragment: {androidx/fragment, e19528fec45fea206de1382c75737e49}
butterknife: {butterknife, c743f7267eb200c5bc5d1c5287049954}
androidx/customview/widget: {androidx/customview/widget, ca926ec3131c7baf8cbb6f782ae20dea}
kotlin: {kotlin, 71840775c9b65fb26dd926494ff4181f}
ch/qos/logback: {ch/qos/logback, b21fb51eba6cce785678838b15867387}
kotlin/coroutines: {kotlin/coroutines, 24b657b7762b63749c10c9372f805cb4}
android/mediautil: {android/mediautil, 9fb677ce98a7e33df1c33a452f589e76}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 97238aa61d7477ba74d79b57bcd506b4}
bolts: {bolts, 6ec7a55411a424118f8232b83a1ec491}
okio: {okio, eae7a76724237c6e070890ceec7349dd}
androidx/paging: {androidx/paging, 32513a84b517fcb581ff49d0e1700ed2}
androidx/work: {androidx/work, c9b28483d11aa3bb2a45950678128b16}
androidx/exifinterface/media: {androidx/exifinterface/media, 3d47e1087d3dfdb0a6e40c12f15286f1}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/bumptech/glide: {com/bumptech/glide, aff9efa69f018ec9e22a44df4b1e7f1d}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, f4e932583a1e2783c46573aec86107a7}
com/hannesdorfmann/adapterdelegates4: {com/hannesdorfmann/adapterdelegates4, c55bdfe411c4863c91c981672f73cede}
kotlin/ranges: {kotlin/ranges, f3337e935ab83d6f194c4a51344b47e7}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/github/chrisbanes: {com/github/chrisbanes, e1e5660ec2a9a8865490bbab5d25d6b9}
com/google/gson: {com/google/gson, 240c40022ac2e70fa3fb71ec1f041778}
okhttp3/logging: {okhttp3/logging, a6d598b203b8dab28861d45c98497a15}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 25e8b36feb07d8bd0f42df10ecb71447}
