androidx/appcompat: {androidx/appcompat, 3fc409713723c529d0d583dd1ec204a1}
go: {go, 326c938476e586a76f139209e6245698}
androidx/customview/view: {androidx/customview/view, f1d6134c0069ed465eaa4b7ea41ce661}
coil/network: {coil/network, 0deb5bde95e0e7c0ee247c594bb6ec2b}
androidx/recyclerview: {androidx/recyclerview, ecf685f8172509990d4878d200bc3f53}
kotlin/comparisons: {kotlin/comparisons, beed3328378c88bfed81d23709c655bc}
com/google/accompanist: {com/google/accompanist, 5939ad6ce97e010daa923542772e9855}
kotlin/jvm: {kotlin/jvm, 6e6feded8105dcc751b977247d4bb4ea}
coil/size: {coil/size, f6c00288855eeb64480dc7f801210dd7}
androidx/profileinstaller: {androidx/profileinstaller, c9aef19c91a49377ec51956217b5afdb}
androidx/compose/material3: {androidx/compose/material3, 7ffc48d09f065def49e92fd780221fa6}
kotlin/time: {kotlin/time, 6add925212f970bae7174afeab6503a7}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 75f814e0c95344f1911f6bf97381d266}
androidx/sqlite/util: {androidx/sqlite/util, f5317c61b417f738962f4006b5f5d1ba}
com/google/zxing: {com/google/zxing, 4c0178b2be52808946fbe5125f20a217}
coil/memory: {coil/memory, 16784a7f991fe9f12e5cee1112fde7a5}
androidx/compose/material: {androidx/compose/material, 7961fb319028d79bffaf03ce71aba211}
gofeedandroid: {gofeedandroid, 90005345a0c758977eedbd8034e47f34}
net/glxn/qrgen: {net/glxn/qrgen, cd3eb38cfaef245f9feafa237671a7cb}
coil/decode: {coil/decode, 39192703448625e147585e1f010e73f7}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, 8477f68231670d72f06430946469469f}
net/dankito/readability4j: {net/dankito/readability4j, bc7d11b3ee03a1588d008d027d0ec688}
kotlin/properties: {kotlin/properties, 53b112858a1d10dfc9b9f8586bda1469}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 06f14dc0975964e73e21304cbcbb948d}
okhttp3/internal: {okhttp3/internal, e0b143a215122f03e6aa86e2a6f866e9}
okio/internal: {okio/internal, f7d84b9bcec2cfb5ece36e1fbe4520c8}
androidx/concurrent/futures: {androidx/concurrent/futures, 8068acf021443eea974d070a2013fc2b}
retrofit2: {retrofit2, d9666d496c4bae217e12e0d83532a89e}
kotlin/collections: {kotlin/collections, 61c76d2de7eab685f62a58b728bcd4c1}
androidx/fragment: {androidx/fragment, 7966e4261d35543df0175f3ec1a3edd8}
androidx/customview/widget: {androidx/customview/widget, da88390e55179c762aaa581be94fb603}
kotlin: {kotlin, 6bb9bca4775b44ffd931c70e475dceae}
kotlin/coroutines: {kotlin/coroutines, 5e72cd2849a42b5ab4c3e4868fd1f9cd}
androidx/compose/animation: {androidx/compose/animation, 7331bf75d1f39f9144dea1a3bacf4243}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], cceb78dc5a0ee5b13ba11f2b7e520fe8}
androidx/window/layout: {androidx/window/layout, 06e3b4f56e68d017c496ce7699daac30}
com/nononsenseapps/jsonfeed: {com/nononsenseapps/jsonfeed, 188366656dd2a7fc4824e6a2588a03ec}
okio: {okio, 6ed06a1b7a178e47d53a9ae69d457cb0}
androidx/paging: {androidx/paging, 3abddf8e2bd1bbf01bad0b9f9487c88f}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 7e7e504cad55313bb59c91459ca8529a}
androidx/work: {androidx/work, adc26e082d45e65f2fa2a5c3221c098c}
androidx/emoji2/text: {androidx/emoji2/text, 90979a7ed9a7c94e4c132736fad1ae15}
_COROUTINE: {_COROUTINE, ef91ded1f4d008567e053f512fd0be94}
org/jsoup: {org/jsoup, 7468ed953a16ad015352bbbb854340d1}
coil/disk: {coil/disk, 7619fae1f8e1e08223c4ca10f2c01d39}
androidx/window/core: {androidx/window/core, 0b06b0dc5e95a4f74fb88f96e6d019d6}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 8398f29e499cd88f9a5800cff49e7508}
kotlin/ranges: {kotlin/ranges, e32a2865c996e1c3b3889a11241f08fe}
androidx/tracing: {androidx/tracing, 09a035b1dfc433e22f199ba35ce97ec6}
coil/util: {coil/util, 4bc2b45f530fb73e5628ecfb8173a75c}
coil/transition: {coil/transition, 4fed3948588ae2343389be1761a7de98}
com/nononsenseapps/feeder: {com/nononsenseapps/feeder, 60d692b97daa8ee3c530dfc60f22951c}
