androidx/appcompat: {androidx/appcompat, 1a73ae17b5021faf4065d0b3956940f1}
com/fasterxml/jackson: {com/fasterxml/jackson, 90c0974fe25f7b8bb6cf43c4454af772}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
com/google/android: {com/google/android, 30d4df76586721e362c5329a2913dad3}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 98e5cb2511438c6abffdd11e2008b141}
kotlin/sequences: {kotlin/sequences, afc4797d0d03913bb4ba44c804daa632}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
com/google/common: {com/google/common, 6b84a960ce2ce070d4ee794afcf938ae}
androidx/emoji2/text: {androidx/emoji2/text, 414e1990f888dc9d75ec6dbb05d3235b}
_COROUTINE: {_COROUTINE, 15f74a532dd698f4205bbc712e428a0e}
kotlin/properties: {kotlin/properties, 8fe42c6ef5aeba12d7249e809f3d4855}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 2d1eb637077c753c7acce39048ee68e7}
androidx/viewpager2: {androidx/viewpager2, 6a36ee9765d01264e9a1020d9e5c8d3f}
androidx/exifinterface/media: {androidx/exifinterface/media, eb285c03889422cad3de8cf58494f5d5}
androidx/savedstate: {androidx/savedstate, 9a61192bedf34b87602009a4f45a6f71}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
androidx/media3/datasource: {androidx/media3/datasource, bbcac9066dd3a7525b4cedd103048cea}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f50e19aaa9ddc1b0eef7c7bb4acbdd2a}
androidx/media3/decoder: {androidx/media3/decoder, 0f270e6b586def57612084dabebbd339}
kotlin/ranges: {kotlin/ranges, 9cc017e57e70413c71ac06ab209d15aa}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
androidx/documentfile/provider: {androidx/documentfile/provider, 6dd04dbb25594e78a2efcf8e6293ac15}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9b9e9abbecacdcd3b53dec3e102590bb}
com/squareup/picasso: {com/squareup/picasso, d614a89931e9b67f976b47e2e2d0a98c}
kotlin/jvm: {kotlin/jvm, 5f46c7c923b9641aba934b9c16a3c773}
androidx/concurrent/futures: {androidx/concurrent/futures, 4c85513142f1480e3cacc5d8b98563b5}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
androidx/recyclerview: {androidx/recyclerview, a236cf1bd14e98c414620972d2c4b978}
androidx/databinding: {androidx/databinding, b112b17533d4b77ab7f8ed79b532a4cb}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
