androidx/appcompat: {androidx/appcompat, 6ff0b9b547b5968319b592b1131d70ff}
kotlin/reflect: {kotlin/reflect, 78db7eb6172561453bae2dd6dcd3ec48}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/versionedparcelable: {androidx/versionedparcelable, 76f247b7e611919b32398f74ff37e1bc}
okhttp3: {okhttp3, 445b1f3df9cd87db5cdd661457f2053d}
androidx/core: {androidx/core, 1d252ff232d7449795771328808c818b}
androidx/collection: {androidx/collection, ee69d9cf5b2f9b7cec640b089c235620}
net/sqlcipher: {net/sqlcipher, 36254eadc023bf76e3e368fd035918a5}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 3660a51e6b14b3665a505365a0184576}
com/google/android: {com/google/android, 1eb047730b301546e67a24491d8fa83f}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/recyclerview: {androidx/recyclerview, d75e0ae0b2bc4fc68f166607b92768f2}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 23ffa5bdb6db2d78da8a1f1b8620848b}
androidx/dynamicanimation: {androidx/dynamicanimation, 7d4eb1c60bfb8702e2e9e7d9e79c83dd}
kotlin/jvm: {kotlin/jvm, 4c8a0a772080d5be65b56ed611030266}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 9f012ae77955e87a5872e25def25edc1}
com/jjoe64/graphview: {com/jjoe64/graphview, 1a77f3111e5d6b761323335e536d432e}
kotlin/io: {kotlin/io, 17a7fc87caeb3d55552d3a2d82b826c5}
androidx/loader: {androidx/loader, fde4ed2a5810b8d4f79983b9b01647b8}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5dc23fd4c32bd54570d87a13ba1d32f4}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 7c40dfa8067d9b63852d2318fb75077e}
kotlinx/android/extensions: {kotlinx/android/extensions, 39e7fa8342d8a0a13a4b676b8c90cc42}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 28f80e5f9bcef59dc84a4552f40c60f6}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, fad51e28e802ed85818896060e4bded4}
okhttp3/internal: {okhttp3/internal, c3c33966156523f7ec020dac7939b58f}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/concurrent/futures: {androidx/concurrent/futures, 8afe55dca710b16c318820a7052872d6}
kotlin/collections: {kotlin/collections, b8ccbdb402a042d46f495b2250a575ed}
androidx/fragment: {androidx/fragment, 2d819779aac10e142c0768c6c3fab893}
kotlin/contracts: {kotlin/contracts, 713173a8325aa1bfa39464429d6f3e25}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlin: {kotlin, 5d74770427d7058bf241764503d3d852}
kotlin/coroutines: {kotlin/coroutines, 0693989b0b05532c9ba1d953a192c44c}
kotlin/concurrent: {kotlin/concurrent, 99ba8644906ccfda6477d1c9eb73a56b}
kotlin/comparisons: {kotlin/comparisons, dbd7efebc780a85f16075a1237403831}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/work: {androidx/work, 6f3bccec79a83df7a18d2368836440cd}
kotlin/text: {kotlin/text, 2daf968891f782ebbb9ac91cb14da09f}
kotlin/time: {kotlin/time, 3afd83a7268bde1cd80e9801295a0e4a}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, 4e0e1fecf1e6646e1896748ba18a2bc6}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlinx/android/parcel: {kotlinx/android/parcel, 13f0cfdf13e7cfed1d652dbc45ca907c}
com/google/gson: {com/google/gson, 68767dbf95c73f342cf507b1f76118cf}
androidx/customview: {androidx/customview, 0f8c36d7857218ff5184d3ee7e029158}
