a6: {a6, 71a66fb23a17e19668c97f6b407541c3}
m2: {m2, 73846b906c61b6662c8c2182608ba4d1}
s4: {s4, 8aa88f3b073ac25ee8452c4d3ab54c13}
o5: {o5, f69ba05a8628ccf9e0877f9870c3d348}
h5: {h5, b16454ac840871a05d26894439a7f728}
w5: {w5, 60b75b11c3e8bc9a076fe392e3d2bb3f}
c2: {c2, 2f5da38b05b4917c4a3b9d0606d38ad8}
a3: {a3, 90a92c1557378b4a83fe7d30019f14b9}
z4: {z4, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/fragment/app: {androidx/fragment/app, 73167127382baa67472bf21e63a0556d}
t5: {t5, e381f6991873210ea6cc1b6be99b5314}
j0: {j0, 5b8f6007be49a369df7152705cb0d77e}
l3: {l3, 04c4a08fdc17b3f5504eb69fc681207c}
n3: {n3, b54d3a7b6f715e8e8a86d8b96ee59cdb}
u1: {u1, 848aab39b9fd3f1ac97f1173f9f8747e}
e: {e, d914be59823d96a4c1154a334dcbd279}
p5: {p5, 1dfa06ef4ac78d417804c933d9b31f3c}
d3: {d3, a220352b97cf73b80aea8dbd2a716b74}
l0: {l0, 58cfbc9ae804b48ebaf6b4e7e410f0f0}
f3: {f3, be19c22667feeb04311f972835eab23f}
okhttp3/internal/platform: {okhttp3/internal/platform, de1fb2c1e65ea704ab9a8a9c09f0db89}
k2: {k2, db6d6a8e02a13518d4771bc6ea2f7b72}
m: {m, 897a0b03d6a14df1e491eb1a7026ccd5}
e3: {e3, c8bc94786abfef6db293a65798b40077}
v1: {v1, 6f013b1bcc7cf4a6003e9ec15a9b1464}
b1: {b1, a61e7ec0ec7110c9e57ed8cb7647cac3}
q0: {q0, 6a9cbf094734b49c3c9594ccd60fe837}
f0: {f0, f80a431ce412d30406a330950e1107d5}
c5: {c5, f54be84af748d6ca74b2f8b82d2653e7}
w4: {w4, e7bd0ea4d9cfefebf97e4d756c25e8cf}
r5: {r5, 985119c3a618d0b9594bffb4a9bc7fc9}
z2: {z2, e64a2cbe8a64707d8e218024084127b9}
o4: {o4, 7c4499acd119c3d53b9d35b4184900a3}
m1: {m1, 38d773ff879901d9b7faf2a17935549f}
b4: {b4, 3a5bf65a2e4b7a9c805a2c5ae1f2137f}
x2: {x2, 997f1282e5b1fff3bccf17b3b983a10f}
v: {v, be5e909abb18cf863e84b96039fde209}
a2: {a2, 61590168a6cdff430ccc84fd009f983f}
h6: {h6, 9988e85ea06f8065794f2934ca58599d}
androidx/core/app: {androidx/core/app, 0540818d432c3b0a41e2c73f53f074c0}
n0: {n0, 7597a6038bfaac3978426834c940c6ef}
u0: {u0, 3bd53f6e068d5407c50846939eab1acf}
k5: {k5, 71a66fb23a17e19668c97f6b407541c3}
z5: {z5, b255cab566676a11ddb24b96a2a2e29e}
candybar/lib/utils: {candybar/lib/utils, 5e205cb11295fe8038d38edb2c51c89e}
i1: {i1, cf08b86e7a9fee582e8b756b3246f2a4}
f: {f, 7813a3befbfdd4082f983ecab47d2580}
v6: {v6, 64eba56b1fe7cf5e8a5518eba983b51a}
candybar/lib/activities: {candybar/lib/activities, 9af5e5b60fb191a9d7e9d7f12959310c}
l4: {l4, c7eb7dbc99638b1a0edeb67f64bfda32}
n: {n, f7b8b577130b26af166d1e57cbbe5a8f}
p6: {p6, 4d5696d772ce299075ca50aca8d65984}
d4: {d4, 271afc9617b3bf45dc197c518b0f1afd}
e2: {e2, 2d7e21a4bf4c4d19baeafad0b4d28da5}
t6: {t6, 5f4b69ddca34132f4765f8add38110ad}
j1: {j1, d90380639f3e954cf90e6264937026f3}
u: {u, 16d85527340bc1385f5482d8d419bd61}
b6: {b6, ac6c391cb075c4748349fd2be083fa03}
c4: {c4, 1982511cee971d00413f33ead6ce6186}
s6: {s6, d82b5908e067860884e726b239768581}
s1: {s1, 542dd9699021b2a489ba6c7d8f6e4a23}
o: {o, 37cd864c7dea00b9a64c9cd0aecf642d}
f1: {f1, ed849cdd7d5ea90e49280dc87ffc7768}
z3: {z3, f7a48aa681589b4971ebeedae3fdb28d}
a1: {a1, bead8d34be54e97335238e530f33f38f}
n6: {n6, da5acc69a084e1f24c22822a5b6c1156}
w: {w, 8299fc69f2cdd77ab98636a57cecd74d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 1fc39021f32752374e202077383f83dc}
androidx/core/content: {androidx/core/content, 3390d39154136204554405d5866741ff}
x3: {x3, bbb7c48b62e25f6e8bef0d76eee68965}
g5: {g5, 7d242e13fbec280607bd883344ab4d70}
k4: {k4, db9bac77242c5093af0d3071ae785b22}
y: {y, f2df6531612c6190b9e9b6eb1fe5bcbd}
g: {g, cc718edcc3c30150dc77b4be7f35887f}
n1: {n1, 37bfa6193786d2c614a26c9a77df9bcf}
androidx/appcompat/widget: {androidx/appcompat/widget, 3c810d17e2c6ee90f842eb56ccbb5eeb}
l5: {l5, 68dc78df6661082ba09bae670f31c466}
i0: {i0, 235ccb12f31c137edecadb1fc69f56b3}
androidx/appcompat/app: {androidx/appcompat/app, 0248fd0f73bffb27c72efb3677d6b10d}
d5: {d5, 09ea4a8def0571429436d091454884db}
u4: {u4, 4269fa021ec38ce79ed6ae7fd481032d}
r2: {r2, 5e9acd8765842ceb6bbd0eca78a8e17a}
e1: {e1, cffc2009d99b57c09630f1b8bdce44ce}
j6: {j6, 500f1b2a163b8839d645b9a35ae36d5d}
y2: {y2, 657bfbcd4e7dd1c3cacd31a8c11ee8e7}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 40308207c41b580566281d4cd0b3b4ab}
h: {h, 734eb6bfc85bb0d0ca0d2fa7033b1c58}
s3: {s3, 58c915f5a4694ab0eb0f4a4f88a9adf0}
x4: {x4, 701fbee895b2c996244de4c19006d1d7}
androidx/core/view: {androidx/core/view, d1c086858d77a30b8f2c324e1d1a75d4}
p0: {p0, 049ed6b40b8d38e8e0dc09006b3110ed}
p: {p, 165f1e5568e845b6ecffe4aecc63f440}
z0: {z0, 510f1a436294cb676505af7186080094}
a0: {a0, bca7f190546f1411785965247ef70171}
h0: {h0, b44164847664fb72f922ef00ebd89ab0}
i6: {i6, 9000253728fafbc6b9dc895faa4c0c47}
g4: {g4, db9f958888c2c99968385d742d47fed4}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, b9f5273fe281f12972feb255ca5d6065}
s5: {s5, 5680067274c49f290b07a46039244160}
u6: {u6, e312722c99ae91c8ad813aca95eee762}
m0: {m0, c3b3beb9393315adfa34bad026d4a89d}
y3: {y3, f70486ec1efe5388488f1238382bf42b}
v4: {v4, b71cba5ffa4341d453f94f54d9225f52}
q6: {q6, ec82b0b7c01f4d5aa69ae7249e781118}
e0: {e0, b4e1b055e785b2714b5d708ed6e79693}
r3: {r3, 97be11ab59ce76fa70bb4809bf8c9e31}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 87d80385c8792b9a3c7b2fb93b9aab5c}
f6: {f6, a1533eeacf3c8e1406a0dd85b98f23d5}
c6: {c6, a88790d3b5e61bcb238dbcee4f380231}
l6: {l6, a759441f692ea2bb6ff7e3d1f9a11e0a}
x5: {x5, 2f98f4fd60829d2567feda6a980af495}
i: {i, 1e0e041c5ce0a8c44715c99bc71d8311}
p1: {p1, 11cd0424d1adf20c43414d1f6e467901}
s2: {s2, a5e8b2534a79e2e1d4a37074b3c09479}
androidx/work: {androidx/work, f9a033af8bcf9e0d421976e410fab437}
q: {q, c338a1be6136725e16bb6df005ae43e6}
h1: {h1, 59e0d35632326aff8c410ee8180764e6}
n4: {n4, 7749bb7bcec62435dbf173c790f63f0f}
y1: {y1, 47415141c2b703425054781dd8f4eeba}
o1: {o1, acf7ef943fdeb3cbfed8dd0d8f584731}
i5: {i5, a8635512b0e748ccd8c490361b713a87}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, 37d515ac81672d3cef5a13ebe1b8ec29}
a: {a, 314b1dd8e0d3e707874ae5f6fe652f8e}
t1: {t1, 71a66fb23a17e19668c97f6b407541c3}
androidx/versionedparcelable: {androidx/versionedparcelable, 4c75b29667ed16329fd80a785bdd11d6}
com/bumptech/glide: {com/bumptech/glide, dbe4b193914244de00fd6f26d7ad719c}
o6: {o6, 9c4c7d3891f44557605ba1822e111d3a}
j4: {j4, 2486d7a796d76d8e3b5776c187532068}
w1: {w1, dc79a7aa0b99a30bd0a8314c7733eb9c}
q5: {q5, 94c04e6f887eca74e7865cdc7e942a49}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 2c9b94bc0ba96a4f337b333257f10297}
x: {x, 080367d6a30fe21070216e4247b46e1f}
u5: {u5, 04f221ece64498e46fa86b442bbff4e3}
k6: {k6, 3247c7440eaf439a5acce0e169384f42}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 4869955fc74bec3c29787db796e7acf9}
