a6: {a6, 7ae6c01f689e9d88c4365fa0cacd6dfb}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 4641c640e43d06077ea76f98a25bbe3d}
o2: {o2, ff25acdf67caf5a324d2486ee7285c0d}
m3: {m3, 84db5104c6b09a14e6d79c6190da0a25}
i2: {i2, e665f4c9fa2d88f6a099ab1218af5663}
androidx/lifecycle: {androidx/lifecycle, f4acbf30e172db74f34751934fd53b5e}
c3: {c3, 2b49996cae4fa496533e21aed1cd7ac0}
h4: {h4, f77e8b8b15a0470ef1a8146d2da05c25}
t: {t, 47cf096f6e7a2ef2cef118face265586}
g2: {g2, 01163f150a72905422f25198fd2574a8}
j3: {j3, db63a4220d8c8ab47a418ee455a504c1}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
m4: {m4, 0a8e50ee4a5667c97d7afb1ef816faf8}
t4: {t4, 179fa3d68c3062047f061d21f802a041}
u2: {u2, cd6d57a321ae325e76fc6d47dfffa855}
s: {s, 43445be30949012593ca01f9a3a53144}
d: {d, 8e24401fbdfef08f35e6778d164ff5d6}
androidx/startup: {androidx/startup, 775f9a78c2ce88ce8f1a6aa47274f9f9}
n2: {n2, 05234a657ee01b33867da9c96a770384}
k3: {k3, 5f4a52e37eec9d6e91902656f85b8ee4}
p4: {p4, 783589d662d573dc1efaa63804dec2b5}
l: {l, 9b0772da93be053ea6f35cc5762bce03}
b5: {b5, df1d20d8818ba3182ef4dd6d8d556008}
f2: {f2, 6a2693835d57a5fe35ad161777861927}
v0: {v0, 12034e4fd0834a0069ed873686691816}
d2: {d2, e25f6f9976f3a701cf8f632f3943e3a2}
q1: {q1, 2cf34c16355dbc999528a3a566650d54}
g3: {g3, fd8fd2a6de28b3b9ae47ff95f84091b5}
r4: {r4, a252f2b39c330bebca8e64fef11be666}
b0: {b0, 2f0fd8a5a016b5052d48fd8e3d323cbb}
y5: {y5, 16d44539f6c2186baea2558a51fd4b5b}
m2: {m2, 3d9b53627f5fe3eaec5ebf0461658e18}
d1: {d1, 822ab1296c7d3337c76c30f5a39044ad}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
o5: {o5, 7f8271c189a404cee8d69dc9b14a2791}
h5: {h5, eb625a2f622d348852ae67d6da4ba937}
w5: {w5, ab38a75871a9a93dc6bc8854eb48cb50}
c2: {c2, 1d11f67dea3223ed0fbf51b6eb49a852}
a3: {a3, 90a8ca5de65dcb5b3cd9f7307f9b4cfb}
z4: {z4, 4268bbd7b4196a4d771ea0aa899b8a9f}
androidx/fragment/app: {androidx/fragment/app, 9dd8940f97ea4c58cc00e26c2f3a90f1}
t5: {t5, 1e5c8a702a6d8ed7fcafd9e7df66e635}
j0: {j0, 670356da2e8b326c72930bb225ab458a}
l3: {l3, a3692fda0f838702ffad2ef1a397593d}
n3: {n3, bfdbe5f2021576848de3580bef13d6be}
u1: {u1, 3cab1948fa13abbad6b8bdc029d6a718}
e: {e, b29984e5c191709d6d935bf04605de31}
p5: {p5, 6b79a567577e9848f49289a3006cef01}
d3: {d3, 59d03edb2d467b8cc23a02ee80c47dbd}
l0: {l0, 60539feb48e47edc0f6d6bdf30e90430}
f3: {f3, 119aa81701091a93c8e217604862c90d}
k2: {k2, e7a80ec37636c30ec4779087c8c2b775}
m: {m, 157d2f73efc07da958e5842ab9111fb7}
e3: {e3, 0da2c14a73f3671203c501e7752b7310}
v1: {v1, d9bda12e40d16b7a408862251e491926}
kotlinx/coroutines/sync: {[kotlinx/coroutines/internal, kotlinx/coroutines/sync, kotlinx/coroutines/scheduling, ], 0dbe36ef90b54bad9803faa586c56b30}
y4: {y4, 99bc1326bc2722e74f394811d7d87c3e}
q0: {q0, e4f5a52ba5b5828af28c82972d7d547e}
f0: {f0, 4d5544d7e7eaf03bc20addfbb6d61f2f}
c5: {c5, 0f012be47662f69dc82b3210a0ac7440}
w4: {w4, a844409275ee90c2c00a75c8dedf385f}
androidx/profileinstaller: {androidx/profileinstaller, 2fa396049cb419d23cd0ea01b32c8223}
r5: {r5, 3a146d3948be9cd183e745d06a7b0465}
z2: {z2, fcf7f92d429a46aacee5b937adfd5121}
o4: {o4, cde651442b8b41f3dec4abf0b7d1dfe9}
m1: {m1, 6128600d65b8a70a55cb6d6645cb058b}
y1: {y1, 46466234b66b2abdec59146138cbf2de}
x2: {x2, 6db3fd4d94d9b8fc193af6ce2dfaa2c9}
v: {v, 40e7e3fe5533518e363a2b41cf2c769b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, f84ff41a1f2368e5114f9c32b53c84f1}
a2: {a2, dd37470a1de49115df17bcd8040e70a7}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
n0: {n0, 048f2ebde9cab12fe9f5e02d240fa5da}
u0: {u0, d798190daf1bb3157ebd9ecf15379628}
k5: {k5, 2c44c7cd7e787f4fe29768f78cf23bd1}
z5: {z5, 1050b30bad7f9085352b849dbc436db4}
i1: {i1, 590fd8c48a3cad53283579e49120c6df}
f: {f, 8c25c5ef86ff7c228c9e7aea7200b5be}
kotlinx/coroutines/android: {kotlinx/coroutines/android, 3a1a46763d0f6c71ad9d9ae9457ccc4c}
l4: {l4, 73cc7e9517762e8434b1a3badc77f9b2}
n: {n, 245944e3461fea8b6a249c3eb118457c}
e2: {e2, 1be1d7036ab649db9e3d234c1bb0fedb}
j1: {j1, 57b6a27e00f4733397bb9f95ba92bbe2}
kotlinx/coroutines/flow: {kotlinx/coroutines/flow, 6e23053bd5ac4a832eeda6b7136352ea}
com/skydoves/colorpickerview: {com/skydoves/colorpickerview, 7c5d6b2f7c2678e7edc4b9b272f9d938}
b6: {b6, 64eb51de73be81e146999d694f38f8c1}
c4: {c4, ec9655c35003b949f96003288baa186a}
o: {o, 8a756e621653a583147f9a88ffa3a5a6}
f1: {f1, 91fec76a11a7513c9fdf382b9e99644e}
z3: {z3, 32fa75edfb888289b28befdfa47c5371}
a1: {a1, dc63706727a466a9d0d06295493b5185}
com/bumptech/glide: {com/bumptech/glide, 450c0e11dfc1bda8155e6330ff6605f3}
w: {w, b6bb88df305a641e4c3cf057d141249c}
x3: {x3, ea20036242918bade7e6016ef84a4f4d}
g5: {g5, d8ea8d4abf449fb5331ad155e08505ab}
k4: {k4, 8fba580cf7fcb0f051a8885e5aa8edc4}
y: {y, e9e55bb9c33378b94a1dcb4639794ca9}
g: {g, 1bc1001fd3373337b0191585295016da}
n1: {n1, cb7b1b44b8f9f556fb9377dfe95c835a}
androidx/appcompat/widget: {androidx/appcompat/widget, 1cbc7bafe5de109f9c1fd1e6eda048ef}
l5: {l5, 3d03c66576dc66ce269686f601111fbe}
i0: {i0, 27b9ff627b854a592faa543ef26f8062}
s0: {s0, 34d1e3876ba152ac2b8e8a2dfc6e8e8d}
b: {b, 0305227483d44e068592e7e815caebb2}
r2: {r2, 0be264dcb4a7be19fd822ca4b623d380}
e1: {e1, 93b842b4343165fcb44a440d2edb12d1}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
y2: {y2, ce153d6913b6db780da439795c06354c}
h: {h, 62c63c0ecf12c3344907d97562f667e0}
s3: {s3, 0e21cf496a8a107a617cbf87901e5cf3}
x4: {x4, f9658b3afd5bc8a8db21168d75f7f4ce}
p0: {p0, a5925a2962257dcc590190811ce701a1}
p: {p, 402e1b7eaf269b86de8f00ff78852a68}
androidx/emoji2/text: {androidx/emoji2/text, ddaf7cf70985e01dce517ae6544e1f06}
z0: {z0, a51cc10ee7b20f8d0d2b10a86387a422}
a0: {a0, 910d2635b4307a4431a6426dcd0d47cd}
h0: {h0, 2b1c13638c53f1709c3bb03380f2c5d2}
g4: {g4, b70634e71b5fe07629e8dae3f16665e7}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 27fe874d4c01b6248eb051afe22a1200}
s5: {s5, fdadd986bd313485c62997cab88ef67c}
m0: {m0, 766043bf4a755ad242bd3464bfe1398e}
y3: {y3, 7947904dd1bfbd791dff88125a32ee34}
v4: {v4, 7b3e208faf4bec56bcc10bd29460247b}
me/rosuh/easywatermark: {me/rosuh/easywatermark, bc0043a14d62b1194622372dd1e61610}
e0: {e0, 86b0175e058b00b6a37a175ab1f5bc73}
r3: {r3, 4cc3f515793aec2d07f7c2f468b99854}
androidx/core/content: {androidx/core/content, 5a0502c5b563cebdb81e10809487e42d}
c6: {c6, e58c6a123f0b21051dead835e43bc005}
x5: {x5, 7044368ff4da2b774ef69bd7273412f2}
i: {i, 5e9bd3e2d57c88f47f6b44124f1c5496}
p1: {p1, d400a0a934d72dfb981b0286c824ec73}
s2: {s2, 766ee5322115142bdedf883f92ff48ee}
q: {q, 1474b30f31261f02561d74e43cd4e584}
h1: {h1, 4913aad77ead05a59b3827b6b9e12ca4}
n4: {n4, 5d2585fee6feec98794ed369a879148f}
b4: {b4, 5e1691f4327328739137aec425bc5247}
o1: {o1, 53577b2553901ba0553ac0f9187e0c8f}
i5: {i5, 7c85660dc96bdafcbe2f3b66f3243bd4}
v5: {v5, a5cbb85bdba0b551665843baeec726c6}
a: {a, e8d1b201f3ade915aacebf63578a8d32}
t1: {t1, 1af24d339525b7d03396342ad9800547}
androidx/versionedparcelable: {androidx/versionedparcelable, 7423de47c594ab7a1d4c098726e007f9}
j4: {j4, d9456eccbe958df4ef18742a74a472ee}
w1: {w1, 914b34c8acfacb721852a10c34bca89d}
q5: {q5, 4f5a5c263cb102d47e678da1330338de}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 1ee9c43d186b1ebf5026da71e2c1dd10}
x: {x, fd7fcd30a24542c6a2cd95ff5c5b1b02}
u5: {u5, 68483b64ece569970f11ab200c96f428}
r0: {r0, f299adf26eb8299f370761652b89425e}
