androidx/appcompat: {androidx/appcompat, c19c58afaa2805a4f6f40fccc0a36367}
androidx/hilt/work: {androidx/hilt/work, d52095511c5d9b0e4773d293bda54121}
hilt_aggregated_deps: {hilt_aggregated_deps, a460511e808f73b673695d41a9e13089}
jp/wasabeef/recyclerview: {jp/wasabeef/recyclerview, 0ab0d2d897dbde2d0a0e570ffdf5f43f}
androidx/core: {androidx/core, 3e52b29d4f367e29168525c5a57fb338}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8a1efe16c0f677917386354d89c4bfb2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 69b7f657930c2c802f0dbaa2586b8713}
ch/acra/acra: {ch/acra/acra, 7e60df0c4813505fb17304cc95dee36e}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
javax/annotation: {javax/annotation, c4e8d7026c1dadaa234254b09ba07263}
io/reactivex/rxjava3: {io/reactivex/rxjava3, a4d1cad2ba68a3bcf0565b8e249f1ebd}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
dagger: {dagger, 2edc358155518b4561064601abab5961}
com/google/gson: {com/google/gson, 09ac2eb1a530e1f2bae277031b95409d}
androidx/drawerlayout: {androidx/drawerlayout, 94c9149951c5b7f9b0afc941e8b49d40}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
butterknife/internal: {butterknife/internal, 39f4436c24a0e5c4b2550ca64f5f036d}
com/google/android: {com/google/android, c6e450179731d96b19a3cecdbf0ec8fe}
androidx/profileinstaller: {androidx/profileinstaller, 56e264b0aacfe9d185fa2dd0f1d30eba}
dagger/internal: {dagger/internal, b7d7fe6ced0de4d29035502aa873956c}
androidx/browser: {androidx/browser, 2e6d3bd89080e3f168d554ee293c1358}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 1e44635c202c1b85588277b0c8a59917}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/palette: {androidx/palette, b34ecc708e8a84a8f61242ba11bb4392}
com/github/chrisbanes: {com/github/chrisbanes, c5f6a6ae08eaf8bd8a6df58bb032a163}
androidx/work: {androidx/work, 09402f335effa647f239db106218338d}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
com/bumptech/glide: {com/bumptech/glide, 4b9bb54932a216a2a4b4a2cb2f338d1f}
android/support/customtabs: {android/support/customtabs, ce54323de51089f18675b29b01e25c81}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 1cba8e8ba9c44b6418b33de879fab973}
de/tap/easy_xkcd: {de/tap/easy_xkcd, af52581976729403cea891abf47660ee}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 260437dee4de22f5b3fabcfccc6df9f9}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 711c66226de69911aa29f061c9b53a68}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, af2508fb39756721d8e6296be514d7df}
com/nbsp/materialfilepicker: {com/nbsp/materialfilepicker, b95c53fec2777582fa4ea279e02d470f}
androidx/window: {androidx/window, bc92bf9820dfabaa394b76f3e3bc8f4b}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
