androidx/appcompat: {androidx/appcompat, 0da88d75c5621e5e72e73cc0ce075501}
io/noties/markwon: {io/noties/markwon, 6881420c434b170237f57205eee17557}
androidx/loader/app: {androidx/loader/app, abe825e867d626e4135b495571dad4b7}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
okhttp3/internal/ws: {[okhttp3/internal/concurrent, okhttp3/internal/ws, ], 4e1ddae5aa7a2fa448d47cee1339a5e7}
okhttp3/internal: {okhttp3/internal, 7b389e66518722eaf6b54e69d80e9c15}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 73527784b7c0e99aeea94ba1f6d662f5}
androidx/lifecycle: {androidx/lifecycle, 81423b8620bf9c61e4d573890dfabb60}
kotlin/enums: {kotlin/enums, 93fa6ec3745b14e827bb83220b1a97bf}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 96200fb1121a023a3a661fdd94fc7999}
kotlin/text: {kotlin/text, 0c79f70b05b351bb1e37a07faffed05e}
androidx/exifinterface/media: {androidx/exifinterface/media, 4bd87d05d4f2794dc06e88a3186b4e51}
androidx/versionedparcelable: {androidx/versionedparcelable, 7ffe93690c16ff7336287d9d45f7cf26}
okhttp3: {okhttp3, 58a23763771d5a7575eeddcde1bbbb21}
androidx/core: {androidx/core, c887012c7710455eb551b7e615692c3a}
androidx/collection: {androidx/collection, 66a0bd4e2042e2763e1b862a4453290e}
androidx/transition: {androidx/transition, 982cbd4626d2ccae3851a2bfd5024123}
androidx/multidex: {androidx/multidex, 9bec9e4ffbacb49140ae7027c1227203}
androidx/cardview: {androidx/cardview, a162fe265c221aef930b064fd568cd07}
androidx/legacy/widget: {androidx/legacy/widget, c19756283a50b0dabd9d7d65833bc81a}
androidx/media: {androidx/media, 43743cfdf57157354d0dd8cb051bcada}
androidx/viewpager/widget: {androidx/viewpager/widget, 5c4bc45c1eda1a110c7fdd8b2f081cc4}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 943560fe00a4ac8e86923106c30e0320}
androidx/customview/view: {androidx/customview/view, b798e862e086c521c889e5362abbf0bf}
org/apache/commons: {org/apache/commons, eb29f629decf608328622ab0734359c2}
io/socket/parser: {[io/socket/parser, io/socket/engineio, io/socket/emitter, io/socket/client, ], fd68ff88601ca75619b35709c614216a}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, fb1c461ae7fd3cc44313d05fb51f0cda}
io/socket/thread: {io/socket/thread, 6a10722de0b26e878925c4236386d047}
androidx/recyclerview: {androidx/recyclerview, 98549bd979367eb49c94b5c21a0545a5}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 00ddf562cc7569ca6414fdd828aa0775}
androidx/profileinstaller: {androidx/profileinstaller, 130433997576ca1641e9f544c7da2bf6}
org/osmdroid/events: {org/osmdroid/events, cd4507ff0b283b7dab4ac2670dfebc5f}
org/reactivestreams: {org/reactivestreams, 6bfb6977d9c94528604afaaba2abb4fe}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 872f75ac09849b549dfce513c6f3a30b}
dagger/android: {dagger/android, b7a4ff5422d0721ed870e68170a95c8b}
dagger/internal: {dagger/internal, 73e6f026d5d299c1adcfaa983ab554b8}
androidx/drawerlayout: {androidx/drawerlayout, 8b8dcd5a009a58535b4c080b808f4c77}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, a89cd3642a1388c076a86502792d6f6c}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 7c3dba49b7ba04f60577c75817d24f63}
io/reactivex: {io/reactivex, 00f526f4dbb4bccceffff750e2fb3be0}
org/threeten/bp: {org/threeten/bp, 4e00a55aa844616ff79cc40856f66d36}
okio/internal: {okio/internal, 58d4afddd8f50be7f6ccd56a59839ab7}
org/metalev/multitouch: {org/metalev/multitouch, 9e7a8a50a9513878f12c830c9084344e}
androidx/concurrent/futures: {androidx/concurrent/futures, 770c4847e0db8e61b3214ab20daf879a}
kotlin/comparisons: {kotlin/comparisons, b58ac6c1eaa9f19fee922b61903e5e89}
retrofit2: {retrofit2, 778f0e37ae67ac2e6f66f19dab8a73e2}
kotlin/collections: {kotlin/collections, b3a7938f36785ded6b426162551ee829}
androidx/fragment: {androidx/fragment, 5120c07b8a2dfb49e6fb22de34468f8f}
org/osmdroid/config: {org/osmdroid/config, 92ce4cb9bf220d5139074a24a490ccc5}
androidx/customview/widget: {androidx/customview/widget, 83b304b217f988294b42c6bb0eb4edb7}
kotlin: {kotlin, 2ebb1a1de3237c58ca76d0460c17a029}
kotlin/coroutines: {kotlin/coroutines, 42213b3126ef01ef9f2b179eb4408f5e}
io/socket/yeast: {io/socket/yeast, 93b874578f9c390f8e79e8d6ebb2388d}
org/osmdroid/views: {[org/osmdroid/api, org/osmdroid/tileprovider, org/osmdroid/util, org/osmdroid/views, ], 53c3342f16ddbb63c9c0dded22c4a345}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], fed794341ac2af7d7d443f9978cb7e5c}
retrofit2/converter/scalars: {retrofit2/converter/scalars, bdbb193568eaedc28cace1e31d16d4b2}
okio: {okio, cfac9af7ce5345fb6eeaba106acada7d}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, a953e58404aae780a274514901f98030}
io/socket/hasbinary: {io/socket/hasbinary, ee7b6d5e1220b9c0ca3ca920c7497755}
androidx/emoji2/text: {androidx/emoji2/text, f010f8538fde84c5f69a10a27a57674d}
retrofit2/converter/gson: {retrofit2/converter/gson, d5e28583fba5aa0691a3fa81ecf908c2}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
com/bumptech/glide: {com/bumptech/glide, 1cb12ef01941d739ed9608d477b322cb}
org/commonmark: {org/commonmark, d01c68614664bf6719d8ed8791ceed1b}
kotlin/ranges: {kotlin/ranges, a0bd7503fdb1a5ab73f804de03d506b0}
androidx/tracing: {androidx/tracing, 84d2aab0b79110d8aded58cca6993973}
com/github/chrisbanes: {com/github/chrisbanes, c0d4853c99235a1ee8c1d04501430113}
com/google/gson: {com/google/gson, 8e086e14827e8cf10228ecab9626853f}
de/foodsharing: {de/foodsharing, 5ccba2d5e9abefa0570ad88380b9deeb}
