a6: {a6, d9b60710f50923ddd27ba7b908341f42}
P5: {P5, c9988d39b6ba59942e7407de9825606c}
o2: {o2, 5328015d55d27d818397f2749b154901}
androidx/lifecycle: {androidx/lifecycle, 8ea9150886564cc1085211064c50b1e9}
c3: {c3, ca4b84e89073ddc83deab73bb553f2c6}
h4: {h4, 913bbf116ab2af3d033d7ce62787260b}
org/conscrypt: {org/conscrypt, ea7e8ee7af6aee3f41c588a5423a82f0}
t4: {t4, 86d1a4ae86e2990f066d64736ddb156b}
c8: {c8, 0a8268181d1b590392816c544064b144}
h3: {h3, f44fa6fbbc693dedf887a7fe8f8936d2}
r7: {r7, 31abaea82a5dcb9e0a6cd59d5ddb9d0f}
s7: {s7, a3bd9b336801f4ef1ec939e0d7f33647}
Y0: {Y0, 8e491fa3c0123d0f469814a481a6e221}
q1: {q1, 8458670e6eb23e64239ed1914b81eb76}
K5: {K5, 2acf59b07c2f2281de29dce2d2fc7495}
androidx/media: {androidx/media, 10c4839ab28918bb1e134d57433411ab}
b0: {b0, c7ecd5399dc2257f6971f00c2120c796}
R7: {R7, c7593cc630300f8912249b79bef60779}
c: {c, 6531fdb59d77719fdf3abcc7ca8a86b1}
J1: {J1, ea4e9157e21c9a213399fb90a9bea751}
S7: {S7, 7776dcfcfd366b02a0a17356fde5e747}
u: {u, beed68af658a371098d9bf816c5a0905}
Y7: {Y7, c127630eef3ad01f82faa6dfeb5c1178}
W5: {W5, f568023bbb8c438ec557f69d20fc7fbd}
f3: {f3, a3d77cd1ad7eb79df6a2962a5f977a97}
U7: {U7, 78f5dcf65404b184c6c88b930d46789b}
V7: {V7, 56f067a5c39139a783cbdfbc0d69e1f5}
org/bouncycastle/jcajce: {org/bouncycastle/jcajce, 8e9aadd69667a539b9924836947cd442}
I0: {I0, 4a6dd6dfdc9b42fe3ec2374115bf6c2e}
z2: {z2, fba6c1d7c63e62c8927ef9c08991b5a6}
F3: {F3, 21bbad5dc056d5bf10850ac6944b118c}
G0: {G0, 82b7711343dfd4eda88093ee9d1b66cc}
n: {n, 2264a74b4cdb5465e262acbcfd90c9c7}
p6: {p6, 803552e39b40ee83ea6a69ef52e52144}
d4: {d4, cf03e4283f180df946e4bbdd26ae9ffd}
e2: {e2, 267479c411f17d06986d34c62423df23}
C3: {C3, ebefe2b5355b37d529ff5ac93bcad031}
Z5: {Z5, 8115ca59132277adfb206025be50d44a}
y3: {y3, bfdbe5f2021576848de3580bef13d6be}
O7: {O7, 228d55f17b60969ee6d7686603f84d55}
T0: {T0, 3cfff8e6fb8cd194eab880970a50fa7f}
a1: {a1, e7318847877018b554cfb580791c2ef1}
N: {N, 7f813742dc9f3a312fbcdc296794069c}
n6: {n6, e92d8ffe88a947c9a086c736757e7030}
D4: {D4, f434c4e431b8d2fe7e4e3c952ffcfb54}
E2: {E2, 72945cf125835e621fa96996707c160e}
x3: {x3, ab83ccbbf4d00c3167a7f57d494364f4}
k4: {k4, 784a16f12a8e797009a23887139ccac2}
n1: {n1, 8aab16a7f4a892bd28b84d15260b1c9d}
androidx/emoji2/widget: {androidx/emoji2/widget, e04f1b4c33568d6ad177846b95132354}
B0: {B0, b3834de99e349cac4f5fe60ef6b850e4}
H7: {H7, 4e693a7c2801512f5cbc0d1f742bcf53}
i8: {i8, 8ccb7caac4f18f2eb5998f57678b3a68}
j6: {j6, eed607c4b5db1fcd268e4efaa2030c8c}
G: {G, 74dfdb25c565f367cae91a0f8744b4c4}
N1: {N1, cbea5c5153a3cf9ded048c0a63095e94}
x4: {x4, 950cedc5434cd67a1b79cc23d0d2054a}
a8: {a8, 9312dc933cf73e566a4352f011363765}
Q5: {Q5, d27551407d6c053ef98e85561d4e5edc}
h0: {h0, 5acf7aced85a07905a3f9d81131a5e8c}
i6: {i6, ec7c71a3d7d279078ddafd35b22fded1}
g4: {g4, 4f0263033328e2777a1bc898b48aa959}
androidx/core/content: {androidx/core/content, 63023d1f955590104da9da5f31af191a}
l6: {l6, 206e4f46a4f5783373a229ac72ca4507}
u6: {u6, 4ba704bde6c75b48ca3f8942d15feaa2}
m0: {m0, c71fa31b0e022ad504f8666cdf460f13}
v4: {v4, 41203a0fa6392012edf002dfb065918c}
Z2: {Z2, c43d57ad2460bc4b41438d2f6068f017}
L6: {L6, 09605eb72bf71fbc6805762331c465e5}
M0: {M0, 17a090fb04e5fab8b190bf841c743b62}
W0: {W0, 92a9262453619e9f54898406545de9a7}
q: {q, 3744d9771f7e177291c5cb670c952a69}
J5: {J5, f2c0ab0033b9dba5248bed9a187813ba}
b4: {b4, 171f456f62f89c94798d000e0c0cbe56}
o1: {o1, 4124d49b0032708d8f22b4a0a5f28a3f}
K1: {K1, 67e654bc91bb4d881a13c9cd216e2ff1}
J: {J, 39244d980991daa366e9aeb9228c2d7b}
Y3: {Y3, c0d73cbba7c852a29cafb9523b6f1fe3}
t1: {t1, a45efd9382ba62342319994cce4e08cc}
P1: {P1, 857b08a7df70a71abe09bd3678154d2b}
o6: {o6, adb5b6589a854b07369e9c2964ea6814}
A1: {A1, 8a9dd0a1356f85de11494a2047460a69}
N6: {N6, e577c5f83e413ea11829631004a536ba}
x: {x, e93777b10429f47d865a0da63d99fe28}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, fc196ac02788d91ad7d9994d1a3d2799}
r0: {r0, 41ce79176cb961f0b777d35d8325cf57}
X3: {X3, 9f772c66c305548afc470b05cd20a31e}
p2: {p2, 83b03c025cf04d14beb63f295d79a0ad}
d8: {d8, e026a422c2fc34dea04b286c662b4b45}
V3: {V3, 2d761edf814e108c2f9115a8f9e2fe6a}
j: {j, bb7b88e50d57234e942b6d18cb4b0336}
q4: {q4, 0b40adb4fa8cf1e300b42ba136552f02}
X: {X, 35ff465fd9d8a7add13e3afb530d936e}
R0: {R0, 56808e2d808c3441855ad5ea01eb443f}
S3: {S3, e1db191cb02d28a44287f286f931753b}
X4: {X4, f6be42811f8ca3c7ad31d5df0389f8a2}
e6: {e6, 3c12fc6b8f55fab0318e6b22ba73f244}
G4: {G4, 5a7dfd0bb9186e7189ce31ce1bb0d7f2}
f4: {f4, 6b70465f4cc314deb7831e7dedbf92a1}
T4: {T4, e654a3fb8517ce73a798a9937a73efcc}
H3: {H3, af51c505c5d9ff3c181de60f1eaa7c86}
E6: {E6, 45670560dd05b24438f767087bdc7c0e}
F4: {F4, df242dab7c96f19a33005025627f463c}
C6: {C6, 6d128fb81a9313fcd86513987fe98dcf}
z6: {z6, 16a1c4046e27430e5918761a4d8707e4}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
Q: {Q, c18ca38fdc82c80ea312bbd1c83a6ee5}
w3: {w3, 0b36bb7edd90c98d64c91f08b06e9144}
I3: {I3, a7d04c1f5b8cd83411945e8b1c7e525b}
d1: {d1, 365f1b2f30ab5597b0e7a2f6fac8dde2}
B4: {B4, 5dfb5707a2723b2f50cd3dbe7aa405ee}
x0: {x0, bf4af58b145ea483e8d1ab817f174b8d}
y6: {y6, 86f5343790b3ede2dc654bada1c11655}
Z6: {Z6, b4f0df4d61bbd43f12bb0c3a8769f4ae}
m3: {m3, 02feb79f84202cbafe5663971defe212}
i2: {i2, 742fe9e08179a40ea93f2aba1b214ecf}
D1: {D1, 01428bdde5d647e76c6aab0da3984079}
C: {C, 5f4ffd45093b5a4cc08ae3f529d625af}
a4: {a4, 82e952778e7a10a097c1265b53e1d2bd}
j8: {j8, 36cdb2056e80d5de16db98af5da603a1}
j3: {j3, e8500f97cb6128cb7380de0f0fc4b207}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
m4: {m4, c262d074529cd5124ebd39324b211092}
d: {d, 02232cb9df40f0b9899da492b515599f}
n2: {n2, 0b8e81159d6fece36a809fc6a1c2b933}
O2: {O2, 185a4c161f90f951240a555be330070d}
v0: {v0, e4bf918529de33289d75d16636580ee6}
H4: {H4, c89646eb16de8a7e3dbf0ee578696cbc}
g3: {g3, 34fe441bd34970149841460a6a0bdd66}
M4: {M4, f1161b8c8de6deee1cdc6b83e1e8a97b}
r4: {r4, 174a7c39f5f1f8b4d1919cc4971c665a}
N2: {N2, e85aaaf9decb87a7f15581e8d8626d58}
com/mikepenz/iconics: {com/mikepenz/iconics, c985e619f9f5ccc395f7708f08df5a95}
P6: {P6, 6f2f9f9b344a399ab55b3633f88bcab2}
o5: {o5, a1e5d8306adef89d817ca917cbfba1bb}
h5: {h5, 0f8f7c7a078d759b24b09d6263e42100}
androidx/sharetarget: {androidx/sharetarget, 2dcee44999008018687e1981fd65a3a5}
Q1: {Q1, 916d3e4768375e2a833221ab5dace314}
t5: {t5, f7784be738d0ddf6080b1c0dc9ca57e4}
l3: {l3, 5d836e1f254f2969c53a18548c7ad249}
u1: {u1, b6cad908f4facc604fa5816841eb99bc}
s6: {s6, d8d7d17fe2c8ed129205952d5391ba1e}
com/keylesspalace/tusky: {com/keylesspalace/tusky, 7c7825591220ddd6534445fb0f2bb168}
U: {U, 1f2d16dc39607a62aea55cb652ae8ff7}
b8: {b8, e70f4613576f7b8b9cbc2ddf899a7db0}
K4: {K4, 5f85e743c1c53d6ce7e35f0ad0c07a86}
b1: {b1, 99a7454551caff4b93ca561385ccefc6}
q0: {q0, d44bf12ec7958879535f9125ee5a5c4b}
f0: {f0, 07b00606f7b10c2e26b325cf6fb9e42a}
L3: {L3, 3f959c7df038021f1544c6c2f1fc1e49}
c5: {c5, 8fcf20b2733f13e55dd373d4bd139245}
androidx/profileinstaller: {androidx/profileinstaller, 74b2166171c3f8ae831aeb201f7d723f}
S6: {S6, 4e3540674b994777615dd5e10faae7fc}
v: {v, 96d665bca90bcb97ef220d54542d69cd}
J6: {J6, 4f6ac2c523c96026e97fc28080f14901}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 9ddc885a4931dbd01016b3b140e60990}
X0: {X0, dba9d3a8f8b5f480ebf59492f3cd60dd}
Y6: {Y6, 98424e7bbb8f071ad3b6e9c7d98b5fe6}
W4: {W4, aba011d34834a80c1e76e1994a055c37}
M3: {M3, 440e05fa6adde148fb3d0027526da0ee}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
A4: {A4, 5e5c9d1519490628bbd120def48958ec}
w7: {w7, 1e2a157fdb952e80a539111e68dd8767}
U6: {U6, f67b8726d99705a4a2ca77248367101a}
androidx/core/app: {androidx/core/app, e0ce0cfa0087f2b853b5235dcc14d146}
p7: {p7, 1d88acd30d30fde47c27abb3677183c1}
V4: {V4, 4138edf442566019695a28decad4843e}
z3: {z3, 5c010f98bc4f2b98385f107d7ad0a2f3}
s5: {s5, 6c32158a27d16868a0bea6e0cefd3c4d}
G3: {G3, 5725b9f5945c428df43e8b6ac2d17361}
R4: {R4, ae1a929515d3369775c4cc75bffc0bfc}
d5: {d5, c109b42ef690436be39971fa2fc08ed0}
e1: {e1, 9200bff5a49e1a28fad7401214381e5b}
C2: {C2, c413bd45031189ab2a7c531a4396b369}
y2: {y2, d6c9c8d3779b0e03d92a13684400077e}
T1: {T1, f75c39450ef3d0b1ea9deea5e9ee8112}
O6: {O6, ec812fab2b797ccf7074e3bf7b9e3c6b}
n7: {n7, 0a23522f2ea5973f555665c77c90d883}
D5: {D5, acf7ef943fdeb3cbfed8dd0d8f584731}
a0: {a0, 1143f3f46bdb2970fdd4015e35524aa3}
E1: {E1, 6a428e67ac26f2ceb430643c622f56d1}
B1: {B1, 0def7af167f7f7e02f169a4ec3fcb8b4}
k7: {k7, 490cc024348df213d0fe607538e455f1}
p8: {p8, 4655832cb2046fcae33682bf4120f06c}
F0: {F0, 0a2c0f16044f0b91d91e25eb0306c502}
C5: {C5, 76d987c8f7fff9c7fce7cdb85d046211}
H0: {H0, 9e6f7a1b8dd611e9710af2edf131a376}
I6: {I6, b8b5f6a4813489b4770cb0115479dec5}
V: {V, 4b06a6ee509be98c622af0f38a655337}
j7: {j7, ed76d1e28cb3e2a9005c48f05f078a27}
a7: {a7, a75cc83b7777a89010a0b97c0db6a142}
s2: {s2, a2d66ec88aca9b0df95506c767cc0ce5}
androidx/work: {androidx/work, be63bbf3185333bb38310550cd363c18}
l0: {l0, c1308feeefbf272a1d12e089e434893f}
h1: {h1, 057de97836a8677556fc3d5ad7c82f05}
androidx/emoji2/text: {androidx/emoji2/text, de3768eab5aebe378f75be4b1dfa4045}
i5: {i5, 5bce64952ffac386273c61d690602473}
v5: {v5, 6f3d9b1a2c354d5146d1b1bbd50be45e}
l7: {l7, 429e1e4e99493350e44c577f80768e95}
O: {O, d6940e8aeda1de0082ef966e26d4f745}
m7: {m7, b1b487815488ba385247ef67cb68e63b}
Z3: {Z3, 4cf0af013bad108c37e0bf66a58aa5cf}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 28eadb57dfc2a14beba86dfc25490ec7}
u5: {u5, 7ae7bdb914cdd7eec379652d789f718d}
O1: {O1, a3c077d48f639b02af0a2a01657654be}
h8: {h8, 3b331620979bb66d78262d1a2c6f006b}
androidx/core/widget: {androidx/core/widget, 3ef71f936fbba04ce697831fcd96ad96}
L7: {L7, 0eb863a60dcc566d2812f915fcfe71c2}
c1: {c1, 3e6a95e8f695798c50551f3360487ece}
M7: {M7, a02b27c8eda0757624126b432bad1fd8}
androidx/preference: {androidx/preference, 8213a19f4ec10bbac38ce6cbfd21cd3d}
W3: {W3, a90ba59dbe0f0050bf58712308c21f16}
o0: {o0, bd3e54069ab5ea6e83946370005ad39f}
K0: {K0, 500a2c521d6ce2c352b078461a1fdf12}
P2: {P2, 9f0dc6af28556a5b11bbcf22a579eae7}
Y2: {Y2, 0e4b1d152f6c344278072b0df00f37ef}
Q4: {Q4, 14db32b3584614a5b83506b107b97a5a}
t2: {t2, 8de6442fbefaf2bab26d8ca32eaf5dbf}
N7: {N7, 0f9f82624ceba5f834ba817d8305b871}
r1: {r1, 594f0609d62f5728e9fc1d494a9e5131}
A0: {A0, ca155841a52519516e6bd3dc8268b01b}
y: {y, ada3932b2d2e9fdfcc21fe4e1ba7296f}
J3: {J3, 60c8d5d5e43ef2b5a3aafd160c839a63}
p3: {p3, bb174e7bff736904d7e2f2dbfdc7a389}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
e5: {e5, da14aa4e87a82515da36fab9b0b2dcbf}
b2: {b2, 83137916169a154a3a18f9e6e6594195}
q3: {q3, 603d3d2daaf7a3d1c86d7bc6fb335b3f}
R1: {R1, ce68a738359cb9aca9d813e2f4c4c753}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
V0: {V0, dc0e295b67ed5e001f5bd36e4bf32504}
S5: {S5, 542d4959e0b0f091eb32d9108d3f3aae}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 2701d22232988ed1c06516ce5d3f9db4}
A7: {A7, 048e4cc304ce5d76fd9978f1bea12c7a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 18131bcba605563eaf638a100c4ea5cb}
X5: {X5, d33e251e919f51146fb3a054ba81cb54}
r: {r, 2654db6f8c68968250c2565f0c617bbe}
f5: {f5, ca5ebeded20e3da2a4a847e879735a93}
L0: {L0, 1a93031e83d5dbb0a4360615490258cf}
com/mikepenz/materialdrawer: {com/mikepenz/materialdrawer, f2f32591efed1e27307c9736f220a369}
T5: {T5, 4240ad9562462e2dfc733b08d610c96b}
androidx/room: {androidx/room, 77fc801c908d0635eb8b9d36584d3da7}
U1: {U1, d45ad5e16a7805ffea249a29c2a07e7f}
R: {R, 59cca5fb4a9c7beb00cace79c9575aad}
F5: {F5, acf7ef943fdeb3cbfed8dd0d8f584731}
S2: {S2, 6db2dc1384f075816d68abb02ab47b6b}
C1: {C1, 1ff6f543bdd7daa3c26eb92b5d4cc857}
I2: {I2, 04d686342ccc0c4c409b86f9f8e5887c}
d2: {d2, f38db90edc4d7b2a6b4f420a277457de}
B5: {B5, b3ee7839e83a0f92210f9a9e328cdff2}
x1: {x1, cbfddd498fc398b18170b100216912d5}
Z7: {Z7, 7931cb159b41a616864ea02eeb7c695f}
m2: {m2, 84b0fb9b390f13d98e030fa9e83203cc}
at/connyduck/sparkbutton: {at/connyduck/sparkbutton, 2dedf9790c32f5b989980e9f69fcaa30}
L: {L, c5214a651346f5a8cecb20ffdc2fc148}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
n8: {n8, d68bd2da36912ff4cc0c4ae433b40422}
D2: {D2, dbf359ec00383e4d4ac61938ddbd86db}
a3: {a3, ff36865be957f6231b4bbcd1aa051c76}
K: {K, 2113d5b9ebadbd3b52661100549368f0}
androidx/fragment/app: {androidx/fragment/app, 97ce28eb0e71c14a2ec482dad53df581}
j0: {j0, e41f9f8d41f0b0d4d922f6f940014155}
E5: {E5, 201a61d54fac246be4d6350af14f666d}
B2: {B2, 3f1703d6b1de0d8b04dbec82b703801b}
n3: {n3, 620dd063bae76af798f894d26b813c55}
e: {e, b8f77be5608af63e28744371cd319452}
O5: {O5, 4d39faff566108479d0a9b3d1d546dfa}
H5: {H5, 9ec320473c4162f440bb9d0b52a49fb0}
v1: {v1, ff2bb69dfb849894a48f9393efa87852}
N3: {N3, b8b3b5802db7c48085961d2ae2d40025}
E: {E, 228a148aba60bfdbe13138fa408b42fb}
f8: {f8, 2cf2fcd2de545ec0281f44eef18f3698}
Q7: {Q7, 7198be96c39732a8de6cd6c80f95e854}
o4: {o4, f520aaba79e80fb52cc1fd0f6079f2fe}
g2: {g2, b40fa51986da363bdf4ec1575f108889}
u0: {u0, 96b8fd0e11a2f61c2d6ab46a533712ce}
Q0: {Q0, a680ab528c91156184840fff6d4b4db3}
i1: {i1, ba51f3b6cc6878fc855da49d85436f1b}
l4: {l4, a9daa3bb651f5bd2c863edd19ef92e69}
s1: {s1, 1e201c7ce82afa5c5a01f76a6235e216}
t6: {t6, 2d738b395e5326feb2514f94ae6ca971}
