androidx/appcompat: {androidx/appcompat, bdc8d13c733d0ef303b0482fc70551c5}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f0aef21b0c9d4af3a0dba07117a26934}
androidx/transition: {androidx/transition, 930ee0a76ae11bc0d40d78eae435952e}
kotlin/random: {kotlin/random, 71ad2d439774914cf52390a2f1115347}
androidx/cursoradapter: {androidx/cursoradapter, 68e4266ff8e932dd885b3d5b26be0574}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8409ce40a073552f045a835bebbc8aba}
androidx/cardview: {androidx/cardview, 1d53ff55e74138094eb22439af0140d4}
com/google/gson: {com/google/gson, 6da211ec047201acfab35e18b11dab4b}
androidx/core: {androidx/core, 5764b23416bf2dfe19d2a73e1b94fef1}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, a06e0b59822194579867fb21e8d1f2a0}
kotlinx/coroutines: {kotlinx/coroutines, f5347676a16a1ea8529f704be241abbc}
androidx/exifinterface: {androidx/exifinterface, 2bab709906467a08e6693887d6dd7352}
androidx/emoji2: {androidx/emoji2, 473b256e0a086bbbb494f79514c16b82}
com/google/android: {com/google/android, 455f5e01cf13df122177df70281477e2}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/livinglifetechway/quickpermissions_kotlin: {com/livinglifetechway/quickpermissions_kotlin, 10271cdb0e14c83adf67f02c124d08b6}
org/commonmark/ext: {[org/commonmark/ext, org/commonmark/node, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/concurrent: {kotlin/concurrent, 6a614850559066b303bfafd588e232c4}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
kotlin/text: {kotlin/text, 64093e36ef41d0a24c4ef4e5430832d7}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 247049bb8b5224ef3219ed21d272408b}
androidx/arch/core: {androidx/arch/core, 21c8ec1fc737baaf7d820141697af356}
com/livinglifetechway/quickpermissionskotlin: {com/livinglifetechway/quickpermissionskotlin, d5d3e0e6b0cb5913030e1121d7e69a05}
kotlin/time: {kotlin/time, d489446abe6b3d808b81ea134f804492}
kotlin/properties: {kotlin/properties, 7b17590e1bdfb31b39aa5a28d044ff56}
androidx/viewpager2: {androidx/viewpager2, 147fe4e4cddc79c39b0d48b8afcc55de}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 2630961567c8954e0fcb403ee93c62c2}
androidx/documentfile: {androidx/documentfile, a8b891a7331505b2304bc17c34adce8c}
androidx/print: {androidx/print, 19eb2a49fdeda506e3391b1ebff8eabe}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 976d18440c6b2f532ced1864946896be}
kotlin/ranges: {kotlin/ranges, 1798950fa4b23cbd9f692f221ef133ab}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
io/swagger/annotations: {io/swagger/annotations, a561555e312001cd3bf24bd19552b147}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ee142642394ae2335c15f007bd311042}
com/squareup/picasso: {com/squareup/picasso, 2ec7a5977029fc2380c7dde529499735}
androidx/concurrent/futures: {androidx/concurrent/futures, 56002bc6cc19b5a925f5b86ab4a9a242}
androidx/customview: {androidx/customview, 0b36b5ee82633952d4bb9bdd538d9374}
kotlin/comparisons: {kotlin/comparisons, 556e242f87b539de2a27de934bacc099}
androidx/window: {androidx/window, d9eed38b45c0a06684966e3821d89e00}
androidx/annotation: {androidx/annotation, ed9f67e5ed6a73479f4a08cc73aa55f1}
com/github/gotify: {com/github/gotify, 483630392ebd961cb4f3b4574697c47b}
androidx/dynamicanimation: {androidx/dynamicanimation, c528bc99888af18a77078acb9abc9aa0}
io/noties/markwon: {io/noties/markwon, 73e8d9bee1c8f5731fd4cdc57e7486b5}
kotlin/jvm: {kotlin/jvm, 255a273b748eb7e6b83edf8130a85276}
