androidx/appcompat: {androidx/appcompat, c68b50267905748ae1a49857c7bc8412}
J: {J, 3f4999645a03378c7978ddedb439c109}
androidx/versionedparcelable: {androidx/versionedparcelable, 116be1bb8bb448935fb485b390a5bf93}
okhttp3: {okhttp3, 168046e0d85f3d8526a1d14548254a43}
android/view: {android/view, 9651a9b8f8956924a1542647ebea0de4}
androidx/core: {androidx/core, b6f251a5f5069c0ade2dcb66d8887736}
android/icu/util: {android/icu/util, 0c248c7ad95169e1412945fd6b802162}
androidx/collection: {androidx/collection, fcb19426d4b7a2e0f368b5b6ef2c8933}
curtains: {curtains, 3519d5989bfd99258a366db813299219}
androidx/transition: {androidx/transition, ffba8e9a405bc64dd0ca44753fd4685b}
org/chromium/build: {org/chromium/build, b88d6e77bcd8df50b4ab56ec972e421b}
androidx/media: {androidx/media, 5a42014acef1c6bcbf5ef97a75a9926c}
androidx/browser/customtabs: {androidx/browser/customtabs, fb45f853ea95cdb9ba64a65f0806af8e}
androidx/viewpager/widget: {androidx/viewpager/widget, bd7fb20396cce7a29bdba45279958bbb}
com/google/android: {com/google/android, e9d6d6e3d125e50d6ff7274c391590b3}
android/app: {android/app, d95ade958639a701a60a0ea8ed26ff6e}
com/skydoves/balloon: {com/skydoves/balloon, 7ed98d66581d507b4cb2b9594fe6f1c6}
IEnvoyProxy: {IEnvoyProxy, 7297af045a73f24a15bb7d744731bfd9}
androidx/viewpager2: {androidx/viewpager2, d6257b8a4d63777d62019b1855b05a3c}
kotlinx/coroutines: {kotlinx/coroutines, 91c34af101a5662160f6dd29e31e2e22}
org/apache/commons: {org/apache/commons, 73ac818b6f92a10a164d2df5d63373da}
androidx/recyclerview: {androidx/recyclerview, 5c2ec9e1d77fd2d040500e205bed9a7d}
kotlin/comparisons: {kotlin/comparisons, 9dca0e7471e34c5d4367b4a87831988c}
com/android/installreferrer: {com/android/installreferrer, 260c6835a716a1a2987d8d4c6318bf7b}
kotlin/jvm: {kotlin/jvm, 7aaee169ab9c0c9dc7537cb92ae83aa8}
android/content: {android/content, 6dcac928194f0c0ff8e54bccac8f76ba}
kotlin/io: {kotlin/io, dfb82e69d32e0db78070bc05991cf68e}
android/security: {android/security, fc6f99f70236ce11eac0fb3d6aeb3b33}
kotlinx/parcelize: {kotlinx/parcelize, 430a14a5e807f6d6a02e3053930895fd}
go: {go, 2730b360b5b2642acab018a35fcb0e9a}
android/net: {android/net, 3ef3d1823ac4c8a03c4402610a70d6de}
androidx/emoji2/text: {androidx/emoji2/text, 8e05c24701e0800da4b7ef190b54e141}
org/reactivestreams: {org/reactivestreams, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 22d06a0f84345f32e1e7dbb174a46f6e}
org/chromium/net: {org/chromium/net, 03d7aa65d0346789e45a13969ded0f12}
androidx/drawerlayout: {androidx/drawerlayout, 3b0083c30851d4f18259e976fd009016}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
androidx/arch/core: {androidx/arch/core, 44978b7b63bb95b0bf29b5b4b29e318f}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 305dace1cd97a96b198b9dfdbce11561}
org/chromium/url: {org/chromium/url, 11921e079ac5b8e8eb38981675d97e02}
okio/internal: {okio/internal, 036695cc4a75642c6b9683bb0f8d9c2d}
org/wikipedia: {org/wikipedia, d680fe1cc0e6132b22cb59851fddbd67}
kotlin/collections: {kotlin/collections, 0ee99340340ead1921f82e6a733ddae7}
kotlin: {kotlin, 21c95aed5fbc1ecfda6a4e725f9448a3}
androidx/customview/widget: {androidx/customview/widget, 89e504fc21a7fecfb0d7e4b7e080f23d}
androidx/fragment: {androidx/fragment, 53ef4d21262fe7cbca750d317c8278a2}
leakcanary: {leakcanary, 5c76cdf8b90b0bd464578325d7b49944}
kotlin/coroutines: {kotlin/coroutines, 6dc5aee39d8765ae2964330343c6c753}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 47fb0edeefa7013ce7ff5fe609ea098a}
curtains/internal: {curtains/internal, c0739bb08be7a9e829b301805615770a}
okio: {okio, 7b1200f806c4e60043877b971d2a68ec}
androidx/paging: {androidx/paging, 83da3fad31229082d06d6030a9ebacaa}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 155ba403636209b8df2a586bb73b74d2}
androidx/work: {androidx/work, 96fe0a1a283d5aa7c75c410ddae889da}
android/text: {android/text, ea1be5e9adc911e85d1aa7c52f0af9be}
android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
kotlin/time: {kotlin/time, dea1643d1d61b6972484157b2ce6eeed}
androidx/exifinterface/media: {androidx/exifinterface/media, 5e899eed864b3e1ed93a95f9847d7eb0}
org/jsoup: {org/jsoup, a4589a3821de49f83d138204d5a6b459}
com/bumptech/glide: {com/bumptech/glide, 0f365827ca1862b5d02bb344cd109ee8}
kotlin/ranges: {kotlin/ranges, 1185fbe01fa594d92fa7a923367b113c}
androidx/tracing: {androidx/tracing, 80130ce2864b14040e1c4569c8b7d9e6}
com/github/chrisbanes: {com/github/chrisbanes, 528b7939ff7dab69af4d6ae8a4e731f0}
okhttp3/logging: {okhttp3/logging, bfaa8ce8bdac37620b47bc734e6e9b0d}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 36cab7fcaa591c116e9949606784b2f3}
