a6: {a6, 16e60a4dcf18bf79bddd016ab6e08198}
androidx/savedstate: {androidx/savedstate, dd8866be1dac8b6c2b1b90c834311aed}
m5: {m5, 64803dae05ddf32ad16debb333a0587c}
t3: {t3, acf7ef943fdeb3cbfed8dd0d8f584731}
j2: {j2, 6e1b35f8e8140c0980e0788aa3da708d}
v3: {v3, 1ce2ea7995d686c8a6ac4a6a2593d1b8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 36d3ce80d1659e6a753ec2a648fe5d2c}
h2: {h2, d70784d49658d35ed29a712f0eeecf59}
n5: {n5, 5d41f3509799cddd4af27a368c133741}
u3: {u3, 2e9ac9dc90df63a21d77642527206763}
r: {r, c6b6222284022bb8189ae4ab44b7873d}
f5: {f5, fd06787b0cb5aae642fa337d4824dc43}
androidx/appcompat/view: {androidx/appcompat/view, 8f1658710c51aa07034c67f48504350d}
androidx/navigation/fragment: {androidx/navigation/fragment, bb9e0a39fb4993bca2081ff2819bee51}
w3: {w3, b3fbb71c7e37512df74fba802cdad32e}
z: {z, e51fda844e0ce2587b8a2c7683c8034d}
r6: {r6, d10228515309eb5e84720e8cc208ccbd}
s4: {s4, b62e4ecb4d29efd8093f6422144b8d20}
c: {c, c989777ce9fcebe6e0f8b8c3adff554d}
k0: {k0, 59b2f6953384cf3d80453982d54be914}
g0: {g0, b9645be89e5b0dc087426fe974d8520e}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 35edd29b21f31a38e7791b3c2c45caff}
b3: {b3, c7263d26e757eacb985ae3266677e619}
androidx/room: {androidx/room, de3f6953bbeeb787cba30a6d83fbeba8}
w2: {w2, ff1a0a129fb6ee9e9d29cda98de89bdb}
q2: {q2, df2de3abae6921ff2386415b5c118857}
im/tox/tox4j: {im/tox/tox4j, dd0ab0c8e132e0131c964971e94f075c}
e4: {e4, 39d48ed4c1f9a5056a4193d9066fcb3a}
o2: {o2, cf8b004c0659fede70353522eb59fba3}
m3: {m3, 28fa4d2fd665d48cbad1130de17d7a55}
i2: {i2, 5fb3d805d424fbb30cdad8b153213148}
androidx/lifecycle: {androidx/lifecycle, 38985f944f23abef9e4fb141e986b883}
c3: {c3, a50d116a59edf9246aa35f95e48a57f0}
a4: {a4, 2178ec163e30aaf5259d75c1b23ca199}
h4: {h4, 631dccf7e867af07389031ff3242ca14}
t: {t, fb06f219a4420ac70faca8dae0777d8a}
g2: {g2, bdf48934529e16347c670dc9c64e9e7b}
j3: {j3, 8cb29079cf6a30af6b0980991cd424c2}
m4: {m4, 7c9c4fe3b45b70862e2785534764cb23}
t4: {t4, be9f517b4fd0209c306d13024d4f5429}
u2: {u2, f7f164ed0ebe9952c69ae3dd3ccb1092}
s: {s, 8301c703503451387302475e04a48aab}
d: {d, f5b6050c4bf1ebecaa489ff810ca34fe}
androidx/startup: {androidx/startup, 4ad5bf03054ff4566f7486185ac9b499}
h3: {h3, c21ef508a04b865582c4c1af396ff10d}
n2: {n2, 3b0472adba542134167e2c3ff83cb71c}
k3: {k3, 53377210fcd65e81de4b203802dc8d99}
p4: {p4, c6055f6a7077a8c3598080da4bc2bb9b}
l: {l, e8919eb688af2d847c77c02c8bb5e5f3}
y0: {y0, 39704b225440c1b7b1d22a7b27bccaa6}
f2: {f2, 7749bb7bcec62435dbf173c790f63f0f}
v0: {v0, 43da0280c4cdb4c9a5942b24b82d4f6a}
d2: {d2, db9bac77242c5093af0d3071ae785b22}
q1: {q1, 711c733c2cbd7f3e889e49814e8e6262}
x1: {x1, 7efb5a50c5a40b9e150687604fe83466}
g3: {g3, 7289c4856a2e1e1dee0a959094a23ab9}
r4: {r4, ec308b4d3316179a5be0ca6b4347c74b}
b0: {b0, 06a0b9e74e2c1979e10fc9908a3f6c79}
y5: {y5, e170aee1ed6df86dde8667a63753e221}
m2: {m2, 9149c844fa00932987861dedacf51f2d}
d1: {d1, fa04178e327e64d940f101751538886c}
o5: {o5, 8d7221df8286243cf71016d303de3797}
h5: {h5, 8ebdae2828aea8be663c5f5c6471b2a7}
w5: {w5, 44cc0423975a4380a24f754aa1a5b710}
c2: {c2, 49d0f6f722c83e5b477166b723659005}
a3: {a3, 2374db25b51d1eff4bce4df6202ded75}
z4: {z4, aa36b7ae2fd3cdae9d3580d0e7f46aa8}
androidx/fragment/app: {androidx/fragment/app, 2f6a05e94d11079905ca5f27a2100f9d}
t5: {t5, f872de4bc1ff409f5eac4a4dc878b513}
j0: {j0, ffe5c074b1aa068e04b2eea203feedd2}
l3: {l3, 651fe9585b5a940042619bd8e50b0539}
n3: {n3, 8f6a1d5cc24b7b6064d42cf47a7f0a01}
u1: {u1, dc9a685bd5f0cd77b7c0cf08f54d2257}
e: {e, c1ce5de3fd77fcef19cd47f48c0510c2}
p5: {p5, 8903056511f8fff772f1d250344d0ffd}
d3: {d3, 14a5ed459089cf96bbab9912d952c72b}
l0: {l0, 6d15238da726590cb242e335564a67ef}
f3: {f3, cd1385f0abd90ce3cfa9fba85c781048}
k2: {k2, 40f66c67910af0abfe24bbbdc108157d}
m: {m, c806f13b4648ba77fff5ac9be5d71e63}
e3: {e3, 4342df37d6b4ab6c98f1573cb906e252}
v1: {v1, 58011232acacfece7a35f279bd52ebeb}
y4: {y4, c3110fed4bbc9bf55579263fe84b9c37}
q0: {q0, 0bde80b0cc40d78924e71cbb9622a7db}
f0: {f0, 2da5cc83b5d7715606411029f3128971}
c5: {c5, 4d058e25c4b31d897e250a8171f900d8}
w4: {w4, b4d635b1ea13f68bb8e20d27de960690}
r5: {r5, 5224ccf7d622ee0078d7eb988c5379ca}
z2: {z2, 3986b58c1de2a0852a61a2784b14b5d6}
o4: {o4, 21c6836761ac320845ca2c1f040adea1}
m1: {m1, 1e6252d7167a37be5191bb3d3c3b2e0b}
y1: {y1, 6f2e50230ee5de85d20201bc033e0813}
x2: {x2, 324aac6b4da1e6fa780ed0c126e92449}
v: {v, f17b0daced052a78f6cfaa3ddcd7a987}
a2: {a2, dfcbe1184bb201d5beb55dcd660dd7a4}
h6: {h6, 4e11397de4dc70f2577a900903b8d36f}
androidx/core/app: {androidx/core/app, 991e6eac40c253af285ea5234cb1ef62}
n0: {n0, 21ab31bde705e3c045b940228676796c}
u0: {u0, 0dbfa17f153af2f1ce7a4e1660f63173}
k5: {k5, 0f787d106009b6ab290a2011b584cea1}
z5: {z5, b3cd775cb80c350338726b8e2cca3591}
i1: {i1, dcbf91d254309dc72ce18cd6cefba2f1}
f: {f, e6389722529181ce0b7f1a251624ba55}
kotlinx/coroutines/android: {kotlinx/coroutines/android, 7c4f3cb846db32d337c684dfe64de90e}
l4: {l4, 556e3de377891f50499d996eb99657f7}
n: {n, 19e11b44c2ff6823ddf4efb91fb1404f}
p6: {p6, 51e4853e550da164f3a31b15fab80911}
s1: {s1, 44f750a70ab64564bd878429f89a47d9}
e2: {e2, 3e9a5074d12ed71b37f20a7ce3fd3423}
j1: {j1, 3ac6503f9ae112336af9e5494c0d068e}
u: {u, 9e1085d8a2ac96e99eab7be60ecc3334}
y3: {y3, a8e0547c20e81d16c1be9cce6489cfad}
c4: {c4, 24d97f8e23a1f13f3c7e3f1d7ac7d982}
d4: {d4, 40b355d1a8a50b1a2eb6e130b393cb2e}
o: {o, e12aff47e1a2418619d9bdce20b87754}
f1: {f1, bce567dbeff1e25a1d81938cd988cd3b}
z3: {z3, 9ed6c61784bad9084c3dca3bad10fe4c}
a1: {a1, 071174483f8b06981c5a9534adb3baa6}
n6: {n6, 7ceeeb90d9fb1ad0969fc22201ffe583}
w: {w, 66292f17e8ad48f2d56400a71145ad38}
x3: {x3, 310bd0430bb39746d36e34e2cbaaed33}
g5: {g5, 85814b8f2c4bbc435f3fefdf4cffada6}
k4: {k4, c115417a84f59d8e93cf02b1c49c2650}
y: {y, 789576a6b3f82a3dd325b90a58038030}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 01c97ade124329711485ffc40eba4027}
g: {g, be40ef853bbbc174210e242ab65eb020}
n1: {n1, 11829a49f8f3e9933340b88ae56b7946}
androidx/appcompat/widget: {androidx/appcompat/widget, ff6d123f1ce1c8d98e9c7d04015fa43a}
l5: {l5, f0476306d6b5780de468dfd35216bed3}
i0: {i0, 4e1ca8a903e57bcdeb8a184a766d5bf7}
androidx/appcompat/app: {androidx/appcompat/app, 9a252ec0b5b5ce5e19d400210f6be060}
s0: {s0, 51c6ac85fac792d34864b88388ed385b}
u4: {u4, d6a7c8b699ae67f2f49174d7180d8f73}
r2: {r2, 3d1fd1704216e72beb4af512a8ad9afd}
e1: {e1, 745da1a29ab043d45cdf5a7ef9962498}
j6: {j6, 70f6b88baf1624449b769f7cb24e79a3}
y2: {y2, 39acb135248450f96b3639c63810fb12}
h: {h, 6dab4c4d2ed72fdda2bfb1c68150cf5f}
s3: {s3, daf740df9f1c072e375649173f81cc8b}
x4: {x4, b0d44b4dea77d046bbfdfc9216369180}
p0: {p0, 38b559d9c70e0d23a9dfb4b251c76620}
p: {p, cfc3b4124314b88df4cb69b1e2c98ae6}
androidx/emoji2/text: {androidx/emoji2/text, b0c709c34d65cd770b06349881651143}
z0: {z0, b920f16fb07f64b1457dc93fd9c32228}
a0: {a0, f85de2c8aa4691af30dba11ecf86795b}
h0: {h0, 5abf603fd5b78a544af4ce8960a06302}
i6: {i6, 42d6f13877245e6c9650373c87fad819}
g4: {g4, d52206726ec63ebc292d6eaf2d490911}
androidx/core/content: {androidx/core/content, e109697599804c9001b3eebc2322edf6}
s5: {s5, 32513188998ee5a114a67d03cdcb1c1e}
m0: {m0, a5b17216186644444358f11d6de6c1ca}
b6: {b6, 542dd9699021b2a489ba6c7d8f6e4a23}
v4: {v4, 1519437fcba20486c8b158ef01113ae3}
q6: {q6, 9e3cc63a86bd21ee025983ba6d966e37}
e0: {e0, 09de3fb925c66d759eb4a91f611e4127}
r3: {r3, 062b46b2679e6cf842f0a790d2a5821c}
com/squareup/picasso: {com/squareup/picasso, f1524b6463f8fad0082bdb63e0792cd6}
f6: {f6, 370b1c5c9a9b57e4cb65a44a820136a1}
c6: {c6, d20c2aa0f71beba4d9b8f4a50a022ccb}
l6: {l6, d2585930d6c8a8bb173d1fb1a0e22ee7}
x5: {x5, e5b013ba811376ea30ee2c9bcf9cb8dc}
d5: {d5, dd865ef814c4de37565ce57dda3588a1}
i: {i, 6630ddd2adf933ea9e8b73fb28b36f6f}
p1: {p1, 34f1938fd4d05c0159d7a63f0ed2e0ff}
s2: {s2, ff89291417fececd93a9d6b992b95cc6}
q: {q, f1b45847bde18f12910bb87a169c0ca8}
h1: {h1, 35269148cd8b3bf26a51e2a1f8c10f6f}
n4: {n4, 6fcf191afaa68bcccb9be2650adff495}
b4: {b4, 155010d7c42ce49cba5bb618819848b2}
o1: {o1, 13ba936f3c7fa060c596fa2b0f1818cd}
i5: {i5, 3a589bba2e863e0dbac079dd55a3116a}
v5: {v5, 5e7a3f51191a5cecb9fca66afa7e088d}
a: {a, 9807d5c8250c6c1ebcfea86d5c91ff22}
ltd/evilcorp/core: {ltd/evilcorp/core, c412e8af7d2f029675540bc02cbda851}
t1: {t1, 12b94814367d1bf8474e7231105a1094}
androidx/versionedparcelable: {androidx/versionedparcelable, 17d11d0836635d2e0f25e383be8bd90a}
o6: {o6, 519d691078cbed4ac460baf2ffcc4e38}
j4: {j4, 7f4a3ac24de5bfed5ab7619bb262114d}
w1: {w1, 7464cd3f3bf29117c866572294bd122f}
q5: {q5, a199da563c8e2ff459fd2cac00841c74}
androidx/recyclerview/widget: {androidx/recyclerview/widget, c7109b648610b8e3e104cbdcec3021a5}
x: {x, 0f711660e19f41cc3a66f23305735b78}
u5: {u5, f704fdd2b1a919ee2bcdfe893ce39f0f}
k6: {k6, d7a8c3a364c7325a49a0715310efba77}
r0: {r0, 3d16beeec04805b11076148751a528a8}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 191ea048fba1be77c3f6499c3d483fba}
