androidx/appcompat: {androidx/appcompat, 38dd8972fb8336cb82dd3f27bcb51b17}
androidx/media: {androidx/media, 24a29d00c8ca3cda1e7e2167b367b33e}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
butterknife/internal: {butterknife/internal, 9cb4819526dd4aa83ad7705e7db9c0b2}
androidx/loader/content: {androidx/loader/content, e59bbf40303d09707182d9d5fe9eccf2}
kotlin/sequences: {kotlin/sequences, f1d25ab4f4e1a5308a23ed0013f1aeca}
androidx/customview/view: {androidx/customview/view, ec4fb6896f48500c728736ec030fc771}
com/google/firebase: {[com/google/firebase, com/google/android, ], 5b9c5a9966a700c16dc94776c1bad77b}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
androidx/arch/core: {androidx/arch/core, a01e7b11c378caadb16705f43599ca81}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 7ca327d83b05fab575cf6844f9c563fa}
quickbeer/android: {quickbeer/android, 7ca759fe9bd6a358363ae3ae95e168c9}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 60ce49cf8da5bf16951126d202c2a9a0}
net/opacapp/multilinecollapsingtoolbar: {net/opacapp/multilinecollapsingtoolbar, 7691d5bf75dfc3b06cad655380a84497}
retrofit2/converter/gson: {retrofit2/converter/gson, d1eac816ba0b1fc07dc27ccf6b53df3d}
polanski/option: {polanski/option, a56a9f550406cff9e7078662b33258d2}
androidx/fragment/app: {androidx/fragment/app, c93975735256157a5859d7c62235f9b3}
androidx/interpolator/view: {androidx/interpolator/view, eae9875d5f6958d01515e2c21035f117}
androidx/legacy/content: {androidx/legacy/content, 68f209d9be553c3b4e5d6e3f00fd9eea}
com/caverock/androidsvg: {com/caverock/androidsvg, f62e41f18eee0397f32fba522eca17d3}
io/reactivex: {io/reactivex, 0e61820b1dd3d47c0dda26c83d28a03c}
androidx/legacy/widget: {androidx/legacy/widget, 39c08436fb97b169ecedbd9e63a3e509}
okhttp3/internal: {okhttp3/internal, 355de2e08c4f1ac4e67cecd23460d5ee}
kotlin/ranges: {kotlin/ranges, 30d5b2ea89833fa391980c64ef970b70}
com/bumptech/glide: {com/bumptech/glide, 03f325e188c2e29b8bd140df4caacfcc}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, 72c062cecdb05b393387c394db577901}
org/threeten/bp: {org/threeten/bp, d010f74e5cc077fa176ed6f2e2d96dc4}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 3b9fec085fd17b5d1e68f3ad2ddb1da7}
androidx/recyclerview: {androidx/recyclerview, b65ffd803f1d6087af7b3271a5858298}
kotlin/comparisons: {kotlin/comparisons, 3e9090a6c4f2196e0f8c9b279e287463}
com/squareup/picasso: {com/squareup/picasso, 751ed18c6c7c66f5f5d6b954b827b7eb}
okio: {okio, 6a034cbaffd8b11168f431ef760d76d4}
androidx/loader/app: {androidx/loader/app, 6bb18f6c07a5a22b707b7df0954d3807}
kotlin/jvm: {kotlin/jvm, 841dd2510cc3a8a4ad09e06cd5c039ae}
retrofit2: {retrofit2, 3965d4e9f51014f36047b24e97e75618}
