p2: {p2, 380d10aad84797a26f76d91cf40b7aea}
m0: {m0, 4f306b4854b6b321e5f633b3f77a19ec}
t0: {t0, 8e44b752607c3482e787beddb05ede1c}
v4: {v4, 960631c55a6e2da039ec2e27fdb99fd0}
e0: {e0, b608c4bf421bc8d766540949f9fac3b1}
r3: {r3, 125f7215ee16d61f1058403107b0ee3d}
ezvcard/parameter: {ezvcard/parameter, e902289c1c1d2160cf0f59b0a537e641}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 622b5a230a7bb91870758393f6d635a7}
i: {i, a72a65d24f3f61e188f2c6dd8ee8003c}
p1: {p1, fe0b05474359995a2b4d6e079fabf8f5}
freemarker/debug: {freemarker/debug, 99efa974dcea5f495e58d9c920bfc06c}
s2: {s2, 6dc22b9461ff4b13f6f04b7331ce72ee}
q: {q, 8889b1625e3cd38afe6e8a39810cb11e}
h1: {h1, a990d7f0ea910cd92f24f03f7e6b3ecc}
n4: {n4, d25ee5f4019158cde65dd1846bdfd2ab}
y1: {y1, 73ed703cb536b7645e2afa4e41be4e29}
ezvcard/util: {ezvcard/util, 6cf9abaf38cdf75c653c883b479af13f}
o1: {o1, 8358a89ce3632134edbc61f5db2973ee}
i5: {i5, 6959a972b9913d5a0531191a96f051f8}
a: {a, 5d0cd24ef693b066ad023ee5b6c1c1b6}
com/reginald/editspinner: {com/reginald/editspinner, d9fd7293e19dc3353cc8a0ee317917d0}
open/com/opencontactsdatasourcecontract: {open/com/opencontactsdatasourcecontract, 9cbafe25d864e8e30300ba6c6f700027}
t1: {t1, 3e9a5074d12ed71b37f20a7ce3fd3423}
androidx/versionedparcelable: {androidx/versionedparcelable, 0657a726ddcd754c4c2295851a7b1a87}
j4: {j4, c5931b3ab73de597a7dc5702ddf42dbf}
w1: {w1, 573e23a209d40a06198e7469bf0b8b25}
q5: {q5, 2c760d3d5e321b0c8cbca95bb8c52cd1}
androidx/recyclerview/widget: {androidx/recyclerview/widget, cdc7ef35f2c0cb788f6f7f69d5c3d4b4}
x: {x, 7085c697f2a8608100d947fe57edabba}
