androidx/appcompat: {androidx/appcompat, 41e71e4d8310d5417ad2a480bd8d094f}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 091230bf613794d96fd80492a2562d5d}
dagger/hilt/internal: {dagger/hilt/internal, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/sqlite/db: {androidx/sqlite/db, 7a36efb5433775c79924b28f2ebfb2f2}
androidx/lifecycle: {androidx/lifecycle, 14cbd8b28d90b6d2c5ec59c254c2eb14}
androidx/navigation: {androidx/navigation, 7f11bf8f771707d29b3dc19601dc671f}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2596c5cac5b509d523bc9f621763d17b}
kotlin/text: {kotlin/text, 3655c07c7f3b8f941653d21ed3b9b9b7}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/versionedparcelable: {androidx/versionedparcelable, 4697c2afb41a8c6118b193d80fece746}
okhttp3: {okhttp3, ccda899f7e1a6b0f5354eed4bab94d83}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, 4acbb8114e8c8bdcc677d6370b220e25}
androidx/collection: {androidx/collection, be406d772ee7f57443b43bb464a64a7d}
androidx/transition: {androidx/transition, 60227eba41615957cbc61556184ee260}
coil/request: {coil/request, 673a5edc272f3378a17a7368c4552724}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
androidx/media: {androidx/media, 489c2ad4dc86ddf00141fcc51b0acd38}
kotlin/jvm/functions: {kotlin/jvm/functions, 3c12fc6b8f55fab0318e6b22ba73f244}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
coil/target: {coil/target, 4fdd3b8b2afcce0b41b6f92eff19fd70}
androidx/viewpager2: {androidx/viewpager2, f56e8248f6d24585d487feb872a93862}
kotlinx/coroutines: {kotlinx/coroutines, 2f2b5676bb8a094bfd3e6692ef7c0a46}
coil/network: {coil/network, cc3508a732bc0049b5f9b2a0d87f9a0f}
androidx/recyclerview: {androidx/recyclerview, e3918e6bebedd1da46869e3d98028d6f}
kotlin/comparisons: {kotlin/comparisons, b58ac6c1eaa9f19fee922b61903e5e89}
coil/size: {coil/size, 9f61e61137730d459fa68af4fc6b2004}
kotlin/io: {kotlin/io, 6b62b2f0901f81f539ef4a378974f525}
androidx/profileinstaller: {androidx/profileinstaller, 5cdf64157c131bcfca4b7699f6cc9098}
androidx/media3/exoplayer: {androidx/media3/exoplayer, 707859d39a726e3f351bbb1a175c3927}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d3d8e70179592606d411550a2e3c7eb5}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
dagger/internal: {dagger/internal, 0e1f33bd71b00d3bac862df48f7db300}
coil/memory: {coil/memory, c983e00d6c5d71e40015eebf812b7267}
androidx/customview/view: {androidx/customview/view, 3e49c4edadc266d96342bde35795d940}
coil/decode: {coil/decode, 842ad0e47795e7d5662a759244b8b514}
androidx/arch/core: {androidx/arch/core, 91a405f676443eb497ccd7ae2586e5cf}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 1fcf143a0b56601080013b4bc6e33b70}
androidx/media3/decoder: {androidx/media3/decoder, 57ab3abcf5002a91cefe7759632c5da3}
okio/internal: {okio/internal, 6486f4817ce34a4769d8eb4c13c6322a}
androidx/concurrent/futures: {androidx/concurrent/futures, 336206517c20720a1216fcec55dc7cf9}
kotlin/collections: {kotlin/collections, fe7d482f9e1e84558d25f00dcf58f87e}
androidx/fragment: {androidx/fragment, d564c534453bae4aa61b56699069e811}
androidx/media3/container: {androidx/media3/container, 44a9c5caedb38a2bb0d0aa9a233d3127}
androidx/customview/widget: {androidx/customview/widget, f8b6bb024fb558b8300509ea991dfb6a}
kotlin: {kotlin, f82767457550a50b0f4bd96f47c393ab}
androidx/media3/extractor: {androidx/media3/extractor, 0583ae97deb8edafd1ed0a6a07a7a166}
kotlin/coroutines: {kotlin/coroutines, 4a941048e7f911fb3601d93e2548b555}
coil/transform: {coil/transform, e3c0a425ec2c47b67599a8ff5554c565}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 692d3812df11c8366d9ce1a9613fa5ba}
okio: {okio, 3a58d96fc3ddd4ff2e53e47753260e61}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, b7d5c182886948eb8befbe9e76b04e5d}
androidx/emoji2/text: {androidx/emoji2/text, 03c981a3ed892ea65f91b2b203db8ae8}
_COROUTINE: {_COROUTINE, 11e01c6016a2322c26a6ad6af29e773d}
androidx/exifinterface/media: {androidx/exifinterface/media, 73161bcd465aefbe6257c64c8ba73843}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
coil/disk: {coil/disk, fa9f4d071f7b3ddb8545605998fa5046}
kotlin/ranges: {kotlin/ranges, ea377e054fdc24bc164bbc0387b1d589}
androidx/tracing: {androidx/tracing, 939b095f52c15375a7affe26e3d2be1c}
coil/util: {coil/util, 90bdec913eddb2d3fab3a1c825027314}
coil/transition: {coil/transition, ff291c41f6b8a90ffc003019e9a8d9d0}
