androidx/appcompat: {androidx/appcompat, 5130b996436a91e7e45403255a37ecf4}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 1733206e1f39b4c60cd645f92d202ffe}
net/sqlcipher: {net/sqlcipher, 34170e12ad936ccbcdb4078d8586cb88}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
com/bumptech/glide: {com/bumptech/glide, 3abb165309f38be67e4ba57d3bd577b0}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 2f65a9d6f2eeba255178f1eb671d147d}
androidx/multidex: {androidx/multidex, 3442b1cfc4d62b6974d3243e9f207df9}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/camera/extensions: {androidx/camera/extensions, a9875c7bab51233da21d6355d2bd06ac}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 0de65447c5d483c177c3ea93c2c76205}
androidx/exifinterface: {androidx/exifinterface, 98bd2712f720c89e525dda0145ed11d9}
androidx/emoji2: {androidx/emoji2, ea5c5f291c62d7b973e281d73c00c782}
mehdi/sakout/aboutpage: {mehdi/sakout/aboutpage, 712f3f72b80188fbb5cc32ea5a10c68d}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/github/angads25: {com/github/angads25, 5b8e35704c10a436664da93a7cc3764a}
androidx/transition: {androidx/transition, 710188aaf886cf84e74a43ef4da87926}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6d2ec5860e72f86f165faa1b81c4b59c}
androidx/arch/core: {androidx/arch/core, 80e22538c7ee8f27bc0409c0ab5960f7}
com/github/chrisbanes: {com/github/chrisbanes, 26b4ad638a7137caecf09c650707dbef}
androidx/viewpager2: {androidx/viewpager2, afb9600196a40b16c1082abf92c43437}
com/daimajia/numberprogressbar: {com/daimajia/numberprogressbar, 7b01b66dc79f3cc0c0709323f5a5e85d}
androidx/savedstate: {androidx/savedstate, 155ea08232be46ecd1857964c065bb24}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, feb8c8d5a729ed375817635218896a45}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 1e20ce4c1c01a28b4f69c240b29b1a7a}
androidx/camera/video: {androidx/camera/video, 9b9847c5006a08360cb2279e9a81079e}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlinx/coroutines: {kotlinx/coroutines, 19d2371808a5701b6fc8783474c0e892}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/camera/camera2: {androidx/camera/camera2, f8439e8f30eb5813380226d9dd463f33}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
androidx/concurrent/futures: {androidx/concurrent/futures, 88c8f28176cd708319ab80270a74faf2}
androidx/customview: {androidx/customview, 4c5cde9cb36258f8d75feae6868c2ccb}
androidx/window: {androidx/window, 00afa397fc9e94df2ae48c9f95e08d63}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
androidx/dynamicanimation: {androidx/dynamicanimation, fd5cf9754b6476ad189e286b2b360196}
androidx/camera/core: {androidx/camera/core, f364ac6213c28f3eb4e58138ef28c56f}
