keynumbers: {keynumbers, 7697875fe7aabac7a5ec87f5e9e7864b}
com/lunabeestudio/stopcovid: {[com/lunabeestudio/local, com/lunabeestudio/remote, com/lunabeestudio/domain, com/lunabeestudio/error, com/lunabeestudio/stopcovid, com/lunabeestudio/repository, ], 81fa6e6016b8a4a3821537b53206da70}
androidx/startup: {androidx/startup, 710ea9b38af02c4d0babd275ae7bee72}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 976e68c17267f2cc357ef306719cb42a}
androidx/loader/app: {androidx/loader/app, 6c8b7b5da3dcb2ff191cb4e1063509e5}
androidx/room: {androidx/room, d3612b8a81182a5a17df339b69299fc4}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], b22ce798bed63cb4b033fce0ea246fc4}
androidx/sqlite/db: {androidx/sqlite/db, ffb759b646930a0723a3368209eb6e3d}
androidx/lifecycle: {androidx/lifecycle, fca8533a2add3cd8a37f5ae796530e51}
androidx/navigation: {androidx/navigation, 32ebe404365dc950e942e6bc1742a050}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, ba4c0520297053bbc72f8588aaceb15a}
kotlin/reflect: {kotlin/reflect, 48e3caeaad92369bb0ee44fb52bc131f}
kotlin/text: {kotlin/text, 044bbbac6e401bffab8890d345ce6363}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/versionedparcelable: {androidx/versionedparcelable, 6c4bdd3ca0ce5fa8d4fe3cbf6d44f0ed}
okhttp3: {okhttp3, ad92b7df2436315e072ac977314f5d9d}
androidx/viewpager/widget: {androidx/viewpager/widget, afcaacc137fc02a795f271c5fc84a363}
com/mikepenz/fastadapter: {com/mikepenz/fastadapter, 681533b1921b5b36ed2fd9bb0450555b}
androidx/core: {androidx/core, 38bfa98763ccef2b3585ce859149551c}
androidx/collection: {androidx/collection, 2c94616a20993289809e0109af03e41c}
com/lunabeestudio/synchronization: {com/lunabeestudio/synchronization, c0e87780aa29ce0efca9fc8e9357e037}
androidx/transition: {androidx/transition, f48933d8da4cc52a3cdefc88f675f6f5}
com/github/razir: {com/github/razir, b28bb7c8ac24ef4295639ac1db10728b}
com/google/android: {com/google/android, 36439d9c3ead1097d2592cad6b1589c9}
nl/dionsegijn/konfetti: {nl/dionsegijn/konfetti, de6cf24872e708ae4c9f2e9a05745268}
kotlin/jdk7: {kotlin/jdk7, 329dd094cf9e4b59989c1c6d796b699e}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
joptsimple: {joptsimple, 4cc46433c6462c52fd7d9d40130c7a36}
com/upokecenter/cbor: {[com/upokecenter/numbers, com/upokecenter/cbor, ], 55e14e64883e4a0c2c76f737f0c361e9}
androidx/viewpager2: {androidx/viewpager2, 5fa82328e7cf37727016a49b8d68a224}
androidx/customview/view: {androidx/customview/view, ce01b9fa8a7207845c8e016aac347585}
org/apache/commons: {org/apache/commons, b748d4924bff92160e5b1c3f85e0d701}
com/google/i18n: {com/google/i18n, 2d3b1545d2a7d11934d474ad019317da}
fr/bipi/tressence: {fr/bipi/tressence, b21f30fbfa3795f7c9ab368ee1bc33fe}
androidx/recyclerview: {androidx/recyclerview, 60e60692005260f78bb9c7de66a5c951}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 997f261f5f0550cf6e1257963ad75745}
com/sun/mail: {com/sun/mail, 1ea7669f6155a65514a528ab2bf77146}
kotlin/jvm: {kotlin/jvm, a513f66fa5ba5430468b2debc42530d2}
com/github/fge: {com/github/fge, f938beb1420477aad293fc18fa50dbdb}
kotlin/io: {kotlin/io, 730406bbf568363524e04434202cf6fa}
androidx/profileinstaller: {androidx/profileinstaller, f087b746b89f5774d82f639976381061}
androidx/emoji2/text: {androidx/emoji2/text, 0818581e938ff25346255893cbaa8ccd}
androidx/text/emoji: {androidx/text/emoji, f221bb6697cee304298a54aeece0ca4b}
com/google/protobuf: {com/google/protobuf, e606608bd640a1ce881407bcfdc32293}
javax/mail: {javax/mail, af2d64ffa32198ef39a34268c317d481}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 7927f9193bf11a09e319d224d3eee2af}
androidx/sqlite/util: {androidx/sqlite/util, ae36d459df95c9763d65f45fe1a5f732}
com/google/zxing: {com/google/zxing, 02ea17db4a2ecc396f2388a75e074fdd}
dagger/internal: {dagger/internal, 636b250aca12edafb34dbc3285b13b74}
com/squareup/moshi: {com/squareup/moshi, 5ce6e82e1f593fcfda7fc40f25e58def}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, ceb2fec2a7640f341ebb19622f2aa2b2}
androidx/arch/core: {androidx/arch/core, b4a6dc71bcab1b23a3d1799af7ff1890}
kotlin/properties: {kotlin/properties, 61de637b712784a78d7cd056ecbad533}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 301e7c55103c11044ce2fb080d44043d}
okhttp3/internal: {okhttp3/internal, ad07fdc4ea2ee8834bdebff7a678b4af}
okio/internal: {okio/internal, a530774824a7273a6f071a30be10d1d3}
kotlin/collections: {kotlin/collections, b788529b6ea7456ff0251f34ffe91831}
com/upokecenter/util: {com/upokecenter/util, cc597a4f0f16983d9e8842347cee4d45}
androidx/fragment: {androidx/fragment, a496fc4035d412d9c29e77d97c1aa04d}
androidx/customview/widget: {androidx/customview/widget, 5cedafaf82644b18a0586290ab3838b6}
kotlin: {kotlin, 204ef03a0d84ce20ca99d3f19778fa44}
kotlin/coroutines: {kotlin/coroutines, 0ad9b50e9306f24efe207e8559496f8a}
androidx/emoji: {androidx/emoji, 1305789b9fe66ec1baafb2d3b26d10ec}
kotlin/comparisons: {kotlin/comparisons, 3866996fc0ac2b7d198fd487600c4acb}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], e106ea05c849e1eb0cdaabae12843891}
blackListedHashPrefix: {blackListedHashPrefix, 82345cccef19cf6ebbecf8db7c44bba1}
joptsimple/internal: {joptsimple/internal, b9bca15712719a2d799a25f073112168}
com/fasterxml/jackson: {com/fasterxml/jackson, 9e73efadd653d0c0fd68241d3dad2bcf}
okio: {okio, 634f89b58b0a89e0b3c0314abfa93cef}
com/google/thirdparty: {com/google/thirdparty, 6add9da61141acc382a25c503c768ae5}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 07ff4aacfa192d3284c0bb41339a5ee3}
androidx/work: {androidx/work, c8e58f734278fc1657d4f41cce914a7f}
kotlin/time: {kotlin/time, b4f820fded7e6b847613ea95b1dac9ae}
com/lunabeestudio/common: {[com/lunabeestudio/common, com/lunabeestudio/domain, ], d58d0e7000322cec4a1dca7e505b7c19}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
okhttp3/tls: {okhttp3/tls, cf6062fb7f6b282e16ebe630f4ebb7e1}
kotlin/ranges: {kotlin/ranges, 53b5f1fb2997c980fde6a9b1eab5bd15}
androidx/tracing: {androidx/tracing, 54bce6862d5e5246086e18108e9ee067}
com/github/chrisbanes: {com/github/chrisbanes, bd52b72cc0bda81572bd861c26a36ffc}
com/google/gson: {com/google/gson, 99b3c7ccd54204ea920ca8a19a1bcacc}
okhttp3/logging: {okhttp3/logging, 8f3e0ec882b38d09f2b1d9a36fea6ebd}
