androidx/appcompat: {androidx/appcompat, aadfa25becfbe1204dc9fcdb6b631100}
com/antest1/kcanotify: {com/antest1/kcanotify, 0936d16674ccbb33b4e4e06a0b0d2b5b}
androidx/savedstate: {androidx/savedstate, 1dd4d4ef3f7f1d8e3f2758825f832923}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
org/apache/commons: {org/apache/commons, 868d4fbcc7447b573f1f65600d326f2e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 440068832ecacb217598169c7ef3e5ae}
androidx/legacy/content: {androidx/legacy/content, ebf57d9f1edcb4045c34e224e3bff6e6}
okhttp3/internal: {okhttp3/internal, 727d6d4d89bacb00cec9f51b549c7193}
kotlin/ranges: {kotlin/ranges, 2529bb011fa2ae17dc309e980116fd25}
androidx/tracing: {androidx/tracing, dd0b422314878d259670f4ec308581a6}
okio/internal: {okio/internal, d7c4e3a36c04f674018c1645fb3c204c}
kotlin/comparisons: {kotlin/comparisons, de905e729e07039c6ccf669c165852c1}
androidx/concurrent/futures: {androidx/concurrent/futures, 051b223a2a5ecb88cb229565871c2384}
okio: {okio, 2cc42aeea43db4688a3fad79f8acf199}
androidx/recyclerview: {androidx/recyclerview, 4b2b5894a6400aaec03cd1b733cc4909}
androidx/loader/app: {androidx/loader/app, 591c26c54a75320f656e8b58ad1a2c06}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], b205c9b43f9b77d67b592804765359e3}
retrofit2: {retrofit2, ef9614e73426bb5ef8541aaac3d4b983}
