android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
g8: {g8, f3af21791aeb31a9fef7b0c443d8c893}
v0: {v0, c4bd0bcf7549745957e6d994c6d9467e}
s7: {s7, b8a6c4017055ff515852470e13bb2b43}
q1: {q1, 83ee734b736087f221adde232b8b06b2}
i: {i, f4389a9670c668ee965214e08beed0c9}
g3: {g3, 91ee4da782e8e91f75d1497d53026b2f}
v9: {v9, cd172ddbd94c0d084f25158f3e869f31}
androidx/viewpager/widget: {androidx/viewpager/widget, 6924916dc29998d77311b25ca61d6dec}
r4: {r4, 96252569a1e6634b5f4451b0eaf4ab81}
y5: {y5, 8a69a8156eeb6592cf0db8c55a7b02f5}
b0: {b0, 7eee761987a4903d37efe073ab068974}
m2: {m2, acf7ef943fdeb3cbfed8dd0d8f584731}
s4: {s4, 6ee53348b8af5d5af3d68611da7c95ee}
j9: {j9, 20a28103f4b599a0408b30eaf3fc8924}
b8: {b8, f9cc6adb5d546538f0361d54357da377}
o5: {o5, e94d2b66847140ca6cd3c3dc1da0f6dd}
h5: {h5, e84f0911f826c1415c69ad87ed350f1a}
n8: {n8, a1d7e825d870953787eae8b43820f8b8}
w5: {w5, f879dc50811fd9375d4fc761927f603c}
c2: {c2, 798641688eb1db19d3206027dcbb3a89}
a3: {a3, 387fe80dfd80b573836093e3c529c920}
z4: {z4, 88fdeb64896490e7c1ce4eb73671df55}
androidx/fragment/app: {androidx/fragment/app, 43158f9cfbc4b9da9746ddd749443f10}
org/apache/commons: {[org/apache/commons, org/apache/avalon, org/apache/log4j, org/apache/log, ], 36cd5b916defc8e17903d11dfa262b5b}
t5: {t5, 83f93353c34b762cdde40103490aa710}
j0: {j0, 27e391ccc4b60697617c9948ec0dc97d}
com/google/firebase: {[com/google/firebase, com/google/android, ], b9c719348d10d27fb56889863ef9540f}
org/bouncycastle/asn1: {org/bouncycastle/asn1, b4a64844fece2ec8dc0f2dd27c6cb133}
l3: {l3, 1e9ec8793ff99302e04d46909cf5a267}
n3: {n3, c9ab5f72c12733b23460cc2b429ca949}
u1: {u1, 2d5a1874a0b8cff2fb4c66fa706eb125}
e: {e, f4308ddd7f8c742b86fe0d56051fa654}
p5: {p5, db088b7ef84d1e525eb33ef41140acb9}
d3: {d3, aba3d9fe6a1b174368621424307e99b3}
l0: {l0, feb44d511141605787a00c55949c60d0}
f3: {f3, 329804d6cade6de57c9fbc017885e26d}
u9: {u9, 86d11b875b4190772f880e193157ac7a}
m: {m, ff4ce15e60b6332ef063cc0ea5dfb359}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
e3: {e3, 0cbdd2991258f8bde5a7a3edfd835051}
org/jivesoftware/smackx: {[org/jivesoftware/smackx, org/jivesoftware/smack, ], ce775f4e2fded2578234b65814141ccc}
v1: {v1, 64e1081d6642474e8e481e951f9e6084}
android/app: {android/app, a582b2f5ef9c425778397c069dea5c03}
org/bouncycastle/openpgp: {org/bouncycastle/openpgp, 5bc6aad2d4d588ca0ac59fa6376ab020}
y4: {y4, 6d3719777e5789741d990a31fffea1c6}
s6: {s6, 849208d1fb8777cffd924942c7196e42}
q0: {q0, ea21c81f06b5400a467ba25bcde7f97f}
f0: {f0, cda7d17f0659d03e79cfaf7f9f0a8b43}
u8: {u8, 41c49dbb8a35beb4ee84ce1b2d26bc01}
c5: {c5, 752fccd4010fc653f2a9847dbcc9486e}
w4: {w4, c014f454108e7366f86cb49fea22ddbe}
m9: {m9, 07b40d1e6ae3f0f2855c13dbebe4bb1d}
r5: {r5, c62f203a3663e04411249926256f613e}
f8: {f8, 53e4073ecd8b6934fc8109603cd93c77}
androidx/appcompat/view: {androidx/appcompat/view, 6546db79c7f38d60face1b68918b388e}
o4: {o4, f4b7037411ca3f889569d84bebcc3d10}
m1: {m1, 785cdef20c00e3fdf019434ad23c2d4d}
dalvik/system: {dalvik/system, a8522f0bc8656146eeb074b655f45770}
androidx/emoji2/text: {androidx/emoji2/text, 30c422139654cbbb3306098de6517741}
x2: {x2, eb40c8d30d7c81955ee4f465e53caa3f}
g2: {g2, 5acd9a3eca28273aa74838b238f8246a}
a2: {a2, f2ed367acf4929861027af945455f996}
h6: {h6, eb351ecc63d6d6af2c914aedae9f245d}
n9: {n9, 675a5d6e55e86d0847716f14b01b090a}
s9: {s9, 3cffbc0a87285ce4ea17b00e01e861da}
n0: {n0, c3db71c36b6a2623950ef3d6cdb3d5c3}
u0: {u0, 6c8105e9e19d33cf6ef3d34290aedf80}
k5: {k5, e10b77a0f1136726e867d978ab0ab332}
z5: {z5, 1b7c58c03e9d4509617f72023905767a}
i1: {i1, ced6bb6be1f4e67660db98b4933816d2}
f: {f, de82fbbd4095c29fbd6bac51c5190412}
v6: {v6, 028795e3c6d2515f3882be4c432c117c}
l4: {l4, f5ce6de695c346ddaa7237c23480487c}
i9: {i9, a73a0d22b0339a2add05c5ad8ee0737b}
n: {n, 0d9f93860f77e2f0004d83461a2bc1d5}
p6: {p6, b7385261e2a458447e03e8682562608a}
d4: {d4, a26a84c6fb1eb84ab270bff3ff86bedd}
e2: {e2, 4ddd0c9a024dae943ef5b5c3219f6774}
t6: {t6, 4d1073934743861ea70db1d2180e06f4}
j1: {j1, ab2fbff83edf08b7f51797c5d2e7c51b}
q8: {q8, f294f87f76af0a099062ebdfb731929d}
android/view: {android/view, c16d7f32cfed1ffb43bdf592bb0a1bcd}
w7: {w7, bc0172ea37b4e0c11c4259d498fef549}
m8: {m8, 47c971ab374edfb072b61d733aa78645}
e9: {e9, b1a7d76e63dd59530b95b56eeb2e7a14}
b6: {b6, 87eeb04f8aa6d5b6a8d8adba9f081fbb}
c4: {c4, 30fca3c14c02be01bee2c6c9c0108bda}
a9: {a9, 7bd424632c3845f4fa0ef682650f9fee}
p7: {p7, 7fadea75fffea8a535593de278d91ee4}
s1: {s1, 82fffe0f3c612fb921b4fe63ab51bfca}
org/pgpainless/algorithm: {org/pgpainless/algorithm, eb668b35a852fbfd00a424ffb6d675a5}
o: {o, 15e57e469278f0c877d5744f4d6fa64e}
f1: {f1, 56a09dcde938573d932319a063d0b9b5}
c7: {c7, 9e082e9af2175e9d1564a960a6526abb}
z3: {z3, 6ff50b3c1db966be2b185fd7ee73a4fc}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
h7: {h7, 0e9d9aea3f89ebc03a17fb95f22d9eaf}
n6: {n6, f688db95a4de36d703bae106ae6cf812}
f9: {f9, 7b22b0718f34259f5581d98bc197711d}
s2: {s2, 86cd7f8ce0eb44eb95a1e08008e74153}
i7: {i7, b7b5a4aa84ad23a85ac069ceaa43df71}
s8: {s8, 0e97850ac470ca0734e634189161fa34}
x3: {x3, 0cbc34d327697c6ffbb734630c47f5df}
g5: {g5, ca9389d1b4336701c61e4cdab538f457}
k4: {k4, 04a260a14e929bb2d856057fffe86c54}
d0: {d0, 44b38fb6ec61fe248a600319d6d9f0f7}
g: {g, 7805433ed2b96c6679b45aee51a141d0}
n1: {n1, a56b6d4a3c9cb15a399a027d508b5ea9}
u7: {u7, 607f7adabc9db47c14689e92c83c6019}
v7: {v7, de76e6cc8a8debd49a36a40bfcc6060f}
b1: {b1, 3e8c95ae8cecd4e350c50ade12de2c9e}
l5: {l5, f75b41318aa11d08c06dc2810e7e24b6}
i0: {i0, bf0f535569bc9710554e6e775f280dd7}
q7: {q7, 017d083543ab646e63341313185b230f}
d5: {d5, 9cef321e3a1ae80c46a89b9e3bd26420}
u4: {u4, 80b08cb77115c8c0cd49fc39728625fc}
i8: {i8, ace3bd65f69f306990e40de94431d5fd}
org/bouncycastle/pqc: {org/bouncycastle/pqc, 35c60072cf1c3741cbe1d5a57c14b287}
v: {v, 0fa07af57c1fd422910d5b43af5f8a37}
r2: {r2, a24f70833defbece4d37b9272b949322}
androidx/core/app: {androidx/core/app, d448f2fe5fb9337bd4a52597285b04b8}
androidx/core/os: {androidx/core/os, 0465d2cd840d7630c17d58a122c5bdf7}
j6: {j6, 1a4c51390406d38631824affa95467b4}
kotlin/collections: {kotlin/collections, 007de7728074ba6b04982e803b77721b}
b7: {b7, 0c09180768c1dcef9b907395c9f3a329}
a0: {a0, 068a419ccf38648866b3a2f395cc981b}
w6: {w6, 0480e319119ffe99a93e8ff61453e0e3}
h: {h, 225af90806f7e1674700fc62f2cb29e0}
s3: {s3, af24a6067c181ce9369c747e17d384f7}
x4: {x4, 3dbe0cbea463c1fad120134197379d37}
z8: {z8, a6c27b868d730175e42752eaf68d4006}
a8: {a8, 097930139b298bd78a9347b422c64ab8}
p0: {p0, 071e820f83fad7ef480785db9d1b1986}
n7: {n7, 3068ada373be63a1feef7120b7187f43}
z0: {z0, b98fcc32fbb1a022709c1f4abc8ded61}
kotlin: {kotlin, f4aff40461bd131e3510b3c5abd4452b}
h0: {h0, 98ebc0f8e958ea3c44fd0e804d8db82a}
i6: {i6, 82d91adecdd00a79b99392492b6f2c59}
org/bouncycastle/util: {org/bouncycastle/util, 84438ac7eb364c7ffff0f7f569d5d64b}
e8: {e8, d6d0eea8c75012de33dd9d7ec0b8b65e}
x8: {x8, e3c0a425ec2c47b67599a8ff5554c565}
g4: {g4, 9c36d37b204dd23fbd6ad2fa4c832985}
androidx/loader/content: {androidx/loader/content, 310bd0430bb39746d36e34e2cbaaed33}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 4b273925dc844b0db4740d4d606986da}
s5: {s5, ae56fc9343fbe231c0ce68c0bf73f9f4}
h4: {h4, 441b085f0d2c630f0f82f52f32e3b337}
u6: {u6, c2d2456e78d56a651da4ea82e980171a}
k7: {k7, 93c483de49f6632430722cfaa8faf211}
p8: {p8, c8315aad8780def7ea06db4c46402d82}
o7: {o7, de634a88501a77839997ad21e02202a5}
m0: {m0, 5826c6ababb95ba0d541c552f00ad3ab}
t0: {t0, 732e0a4b8cf0940f7fe89e7f112de689}
v4: {v4, 3c462fe910cc5cdacd74e9d8806c2fb5}
q6: {q6, 0188eba81b05f0d9cc6f463ff6e1e3c2}
e0: {e0, 85ca83f2277e613f473cbeeea964c190}
t8: {t8, 39b858de2ca120f68e95c5f321d0c832}
org/osmdroid/views: {[org/osmdroid/util, org/osmdroid/views, ], afbdd9ef1faa6c4bfc9b18c9a0f80237}
org/bouncycastle/crypto: {org/bouncycastle/crypto, 0f3a11e084718f21affd08102fca7c60}
f6: {f6, 12322e0114586147d35a6d6f89cb18e4}
org/jxmpp: {org/jxmpp, a63209ad07ae7edadc9193d34ef75d9a}
a7: {a7, cc202a023b65e904ed2fbc082f021dcd}
y2: {y2, 35158fa7ee11f04a427e0b94655de629}
r8: {r8, ee27e572c1b352d6fcf79a411060fc3a}
kotlin/coroutines: {kotlin/coroutines, 8734514916139aa7e236b24aae77f42c}
x5: {x5, 7bb86a98ebcfcbbce682a1663a59b104}
org/bouncycastle/jcajce: {org/bouncycastle/jcajce, 9c275d2540d5fe12c4bc2eed303cb3ae}
l8: {l8, 3777d2794f6f15c65e3dc742a918e609}
p1: {p1, eb01ed55d6ced0e7ed0adca9858dbfd0}
d7: {d7, caf5506a20beb3025ba0987f0543dbe3}
g7: {g7, bf20cb1cba66e3f09f60fb2e57a15ed4}
android/text: {android/text, b7b3c8c5a24c0b816a681bab0a93411f}
q: {q, ca830703388c011814dfd48a8945631f}
h1: {h1, c177a54e09d4397d9a08e7078b52fe8d}
n4: {n4, acf7ef943fdeb3cbfed8dd0d8f584731}
k9: {k9, fae44332b2fff8c8f55964bba3e59f15}
y3: {y3, 37e192156b8455d3f1f5a0dd0239a8a5}
b4: {b4, 155010d7c42ce49cba5bb618819848b2}
y6: {y6, 4ab80613d94d8d65c50cc71740fa34db}
o1: {o1, 61bf9141ae9d5da710028f6123f8039b}
i5: {i5, d506bbdf3a81b9245e5ccf75ecc3baaa}
org/jsoup: {org/jsoup, 608590d3dc4a864e738670d522614a4c}
v5: {v5, 5e01f02eccaf6e9ccd103c158a3878a2}
a: {a, 1504ddc89de56e4df39ccde43be44060}
p9: {p9, 3efe640fe39bc93573c6b3e3b1b5ce86}
l7: {l7, acb8b7d65950168b71c9a40e9b95b4f0}
t1: {t1, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
o6: {o6, 59e90d947c87e08a556ca45955d8aab1}
m7: {m7, 730a68c8ca7dc2222ef4b9bc09e60806}
t9: {t9, 402f2fd1a370b3adca95892f53cda51e}
j4: {j4, 94ff56ea34d4e2f04332d25cb52d5e8c}
q5: {q5, 3d517198db68037dc75f11bbcc6f16a8}
androidx/recyclerview/widget: {androidx/recyclerview/widget, a46332dc39472855c65d29b45f749a04}
e7: {e7, ae739f7879c9893d6be991e61689a73f}
x: {x, 32b5ba6276f35fd64c6ca6818aea3782}
u5: {u5, f68fd2b6c4d1ea47266e242ca570d662}
k6: {k6, a217250ff6a430bcee604b37053941c7}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 87ea15479226698f2a1cde2bdac20d4c}
r0: {r0, 81a9946ca50ff273e78e10a055528819}
h8: {h8, b5b905d3c0288c8fb6fb013f7dbd4b58}
