androidx/appcompat: {androidx/appcompat, 355e2ac32d296df6494519181d7bd6dd}
android/animation: {android/animation, 6e7b29e99cb86705ad558dab670028af}
com/github/luben: {com/github/luben, ca9ff68bea466103b5f1d427246ee800}
android/opengl: {android/opengl, 6292ede3339b32cf5acfebabf01db276}
okhttp3/internal: {okhttp3/internal, 89439c668974c9ad242883c2689e9ace}
org/apache/commons: {org/apache/commons, 96ab6af412b37eda270f3ae2190c22db}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f74108565b294566ebd84dfad553257b}
android/hardware/display: {android/hardware/display, 07902f13dfa5c27b9cf64dd1731fd9dd}
kotlin/ranges: {kotlin/ranges, 42768f2871af87ea39b5061c62c7aa0c}
android/text: {android/text, 5e6dd698b09cc8a959014ded7ab30a7c}
jp/tomorrowkey/android: {jp/tomorrowkey/android, c3e810c85b610a9266668b5a2b4aa375}
androidx/startup: {androidx/startup, c3ab7ee48698d145e6737639bfd4351e}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 2a1e94ea297cedc445a257d2eb1bba03}
android/transition: {android/transition, 684a85d9819e6fdc267ff0838375a886}
android/icu/text: {android/icu/text, bbbb85a53439b2cdf98ecbc1953d87d9}
okio: {okio, ea2bf4365290333815c91abe6fb0c245}
org/quantumbadger/redreader: {org/quantumbadger/redreader, 2d40063e0f974b1ee876199a5a9572bd}
androidx/recyclerview: {androidx/recyclerview, fc7fd1fb422cf125c2e3c8f4dc42e586}
okhttp3/internal/connection: {[okhttp3/internal/http, okhttp3/internal/connection, ], a35c925cfa22bde93aff6987e4d6f46d}
androidx/customview/view: {androidx/customview/view, 5ff62cf777028cdafa769cadbbee0236}
kotlin/jvm: {kotlin/jvm, 5e40597de4972c37b75fb00f45456f65}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 0afa71583b7fe0bf516e51609c5b464e}
