androidx/appcompat: {androidx/appcompat, b8c22f42fb2e4283ecb0e417145c9ebd}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 84d87a4aa1a5c39c2057f8e1e257a43c}
com/intercom/composer: {[com/intercom/input, com/intercom/composer, ], 2dfd0d2b547e3b79b6cac7bfc1713196}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 8b5090a9519f800035ddb06dff7c0f22}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
com/intercom/twig: {com/intercom/twig, c475cf9275459502ff2258e5a1e84fd8}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8af7b6125fb907636bed54563d4be768}
androidx/concurrent/futures: {androidx/concurrent/futures, 3fdfe6f94568c35ab9429d5d626d497c}
androidx/customview: {androidx/customview, b5f4957107a5bd0018a35d0cad231914}
androidx/annotation: {androidx/annotation, 61f4fd3434041025438ffb18a8f361de}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, c1ed2a8062615e47d7f272af6f1805e4}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 502a3d214317400f4d365eb2deeead27}
androidx/databinding: {androidx/databinding, a77231bc904aace45ffcc161121f6ce1}
