androidx/appcompat: {androidx/appcompat, aeda797ea154b0c9fbc34aa2246bf66e}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/tracing: {androidx/tracing, df7d2085f07ab2151ea13c315344b2fb}
androidx/cardview: {androidx/cardview, 629a63d98fe70f1cc7039a37eb6c2fd4}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8f556874adddcf79a88c80c2baf77e65}
androidx/concurrent/futures: {androidx/concurrent/futures, a9992cc286b4216d8a92ba2be6e6a54f}
androidx/customview: {androidx/customview, 4671ba453cd2cae301d30a013762ff96}
androidx/window: {androidx/window, f437565d86604a3beef6beb950883fe9}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, e1e1b228273663952a5cf5e93b2361cd}
io/noties/markwon: {[io/noties/markwon, io/noties/prism4j, ], d0888b1ad6bf9d68784e9e8ab18ba1c5}
