p2: {p2, c863a4d2370e0b0ed928c69c98bfbd85}
p3: {p3, 0f0d8eeb7995510925e92ee023e5df70}
e5: {e5, c9fd8c1230dd4a4829f5ba3acf048e89}
kotlin/sequences: {kotlin/sequences, 6f19938cb624fff1c3ac9cc557b687ba}
q3: {q3, d645f8b7500aeb49a290627baefbc491}
l2: {l2, ecb2b733eecf2ff6b7b323f97955c78d}
kotlin/reflect/jvm: {kotlin/reflect/jvm, 06adbe99668a123c50b23d417d234413}
androidx/core/graphics: {androidx/core/graphics, 6c474218976ab8157a4d3fabb6152824}
o3: {o3, d6ede6a103e4af0dd84b2f5f6aa4e59e}
androidx/savedstate: {androidx/savedstate, 9911675d33decf6d0276198a880a29f2}
m5: {m5, 6535cfc8cc6980492b204145e421c10d}
t3: {t3, 54fce3398a6176c12d56f5845b4dc8d2}
j2: {j2, ac4e73cb90e27716ffa3917e0400a6e4}
v3: {v3, 4ac7d379b83d44530a5f08c6772868be}
h2: {h2, 78fd486b4213638f2c9cba062df0ed85}
n5: {n5, 2504eb8f694400f38c454be00da4b50e}
u3: {u3, d248f521a409d58a214794d0d1862402}
kotlinx/coroutines: {kotlinx/coroutines, 8b97d7506a54b1badc7c5c1fdeb6d70a}
r: {r, 7d7ae6ba9ee82e340280e0029e994b07}
f5: {f5, 5eeb919d23e3917f997f8a3858893d79}
w3: {w3, 8e3fd36602c32c06a163d161ede56655}
z: {z, 001457c27ffdb47667222a08fcebb941}
androidx/compose/ui: {androidx/compose/ui, 64b8f3eecb9000ce56435565ccbe60a7}
s4: {s4, 822a0976830d76bf4663438507c156bc}
c: {c, d8bf1b61be80eaefae5b95227f8846ec}
k0: {k0, 281a385140d74221f94542eed3533464}
dagger/hilt/android: {dagger/hilt/android, e593e2b777874d59119581cd43c87fa8}
g0: {g0, 00232231060c272106cc203e3d610cb6}
x0: {x0, 8236125a1045012e43ef35c3201d2ca5}
b3: {b3, a81f159dd11450c69f4fa8e63134cb2c}
w2: {w2, 306d4cf10aa80114829c65c1c3e3e874}
e4: {e4, 27f08eff3ca648fff2822220daca7d83}
coil/compose: {coil/compose, 052d181786c0ac455218baaf0c41c78a}
o2: {o2, 6d38a18acea7f17fb11d8d6829b12d1f}
m3: {m3, e1a0a9a125b94e0bc4b67d92c52e82ed}
i2: {i2, ed380a0fb2a959c109966301771211a9}
androidx/lifecycle: {androidx/lifecycle, d419e4f70f01c45131bfffaa4aa28ecf}
c3: {c3, 26afbede83a77eb8fc50fc840834134c}
a4: {a4, 1448d7df71f95b0326bb9f65aaf3f4b5}
h4: {h4, 9c0896e27412aae11fdf5ad3610cb7a1}
t: {t, 19a7cfb0e601186172d40640987596c8}
v: {v, 8cb9c7bb1349befbd4a94cf0935a177e}
j3: {j3, b930d425f8e7725521ea0ff1ef2c3d07}
kotlin/text: {kotlin/text, ff64f131c8efa36e6a2bb294a7301f82}
m4: {m4, ef37919f3a6959098ff8b46cdb0807a1}
t4: {t4, 9b45d3bf66ae461c9c5632d20895a003}
u2: {u2, 24a73ca41484d497e241f9d30fbeb261}
okhttp3: {okhttp3, 5dcb750fa85bfcaec8ced25801e34f25}
d: {d, fc7a38eecdebf384bb726908cd7ee019}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, a292f91a539f77f763ca249bb91ef9bb}
n2: {n2, cd34985c5cb6401afbd1a69facc62a03}
k3: {k3, 6ee504c80a1f9dca497c3df73416c685}
p4: {p4, 701d50d103c5704b078b1de7e65442aa}
coil/request: {coil/request, a3a405fe2676958ef4b370fc21131df2}
y0: {y0, 204ee488326f32bdaaaef77bf501fffe}
androidx/compose/material3: {androidx/compose/material3, ef8e8748e89044462e382f8ba564dc2c}
f2: {f2, e3c0a425ec2c47b67599a8ff5554c565}
v0: {v0, a0b6e7baa0659fd98e2b4d5e0daa8cd5}
d2: {d2, 5e31e7df0eaf4325a632c43a0110e747}
coil/intercept: {coil/intercept, 66f3eb6a864ad2c6574b832056d6e0ea}
q1: {q1, e08998bb6226b7455e7142c42765ad69}
x1: {x1, 5efa80c656fc05ac7e535b904acdfa09}
g3: {g3, 1f25cd968b61471d0ff591caf7d00bbe}
r4: {r4, 769f9a5449c4d0cb0ada70ac2c278dee}
b0: {b0, 54a045dc82c8f58d21bf5c2a7d0a1174}
m2: {m2, 72fba61c94954c151a2529c84eafd67f}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
coil/target: {coil/target, 5ac5ea8b5a0decc279f49a612f8e49ad}
h5: {h5, f5cd3567d10da363f7b879f7ea86dca1}
u: {u, 8ebe0bf13f470b9c4e7515dcf1f2b55e}
z4: {z4, b53739f224de233008a831b6cf0d79e1}
androidx/fragment/app: {androidx/fragment/app, 9aca2df50c176fc8443cfa92f639cde0}
coil/network: {coil/network, 657698158e5e4fb510b16b915ef75c62}
j0: {j0, 56f4a5130fa73d38df1553f4ede20e5e}
l3: {l3, 72ab14eef76f21ee9c6c28fa444bb204}
n3: {n3, eea327cf14bc18c6fd47d4538723e64f}
u1: {u1, 0fe5a19e8e47925b5215bc8344a08911}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, 985665c9f731c342a5de7514e2d75cb8}
e: {e, 8dfaf10d8cba98185255adfba8f64578}
d3: {d3, 57863fcab2c0e098783ba5d3a2a26986}
l0: {l0, bb1a00a092dc44951672653ad9a3915f}
f3: {f3, 7a354252609cfa239b3e8a67983e02db}
com/google/accompanist: {com/google/accompanist, a3c54572baaee2434fe6319c997d18f3}
k2: {k2, 430882345e867ce8a8b24d2fde20b070}
m: {m, 3069810b0f988efbc0f47134107cfef0}
e3: {e3, 64e2c03a46a4fa029a8368221e7cbe7a}
v1: {v1, ffcb84d2cc9fad5b484d8bae75c0bee8}
coil/size: {coil/size, 599b1b3a81704127eb87f2d86ddc0ade}
y4: {y4, 2c04ae05c0a359cf6714ebdd81e090f3}
q0: {q0, b4d36b18273be21a18515d98d245f816}
f0: {f0, 6f99bc5cf41eb3f9109709121d464cab}
c5: {c5, 0a4a134d00ba88b96b652d1680e8da66}
w4: {w4, 3f471d7c5af93bf3a712f35c4dc24659}
androidx/profileinstaller: {androidx/profileinstaller, b7d990432c025b1bdfba0eb249fd07fb}
z2: {z2, d0d94b75fccf46dedc90fa3d530bfa30}
o4: {o4, dfee019e7a1d751ef3b0c454c6e8b439}
m1: {m1, 2a404b7b1b832a4a4526e3ed89d21dd5}
y1: {y1, 43d61153814031eaa9f776d8e5a6ac0e}
x2: {x2, d9ca33af4f2ad4331bfd1b32ad2e3f86}
g2: {g2, 0255846c405539384a277cb92b95bd88}
me/mudkip/moememos: {me/mudkip/moememos, ec03eb005a3563f82e9cd88e1307e53b}
a2: {a2, 857b8f04b63f05cd4b86610403500d3a}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
n0: {n0, f2be7965980c6101df55e8f8641214b7}
u0: {u0, 3c7fa4dc1bbec151328a72ef4390425a}
k5: {k5, 9ec3dbf8e05bcb1a9541d435620d371e}
i1: {i1, 20852e031fdc4716a7926bf353d3a67d}
f: {f, cb74837f8dbd8e9127bbfe7d71b7b56f}
l4: {l4, 34a32eb9fb01cea2005938a819846466}
n: {n, c1020a05edd02161b276d6bd87042fe3}
d4: {d4, faa76c620408b58964dee000ae186cb1}
e2: {e2, 193a0cbb97e9a3ecacfce7d93579f7c7}
j1: {j1, a91e9efafa48c3a20fae425f72481dc8}
a3: {a3, 0206153c90f22fd8e6b9f90c74b37e02}
androidx/datastore/core: {androidx/datastore/core, 80f819f42ccecb0245cb57ead614a402}
y3: {y3, 5b080aeeae12bab51f0ef7bd56ea9416}
c4: {c4, f99afdbaaab9775be1ee16749bea65e4}
androidx/compose/material: {androidx/compose/material, f57ff389b6fb2c640436125b84798a70}
s1: {s1, 2a2bd3c241e8dbb5447aa59523c0bd74}
o: {o, 96746f45e844249ef6adf007329bd88e}
f1: {f1, c1a6b165ebc7d850fc0646983bcf06ef}
z3: {z3, b474c3ed776a910223eb96bac335b291}
a1: {a1, abff883c49e33f29892ab13b61543678}
com/squareup/moshi: {com/squareup/moshi, a27fb8ee508513b0a61612fd94e0efde}
coil/decode: {coil/decode, d93020e14731e6819686302fec08f87d}
w: {w, baaa8875e21cc961f6e349ea37a032ff}
x3: {x3, cf34119893c6cfcee4af23eb6c55a83c}
g5: {g5, 965a7e75e1742a6d95c9eb4e8b9c848d}
k4: {k4, 302e01ffee9fd0593a2a4f374219fd5a}
y: {y, 9a0444381fe6a9c85c55117555204ae5}
g: {g, c4171c7d861804e3ede8c6fa95bfef36}
n1: {n1, 56e5d23afe0f0eca2a1502b5362d3ea1}
androidx/compose/foundation: {androidx/compose/foundation, ff208f107e030700255a6e6bc924e62f}
l5: {l5, 1706129cc752b1db1cf5097163a2d040}
i0: {i0, 1b050cb3dc331e663c26b18523617b7d}
kotlinx/serialization/json: {[kotlinx/serialization/json, kotlinx/serialization/descriptors, ], 1e97b2896a4fce9a4d22c1e31c7fe5c9}
okio/internal: {okio/internal, 07457bb8d13c46bf13e4ebe02c5f7505}
s0: {s0, 5b044d1f3eef4bbc3ad7a9b987c702d0}
u4: {u4, 37550629a150c53ebb2daef6394d1df5}
com/skydoves/sandwich: {com/skydoves/sandwich, 68a5fb052654ba916e3860323188930a}
r2: {r2, f1b128c861fbcb2051f23bd2e8ae2550}
e1: {e1, aec045414d17a280704903d11b73bfbe}
retrofit2: {retrofit2, effa58a4b726f53f93f7618cd41aab16}
kotlin/collections: {kotlin/collections, 58d74deb86e0409c5c8e1962573186cc}
y2: {y2, 457031c505c5508a751133dcff71dd6e}
kotlin: {kotlin, 718016ee91fe01bc05bba94c43eb3a15}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 1fd799e96a68d406d92e060c5de0f7bc}
h: {h, 01536b33a6432df590ddeacd89f9d403}
s3: {s3, 61be1d63eba03d317249e56a640a67e2}
x4: {x4, 4f6ac2c523c96026e97fc28080f14901}
p0: {p0, 7f0badb117cf2bd12bf942e3abe77ffb}
p: {p, 407645ffe06ea015fcac9bb362bba86e}
androidx/emoji2/text: {androidx/emoji2/text, 2de8ab109bbd3d8c9af43d1058d8dc9b}
z0: {z0, e41cb35f837ae69cf373b9b32e24bfaa}
a0: {a0, d263c3199091432ae40ec6bab8a0b44b}
h0: {h0, 26304cc5e7ee0ead7dfad4105769303c}
g4: {g4, 675e2253620adb7b178be372e1c50ee2}
androidx/navigation: {androidx/navigation, 289019cfeb302bf74bb269cc600ab03b}
kotlin/coroutines: {kotlin/coroutines, 10206682a676f09d742eaf46ecc82205}
okhttp3/internal/connection: {okhttp3/internal/connection, 0022c0471f9a231997573290c56ad3c9}
m0: {m0, 7f5c16f61c8124979f4522fedae9c16d}
t0: {t0, d190e16ef8eed41998586e62a24e6310}
v4: {v4, bc0b04299aaeb832b80c462795c912cd}
e0: {e0, 6da562dd8868908a03779765efa958af}
r3: {r3, b56a84eee5c6c4bed092d6c1285ddf20}
d5: {d5, a929e4da3623156a6a64ed1b8125422a}
i: {i, d3b57b5e6642d8e20c6ff9523dc09022}
androidx/paging: {androidx/paging, ba646d9ff9d60122f8e278632ef8a02a}
org/intellij/markdown: {org/intellij/markdown, cf0845b4bd371e3149a0a9557706cef3}
q: {q, 927c0219beb9576cf91bf81a7221131f}
h1: {h1, 7eec64fb1af92778a6c434cf9f493897}
n4: {n4, 96314b4a1153c21cacbdbd9e2d63bf2c}
b4: {b4, 4e658514a7592c387a2df0006b61267e}
i5: {i5, 8a8b2082041348ff6230d3b59e0d15b0}
a: {a, 263046b758265064c1cb3fe399c4e128}
coil/disk: {coil/disk, ebe2a2081d175c0b688c312a4b66f2ab}
t1: {t1, e75ed969ee931719249ff2d3b9c2fc92}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
j4: {j4, 8e3524f8b92dcf3890177c34d8b359a1}
w1: {w1, 1f5145c084ea8df297aa3d738bbc0324}
coil/util: {coil/util, 6c8c4333e9a08a10d12fd90de110c119}
androidx/recyclerview/widget: {androidx/recyclerview/widget, e479b3c850f4a28f840268e51d36414f}
s: {s, 84aaaf185047a076b105668035b45616}
x: {x, d1c9132a2965d3a5ccc5f35eae0e2921}
r0: {r0, de14c5e05f19ff2088b27bf86a12a3e9}
