androidx/appcompat: {androidx/appcompat, 68d1514775ec15e4233ea158136fbd68}
androidx/print: {androidx/print, dfb95ec0f32cf95f9de078074e9ec4b5}
com/bumptech/glide: {com/bumptech/glide, 8779b0b0d35bf5b131351d358958bb1c}
android/support/customtabs: {android/support/customtabs, ce54323de51089f18675b29b01e25c81}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 8b429618db6f424650c3d45e56843386}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 6c6f35314934e1ea72c5c4a1c7b61f29}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
org/java_websocket: {org/java_websocket, eb7da28f8a91f8a59e5177ed54c75eeb}
com/futuremind/recyclerviewfastscroll: {com/futuremind/recyclerviewfastscroll, 25080b9c94b5750a960144b6e2c809f8}
androidx/camera/camera2: {androidx/camera/camera2, 16770d5bf6bfa301c173039ab498e535}
androidx/recyclerview: {androidx/recyclerview, ed53c6362dce17320ce20272a9e03d27}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 05b6aacb708be201928769332da8e828}
androidx/concurrent/futures: {androidx/concurrent/futures, 8ee7bc1593cb9ec34b440ed756d84c35}
androidx/customview: {androidx/customview, c49a98e67555048738c818b61c64769e}
androidx/annotation: {androidx/annotation, a7d0781bf1026e3f618e9951aaefed1f}
androidx/dynamicanimation: {androidx/dynamicanimation, 5995d083f18fdc125e4b0cf395e58d4b}
androidx/camera/core: {androidx/camera/core, 3e00edb43ea8498cfbf12f1d4adfcb34}
