androidx/appcompat: {androidx/appcompat, 04967fc7a3eed23b926ba9eaae10609f}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 65eea66d7d02d5e4ea955875336f6e56}
androidx/emoji2/text: {androidx/emoji2/text, 88777c293543e530c0573b2d619baa0c}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
coil/disk: {coil/disk, cc2ad1ff77754b086b7c171c1af6927d}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 15029d092585233f1adf5cc585cb06b2}
kotlin/ranges: {kotlin/ranges, 5f9db8a9f603a2fec26e039108e9eda6}
androidx/tracing: {androidx/tracing, 89333db1484d74681f7e575341b6a461}
androidx/graphics/path: {androidx/graphics/path, 36198cbc79cbe808da5078d8460cb14b}
coil/util: {coil/util, 510d9d3e50b1d9bfaa1bd07afe9a9c00}
coil/transition: {coil/transition, efdcb613919c02f4c74d73439514f17b}
io/material/hct: {io/material/hct, 6b0237a3f590ece62ef5ffb27f20392f}
