androidx/appcompat: {androidx/appcompat, adc354ce456b7f0395b2b480244b7f71}
androidx/transition: {androidx/transition, 9fae0f0cbe357f52c2809e2431484d5a}
coil/request: {coil/request, e3172271a7f53d0c4cb25d250619a231}
kotlin/random: {kotlin/random, 17d7e72179e1a9ebb40ebaa8696e7931}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
androidx/compose/material3: {androidx/compose/material3, 2772db2e17bd0ce1021ce4b288d16325}
coil/memory: {coil/memory, ddf933d26d96490c0112d81395100c33}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
com/google/accompanist: {com/google/accompanist, 2d61009a20af60be01194db95de14664}
androidx/arch/core: {androidx/arch/core, 6de5313d974543968d96d0ec848ee1d4}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, be57bb162c8fafd4ddf5db27809c963a}
kotlin/jvm/internal: {kotlin/jvm/internal, d2f25b0fb70ed801af0d492952bf7a79}
coil/map: {coil/map, ffa40975eef64649744d1997f515cad8}
androidx/compose/material: {androidx/compose/material, 2c795d1a41f09bd4dee0731b3bf2f0d1}
androidx/compose/ui: {androidx/compose/ui, cc57c93a37c5e3a8ee70156d4e71449a}
kotlin/sequences: {kotlin/sequences, a0685014c74dac7e648ead63b73f8e00}
okio/internal: {okio/internal, ee3bda16cf4ffd372a147289c9ff16b8}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 418cc9420ea66741fc6b7d5623f1cd84}
androidx/profileinstaller: {androidx/profileinstaller, 07e6027994425185f59119a341f9dc46}
androidx/compose/animation: {androidx/compose/animation, 3acf564849539476192d0f5f14efaee9}
kotlin/jvm/functions: {kotlin/jvm/functions, 8086138030b63889d8c914926d6c6a46}
coil/decode: {coil/decode, e960af58e6d50042d5a7e4173361bd90}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
coil/target: {coil/target, d4c2d566ec9b6ab1fc0496aa40d3ca2d}
androidx/emoji2/text: {androidx/emoji2/text, 03fee79aff472711b87090cc7c3f2101}
_COROUTINE: {_COROUTINE, 1b0934cc5067f148af667c2f3438a28e}
okhttp3/internal: {okhttp3/internal, a6c023d227761c02fdff51125f8d71bf}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 442d19dc790ef2e33567b7df3444aa01}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, cd967c0789f484b971075ac551f57eee}
androidx/savedstate: {androidx/savedstate, c533b053114fbe01795ac850deeac6d0}
kotlinx/coroutines: {kotlinx/coroutines, 5a4e9db11b6a0e83a284a789c300f612}
coil/network: {coil/network, 6b4676f5258962b634070ab8f6b656e1}
androidx/compose/runtime: {androidx/compose/runtime, f6d023d1dddeb1dd19e2dc222751f486}
coil/disk: {coil/disk, 5b2a7feba04d8a3bcccbaaa3ea8d011a}
eu/depau/etchdroid: {eu/depau/etchdroid, ae05511d04ffb9ba4a270fb31f6eb34f}
coil/transition: {coil/transition, 4fed3948588ae2343389be1761a7de98}
kotlin/collections: {kotlin/collections, 5a9b809d2c8e578a1d0ededdd4576fe7}
coil/transform: {coil/transform, ddb264ea6989025d47c4cc7e27e3b5b6}
kotlin/ranges: {kotlin/ranges, 7ed17d8242022028d63fb193a21ac98b}
androidx/tracing: {androidx/tracing, 4328431a7198d659785a2e134ab88415}
androidx/startup: {androidx/startup, 37873e070e5ad840eafe987f428d838f}
kotlin/comparisons: {kotlin/comparisons, d03c7951f456da18a836fc7676317a8a}
coil/util: {coil/util, 3ca8000bb47918b8d2443990bbce0d8a}
coil/intercept: {coil/intercept, 384a56d21303a0098122d7c01d38aa42}
androidx/concurrent/futures: {androidx/concurrent/futures, fc2bcd80485a4062aa5d4bda7d06cb9a}
okio: {okio, 47096949fba43087b842131f44cd8b22}
androidx/recyclerview: {androidx/recyclerview, 8dc4aa84cc16c8c75f3e6cd91f1610c2}
androidx/customview/view: {androidx/customview/view, 888add5ab9828641ded8704859e4f09d}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, e798d8256faecb932724ea3cf64aec5f}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
