androidx/appcompat: {androidx/appcompat, 7520db0a5891ab01ff294b42017dd7ae}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/emoji2: {androidx/emoji2, a68f7ddec539083e11f8bf6d1a66527f}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
in/goodiebag/carouselpicker: {in/goodiebag/carouselpicker, db619efcf9d01fff30900132b560c912}
androidx/browser: {androidx/browser, 752b6e4a2e96a67b8fb1ab7e96279bc2}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, ef0a0bb4b315be2c3b3f4d2a83f2ccf0}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 9ee227c5ebb64342d1c305ea31750580}
androidx/arch/core: {androidx/arch/core, 484aafee93776acce631b106f51ccb93}
androidx/viewpager2: {androidx/viewpager2, 5a3bc125ce773072aa5e46f66420994a}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, d6616044b5ffd74e0af81645559f3723}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, c0d7b5d4a5ffe7ebd3ef9f0c87eee886}
android/support/customtabs: {android/support/customtabs, 4e18665da1060a66a3d9eeae3fce9458}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 210f4ebae1d1f35359d43a9d039946fe}
com/caverock/androidsvg: {com/caverock/androidsvg, ca59c84bd8e0d10253de97f61c30da0d}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/legacy/app: {androidx/legacy/app, f124b56fbe1791ff0d0a926d1f1ebd99}
androidx/legacy/preference: {androidx/legacy/preference, fb43adbfb1fccba97e064cab83058ba9}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
ar/com/hjg: {ar/com/hjg, a6d68db30970592913b1884fc86f8bfd}
br/tiagohm/markdownview: {br/tiagohm/markdownview, 64b52e41b7017692cf1e51de15da2a8f}
com/gigamole/navigationtabstrip: {com/gigamole/navigationtabstrip, 47ab22187059b4ee2f2ca6de045e05c1}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8af7b6125fb907636bed54563d4be768}
com/squareup/picasso: {com/squareup/picasso, e8b009ec715506394daef430842a6741}
androidx/concurrent/futures: {androidx/concurrent/futures, 7757a21a43ca466ad53bbc9c69467ece}
androidx/customview: {androidx/customview, 2d2b6f47b5a202b3cf7894544004f59a}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 0f612a55f00d5a08539d408bba920d43}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, fe0214c9b76d0dd8862375c991833b5e}
com/sdsmdg/harjot: {com/sdsmdg/harjot, 4470ef26369e22a722e6cc6915004a93}
io/pslab: {io/pslab, a532732a20f23ea9c4a1acf709193579}
com/orhanobut/logger: {com/orhanobut/logger, 2507fc24882167a5a187ec788e8927da}
