androidx/appcompat: {androidx/appcompat, 07be406dcf32a2e49be1bc3339cfb684}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 70a49ac681c1932c524328cda65bea6f}
androidx/collection: {androidx/collection, 6cb9787830df69734213b4f17da99fa1}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 6552d3b552224d20dbe1451198e146fa}
com/facebook/stetho: {com/facebook/stetho, db7697b05d3e8cf087282ed6563d1765}
net/sqlcipher: {net/sqlcipher, 89138143f2363fc590cbe3a17c742157}
net/openid/appauth: {net/openid/appauth, 295b45a9bb547a338e24062b5360a47b}
androidx/interpolator/view: {androidx/interpolator/view, 8bab3645943d6708cb0c30123553a19e}
kotlin/internal: {kotlin/internal, 9ea0319225ccd3d5fc009afbdc0817b9}
dagger/internal: {dagger/internal, c3716a2048ece19fb4076f9a542623a3}
io/minio: {io/minio, cca615760c30283ff450f6e3cbdb27a7}
com/pkmmte/view: {com/pkmmte/view, 6d02259e63a46f2e3ff48ba3029bc57b}
androidx/cardview: {androidx/cardview, c23cec8505f4e98c018d5c1eb4f6db92}
androidx/arch/core: {androidx/arch/core, 33d94b889a8de14b195b469181de3907}
org/joda/time: {org/joda/time, 60cfbc4014762fafbfbe407782ff472a}
androidx/media: {androidx/media, 92f9860bce477abafea7dd8a9212fd19}
androidx/browser/customtabs: {androidx/browser/customtabs, 4e54099aabeac6aa95dad8aa76129468}
me/zhanghai/android: {me/zhanghai/android, 038746177eef0a3f9041e8de0ed20aa5}
androidx/loader/content: {androidx/loader/content, 4a328ceecfcfa80f3a8f8a6ecfd017b7}
com/fasterxml/jackson: {com/fasterxml/jackson, 6f804e0a72c2b9976fee996187127014}
okhttp3/logging: {okhttp3/logging, f0cdb40d862a892ff1c3d74d5fc73598}
androidx/fragment/app: {androidx/fragment/app, 6dfe2c4cd50f266dcc891cc23dbe9394}
androidx/work: {androidx/work, f9bd5493be45d34762cf29998f2b8c3c}
com/google/firebase: {[com/google/firebase, com/google/android, ], 676d9e2d674f9ea8de5cc02f4ca3c1f9}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
com/amitshekhar: {com/amitshekhar, 5b49523da1a02c171c4e5a6438f9c500}
androidx/transition: {androidx/transition, 51c39f74961c128e1f67e9a1de2a2254}
androidx/browser/browseractions: {androidx/browser/browseractions, 628e79780ac2b0d3747f1dec5b9744ff}
io/requery: {io/requery, fdc6f9da7fab5694fb201e1eecb90bad}
org/xdty/callerinfo: {[org/xdty/phone, org/xdty/callerinfo, org/xdty/config, ], 38e91cc10c892289385147cbc4b9580f}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 89b2128b0a774f68e82e803637cc3cf1}
kotlin/ranges: {kotlin/ranges, 9a5a1245614d94142856a4bac0bd7098}
org/xmlpull/v1: {org/xmlpull/v1, bc24427f7243fc88af02740edd8125fe}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7140acc0d548f0d34ad91935665b58ef}
org/jsoup: {org/jsoup, 04eb1d0dbf5ff0e6741e881dda628b65}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
org/xdty/preference: {org/xdty/preference, efb7c1da76aff06cc5583acb7a1da455}
app/minimize/com: {app/minimize/com, c8bec4d1220c33d08588d5cc45b4440a}
android/support/customtabs: {android/support/customtabs, 22c5659d543bd6f54f4a19f6f54a4703}
com/google/i18n: {com/google/i18n, d7fa620343c4853b51a7a5a3e45f44da}
io/reactivex: {io/reactivex, 06fb9989c2139e7d8b56d66ed995903d}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 019e7c430384482a691597a2d59896ca}
okhttp3/internal: {okhttp3/internal, bc193496b4184a142d0a22032f19ccc6}
kotlinx/coroutines: {kotlinx/coroutines, 9ee0b8a42c6f34a3bc32a3bb9772c68d}
cat/ereza/customactivityoncrash: {cat/ereza/customactivityoncrash, 271795004476d12a2af55f41da3fbe34}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 105301ee2337344a93d2a29ecbdd52e7}
androidx/recyclerview: {androidx/recyclerview, 5679dc7543bfc1b03e575b2adc535d31}
com/google/gson: {com/google/gson, e0f5deda9d507ab7da0aed92e594cd4a}
okio: {okio, 30f7463fee48afd60a37a50c1de58b87}
com/google/api: {com/google/api, 46cc358d3f1eb5098b9c9771e3dca115}
androidx/customview/view: {androidx/customview/view, 6a8dbc789487884ab36f466866356759}
androidx/loader/app: {androidx/loader/app, 0b12d02dbcfe4a1bf17d9f793e67ef28}
