a6: {a6, f694a6bbef10cca84b8e2acf12a8131b}
e3: {e3, f13e6aa46d3ea2cc648151373c78c546}
y4: {y4, ae6045acf0231046aa9b368af450d53e}
q0: {q0, ecfc9e5d05d32a2d7fa229951d8e113f}
r0: {r0, 5bfeaf8cd765b577f7f10e9cb3b19501}
f0: {f0, 2147f325b8e7f035541f1b034145c97d}
c5: {c5, 3956cf264bf80875ef11ca6226def517}
w4: {w4, 7749bb7bcec62435dbf173c790f63f0f}
androidx/profileinstaller: {androidx/profileinstaller, c8de4991fabb8984dc19b44a9debe963}
r5: {r5, 3fa82f3b808ab27d9b22490569184187}
z2: {z2, 94a37f780f6a5fcc27957d5549f3e021}
o4: {o4, 861ca7d4f8ebd57dd5f3410b58b0650a}
b4: {b4, b36b4a8bb6e95c6e0f8115d172224e60}
x2: {x2, 0ad13c78d4306c9ae93d4e258e5bf9af}
v: {v, 26d8b7337bbbef9c24dd9810f0e773d3}
a2: {a2, c15a2cd04e96e6e6397395de3b87c381}
h6: {h6, f2c0ab0033b9dba5248bed9a187813ba}
androidx/core/text: {androidx/core/text, b05bc1db0a255da50916fde13e8c1b53}
androidx/core/app: {androidx/core/app, e4821f2136ec57de67c8185d4b506768}
n0: {n0, 8e745b957bbb0fc28c5444a3b0d78ad4}
u0: {u0, b094f04534da1992a11f36edf4358cf4}
k5: {k5, cf1138f1b649bb8bfaac168f35fc6ab8}
z5: {z5, 26376d1751e7d508a8e4e91eca0ab09f}
i1: {i1, 27a939200a9954caab922fd7b28eaca7}
f: {f, b74ef8a20fbf7c79173c1ca6169b6f4f}
v6: {v6, d78c8b134329b46565f54cdec1dc2661}
kotlinx/coroutines/scheduling: {kotlinx/coroutines/scheduling, 937cf865c590e1d7831357160dbec335}
l4: {l4, 772823961c03977aa888e7688a94f5ce}
b3: {b3, 09d43ae447a0ef090e29133e4eb752df}
n: {n, 69412ae9bac0de38e4d851ed170bbebb}
p6: {p6, acf7ef943fdeb3cbfed8dd0d8f584731}
d4: {d4, be5b4cc36ce7b62cf947f72d2a7775ed}
e2: {e2, bcc92d029174a1ac78a51633a389107d}
t6: {t6, 844768daee64dd4e6152adf36861774f}
j1: {j1, 2bcb28de1900e5fd022bfe63de1ada76}
a3: {a3, d28b35cf705c1ddaa141e54594589066}
kotlinx/coroutines/flow: {[kotlinx/coroutines/internal, kotlinx/coroutines/flow, ], e7b4a979811993b95af8af8020ab88e8}
y3: {y3, 6606a7b773952bb3e533651571b43e28}
c4: {c4, 501c1f5e8cd37743520e0ab1405e8aca}
p7: {p7, a0f606021b7ea4fbf01242e3540df5cd}
s1: {s1, 3fc4ae984492becac5f4d02a9c9a11fc}
o: {o, e9f084931258e8916978c5380f76f27f}
f1: {f1, 8b072f5d371e3f24d3d0324cbd3e4b2a}
z3: {z3, 5031db80150669fa3f9377909da8392c}
a1: {a1, 5687ab0e0f32a040bd36d570e1d6f9ea}
h7: {h7, 25cd5c388bbd131ee49694c64aa0a3e1}
n6: {n6, e9cd15807d77d47cd20e6990b7635198}
w: {w, 5fd7d65518abe0263490214436e05878}
i7: {i7, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/core/content: {androidx/core/content, 37a3b704fd219d4b4a6bab9f2021a8e3}
x3: {x3, 8cb73781de3b6d84113a5cfa9ab5f9b5}
g5: {g5, 2592b14d8ddd2b7fdcfe290ab0d2ae6b}
k4: {k4, f906327875a32e48d779028c6d08c8c5}
n7: {n7, fc7ba0e1413ecbfb567dc9ad8ba7bab9}
d0: {d0, d2772b57f4f79cf19652bfecbde6dcd2}
g: {g, 557e83d0f70cba161677d24792f5bfb8}
n1: {n1, 69130056901c0bce5ae8fb1df680a2ae}
androidx/core/util: {androidx/core/util, 98dbd33364fa97147a85ed1fc3977d59}
b1: {b1, 1c8d78e8992aadd9942611abcb79ae8c}
androidx/biometric: {androidx/biometric, 9a03a5e1a7890d504971044041d8adbf}
l5: {l5, 23c978fb4ae39e134774a7c344a810d2}
i0: {i0, 97be9b3c725d2ead46985ddc61e13f16}
com/l4digital/fastscroll: {com/l4digital/fastscroll, 3e14792fd76a058f1780c057c4afb756}
q7: {q7, e3c0a425ec2c47b67599a8ff5554c565}
s0: {s0, bca3dab1e07b63840571fb5d3566e724}
u4: {u4, 9aadf736af51a1efa3444690878018fb}
r2: {r2, e05d69104c726798b0d948035529c735}
androidx/core/os: {androidx/core/os, c3647f9616674cbf3a721287c6bac8e0}
j6: {j6, d3a2fbf6cbd94188006cbeedd076e038}
androidx/appcompat/app: {androidx/appcompat/app, 268687d656504ffe2966e6a34a153d2f}
b7: {b7, 99bc1326bc2722e74f394811d7d87c3e}
w6: {w6, e31b4759906cbdb9f27549fea743fd5e}
h: {h, fa6aebd6b53871dfeff1eb0ac54ac56a}
s3: {s3, 8fa4c4c83ba001679aaff93f2420b492}
x4: {x4, a4cb12123310ba8138852b72580a4360}
androidx/core/view: {androidx/core/view, 391877758a9aca644df2bfa06e7f2c05}
c7: {c7, 3fb72db69fd302e5a9471350e92fe027}
p0: {p0, 8f5157d82872e43b7c2d7394ee221967}
p: {p, 3b6333ecb4892c0a837e39daa6708a46}
androidx/emoji2/text: {androidx/emoji2/text, ccee6c0bd8f5e444896c4b7a1060a05b}
androidx/core/provider: {androidx/core/provider, 3f298d6b79936a49ca504b23e4c5db1f}
z0: {z0, e1fbc72db54aa202a16400ef78243fac}
androidx/appcompat/widget: {androidx/appcompat/widget, e23408991e2525795c83f3eb7b37677a}
i6: {i6, 8c23349828e5904c3d1292dce657f7d4}
g4: {g4, b8f63a59d293878fc8f5dc55da8ac7cc}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, afd5369ef26fab89d5536f2062f73903}
s5: {s5, a9eafe72a8c36900a5cf77fc55719975}
u6: {u6, d570a466c20cdcb15d5e43ae2c9e5326}
k7: {k7, 22878560816f08edff698f588052285a}
o7: {o7, 9aecc9eb1530e1c5d28fa05a23a946a9}
y2: {y2, b8795f3fb5c3f6dc15f1423010745024}
b6: {b6, 07b9d65532003c017a03176330219b05}
s6: {s6, 96944056c416a653fbb74ee3cad6b230}
q6: {q6, 1704c7ed5f0d8cf682ebf4cd2e6a84dd}
e0: {e0, 31b83750fbc2a99e5362a9008fc4919e}
r3: {r3, d15402feedf244f3bf967285eb9f3b51}
androidx/viewpager2/widget: {androidx/viewpager2/widget, e6706efda51d264f41373d47abdf007d}
f6: {f6, 56c2657f6742c4123c00d4f0f26cd37f}
j7: {j7, 71d795a72af472eb9c75b2475dee869b}
c6: {c6, f2699b10e9937ac9de6b848ac49e2161}
a7: {a7, 5fa3cc830afaf1277e47d9c5b238472a}
l6: {l6, 290b4204707d0c7b5fa4fd593ea23c67}
x5: {x5, 7ffac6c044065fd780a01d9dc5806e2b}
d5: {d5, da6955ba5d56764e598fb08be75bad31}
i: {i, 12757b613366697ad54cc529f083ee9e}
p1: {p1, 7ed34b624c276f2781c20d46c3af804b}
s2: {s2, 1023198f2e436e09c5494e104263e69c}
g7: {g7, d52206726ec63ebc292d6eaf2d490911}
q: {q, 4874ee1525e9479837e8243aa206489a}
h1: {h1, b032d04f1507543f6801da2d5efb31f0}
n4: {n4, 049ed6b40b8d38e8e0dc09006b3110ed}
com/daimajia/androidanimations: {com/daimajia/androidanimations, 4c80e119f850d229c3cca6e9755fd028}
y1: {y1, 9f1af6121c0e532d87f5d65856df8958}
o1: {o1, 7a9dd05c2ff526340eeb0ef6b6a267ee}
v5: {v5, 6497242f1cf152dac6579c68a779b8f1}
a: {a, 9fb429adc5797de8df5c9054ee44fa70}
dev/sasikanth/colorsheet: {dev/sasikanth/colorsheet, 450992293ca1843fe692bdee2d097273}
l7: {l7, 525ce0b39d82c92053b88ebfd06ffeb5}
com/skydoves/androidveil: {com/skydoves/androidveil, 4cc7d4daa1a41080a928f0aa2f9ab4f1}
t1: {t1, b1e222741aa15ed52f5238f46bb42f83}
androidx/versionedparcelable: {androidx/versionedparcelable, 6b13148f87fcaa1c5b04d34b54108d0a}
o6: {o6, 29dfcc18f884ccd50e187a77447b62cb}
m7: {m7, 07329f9c8bdd4bbf26904712430f64c2}
j4: {j4, f75e07ee73c21bf23297854f793148c7}
w1: {w1, 84f7813e0db92e51295721201df1b36f}
q5: {q5, 828f01b6858c293abc10e992971c1202}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 33e6ce8dd45009928dbac615acc064f9}
e7: {e7, 5bfb7e3e92f85dfa775d0570d6d7ade5}
x: {x, f90f8384fe00b57dd0a41850f2870f3b}
u5: {u5, acf7ef943fdeb3cbfed8dd0d8f584731}
k6: {k6, a8d13b41b288ec3cd5b8a3b9a6f51c21}
m0: {m0, 635b13bff0166feba1d0ca928e68f0ef}
