kotlin/collections: {kotlin/collections, cbc517bd14c6f4766ce999bb5e943dd3}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/savedstate: {androidx/savedstate, 4c8b9264127701643cd09946c096d5c2}
androidx/documentfile: {androidx/documentfile, 608d705eb7ce3e278fbd314930c1bb17}
coil/singleton: {coil/singleton, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/network: {coil/network, 0fb4b7bd6c1bb319281ef3d0dae90e5a}
coil/disk: {coil/disk, efdae40c0057799c50ec61fa2a74be15}
coil/transform: {coil/transform, 0aed73e54b440459d6c3ef287c42eb49}
de/ptrlx/oneshot: {de/ptrlx/oneshot, 51197e514f2b0984eae19bd38df2940a}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
coil/memory: {coil/memory, fe14d5a1012cd39b39016d7c1b7249d3}
kotlinx/serialization/json: {[kotlinx/serialization/json, kotlinx/serialization/modules, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
coil/util: {coil/util, 5592dff422fe616ccdbfdfdabca1d357}
coil/intercept: {coil/intercept, d1de9b0a34de989e669b22b51d89da5b}
androidx/customview: {androidx/customview, f5a22b48e3767147b652147c203cfda5}
coil/transition: {coil/transition, bac42cb43b0299d3298f854a2a029a4a}
androidx/annotation: {androidx/annotation, 682c6c4361c2bfe02d1a8350498fccca}
androidx/appcompat/content: {androidx/appcompat/content, bf2efcba963a3ec0bfa08023dc647415}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
