a6: {a6, bfdbe5f2021576848de3580bef13d6be}
e3: {e3, 6e25ca2a4611589bd35fea11ffdccce0}
y4: {y4, 4ead0a2cf412b9a6db894cb385348b15}
androidx/compose/runtime: {androidx/compose/runtime, fb9682293d2c8d52598ce6c723893bc2}
u8: {u8, 027881125244fe84e8746999994ab9e1}
m1: {m1, df11c2e6245c471fdea204ec65d6451c}
x2: {x2, 1f029433a58a0bbd7bc21db2fd242c27}
a2: {a2, 89b27939dfb0b156aee7aea8f8c7b7aa}
n9: {n9, 0a0b852ca2e375e40276d06ba203ee0d}
s9: {s9, 5592e78d10bc02dda8da824c5e39157f}
n0: {n0, f4665c044472bb5422a44169f4ff0864}
k5: {k5, cd671792d71833672812ea873ee426a0}
f: {f, 290563a16e813c9c17b773d7c9456a5a}
x9: {x9, d87a911279ef6ab3dde5027a3e41f735}
i9: {i9, 74e5b9d96597e8f267fbe93c7ee954fb}
j1: {j1, 4fa94e7bde523485ecaaada8f6cd5d8d}
androidx/datastore/core: {androidx/datastore/core, 1fbc4ff15ae1c76fffeefd10f3688293}
m8: {m8, 89e24a12e58bf384f080664977e36442}
a9: {a9, 9c6c0b66d6c47154da14ad4cd741c190}
h7: {h7, 7f6ef6624c0213c225f4db24752dc3c0}
org/koin/android: {[org/koin/android, org/koin/core, ], aa5b21286b8905808497e48dd4227dfe}
f9: {f9, 732c16f0427192f7a05e91bd6e852928}
i7: {i7, d2d1b1c63c8465b95ffd599ffc23c920}
g5: {g5, 1ebb806f28f60d423b917b122d671585}
u7: {u7, 40b355d1a8a50b1a2eb6e130b393cb2e}
v7: {v7, 77bbfaad2740854f6a7ab2d6ba4fb7be}
l5: {l5, 97c69dd3f6fd3ff581b9d35ff794af21}
i0: {i0, 4591b6a7a92141b0bfeb87fc12679a43}
s0: {s0, c8fb4dec190a13eae4ed4e792b0d9b47}
t7: {t7, 357a53f811a8b4e8ab80f6b59db1bad8}
b7: {b7, 0ea01e948eba61ff84561a3582f452c5}
c7: {c7, 8bcfaec6cd2c8c77574937feae305838}
p: {p, 0a07130ac85681e57190a8a65027ef18}
kotlin: {kotlin, 3ff1fa203095a086356dcb3af54f78db}
e8: {e8, 871e37f536d5ebda5b40a007ed8afa9b}
x8: {x8, a100412bfa15552e58f02eaccef63033}
kotlin/coroutines: {kotlin/coroutines, 79f6ac34af474d0b46eb4c87941b945d}
o7: {o7, 3d4c5355cdb37b529aac9ccf124137a9}
t0: {t0, af783f86b8483b6ac6711e12a479639a}
ca: {ca, 3eeb24af3525f1ce94b5ae1884932281}
i: {i, 144246f0ed5b6a0bcda2905aac7c542d}
p1: {p1, d94ffd9f7b13d940b5b157c369eba8e7}
d7: {d7, 8aad9be3a4b25e845c5222429021f75a}
q5: {q5, 21eda9e74ea3808e125c3f71359942d0}
e7: {e7, ed12e02d4509db79ea24912af3095af3}
f7: {f7, 58e320ff1b151fc37d843d60b2ce6254}
androidx/activity: {androidx/activity, dd8f11e3e2bf00c828899f6e33176b47}
k8: {k8, 2082d2f0c89a8f143095cd48000dcc13}
y0: {y0, 83a90bd0c4d93dd05642c045cde8731b}
y9: {y9, 78b25febfd8ba17ae25e0a56f2dab3e9}
com/google/android: {com/google/android, 5287656f1fed4c0143d10099d9edcd92}
z1: {z1, 3fe88e99c29283501ee07522e640bfae}
w0: {w0, 01cbd774485427ee715490c61082a328}
ba: {ba, af59b7b2785e7b0382ace066714c6878}
j5: {j5, 2a18f7732f6448c33aec2d364dd58234}
ia: {ia, 749582401383a00b62a04434e2319091}
d0: {d0, 90a456be75a291cc5cb08232c8932d0b}
b: {b, 30778ce4fb6987b15883055b793499c1}
k1: {k1, 9e1eb83fb2711b3722528338ba6004a9}
mb: {mb, 5984cd641fa6d43be921452517f00e29}
x7: {x7, 542dd9699021b2a489ba6c7d8f6e4a23}
a5: {a5, 7fbe3c5eaefa126e6102b14f53b261a6}
y7: {y7, db5e51f83aa190dd19ddc1396e86fec5}
i3: {i3, 63f18fb835f38d7ec431ebba8b6b338d}
androidx/savedstate: {androidx/savedstate, 8917fead207d19dcf90b4f0617e5d5fc}
m5: {m5, 891778e67a0a13a7bcb6729452998f24}
gb: {gb, 4401533d13d0d182a65594a9ef23eca2}
z2: {z2, 283af34c9a2626aae8039abff152e77c}
xa: {xa, d045efe9ba773b0c6cf225aeceffc266}
o4: {o4, b75b75c90185f4560f80d43dac77f57b}
g0: {g0, 31d5588671951ccbcc11850910f542cb}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, c5a962d5eda4dd8a09a09fc827e0e415}
o2: {o2, c459a7c7299cc62b7874b5a68caa3369}
androidx/lifecycle: {androidx/lifecycle, bb91bcea913b9ac7d84a37fb7edeab93}
c3: {c3, 6925c341a4c749caa25133b57b935979}
h4: {h4, 574d531a19a234181b5a93f30e1ceb6f}
ha: {ha, 55e6169a4205c5e35e36396ee4dd2804}
t4: {t4, fcc53579e99cee4e9cf2d2190d58560a}
u2: {u2, ccf126308be9afc4dfcc6b7fe91dc0e6}
c8: {c8, baa46fbea2fa18455f9f60f36945f97e}
h3: {h3, 5ff62cf777028cdafa769cadbbee0236}
kotlinx/serialization: {kotlinx/serialization, 255b3e1a56bfd3d725cb2d55f1ab5e5f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a7da4fe142b51232b2edac165e9528c0}
r7: {r7, aee5f12144bb43ed581b18532d81018f}
s7: {s7, 1b95145cf5da3feca150980df7e635e4}
q1: {q1, f27eda31967939d4b3b777186ff4f685}
b0: {b0, 1ece7fa3cd3a56c50289ea1387dca2d9}
u: {u, 5c992f9ab4f72d0507679331c0d0408f}
f3: {f3, 446152dc2daea9c4605a9e3760c57b3a}
kotlin/jvm: {kotlin/jvm, cb446c932519694dd3fdd90d9fdff70d}
v6: {v6, 51a9a67d1ee120a90710bd5f8131df86}
w4: {w4, 341ab1d989cebc8aef4a3d45c5f4849b}
db: {db, dc9ae5f258261236bedf92eeebac916a}
androidx/appcompat/view: {androidx/appcompat/view, 7f6e2421ae441c11a60d9b8e19bd7792}
androidx/compose/material3: {androidx/compose/material3, fe8c4e748d6b205db672b32d3319bed1}
z5: {z5, 648e611bafb81567ab9eab66adb2d5a4}
p6: {p6, 6407b283db9612f73aeb28dc2319d9c4}
d4: {d4, f65133392ba43790cc4b4510014e65af}
e2: {e2, 307fbe9e173ceef457f39c63b621ef38}
q8: {q8, fe849ec3e1b734a1d1c64e319cc59d92}
y3: {y3, da9cbecb3b84100c98667e96cedf9f2b}
a1: {a1, 6225d6224846b5663fa135a289619fdf}
n6: {n6, 9dcb2923fab291330e8d8ee8e28ccc37}
s8: {s8, 121d08e16cba886d4811ade33d318867}
k4: {k4, fed7f6a2c150ba9c27bf0279af43e646}
wa: {wa, 0153ec9669c35e0d510bf7d481b13c93}
g: {g, 2c0a218f36b4e489ea12f953c6cd9bb1}
n1: {n1, 9eb3bf3b244b378e49b005114baa0da5}
androidx/biometric: {androidx/biometric, 8df12b426ca72b284e16cb62b06ce2bb}
i8: {i8, ff2928f766647e190fed5ab6593b54a5}
bb: {bb, 7eb2734db5581d2723e6cbe29e391ec4}
j6: {j6, 1a262f0431d1b7d1e3983b0516226d31}
sa: {sa, 8416ccc4acc44bf64c5b8472883f4111}
s3: {s3, cc57d3a01f94754f7d9dd360d6d916c8}
x4: {x4, 1fa94654a2c107e9aac95fffbca0969a}
a8: {a8, d52206726ec63ebc292d6eaf2d490911}
h0: {h0, 635377e8611a3872f88f0dbf874b1c01}
i6: {i6, f7f164ed0ebe9952c69ae3dd3ccb1092}
g4: {g4, b9622bcc0f2a1295a1ec86b7f62eba58}
e9: {e9, b48f0ca37357e618fe68d7d3de581f72}
l6: {l6, 9a127da32795b97eda9d64ae91d53dd8}
u6: {u6, feccb17984d91499c79d6183c200eadd}
m0: {m0, a32136ea9e5683c5bec58291ef65050d}
v4: {v4, 2f71577260e5448b6e8a05059d24d3da}
t8: {t8, af9f3832cf811a68817f4241c97712d2}
c6: {c6, 9956ec8709d0765fde9f25b61a1535bf}
com/noto/app: {com/noto/app, e19eac56a8b6036fbf85f12d39418d22}
kb: {kb, 86e960bf0a36e74e321cda2dffcce43a}
l8: {l8, 91846119e13e088cf09df316298c12a0}
q: {q, 16a92ecc68d8f5e4b89ee3e10088e4db}
b4: {b4, deff8c1295da1bc3f4b85d8db075b83d}
o1: {o1, 18278376deef7883a64525577239d0cb}
fa: {fa, 739d73a901b3b13256244dbc3f10f026}
t1: {t1, 1b57b496d31f293793a2301f237a9f60}
o6: {o6, 910d9df5405250479faf5a715a6ea1ae}
ga: {ga, 3d59cf0d195a0a939b2939bc33f66079}
x: {x, ed2f00c1eba28614289e5195dd9a7d09}
r0: {r0, b9712829b57ea49d8ddd7337fb2c76c1}
p2: {p2, 3fe1d6ef509cd77f410e2cd7507d1803}
d8: {d8, 699132cae2cbfd6c3c54196a4d8cea35}
j: {j, e56db91f9d60390a0744a6e764b71fb8}
q4: {q4, df819958a5873b809d6add551d1d5ea8}
androidx/compose/foundation: {androidx/compose/foundation, 0b7d767efb91aab33fc08472b81f0117}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e5ffc5963a7bb1b8a4b3977914c284f2}
e6: {e6, ae8e19689b3498e0d654889691f04963}
f4: {f4, 16d5fdfa41a4134e27745cac69407bfb}
kotlinx/datetime: {kotlinx/datetime, 4d7b4e76b5fb7b47591e89aa858254da}
y8: {y8, 7cc961365ae99470843462e7be3a1c43}
ab: {ab, 7ebf4564c84bea86bcaa3ee8a0725228}
z6: {z6, 34ddef6676f838da69bfc19ab89753b5}
androidx/startup: {androidx/startup, 54cfd93fec9a70e9d67a3447497e2e59}
w3: {w3, 8960c436f10ddbd185a95dceb82deea8}
androidx/compose/ui: {androidx/compose/ui, 984d94bcfc8ecfa1b0fbb2bbf5961ffc}
d1: {d1, 1b342df42359a885bd041d096d3cef25}
k0: {k0, b0465d4c25d1b4319ff863d83f122537}
ma: {ma, 309a643ed5be14a0a3c431f43a323796}
x0: {x0, 97ef092fcf312f8839b640ee37839721}
y6: {y6, 3a8752f30600aa86b35b1f293b309535}
m3: {m3, 25f51172d9c7369711414490375714ba}
i2: {i2, d22fd81103ad330107730df2a8aeb6f4}
a4: {a4, 9ab4e7d87b6bfb56651e822f66e84541}
androidx/compose/animation: {androidx/compose/animation, 08a6e5504f6bd9084babeb2c20eddd79}
j8: {j8, 0277569430d88ce40fae8dc081346999}
j3: {j3, beabe11d586f14d3da821cdaac454500}
m4: {m4, 2196908a43df70d263a78739b2f833e4}
d: {d, 45155dc59608fc3683a5f6dd330413fe}
n2: {n2, 86dc52b4db3874da14e8b33430d50ef2}
ya: {ya, 73817e22f48158978dd0f47fe33ad8da}
v0: {v0, 7de44fd0f2e13a116fe757b0cea03317}
g3: {g3, 4a276ad10194e9bf9efa3cdc399c6bd4}
r4: {r4, 19f9797857d25f112406577ce7587c77}
b8: {b8, 55ca00525ccb4bd4fe9e4cf0dc9e0ea1}
o5: {o5, db9bac77242c5093af0d3071ae785b22}
h5: {h5, a44f2148c98dd442e70051d079952822}
c2: {c2, ec2d922c7dd547a135c9f11fe441e043}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
t5: {t5, b8a6aa22ea7ccc72e89a63b297b1a4e1}
l3: {l3, bc9d0f53173f0fa9f1d414be9ee0047b}
u1: {u1, 72cd7e957c6d1e68c9266671ca7549a6}
s6: {s6, 2977981eae06e7978822bc3c9142f7b9}
hb: {hb, 0dc88be10291f638ed5df283f058e84a}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 3a437daa0fd9c2617a430b0e2cfcf2a0}
la: {la, 743337625958ff3a8d2d155caaeab61b}
b1: {b1, 036723bd1d62e9d3f924765e8fc37c03}
q0: {q0, 14a50ccd2eb8737b904e42f293933a0c}
fb: {fb, 0a4c17d4e6e24f4cf3c1a3de167c937a}
f0: {f0, 427d4357cd18ff8619d161e0657f589a}
c5: {c5, 23d94fdf5b85585380c9989a0530efad}
androidx/profileinstaller: {androidx/profileinstaller, bee76d02b878af68534af0d6a2079cc4}
ka: {ka, 9b66e91fa3966bbfde40143e1dbfbde5}
v: {v, d338f9c4c9bcaae3d623ef7fc4019c1c}
com/airbnb/epoxy: {com/airbnb/epoxy, 27d845d97fbab7cc88ef3bf6e0124518}
androidx/appcompat/app: {androidx/appcompat/app, f47ff959ba65b8bc2ffd78033933f601}
va: {va, c5f07136cafc39031f4e2a91cb711c0c}
p7: {p7, 96e90c4dd6e3e3e4409db299eaa8f4b1}
o: {o, 1d21cace4cf6f3cf13f5d51f20ea1bbd}
z3: {z3, fab984ba1b3c729313f70cded0dfe587}
za: {za, acf7ef943fdeb3cbfed8dd0d8f584731}
s5: {s5, d70784d49658d35ed29a712f0eeecf59}
q7: {q7, 90050283b632d6918d35e14fe934285b}
e1: {e1, d691291da9502752b99925fe8e921ee3}
kotlin/collections: {kotlin/collections, bf8a118810a36bdac2b866bb520981ce}
y2: {y2, 11295a73b341d66cd2ef882b1e241963}
ja: {ja, 36d1461e59aa00e24d23b6c7a5bc2647}
z8: {z8, 6ffae267b541d02aa490a5bdc0062eb1}
n7: {n7, 4049026d3af7d6a0adbe0db0e538cf5c}
a0: {a0, b964c15d1ff8ba6d4b01c8bf82faa9a5}
k7: {k7, fe7d298a844c419e4b382694445da06d}
p8: {p8, f85dc9979e3371f1bff304e6688ffb2e}
j7: {j7, 848febf3740c92b4238af7333f38f32c}
a7: {a7, 6f93632c22a393e7424c615127e2399d}
r8: {r8, 5efea59dedb556e70c2626e98287eb4f}
x5: {x5, c29f066add1119008810339265f48086}
s2: {s2, 131440b4aab761f7b15ad4079719708f}
androidx/work: {androidx/work, e785828598d9bfdb4f863c052b7af4c0}
g7: {g7, e2253c58cd1255be5df61033be2108c6}
l0: {l0, adcebbcb69f81cbe5b72ed6a6d42e0df}
h1: {h1, a0c30973ce8f478e5f0298c5f7d28cd5}
androidx/emoji2/text: {androidx/emoji2/text, 221416caa4cead9100c54c60482b4c7d}
i5: {i5, e6e3f746a10e706aa69cb0ddb529e439}
v5: {v5, c43360f304614d5b9f76607fa0ac0d0f}
w9: {w9, 7b633753761f0ee2ff67a59a9d901c6a}
m7: {m7, 09d0199c9b56b9ed78cb95a414337521}
t9: {t9, 9475f443661a49b17d07a3fa556b69fa}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 5226a4effbfa7f0bcaeb8465bf5ec810}
u5: {u5, 9521f9e259dfee7d2f1dbe91559f3b02}
h8: {h8, 1bd24196da4f5d74a4b286cdc0a2accd}
androidx/core/widget: {androidx/core/widget, 6b0ac4caa941dd337e1b27b04d98b764}
c1: {c1, 69acafb72f5e9c9349858df038f92295}
l9: {l9, 97afdd001e5631bb2f3b0025d394e385}
ra: {ra, 9aefe3821a3c9f5fa59ec22e51aa021f}
o0: {o0, aea972a574a73764446645173009bfb9}
o9: {o9, 007b28679f8f00e740352a18a20b3c4f}
t2: {t2, 21812f9e9011d7a92bfb5dda5138b428}
kotlin/random: {kotlin/random, 405265d059d45b088b9a53fa6181c6dd}
y: {y, e08b4450a64611b2cc7591115d56589d}
d9: {d9, 534c2031e1caa3248b980de85be1ac81}
k: {k, b9b9f7a11aebc877148c5ef7c77dd7f9}
p3: {p3, 514333346d170a1d342fed000daac7c0}
e5: {e5, 0820cab4f5d5221d5987bde60bfbf4a8}
b2: {b2, efdff6006626c2040a111eb8636a07ae}
q3: {q3, 9eda06dccbd779f954f99a250a71b685}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 28ff5c575ffcfe85e2cf2ba7e2c40998}
kotlinx/coroutines: {kotlinx/coroutines, 900c14c5d059e675ea5f64ed76666110}
r: {r, de6ebd27ce7186636404fee92c468661}
qa: {qa, b788f3c1112b3f828e6f0b14dfd21870}
f5: {f5, 442b3c34eead4018af2e755ce163fa5a}
g9: {g9, cd82cfc43ff1415af11ab3cfd5cc2464}
n5: {n5, 5dd910b3fe15d5f8ca3e002044e50821}
v8: {v8, 66f0f2ccd96ee96fe4179d3b5037f207}
androidx/room: {androidx/room, 8a8ec430348a292910c320af815d791c}
w2: {w2, 76b51d954de61076e7637774daa6598b}
aa: {aa, 160f424f65268b1cbbbf432c9cc2d55a}
kotlin/text: {kotlin/text, d62675d20bf57a31b429ed7ac76d2595}
z7: {z7, dcd868053bea8cd0b3f4813dbc822df7}
p4: {p4, 578844b77d5d07ce7965b16d8b71612b}
l: {l, 2cf7765705eb692290527f0ee746ca20}
d2: {d2, 50fe11c83ea58ecaa5237e087d18915e}
x1: {x1, be4d7c9784372779290c849fd5c04478}
y5: {y5, 7872e5c0f693478be8188d9813b1f6e7}
m2: {m2, e8a1c5e8b616628f899d03dbdd55db3b}
j9: {j9, aab7e7ea0327f3e3f02b8a1f7a7c9542}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
n8: {n8, c293c7b6fa4a56c170295d344b5b96b4}
a3: {a3, ee4def51a20046f61c5fb8b82c29192a}
androidx/fragment/app: {androidx/fragment/app, 0c38a176ed97c63d1acf0945c588450c}
j0: {j0, 5903f79253136f615e3e74fccf816cbb}
n3: {n3, 779f346db71f24aefb5a09a311e11dda}
e: {e, dd1e20e23b5189086b1c04763901f5ab}
jb: {jb, ca8715f8ecb5dbbc0341ec79484a80c9}
u9: {u9, b2394b7c0fb317f0eddde9227cb5a16a}
pa: {pa, f6bbc017f58b9ab3b1faaed1bccfff48}
v1: {v1, 1511ee61d098e671a57e8de63d86b3e3}
m9: {m9, a463150565fdca367a1413042b42fbff}
r5: {r5, 43d5acd906efd36a54a830cd315b70d5}
f8: {f8, 1fc7436230b806ca49c99b8ccda02f28}
androidx/appcompat/widget: {androidx/appcompat/widget, d40fcb83800c06772050241cd925f6df}
kotlin/time: {kotlin/time, 0d78f2da050960ceb8829ac4debb4536}
g2: {g2, 3f9d55fe97e83845ddcfdf78e65666ab}
h6: {h6, 50c3ad176e0efcb37403ae098cdfa7b1}
u0: {u0, 58aa002df93cf8b6724a1fb1700c435c}
i1: {i1, 9225d9c7bd5e775a1ec12922eafccfc5}
oa: {oa, 1f9d7904fdf5a0e53e42dfaefe9a00bf}
s1: {s1, 5fed50b21b687b75887b301925684140}
t6: {t6, 3d53276110e4a0ad773815d7f28f0692}
lb: {lb, a8b9953228af52e90be72e0ceeacdfa0}
b6: {b6, 4544c5fb6d9f1efb37064ed381a9be26}
c4: {c4, de4095b22e641c3f98d1a3a2858fdc53}
androidx/compose/material: {androidx/compose/material, a5fa30dc032095a34de4969544be5b28}
f1: {f1, 3ad6708a1b2c953e4f1c74f6603fc7b7}
w: {w, d3403c971a937a24ed07456bed7acc35}
p9: {p9, d8fcb0e0ca52cb748c350e2b7ec4d65c}
b9: {b9, cda3474edc1e02d8c29c124159126c57}
r2: {r2, 11e4842c154baba45fcbe2719a98ada3}
w6: {w6, 6f24e674569a30cf61b2f24dcd28074d}
h: {h, 37942e7b41ea72e641a9467751f6789c}
d6: {d6, f656ca469a4dab09c22d3eb19f23497d}
androidx/core/view: {androidx/core/view, d3fa70b10eb56afbbde7bf8d4414fe6a}
p0: {p0, 058bf8facd389e1240277d7ea3cf0fca}
z0: {z0, f56e73cf74537ce271bdea24f62ac499}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 65b41f276ec7395d28293d53ae4e9728}
com/robinhood/ticker: {com/robinhood/ticker, df871b62af6d25cbbeb5347792edb182}
q6: {q6, b6457068896ede46176477329632f259}
e0: {e0, 1ad0c39a33dc7f27b85e3a6395aba6bc}
androidx/viewpager2/widget: {androidx/viewpager2/widget, dc7bf4ca12bf1566e9acbf03c210dc15}
f6: {f6, 1f395bc7eb5cf39223394e480a2367e8}
z9: {z9, 3bdf24be249762de135e12ef71372610}
n4: {n4, 391f7238f58d6af5d9137efe93899eab}
k9: {k9, 5cfe4d68d0d04526bcf938d4c246cd13}
y1: {y1, d4d83d3d8d318afa623955f45c01c6b3}
a: {a, 8b69b62baa4b369c94e4102870f262f8}
ib: {ib, e165aaa9ba82f0094262412e3adfc44a}
j4: {j4, 2106048feee40a7f1fad3539a3abc7ad}
w1: {w1, 82a5b74aca03c48a0e3854295fa06de6}
k6: {k6, 3f6a258fa8b23565bf4a98df47e86b89}
