androidx/appcompat: {androidx/appcompat, 5cfa40da67ccc5ba19df01a5a385e3b0}
com/bytehamster/lib: {com/bytehamster/lib, b07e9dba0c9cbd30cc7ddc22f70f1eaf}
org/slf4j: {org/slf4j, 06de1251de6abac4c1e9a39ab6d0ec05}
androidx/browser/customtabs: {androidx/browser/customtabs, 017a04091d43fbd8eb56851b9116b8c5}
androidx/viewpager/widget: {androidx/viewpager/widget, b44d8a7c324a5933ac6a7aea0fc58081}
kotlin/jdk7: {kotlin/jdk7, bf78859827d5a086e77cdc38f114fafe}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/viewpager2: {androidx/viewpager2, fefe6f8fd6ac7c9f5706df4a8e1b5cbd}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/apache/commons: {org/apache/commons, 12ec79e3445bb3b5a4d02c2152c6d7a3}
android/support/customtabs: {android/support/customtabs, 5d5ef4951d850226ae5a311156e07c34}
androidx/recyclerview: {androidx/recyclerview, 14ccf2eda5408a42dc9e7983b1355b86}
de/cketti/safecontentresolver: {de/cketti/safecontentresolver, 4fa280edb0ea0402d498818f165565ab}
kotlin/jvm: {kotlin/jvm, 8be76b08450e05414c9439766e41f793}
kotlin/io: {kotlin/io, f8a368a86bf883877eca5fc547e88b4a}
androidx/profileinstaller: {androidx/profileinstaller, 81a06e11956239f9d5a4510fa9d13e3e}
kotlin/time: {kotlin/time, db9367122c722775c19334f83dee6b5e}
com/takisoft/preferencex: {com/takisoft/preferencex, 1d22aa7af5ebc2ae8a64b8b9deb646ef}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f0a2d5af11812e9e4dcfe64c055b9b08}
org/koin/mp: {[org/koin/mp, org/koin/core, ], 3ef5af3ddce2c9203f6062629a5a62d4}
androidx/sqlite/util: {androidx/sqlite/util, bd1931933c0272de297b803b48eb4ab3}
net/openid/appauth: {net/openid/appauth, f21646ee182a1afbb62b8d4d11841eb1}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, d44c248b87918c9b88b13a6b1493d678}
org/koin/dsl: {[org/koin/core, org/koin/dsl, ], 7c855a55a409326bd835e7bc8d6a9ed5}
androidx/drawerlayout: {androidx/drawerlayout, 3616a332348222a176297a10d6414d1b}
androidx/loader/content: {androidx/loader/content, 8ebc4cfc7b457fdc8cea0fe828590d24}
com/squareup/moshi: {com/squareup/moshi, adb1686be2955328eca31a48ecb6cec1}
org/koin/android: {[org/koin/android, org/koin/core, ], 7b02162bfeaadbbb69bccbef7f05396c}
androidx/arch/core: {androidx/arch/core, 0038f1b28987f2b8f085df586c7540ec}
de/cketti/changelog: {de/cketti/changelog, 2b960a718c2b337d0963943806eeca3c}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, dfdf97030b4e52625fe14bd83ea4a9c3}
app/k9mail/dev: {app/k9mail/dev, b3e9d4d199226ede760bfeff901285e8}
androidx/biometric: {androidx/biometric, 628f74f50af1e8963349e169a5dc9a69}
com/mikepenz/materialdrawer: {[com/mikepenz/materialdrawer, com/mikepenz/fastadapter, ], 104197583e9c5dfa915848660086a409}
okio/internal: {okio/internal, b50778df34ad780507d259df5db61452}
androidx/concurrent/futures: {androidx/concurrent/futures, feef189a6ba3c779d3a006e4a28982dd}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
org/apache/james: {org/apache/james, 465efaa60c2899302e843e3488fb8f83}
kotlin/collections: {kotlin/collections, 1244a58e5eca0cbbe7ff8df4f2b18187}
androidx/fragment: {androidx/fragment, 9e2e1fca0ddbec14f59779aa597451d1}
androidx/customview/widget: {androidx/customview/widget, f3735413c2534cdf72e1f47620a28274}
kotlin: {kotlin, 000d880213f4fb1185a8b9573ec23606}
kotlin/coroutines: {kotlin/coroutines, 28941da1c50da12ce1cbc6706bd55dfc}
kotlin/concurrent: {kotlin/concurrent, bd2a0f6e6ce5cdf1b0e7880886ba199f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 230227d206f2bb28a98d8ef53e6809f5}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 9f925a9e695a1f6afbf2e9fb61ce1078}
androidx/work: {androidx/work, 11ae2a52a4365eed71a0f8d7d5ff99b1}
androidx/emoji2/text: {androidx/emoji2/text, f8c0d81d9d7cf757fbc72c79e8a6339a}
org/jsoup: {org/jsoup, 3adf21af6cef394cea9ba25209ed9571}
com/bumptech/glide: {com/bumptech/glide, 53d14a393edf6cb6252ccfe313db5e61}
kotlin/ranges: {kotlin/ranges, f58e0b8608f9b0873547a27ddf69cc7d}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
com/tokenautocomplete: {com/tokenautocomplete, 7b3fee27e97c39349c75075a92c873cc}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], cc1a1ba17fe068f6434b840c71f90fc0}
okio: {okio, 5e4fbdfd089185adf6d322603046e51d}
com/fsck/k9: {com/fsck/k9, 56e7b90ee3856650257254d42fe71733}
