androidx/appcompat: {androidx/appcompat, 81ab425cf0fd71b322b7e848d59cdea3}
androidx/lifecycle: {androidx/lifecycle, d3ef16e7b3c1976b21f8e305191a2a13}
androidx/navigation: {androidx/navigation, edb5efb04c891da8aaab1fdc4db225e0}
ru/slartus/http: {ru/slartus/http, c3747e3af7b9368f98fa5c28fab99140}
org/softeg/sqliteannotations: {org/softeg/sqliteannotations, fe7d298a844c419e4b382694445da06d}
kotlin/reflect: {kotlin/reflect, d1b5fdd481a14ec9c6c041549be4d95b}
kotlin/text: {kotlin/text, 82b8ae9a1e3c110f590e1aa5288ca09d}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
coil/transition: {coil/transition, 7bebeef62bb2e842622c2a40272ebad3}
org/softeg/slartus: {org/softeg/slartus, 13a11f4b6cdd76b14eb1b21cfadcc94b}
androidx/core: {androidx/core, 8e529a550cdfaf4ef25ae7246c230a31}
kotlinx/serialization: {kotlinx/serialization, 5905f14481a080fc16cb32089d5ed0e3}
androidx/transition: {androidx/transition, 98fcc8ccc6c2b01fba9178cb863a811f}
coil/request: {coil/request, 7cbf517702a92471ab45155432bad7a4}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
coil/base: {coil/base, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/bitmap: {coil/bitmap, 65ce518c17302790491837de16f36339}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
coil/target: {coil/target, c3c0aa78132104d86eefcbcdbe89a190}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
coil/singleton: {coil/singleton, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/network: {coil/network, 9e976652a339d4dea76c5ea45d2da468}
androidx/recyclerview: {androidx/recyclerview, 2787003a55c1bb3452fb694d503169ad}
kotlin/comparisons: {kotlin/comparisons, ce2913926f014295f758042d25f0ff37}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
kotlin/jvm: {kotlin/jvm, 85aeb2163ba307afc5ddfe43b48ee454}
coil/size: {coil/size, 9e000be89baa3a30895b92ea3a5a71f4}
com/readystatesoftware/sqliteasset: {com/readystatesoftware/sqliteasset, d86321cc74175fed213e295e839d9a8a}
kotlin/io: {kotlin/io, f00fc8542398f86c363b07b46e0b8b51}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
kotlinx/parcelize: {kotlinx/parcelize, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, fd68b6f56d4c878ea63ce9ba90f64c7a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1755500c9118daf825112558a76b7eba}
dagger/internal: {dagger/internal, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 83d885cdf95b04ccf916e381f249d3c1}
coil/memory: {coil/memory, b8f5588650f46a24c73076f21d9e8b49}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
com/github/pwittchen: {com/github/pwittchen, b66524a7e7198614660b8dc5f6c0683f}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/exifinterface: {androidx/exifinterface, e888f8e88f6dfe014afd9539bcba8122}
coil/decode: {coil/decode, fbbf660e5d85f7d74a9206aec412a148}
kotlinx/android/extensions: {kotlinx/android/extensions, 2259e96eef31781306c1729f2119919c}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
io/reactivex: {io/reactivex, 641bfa63575ddedcb0017662c311ca07}
io/paperdb: {io/paperdb, 69bdf1fa054684b77e07e3fa841c8c72}
dagger: {dagger, 1ac6272fedb643cac10d2ca722fdc7b0}
androidx/concurrent/futures: {androidx/concurrent/futures, 32a3d87c17ed3d3c4b0c938c1d191e90}
kotlin/collections: {kotlin/collections, 5e1472780e5aafbe07f20efce79715b5}
androidx/fragment: {androidx/fragment, 7633faece21f9b3fed420970b4f79c0b}
kotlin: {kotlin, 3dc88cbc5a47f88b6be00ed80eb667ef}
kotlin/coroutines: {kotlin/coroutines, a1587adccac3f2ae3162e2d2b5d83f0e}
dagger/hilt: {dagger/hilt, 3d8be71947508f1ca0cab47ec69b57ca}
coil/transform: {coil/transform, df377c74e5ebedeff3e1ccf35754b159}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, acd475ca7ae9e8837911e7061c7da244}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
ru/softeg/slartus: {ru/softeg/slartus, f2246696546ef79560354c8d56f82a76}
androidx/work: {androidx/work, b3931bd7ab4f459d4713bc7671221069}
com/nostra13/universalimageloader: {com/nostra13/universalimageloader, 500adcedee46eaf9560405d7362f9709}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/time: {kotlin/time, 17e3a4402c7655651ad754c0147b3b3b}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, c16ada0ded737c88d01dc13ef031a940}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlinx/android/parcel: {kotlinx/android/parcel, acf7ef943fdeb3cbfed8dd0d8f584731}
com/dmitriy/tarasov: {com/dmitriy/tarasov, a4cbed238b624dc764f081539c541849}
coil/util: {coil/util, 2962fefe0d2d042d1c4c7e70048f3328}
androidx/customview: {androidx/customview, ee90bbac21b5d0cead2d93cc52a21fea}
okio: {okio, 3794e9c69a8820ad7c77c04d8428e2a6}
