androidx/appcompat: {androidx/appcompat, f12002af062604c996f1221fa07b9a1d}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 481125355970f8d4a7712f57c19bbdf3}
com/certified/audionote: {com/certified/audionote, 4ae654d2c3ee781752bce45d4abdbbd7}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 34144ead163e927e1ad8e3934eb55f0b}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, af2508fb39756721d8e6296be514d7df}
androidx/window: {androidx/window, bc92bf9820dfabaa394b76f3e3bc8f4b}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
androidx/databinding: {androidx/databinding, 8128378a75163c92c664f865ebaf1294}
