androidx/appcompat: {androidx/appcompat, 914d1853b904697aa2066cb270861d4e}
moe/matsuri/nb4a: {moe/matsuri/nb4a, 4939ec02ca1d4ed94b67d23907d5c76a}
androidx/savedstate: {androidx/savedstate, 532de08c7d2ac5b05f7718bb7d93ea28}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 30566f89063c9e39e5558e60e9b17fe5}
kotlinx/coroutines: {kotlinx/coroutines, ebdec83718b2f025bd3fe11dd68dad46}
androidx/loader/app: {androidx/loader/app, 05e844015bb998746d597b0300e2d32d}
dev/matrix/roomigrant: {dev/matrix/roomigrant, ef3ac058fb7c0e33f29f99720a661c49}
androidx/room: {androidx/room, 22a789f89e97099bd3b94e3dfbf9cf55}
androidx/sqlite/db: {androidx/sqlite/db, 2510537a0fa040362eb594a8d7436442}
androidx/lifecycle: {androidx/lifecycle, 8808b8e00fadcffc873e62e395a5e98a}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0c8db64a07ea5998c92a7d28f1ab33d1}
kotlin/reflect: {kotlin/reflect, 4c86e17b01ffc14e53906198420b78ae}
kotlin/text: {kotlin/text, 0b52a391d5133b6545bae30c46ff3a29}
android/graphics: {android/graphics, a84555709b28af97b5908eb8c3be80f4}
androidx/versionedparcelable: {androidx/versionedparcelable, eb281a8a2863de59d017fa3908e8403a}
okhttp3: {okhttp3, 113b5cf7628d34b3eb8dbae5491ece35}
android/view: {android/view, c40dfad23bbe2270c5c6f1655bd6093a}
androidx/core: {androidx/core, 1444c63d1477665d5611556d7a3574d7}
android/icu/util: {android/icu/util, a4da3e04e6e7d40a41d7257971e75fd0}
androidx/collection: {androidx/collection, dafd38c51f94b4c3f367a9bad402afbf}
android/service/quicksettings: {android/service/quicksettings, 00b9cd37315fc15e0dec0caf64660398}
androidx/transition: {androidx/transition, 639f004322f12f73f105a6fa4d2e2267}
com/king/zxing: {com/king/zxing, 42bd0b9c71ea69c1c24d74581d3b1fd8}
com/jakewharton/processphoenix: {com/jakewharton/processphoenix, ed396cd4ddbb5f6da00b484aa139473a}
androidx/viewpager/widget: {androidx/viewpager/widget, dc00983ea10ded3e9f0551594ab03314}
android/app: {android/app, 0d9ea6df4cb85be3be385e8467bdfa1c}
go: {go, c602da4e0a90f03ec01a2b9bcd7b08ca}
androidx/viewpager2: {androidx/viewpager2, 96b415ec37feb4e59aa21953cb5b42e5}
androidx/customview/view: {androidx/customview/view, 5ff62cf777028cdafa769cadbbee0236}
androidx/recyclerview: {androidx/recyclerview, 59a1332d9840e88b818857c54e2c78b6}
kotlin/comparisons: {kotlin/comparisons, bd29a1be6247497cc5f4a75d86b12cae}
kotlin/jvm: {kotlin/jvm, a24e80e604652cfd105262ca897466df}
org/yaml/snakeyaml: {org/yaml/snakeyaml, e4545829262811a3e8c126b4b6a9c7c2}
kotlin/io: {kotlin/io, 43c40f23510f4dae0b925b9a9a97a30b}
android/net: {android/net, 07902f13dfa5c27b9cf64dd1731fd9dd}
com/github/shadowsocks: {com/github/shadowsocks, 4983166f4104677cce919433b3a27171}
com/takisoft/preferencex: {com/takisoft/preferencex, 2f4012fb8f924661fe061f98db5abe56}
android/webkit: {android/webkit, bcd1e092f17df46a7d2aca17234dcf08}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 6fb25b77733a73b2d4581f61dce4fd6a}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 5fa9b694d7a9349f079777435b0d3176}
com/google/zxing: {com/google/zxing, f9a5c0ce8e4283ef5d3a6c7626d5c56e}
com/wireguard/crypto: {com/wireguard/crypto, af9b1d1dabe701125253050af26da6a6}
androidx/drawerlayout: {androidx/drawerlayout, db9e382cf527683e7e51bb53c6fa048b}
android/content/pm: {android/content/pm, 0105990d11bc293687d7afd2791f6e5b}
androidx/arch/core: {androidx/arch/core, 902943e1013d0b7ee4e458af9975cd5a}
kotlin/properties: {kotlin/properties, a950e429ca2a770cfd0cfc849c210a81}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 2412fd482b00ae381b00335a5818c067}
org/ini4j: {org/ini4j, 4603e7ddc0dabe8436458ae8825cf081}
okhttp3/internal: {okhttp3/internal, d362deb28b80c883a2721e3ab16342f0}
okio/internal: {okio/internal, 1feabb884a7dbd620b3893dee410d38c}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, b886e716b6c9b7e8bfd4ff4ed444d9e2}
androidx/concurrent/futures: {androidx/concurrent/futures, f15909b882db3e71e0a19286676d6772}
kotlin/collections: {kotlin/collections, d84986db5caf4df9d398eda4d8c836c4}
androidx/fragment: {androidx/fragment, 96c24e254f16e00a86d2353513b9271d}
androidx/customview/widget: {androidx/customview/widget, e3f925a7bfdce00ef685d5825bb1b5d0}
kotlin: {kotlin, d7baf1791651a99d151c3c971da27a2c}
okhttp3/internal/connection: {[okhttp3/internal/connection, okhttp3/internal/concurrent, ], 9ddaf97f0e954a90cac35e1d41dfc4a3}
kotlin/coroutines: {kotlin/coroutines, 52eace060fbb050e37452cdbb4c0a333}
kotlin/concurrent: {kotlin/concurrent, 3c011eb2a0c002bd6b549a12342dd9d8}
androidx/interpolator/view: {androidx/interpolator/view, 010b9e2e89a1d2fc8afab58f02e4bd00}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, da6cdb9121bed3d13593b2c1ba6e1b66}
androidx/work: {androidx/work, 2beef2d317ccbaab13eb25c6829c265e}
android/text: {android/text, 41dd338b42b2ad68d3138c555f8db97a}
android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/emoji2/text: {androidx/emoji2/text, 381c55784e6efda38cb8dc8d379fcd6c}
moe/matsuri/nya: {moe/matsuri/nya, b22cbfd9c584e5a5ddc7ed5fb4094558}
go/libcore/gojni: {go/libcore/gojni, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/ranges: {kotlin/ranges, dcb940299d116280a5686ffc7fd5ba83}
androidx/tracing: {androidx/tracing, e3d2302d2928bee57bf0640139192c68}
androidx/camera/camera2: {androidx/camera/camera2, 60fe619ebf53cf2e2c3f9c35c4d507ee}
com/google/gson: {com/google/gson, 737d1a4f81c2139488562a97446ce009}
okio: {okio, 8cbe937f6320c5c1b57a8cad805ce3e1}
androidx/camera/core: {androidx/camera/core, 4e3e8d70b16d4376bf481f7ccd27fd86}
