androidx/appcompat: {androidx/appcompat, 662fc67a503f17efe17d24356882dfcf}
androidx/browser: {androidx/browser, bc3028a1a0a960542bf51df651018f63}
kotlin/jdk7: {kotlin/jdk7, a8a33973ce8725de2124e584473f45db}
kotlin/text: {kotlin/text, fa47767bb7a523c96f9827e64de33dd7}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, c09876e78ca3ac13de878a03a6cef0ad}
androidx/arch/core: {androidx/arch/core, 3c734fec42826789374ddb67fd2126c9}
com/opencsv: {com/opencsv, 5be99761179c962511d2879e6b17ba2a}
kotlin/time: {kotlin/time, 6e57e64e2032cedda08b0fdd7728fd49}
kotlin/properties: {kotlin/properties, d1f57c2d23fffd674dcbc92e03d78b6d}
net/gsantner/markor: {[net/gsantner/markor, net/gsantner/opoc, ], 0f0179deaf099e8d8b56a83850cf89d5}
androidx/viewpager2: {androidx/viewpager2, cc1baa44073f4f4655e9155cf70cf38f}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
androidx/documentfile: {androidx/documentfile, 2c16815c85d88101167c3b538131aea8}
androidx/print: {androidx/print, 81b255ac074ef72fb8ff93e53fcc9fd1}
kotlin/system: {kotlin/system, 9fe532622c09a2de05364e77cac4f543}
android/support/customtabs: {android/support/customtabs, 6c0aa63f72b12f97651c4d0dee7ed78d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 04013f51ac35cc9ef5a1aafd8f1dcde6}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/legacy/app: {androidx/legacy/app, e3374ca6b87f0980f33020310ec74212}
kotlin/ranges: {kotlin/ranges, 2d00f513fd03cdcc81c8d6a1ccf4f66b}
androidx/tracing: {androidx/tracing, d7d358b197d5094dd4a019bd1f965034}
kotlin/concurrent: {kotlin/concurrent, fbe0b526261e75fa93af8a90bd0e8b22}
com/flask/colorpicker: {com/flask/colorpicker, 62f8e8e6e99f9897f5440de94da6a154}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9346cebb82edddd6d4fec3f6cabf8e9c}
androidx/concurrent/futures: {androidx/concurrent/futures, e25f37741e0274417069fb94183e4e31}
androidx/customview: {androidx/customview, a15788a30822ceaa45a45a52aee92b68}
kotlin/comparisons: {kotlin/comparisons, dfef02957d28c37ee161280b14a05b7a}
androidx/window: {androidx/window, 678d260acaeb6ffc3fbf3ca06a60ebc8}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, aabad65fab98b355c4fe982526fd21ae}
kotlin/jvm: {kotlin/jvm, 198c64faac34da1b0606d2ea8120d9dd}
