androidx/appcompat: {androidx/appcompat, 65ca7435a934d60f5a5f9a673ea5ba6a}
kotlin/coroutines: {kotlin/coroutines, c21d9baf1a1b1679ed9ae024a52f64f5}
com/bluelinelabs/conductor: {com/bluelinelabs/conductor, d00dc607452a5b275a8043a36c379da0}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/fasterxml/jackson: {com/fasterxml/jackson, 8d84f9555aefe78e1e00218abda31017}
okio: {okio, 15eac991350f43d5d03a63777dc3deb4}
org/bouncycastle/tsp: {[org/bouncycastle/asn1, org/bouncycastle/cms, org/bouncycastle/tsp, ], ac9c542684f271e7215c00369bbb793e}
kotlin/text: {kotlin/text, dc8c5da4d15fec1d54aa18ee3078e039}
kotlin/time: {kotlin/time, e5c0fe62ef8d496d232169d47be57ab4}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, org/bouncycastle/operator, ], ac9c542684f271e7215c00369bbb793e}
com/einmalfel/earl: {com/einmalfel/earl, d54e27e8405d3ce540bf64caaee6decc}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/print: {androidx/print, 255598947ed9497a64125193a591220c}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 141e847265164c51523149b3ba43f0a8}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin/ranges: {kotlin/ranges, 289ba11194b3aa5af062cdd33e722156}
com/raizlabs/android: {com/raizlabs/android, f1563a66e301be4c2df64bfef4710cd0}
com/google/gson: {com/google/gson, 1b3befd148265ed504614aacdba536f5}
androidx/customview: {androidx/customview, 7b23a02d8871f0d697aff1e69d18c199}
okhttp3/logging: {okhttp3/logging, 06c9ae8b62f02e8140fd0dbc8a899134}
