androidx/appcompat: {androidx/appcompat, 3e33d46b3e14dbfc4763d8858574887d}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 0b6390070b2d93abd8a0c1992d6b9501}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d6f8e5f8432a2a26ae44e449065580a7}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/ranges: {kotlin/ranges, 86c83a6266beb6e6d32390f4694f23cc}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlinx/android/parcel: {kotlinx/android/parcel, a20eb9e438cf1f17622d6499d87f6e82}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/customview: {androidx/customview, 0f8c36d7857218ff5184d3ee7e029158}
kotlin/comparisons: {kotlin/comparisons, 609388fdfa025ed347ea807f4d48ac83}
androidx/window: {androidx/window, db8ba42aa08560ac3557aaa9f8208131}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/dynamicanimation: {androidx/dynamicanimation, 7d4eb1c60bfb8702e2e9e7d9e79c83dd}
kotlin/jvm: {kotlin/jvm, b9e98dea8c2d638308a63efc57e3500a}
kotlinx/android/extensions: {kotlinx/android/extensions, 39e7fa8342d8a0a13a4b676b8c90cc42}
