p2: {p2, 9a561fd67fa931408338a96f44f06ff4}
androidx/core/os: {androidx/core/os, a8879786d292c2bbf1598d946845cea9}
p3: {p3, 7f092b06db4cd9791b983389a45c7a11}
U2: {U2, a0338185ff21fb71affa97ce5c569c30}
Z1: {Z1, 03ee332345878ee035e6e93d7398ce07}
b2: {b2, a64cd4453ca6b6930406e00a2b2db86b}
R1: {R1, b792f39e24276555b7898769c7001ecf}
l2: {l2, 8176854d09a46848f8051008e874b50d}
i3: {i3, eb6828c60e8b9e76c3795b50149bf658}
V0: {V0, 2e2a293272fd3f73d3c68aef25d10228}
D0: {D0, 4f243158243667e1a89824405799e763}
o3: {o3, 8bd3f2f243ea1a2754a982f6f800ccbd}
B: {B, 0d1c2fba96be84d577c055dfccef5121}
G3: {G3, 0bb2b391ffd0808e67ee8031dfc3f7e2}
androidx/compose/foundation: {androidx/compose/foundation, 9af9acfaa20da584b6d76bde9549f6e4}
t3: {t3, bcc7d776b6d6672afed43139e942328d}
j2: {j2, 20dac6ed0f305417f678296fdbb90226}
v3: {v3, 36d592939c7e06909338f568a5feb177}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 8cd001db972b32b9807fbe60d102d811}
h2: {h2, c45948c17f1d297fbd047c4fb1896ab8}
u3: {u3, 5f73d54d5c0f4692eb84ed64e05d31c9}
r: {r, 1b7103f3bdd4e570283a0ba6cf89eb56}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
L0: {L0, 26047e2e7271163df79fed02c46bf448}
w3: {w3, e4ca90bf10984a462b54bd34201147ce}
z: {z, 544b2f844495038ce1ed8f59f9d4710f}
androidx/compose/ui: {androidx/compose/ui, 76d9dde7231761c9f815fb1039608ecd}
c: {c, da37112a64c20f0abd4b4cfd2b8a0d25}
k0: {k0, d44cd77d1783b76c069e9e2a11f6aa49}
V: {V, 1cd992e0cca7ab96b2eda840751d2a84}
g0: {g0, 666f26918d5c8c92d9e5f8a8b901c76b}
I: {I, e0fb5345b258a43ba357c36e14b60e59}
J0: {J0, ead691bc1521089edaf49178241e9bdf}
x0: {x0, 7c28cb49234f31c57b5ac41d24a4eec4}
b3: {b3, a3f58696497fbd3f046eb4e64265ef59}
androidx/room: {androidx/room, 0a619531fd39cda97384bede998b27ce}
w2: {w2, 02e378824bfdb0b038c80f78ea7ad52b}
q2: {q2, 1d5f734f97514782a65b82c631e3a1ed}
U1: {U1, ca3e0d95d5f6b888f771f81f2eadcdc4}
R: {R, 1b4f7642d169aee891bd737499e3e616}
androidx/core/widget: {androidx/core/widget, f68d63592e1b53f36403526d96983218}
X: {X, 732b935ccb268c3ec320b8c57187faca}
o2: {o2, b924c9e0cb4774e82f966c00dcb7027a}
m3: {m3, 29ba90d4aa73624e0696d2b27db980a1}
i2: {i2, 69aa18417df3286a323faf778a1e4e02}
S2: {S2, 422dfd039c2bb012bd511e3a6d680bd4}
K2: {K2, ee77e37e708e9284730c09fa97b945cf}
D1: {D1, 796f743526cd0bd8cf1b990221598d84}
C: {C, eebcb2b1edee6cc97e33ed60108ea801}
androidx/loader/app: {androidx/loader/app, 3e9008fad44256d3d9122ac8c59939db}
t: {t, d1604cb05fb912bbc819f61fa859cda3}
g2: {g2, 45b1cf0140cfcea353f24e720b0e89d5}
V1: {V1, ce8715c9ca1ffc318b0b0d388b82dc78}
androidx/media: {androidx/media, 09f9d07d9a5e1ff6e4d6ec16a3ec078c}
j3: {j3, 6e242682fbc96bba22d3888db914ccf8}
J: {J, f645a3fd795ec16d50a9dc82161abe63}
C1: {C1, 5fd69af83050036db051d00bee83f38e}
u2: {u2, 683059739dd6d0df8254a7b8f997e74d}
s: {s, b7b8ff67ec8d676e2ba5a04e8cf9bac4}
W2: {W2, 19434134926671d8c65535e1e37decf2}
androidx/viewpager/widget: {androidx/viewpager/widget, 56d36bf425117aafc22687617114a311}
Q2: {Q2, 257ce47ee07fa4746ec31bd88bd77909}
h3: {h3, 443eed4f7df865e075858c8dfd6c7ef1}
n2: {n2, d4c2451720c8c2be60b2629329908ec0}
L1: {L1, 0547da1637bb43cdb5eb984d86dd9979}
k3: {k3, 73c6d4a52bc259d12af2f0b9d51e038c}
Q: {Q, 1c4750f646ffec102251c1ac8bb7fe9a}
l: {l, 9f9821a12166578b3ede90590a66386f}
S: {S, cabd7fcc40343e2b9f067d91c780478a}
v0: {v0, 691cfb22f56f52e30ab4b46bef4980e5}
androidx/appcompat/view: {androidx/appcompat/view, 77e4823b384cea8535ecdd7358bf41d1}
androidx/media3/exoplayer: {androidx/media3/exoplayer, 3d8adc37bb8dbc6db5d1ff385b8536ae}
d2: {d2, d9b5f1c1e9e18383c5ceec8a555c77a7}
Y0: {Y0, 3dbfbf216f35a7d809e9c3a55666dc90}
q1: {q1, e0d22931b5f72bd68211e7aba1db9038}
U0: {U0, 110d1cfce8f6ab4f41265029a5686b18}
x1: {x1, cf149451e4c5de41920f1d8fcd1aa5cd}
g3: {g3, ebbdb2e36cc989f06d15231f6ab60301}
n0: {n0, 4e7d31f5feb4cd27057ff3e1fa48a1dc}
I1: {I1, 78aad3487237dab38a9fdf38d61b3fc6}
D: {D, 0fb9724e9f8cfed166b31742d2845430}
b0: {b0, 2b60b9552e0d45fb564c1472afce247b}
N2: {N2, 7bdde5957061c34246f1d007e90a45f4}
m2: {m2, b09718528f175ae47222d732de334efc}
L: {L, 018d5c6f95340b1a298cdf901ca8937f}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
F2: {F2, 613eeeb3b3cf96f8855df36502c630cb}
androidx/emoji2/text: {androidx/emoji2/text, 37a0bf2964953644da6ac670912ed771}
J1: {J1, 94f2cc428f19ba5dfdfb1040614cdbce}
K: {K, e2c5fd64f18b0fc996892991974b509d}
D2: {D2, 305efd192f216331320e14de33d6ae17}
c2: {c2, 3e7dacef95cb37bfd5f49ad34bcbf938}
a3: {a3, a069e765527000a12bc294948010154d}
Q1: {Q1, b2f8b8b1ad9dcd60cce59e41b0eb0223}
androidx/fragment/app: {androidx/fragment/app, 2d6bd5d61295805799c47e3b16b71c95}
G1: {G1, ca7e3a776fd97db83051484ca05769ca}
C0: {C0, 95f7ba2cc72832c435f3292148758d1c}
j0: {j0, 5ed7eb8dff3b6d345f763a6bdb26b52c}
l3: {l3, 352358d16acc74a9ecc8d071d26c1bcc}
B2: {B2, 9b965f7351e735be8de1604f113c69f0}
n3: {n3, 3e9a5074d12ed71b37f20a7ce3fd3423}
e: {e, 9c682e23661613c11881089977891a73}
d3: {d3, 66b637c27887c86dfd29670b79b9f863}
l0: {l0, 1446d9517feb97d34e4982fdef00a183}
f3: {f3, bcfec49267c85037fd8104eb8a099aa1}
L2: {L2, 14fcd9f5b9acb42ad24afde3bc6f8712}
k2: {k2, 712596c96a25e7da27315a82cb1932d3}
m: {m, 25ad78e9a8529ce2c4817e101d957997}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, e118924cca592df38d117abfe0b5f763}
U: {U, 5953f661f41320ff73ae2aeb5ddfa627}
f2: {f2, d0df01c81185e7ffeffa49bcdaf52cd3}
v1: {v1, e33c4e4d882997e6233aae194d708f78}
b1: {b1, 2dd24a466df634c1795a7ddf48cd3c6f}
q0: {q0, e2f0400e27209e6371492473c1175a3e}
f0: {f0, 38548f8543aa02655ba3ccd33b7e13dd}
androidx/core/app: {androidx/core/app, 9b18ca1c686a61199eb1c6eed4e8258b}
androidx/profileinstaller: {androidx/profileinstaller, a5ac63b42b012828293e55e630307e42}
I0: {I0, 6b8bf352696bb1c63b6ddc9db39743d3}
E: {E, 5e0176c28a342192e667fa5617f0b39a}
D3: {D3, f3f6a2c88ee911d0fd861fc423c3f0f0}
z2: {z2, 62e16d106f7c280c675f1994c276c418}
F3: {F3, 4289a60d06601f601b7be43a604fbc00}
m1: {m1, 67d87980e1e08cf5b96f8cc40c8bf4d6}
M: {M, 31b0597841f7fd7a9dfe23b25983e32c}
x2: {x2, 052087625812183ac9a9fa28e4caec12}
v: {v, 80ef0b71167b592aed3c05f69310d0bf}
E3: {E3, 70c9a15ad18ed17f0db9cfd4f7dc55c7}
a2: {a2, eadfda4af9109d00f94e00ceb2bbcc5d}
androidx/core/text: {androidx/core/text, 07080d11dc5c38a51b7438b53ecc284e}
G: {G, d0c25337cf8ce5fb7b7e0bd987d84354}
G0: {G0, 4214757e1a07effad2ecb6b9fdba0616}
P: {P, 7a052b7e5165408ec445784e3bcaf38d}
u0: {u0, 9d7bd9e4b51e85c20928c53f6f082545}
Q0: {Q0, 980b84947bac87e83ae6d5bbec521970}
X0: {X0, bcb8fc2a1bd7f295c49b4a06851cac92}
B3: {B3, 4c21eb660c62c9816d19ceab5112f2ea}
i1: {i1, 58c2512f92474f665f24ad4049c5e97a}
T1: {T1, 8eb0f521db5e12628dde137340665611}
n: {n, 02a6a432888db6b53bd72c1f632e6f29}
androidx/core/net: {androidx/core/net, c525a78cc22601050884e22a78696a51}
s1: {s1, 9459aa6933d51588a63912635c8c6059}
e2: {e2, 56eedef910049431bf140881f8c54a79}
C3: {C3, 57ca486f2131eda79cd11abac42f35f2}
j1: {j1, 07fb269d09c4ec0ce484a0ee8864d07f}
u: {u, e42eb3363738f4cfec9c67190cc9762c}
T: {T, bb7c52c349ff451ad5a38bae853d325a}
N0: {N0, 5f4875b62ad12d5da89b9f3c81dea0b4}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 9d1ee88aedebdab6544e4b65eafe739f}
y3: {y3, 28584f60e760233f50dc303ac5b01124}
F: {F, 5f4e83ae8d08edc5e479ac4029816f7c}
T0: {T0, e9f6c452e5f5f0b97c0240d43dc04949}
o: {o, bbf5119dab1e04444664fc8d2df65bb2}
f1: {f1, 20658979a3019b7f452d14229812281a}
z3: {z3, 2c567f55201c2530568aae5ae1f5fdfb}
a1: {a1, 45be798497fd99afa3913e94cb6f3d67}
N: {N, f04a78de217c4921f1253094beda0693}
d: {d, b72b9569eedf39c27bb706e9a89d6a55}
w: {w, b637b4aca0e1ce851b830a45b7dd6182}
S1: {S1, 21fe69b319e322a9854743e4b8c0e143}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ecd4fe7a6d3fb15ed44d3b2b516b2643}
x3: {x3, 130852c66d4407560b66740569fa2bed}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
y: {y, 180dab9e7ca453ba7ae1091b1645d0eb}
X1: {X1, 6a8013dd1ace24baf4fed789239b6305}
g: {g, 867240411d2978fb7cf0d0f8b69f9f0b}
n1: {n1, 27e4901a5cdc70f547bb66d0477df657}
androidx/core/util: {androidx/core/util, 9b4176015b364e090768fe2af942d24e}
androidx/appcompat/widget: {androidx/appcompat/widget, 2e161cc7c8253bc2efae76d48c86ea44}
B0: {B0, 22accc4b2c0f5672b2664ff401eae9ca}
i0: {i0, b08317aae98c165a9726c1069d1d0482}
androidx/appcompat/app: {androidx/appcompat/app, 862f4a06592fb7e9253dc639821c0636}
s0: {s0, af42ecd61ca298fee83253eeb928e6d8}
androidx/concurrent/futures: {androidx/concurrent/futures, 54ce20e064008e0a684a387b7956f033}
Y1: {Y1, ff96d2c19cd2a8fc96a8238f72d0e4c3}
com/google/common: {com/google/common, c720dd9d7aca524511b3fc51df99effb}
r2: {r2, d30edf7f787be8043901f36ac3d37a3c}
e1: {e1, 2e18e1ef8b7ecd4fd5ef06a1cfb1d950}
C2: {C2, 64f02096779073d7bdaf46cdf38df753}
A3: {A3, 0daaaef9263e393735a6f5c33d076330}
y2: {y2, 67ef4733a66a20b27618940611642181}
Z: {Z, 91306fee4d07302d827792e16b24b33a}
N1: {N1, 3ec9869938c7d69ee7eec6c5e7bea783}
androidx/media3/container: {androidx/media3/container, 51c988c942cdd6179972321b77aa118d}
h: {h, 5e93d7a06215d52261676426329e75f9}
s3: {s3, 029ff454cdaba8d53f5a2dbb588ae3f4}
androidx/core/view: {androidx/core/view, 2c3487eb4427c93678b319848845440a}
p0: {p0, 7fcc2f7a0dc39b446c4e2217c4f8c1a6}
p: {p, e519487b1f0f93c2ff7b73f8f6125df4}
W1: {W1, f48ed0c2a31c7a4e771966c876923e63}
S0: {S0, 52b687921e5cfe739c4eadaec291ae78}
z0: {z0, 902b262dd7c8811800956a7e8707d8ef}
a0: {a0, f323a4e6de37d73809a5ef4bb784319d}
h0: {h0, 5674884da964d8db26310a1826840760}
androidx/media3/extractor: {androidx/media3/extractor, 8aaa905df5249366c8f0b2585abbce08}
R2: {R2, 4bb36b2a967e990e50495d787d2fa4de}
E1: {E1, c72db617f629512da618cb6862cb19b4}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 32473f56c82a7540b09b9c0b2bc78445}
B1: {B1, 16f09dcb5c66044550a8ccff30185cd4}
F0: {F0, fd599e1128f86f74961074605992765f}
m0: {m0, 07a969fd65d6617a14af3313011e9ae4}
t0: {t0, 6e5bdfac154cb98112351f0fdeb964f9}
P0: {P0, 55858835df3adb3979c157b8e1376c50}
e0: {e0, 800371ab03a61dd4f3a5602e01b3bcd6}
Z2: {Z2, ef60bcbf9a842c95383a02f25fa12f7d}
M1: {M1, c2dbbe027e29ef5a552b10583498e9bc}
H0: {H0, 6edb08ae53e8415db3baf54c266670d3}
r3: {r3, 5e4806a4b8c46b3c4f712f32ed0674a7}
X2: {X2, c16b4ea9dfbff6735c78d24183da5892}
G2: {G2, f9d3da939ed4f363791c533ca90d50f7}
androidx/core/content: {androidx/core/content, cac159a229ea93761c843c9be57c1623}
A2: {A2, 9c6524ebb1908e147292a94f9a9a0a22}
androidx/compose/material: {androidx/compose/material, 26478ec269df0ef3c440d9876e9d4f8a}
com/lasthopesoftware/bluewater: {com/lasthopesoftware/bluewater, e1367b9fa4afd127e65fbbe2e8ac13a8}
V2: {V2, 59f5f45e000005cf9427bdad822f7dc5}
M0: {M0, ab4186925400f570657d7f2bbab89d3d}
i: {i, cf19aa1d784f035a5446a165ad22d06c}
p1: {p1, abb77477e755708d4686d7492b15c3c6}
T2: {T2, f9e0b7554019407e41454a73f7f08409}
s2: {s2, e95de099a3a8b8865872af5174b77333}
androidx/work: {androidx/work, c7beb6b209debe8cb62b338360a3acbc}
W0: {W0, 93f5733a020fea169a9042d49a1a58ab}
E0: {E0, 84cc2b73e38d35ddcae12332bdde7d17}
q: {q, d0c361baca68a4d6203c963a581f042e}
h1: {h1, 9c2fa2874fde4f10b2db7515408dbd7b}
y1: {y1, 061806440c874e75e40920393a516d0d}
o1: {o1, 43cfb3021316fda3af37f461b07d4b8f}
K1: {K1, ee547ac79eeb70718daea4b3a6a073c4}
a: {a, 3b0d68b86174e32b32600f523e1aed3c}
t1: {t1, 04cf8e04ac753e7ed3d42df8281ba07d}
androidx/versionedparcelable: {androidx/versionedparcelable, fd01dc896e895eb6885afc9c1ea97ad6}
P1: {P1, d32ba4e32b4caff4e12bc93dd04fa85b}
O: {O, c64ba04c963ba794186031a3ed170a4f}
F1: {F1, 009731260a14960704fdcc7f4e49f4d0}
androidx/core/provider: {androidx/core/provider, a1733a2f7d6cbb63b9904956210a5bef}
H1: {H1, a76f33078c43aef199ca3d13a2f25c4c}
W: {W, cf8d236ea6d1be545afa00b5f461bccd}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 514708bbf610b5bc3ce64c8e427d3546}
e3: {e3, e8c3a33090578d65ff375b33d66d235f}
x: {x, 41cea5252051a7b623b212fa006f2369}
O1: {O1, d86f1c0e50d7204e827378c4667d4923}
r0: {r0, 2c88dbac6ec7e4594b3d66918beb12f2}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 068a9b750235350fdf5cd039c271dbff}
