androidx/appcompat: {androidx/appcompat, f23bd665ef9bd2e01a40218ed4292e77}
kotlinx/android/extensions: {kotlinx/android/extensions, 5dc1eda4ef81e7539ba23f229c385358}
androidx/arch/core: {androidx/arch/core, 6e422d9e00c3270052b5dd60a615b49f}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
androidx/legacy/content: {androidx/legacy/content, aae5bd79653bf9b0041a756497fae0f2}
io/reactivex: {io/reactivex, d826897d55dfc73d4f6ed3cf479596f3}
androidx/cardview: {androidx/cardview, 1062e26e06ac3df51e38d739c1da4b93}
retrofit2: {retrofit2, 24ffa46e397ef31572e3758351557c5c}
kotlin/collections: {kotlin/collections, 027f5765e2326d5ca352608f3b80abae}
androidx/fragment: {androidx/fragment, 5ebd89ba3772b681d2040b2f2684620a}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin: {kotlin, caa3a98ea63291362c7195f97da784e9}
com/xwray/groupie: {com/xwray/groupie, 2ed709ecf37d6d71198a87a736301f57}
kotlin/coroutines: {kotlin/coroutines, 97804ad754a935b3842371a2f5816f24}
kotlin/concurrent: {kotlin/concurrent, 6f57239d0f9c1368efa551e80fd887b5}
kotlin/comparisons: {kotlin/comparisons, 0a8515f9381f8d6866f55473126ff858}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
net/danlew/android: {net/danlew/android, 553c664366679acde8dd211570ce2515}
okio: {okio, 689cc42ad673e2c3d36b0bb4dfd80df4}
kotlin/text: {kotlin/text, a80f70099bea505ab890df2f9401d920}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/print: {androidx/print, 5c18a8a342cf3e783cbfe80565a41b52}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin/ranges: {kotlin/ranges, 798fa76de5fa03eea4688d55cc2fe477}
kotlinx/android/parcel: {kotlinx/android/parcel, 8dd422c7dd8b046709138bebf7749d79}
androidx/customview: {androidx/customview, 6599687787a4853fbedaabc288374568}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
