androidx/appcompat: {androidx/appcompat, e9bba5112a2beb6a2e1c855c06d27872}
kotlin/jvm: {kotlin/jvm, 3821266d4a1da3731e8a795ebfbfa39e}
coil/size: {coil/size, ce60c86f31ac6fe0be8b95923cef9dda}
kotlin/io: {kotlin/io, ad2daf85fd26152a0d0412dbcabbedce}
androidx/compose/runtime: {androidx/compose/runtime, fc41e8f46c600985203049350c727c7c}
androidx/profileinstaller: {androidx/profileinstaller, 2a0079c27465859dd6b747fb3f9d7059}
androidx/compose/material3: {androidx/compose/material3, 6bfd7630c2e5068cdae3fc4101fcf274}
dev/chrisbanes/insetter: {dev/chrisbanes/insetter, ca3e675b5e9772ff67fb40c2ba407082}
eu/davidea/viewholders: {eu/davidea/viewholders, f1bbd6eff64b0d4032bccf997579e25e}
androidx/coordinatorlayout: {androidx/coordinatorlayout, c6e4f70c8ebaee5ff6219a4a2254e788}
app/cash/sqldelight: {app/cash/sqldelight, 5b5357b17728f5c4241dabe52ad0a256}
eu/kanade/presentation: {[eu/kanade/presentation, eu/kanade/domain, eu/kanade/tachiyomi, ], 591d578fddcc5a7ac902d27eb9e6f18f}
androidx/sqlite/util: {androidx/sqlite/util, 53c0f700e0e6f9b109c8409563b353cd}
eu/kanade/core: {eu/kanade/core, 0bff9a11a53afe2da39b8373d04b3e27}
coil/memory: {coil/memory, b0ad55a2f2547a7cf4ab1b98100271ac}
androidx/compose/material: {androidx/compose/material, 9224a859899463d45c0e92be305e8599}
com/hippo/unifile: {com/hippo/unifile, 7f67a1d9e54c09ff481456ccef7be29b}
coil/decode: {coil/decode, 25c274bc70d575a8ccf6c1b3ca8760de}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, 3fe777143093865676c07cf21aa76bae}
kotlin/properties: {kotlin/properties, e85062e145a7aa0c69ee6b8dfaf2abb3}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 3cb133f46e0c9873bc4e3fc508274261}
eu/kanade/test: {eu/kanade/test, 089f1686f567d05e3f38ffb9a80fe2db}
androidx/biometric: {androidx/biometric, 49a3988e056e53ce7bbd3cded178bb08}
androidx/datastore/core: {androidx/datastore/core, e9477ae81c28b1263c8447442189ac9a}
kotlinx/serialization/json: {[kotlinx/serialization/json, kotlinx/serialization/modules, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/concurrent/futures: {androidx/concurrent/futures, 7cba602af5565afc8fa3f2419ef4dc76}
cafe/adriel/voyager: {cafe/adriel/voyager, a83a8a308b7edf2f8c85e52517deff0a}
kotlin/collections: {kotlin/collections, 84a1d58ab0d4189615d46f9109f88d07}
androidx/fragment: {androidx/fragment, a1c26f211061ef8ad3b1f7939265c949}
org/commonmark/parser: {[org/commonmark/internal, org/commonmark/parser, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/contracts: {kotlin/contracts, 3bd16209fd22dff5bc37aaf3c039a024}
androidx/customview/widget: {androidx/customview/widget, 2c114260fcca264b18c4fc1aebafa112}
kotlin: {kotlin, 47dc9caf1332ca8811164439012fc237}
com/davemorrissey/labs: {com/davemorrissey/labs, 509059af080c34ae641c4c4c8e35e090}
kotlinx/serialization/encoding: {[kotlinx/serialization/modules, kotlinx/serialization/descriptors, kotlinx/serialization/encoding, ], ac9c542684f271e7215c00369bbb793e}
kotlin/coroutines: {kotlin/coroutines, 808b37a7c47c17d385dede1feed25665}
kotlin/concurrent: {kotlin/concurrent, 9fc75e2e19f379eb98c5689703ca83df}
coil/transform: {coil/transform, 63a0b4a5b3de567c410132fee34bcb37}
app/cash/quickjs: {app/cash/quickjs, 5f4693dffbd82251a1e6e7b4b39991c5}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
curtains/internal: {curtains/internal, ae3096fdbd893df1151b768b58c3847b}
androidx/window/layout: {androidx/window/layout, 749575d0868de4e173ee8079b9a7a78f}
androidx/paging: {androidx/paging, dc5593588419ba4bcc265f489b109608}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 09dc0534a065d6380f45259b9c9f1b12}
androidx/work: {androidx/work, 30a194cde58eeddb6657a60b7a983964}
androidx/emoji2/text: {androidx/emoji2/text, 945f595ffb76a8357c2d04a225e8d74e}
_COROUTINE: {_COROUTINE, 924f9d6ab114cc78382cbd878fb9fe55}
org/jsoup: {org/jsoup, d41d8cd98f00b204e9800998ecf8427e}
coil/disk: {coil/disk, 010ff7b8a067cb80c9fe83b0c6611c77}
androidx/window/core: {androidx/window/core, d1a50c6ec7c487c677e8fc7b5d8f8ccf}
kotlin/ranges: {kotlin/ranges, a2e65f88ff10780defe8afb2106e3768}
androidx/tracing: {androidx/tracing, 0e349b14fdbb491c0616e4a36780477d}
com/github/chrisbanes: {com/github/chrisbanes, e68756713d4eb1af055576edfbd7d02d}
coil/util: {coil/util, 102d61d2593d71a8504d7169a5351ca8}
