a6: {a6, 1f4784ac56b11b6412413076f54269f4}
b: {b, 3eb744733af9f4502ef6c2efda600423}
k1: {k1, 0026f8d0a1631a88ca6e0777a0f2bf38}
mb: {mb, 0432f9013ea013e7bf208a872fadef82}
x7: {x7, fdd3ba8c9a923563c3f43063e86db8fe}
a5: {a5, 3370a82fb69881ce6eee2bb584ca3748}
y7: {y7, d570a466c20cdcb15d5e43ae2c9e5326}
l2: {l2, 217b31567d26be3b1c3cef24a229087f}
i3: {i3, de623863169337390a1880e85fe6e3ef}
sb: {sb, 8e1d33b4688910737e3d8c442145bf66}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
m5: {m5, b9cd40bff71d1ebf60511f875b6ce078}
j2: {j2, 4c242ad09728629ec48e1fc31a25e547}
od: {od, a3e6aa4c945338991791c6e3190c59f8}
gb: {gb, c93c93836c3622599647b942f97eb76a}
androidx/appcompat/view: {androidx/appcompat/view, 4cfeabf9af0ff1016984e8e88efb85be}
xa: {xa, 0dc1f17841fd5b95f24e178dfbcc0523}
o4: {o4, 669e1d4d407dbe685a5585f0542b3332}
g0: {g0, 431f0be3fd9ed0b65444f3e6559c28f4}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
o2: {o2, d9117579e414cc50777dd42bcf24bf48}
androidx/lifecycle: {androidx/lifecycle, 014a567d6002c7fe13fcfb41f162310b}
c3: {c3, a9fbb12628a9eb84af12baba546d623c}
vb: {vb, 701a6b97e2139744357a9233aa8ee7de}
ha: {ha, e98cf17297c5fabbcafb941cba347b99}
t4: {t4, 6dc294a3cc577b9d621d6a2a9b6cdbd5}
u2: {u2, bf9841689a3c3c3567649a02d24f233d}
c8: {c8, 243def5a10b753754d33bf91c604f98d}
h3: {h3, d8ad986fda01dbba334173a5909bd867}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b91b4c0a70c0382305ba03b001d1cf9f}
yb: {yb, 195713a1902426faf260faf6382a2b7c}
s7: {s7, 3325cf6d27bbfa21b67036c8633d78e3}
q1: {q1, 378c57a1d566e9e34b970367650a2072}
fe: {fe, b1f577f230457b96d4ca8b3afd124139}
yc: {yc, d11703f4042000e43e7d281436c5f86c}
b0: {b0, 80496c9195402433d9b22897b06b5cce}
tb: {tb, acf7ef943fdeb3cbfed8dd0d8f584731}
u: {u, 8d368325f1bd4dff4f3afbadad14211d}
f3: {f3, de9f2225f122f367fa904d89584f03de}
cd: {cd, e63851a13d01f94e0e471df4ed696c91}
v6: {v6, 6a085af3ebabcc7814adee33c3fffa0c}
w4: {w4, 266e3823d2d19e785ed62a65ce2b0578}
db: {db, c365ae606c00de0e155c4f1dae9f4b20}
be: {be, defb9f6439fcff7f4a543d2c463259e4}
z2: {z2, 36caa66646bcf2cc5e348d7ea6b18f4e}
androidx/core/text: {androidx/core/text, 6f9eb58b947613d1b63688dea6a7b3b3}
z5: {z5, fd46fc04bd20d3c71187ac7afee93461}
n: {n, 32dce9bbfedae25ff225c8f79ed8a928}
p6: {p6, b8068e1d37b1f98b13ef0abd87eecef1}
d4: {d4, 13cd8871207483915a9b0842cf48b056}
e2: {e2, 2fe3dbcbc08d4f575122d480601c8b95}
q8: {q8, fe2783c7ca8802981466915c8a8d110e}
y3: {y3, dc7b955d2338d4650a873749b22a8866}
v5: {v5, 4cedd01df2d353c5134378e543325862}
a1: {a1, 5b4851e04feecc5a29d5b874d6d72698}
ga: {ga, f211f99d3b7fab87f6baabec5a9b1233}
s8: {s8, b19f3b7591340b2b64ee5339311a5964}
x3: {x3, f5cd0f28638f8836051a45968ff23bdb}
k4: {k4, e5f99d47c11e4158696b48cff4af873f}
id: {id, ff315d555eb53a433e63d80cc31355cb}
wa: {wa, 5c0348b127421e652bfd02b6e2232b2d}
g: {g, c51e0e7faa10672e3677cfa7d774914e}
n1: {n1, 031a04def2098cbe4cfa156dabf4e4e4}
androidx/biometric: {androidx/biometric, d4c7be34988fd21cb2e8764981bbb352}
i8: {i8, 11e47df2564b2d02ff168ad1de1b77f9}
bb: {bb, ce41903b070bcc1109404a164a60c202}
j6: {j6, c505ecb776b7e36089c81a24b456bbcb}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, bfdadaaa1f95a22ede606b9d8707bad0}
sa: {sa, 0982d3191afd163821c3ea53fe725994}
s3: {s3, 322f1d6a8ef572208d7ac0943d5d20d2}
x4: {x4, 574ccd6fb36fc7df2a4bb854aee6f6f4}
a8: {a8, 723fb43662b439ab7b0e03f84f42e7a4}
androidx/core/provider: {androidx/core/provider, b2a25bc17479effcf1add9317a6799fc}
h0: {h0, 35e54237932cbf02b36029c64509b673}
i6: {i6, dc93c4e9c7276d723372ba4484395330}
uc: {uc, b0c9c780c6d801b1536b52240351b9df}
nc: {nc, fce7c8d5c1c3567aba0dee4e822423b6}
ed: {ed, 1c55f3368adb1d947125dd66244669a8}
e9: {e9, 20a0b55a544da2d34a5464498a621eba}
l6: {l6, 26d8c7c685f5b9ab93ae4c3a5fac28bc}
pd: {pd, d4f65fed3dda7ae05375c090f5980412}
u6: {u6, eefe2a5875fc8fbb3323a2d0e125080a}
m0: {m0, 85f61901bfa49ce652576d3ab3e9c663}
oc: {oc, 3e2c38bda4e2829c792a3aca69deb25f}
ud: {ud, 46fc559593b520a067b338656a35250a}
t8: {t8, 61fdfd94fd1f0096efa3e4c8765d6d8b}
c6: {c6, f9c7cc763853aff44b79f8f9735374a3}
kb: {kb, 491592947acbb02ec665e86b0184036b}
l8: {l8, 9c6c0b66d6c47154da14ad4cd741c190}
q: {q, 2c34a6918c496d46cd652e9a8cf31e59}
b4: {b4, 10c9429dc044363dc728d4bb45890665}
o1: {o1, 9de0f58479aa60a672aaf9985c3c3846}
fa: {fa, 7a17aa772340cff64361c562baf8174e}
ld: {ld, 66ed73691f23b2af2dc6c8dfb5684da8}
t1: {t1, 1e7949760d220e17ba4f764d4a18c25f}
va: {va, 56e3b219ea0354d4555a8df77e5a665b}
n6: {n6, b0de760596b879572606e986a9f9a3c3}
x: {x, 219e50a9755c68c4410130881fa5b4ce}
r0: {r0, d7935e63d9387a67c56cc91d3521fc31}
p2: {p2, fee6df42c6cf8a81783e3b6ff5ab671c}
d8: {d8, 5e164a33153e15dc585935ff01495656}
j: {j, cb32a55d4962fd7d5b94dbd199b418ca}
q4: {q4, e159fb41c1971649125bdc99892498f2}
zd: {zd, dcfb8128a7a8e010211dc39532de1a3b}
androidx/core/hardware: {androidx/core/hardware, 5bdfee51446346bfcdb1f6332960d537}
ge: {ge, db614d78dab2c0c657a8cbd27aeb867f}
e6: {e6, 1d9a2b9622107dea89ef1e55e7b32512}
qb: {qb, 45a4f468d4e6c9237a804c45a7ec270f}
f4: {f4, 9e2b31d7506e9b278da5f09b10e89221}
jd: {jd, be2c5efb339367cf7011722373fad819}
com/dropbox/core: {com/dropbox/core, 4366d6eaebb7facfe7b2ca9d783c469c}
y8: {y8, b510be0b0fcec0e66c0ed0771bf0f94d}
ab: {ab, 6515497e9eadbc6ba66ea8854cc7dd1f}
z6: {z6, 398f8040db6114fc570f19ef25eccc58}
androidx/test/internal: {androidx/test/internal, 1ec33529454ac8990479bf74d5abcaac}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
w3: {w3, b5154216bd0f80523815e5e0b3b2492f}
d1: {d1, cd1622eb1b21d0c197eca16e0b0759ec}
c: {c, b8d02356d579cbaa399db4e85d0b81a3}
k0: {k0, 0bb537126c2f655c28f61727f36b8c8a}
ma: {ma, 9af1a5abf4d1fb3bb7dcb929b19e7091}
x0: {x0, ef1537bd99406f55982b29ae344f0d1c}
rc: {rc, a55d89607b9eed1357e8845659c4d90f}
xb: {xb, c94681d548699df9c005484cc6c63923}
m3: {m3, 6c782d361a1aa4db53f39aa8af5bab55}
i2: {i2, 9d4ae6e6230e3d23ab7b01387bbadedf}
a4: {a4, 8a42c4ac1eb5a0748da36310c61af6f3}
j8: {j8, d52206726ec63ebc292d6eaf2d490911}
g3: {g3, 9fa840c6daf4dc68be94ab3492096956}
j3: {j3, 41f9aea2f818f4e33a56c621fdc2a3ed}
androidx/exifinterface/media: {androidx/exifinterface/media, 3163631d078f8713a2ca6441e62ef774}
m4: {m4, 9a997d1b98e3b4ea944c6e9a291227b3}
d: {d, 595aa432996890128e545d5d774603bf}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 85f0c26df0f35dfa68a4d5e1922d07a4}
n2: {n2, 5c1a471a3b67267e2738efd1aa3c4680}
r4: {r4, 1b9463fdecb9c7aa06c976f97a5bb862}
v0: {v0, 7aa4fac5e65b5e1564f6cc22c05e80b8}
nd: {nd, d82af7e0f4102cf0349913547e5454b8}
sd: {sd, b85f5e5585459c02466a116bde1cbc6e}
ya: {ya, 3177970cc0340a61ea30b640c6a269fe}
b8: {b8, 5ef2fb9f67703ad9a86ff2c0c4fc0c21}
o5: {o5, 2a7ea6fff5f453fea9b16618a1b17aca}
h5: {h5, 90c1841236fa1f627f93f46385e18457}
c2: {c2, 857643ff5ba48e2fea944ebc506f3f29}
androidx/core/app: {androidx/core/app, 8c8e053148cb0472bc9aaf034fed07bd}
t5: {t5, 9e3c63d840fef1d1215c5de712527a60}
l3: {l3, 48a5e039a145e4fc1992b1cc743f4cbc}
u1: {u1, cc92d172d86470d7f5698c28eb65a8d7}
s6: {s6, 93d63709a83c3c56a7f34135c106a889}
hb: {hb, 8795bd2676913f3b192e7f76fe9e0de6}
la: {la, c2682e8931ef6667746098b2ba68e06e}
b1: {b1, 7baa2c7e2d84f8148f2f20fe217e9def}
q0: {q0, 87546b8858c6b6063e7c7646f22ae491}
fb: {fb, 581cf184dec6faecf84933bf98e8b6f3}
f0: {f0, 73f5d7946fc50bad6aae943e3cda6ed3}
c5: {c5, eca01e98dc2f9b2e21bcbbd77c6a6ad3}
ka: {ka, 6ff8130545fb220a419925562e3584c7}
tc: {tc, 30152de2cfd0c176d8fbbf94e2416433}
v: {v, 35d0c5b518066330734de51c7e3a6e12}
rb: {rb, 9289a0c4c960b0c5e8a703791c84833a}
r1: {r1, e55c4c1f9795788777cf57b3617f9bbd}
pc: {pc, ff58169d32edd954422a07404fba5baa}
androidx/appcompat/app: {androidx/appcompat/app, ec72b6dc3239ddc6430d0c9229de2e74}
w7: {w7, bd01ec3e3a9f4fe0e0cc8c33458b5976}
dc: {dc, 4c574ac83f930a7474d8c3668b856256}
p7: {p7, f4462fcec5f257ba0e7f86ad45816f58}
o: {o, cbedbdf150fd6c804d37b6237e446627}
z3: {z3, 89aff8e8458da8fc72ee61804504b32d}
ae: {ae, 547e48f91049326c6f248cb22d5009ea}
androidx/security/crypto: {androidx/security/crypto, 09fca70963729d38669f979b880a06c3}
za: {za, 144340ee5035e80deca34e4cd14cae0b}
y: {y, 1cefc30fd212e87f4ebfc3c73541a6f8}
androidx/core/util: {androidx/core/util, e6e987a041970279b33c92ee13430639}
q7: {q7, acf7ef943fdeb3cbfed8dd0d8f584731}
d5: {d5, cb85ca39e683ef23a41dad34354c633e}
e1: {e1, 42deb33b7de41e3231ad078de1cdd5a0}
y2: {y2, dd48c77be52223941a54b2a15f28c4ae}
ja: {ja, b93619dcd7123a38ac8747a850bfe4ef}
z8: {z8, 73843f790bd74a38ded52e00695eb6df}
n7: {n7, 399bba1810eb6bba36b48ca3feb61770}
a0: {a0, 29e2fba9e45cc38769f84f8778789a11}
k7: {k7, 402b77c7f07e91269fe22d9ddb5762a8}
p8: {p8, 2cd8308af1d8ca33fb36f4123baeee33}
g4: {g4, fac800947497c0703aba9a0f9cee223c}
com/orgzly/android: {com/orgzly/android, 8e43214bcc0c6a559bda3bbf2276252d}
bc: {bc, 6d1917b7ad2f4efb166e191ba3f2b703}
androidx/core/content: {androidx/core/content, 6608fb32dd99a6440605c5652be3e025}
j7: {j7, c841eeb8708eb3a54099dd6285a7578e}
a7: {a7, 049a07dcf66f4bdc474063db6f3fdac9}
r8: {r8, c29d2fd636dfb73b9a1105b40062aca4}
x5: {x5, d476a0793ce7683c65af9f8b255781e1}
s2: {s2, 97b088f3e29cc80c583c8bd478fb9426}
androidx/work: {androidx/work, 88f8ef21a46faec25d243b3b4150d8be}
g7: {g7, 1d448c04d40ced6ec6c56e626f9f3bb0}
h1: {h1, e051aef47064804fb27fb9ae00472f2f}
kotlinx/coroutines/sync: {[kotlinx/coroutines/internal, kotlinx/coroutines/sync, ], 2ece6825a4de4986735f3a66d00ae0c5}
ub: {ub, 46ba5f2711e55a8dcfb71e91d33b20d1}
androidx/emoji2/text: {androidx/emoji2/text, 1fb7f1dfa8999a4f55541fd39ade2dea}
i5: {i5, a6b8d97d84192930793fb436ad3a1e01}
ob: {ob, 0e54f62353db4ff7fbbe1a271f866fee}
l7: {l7, 529a8080c49c7c19acb0c1ec763c00e1}
w9: {w9, b489cb766ec3dc66b0be0beeacc35664}
m7: {m7, 1eb0c79c58bee4af68e778d66dcd6dd2}
t9: {t9, 0ce34ae61dffa3d3a3716ba07c1b5608}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 010e064e1809fb5822062db363f1780a}
u5: {u5, 30c9df1696db612304346f8b380981d5}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 7b00a381013874647ac7152bb28c4c6a}
androidx/core/widget: {androidx/core/widget, 1e24ed04386649373e7acb28a2dc2dbd}
c1: {c1, 38898645adb368c7b6086339889946e2}
eb: {eb, e8f0828d4f175435aa8573aee835ad0f}
cc: {cc, 69e2083f3ae4cbfeee231e6b1b43596c}
v4: {v4, 9974418bed74caac92840d974b1984e3}
androidx/preference: {androidx/preference, 037629b13f820bc9273c078de3f188d0}
o0: {o0, 8e66fffe7a82861b1ad7000cd531ed5c}
b5: {b5, e2a938e32cbdb41403198666704d6df0}
o9: {o9, 4adfb737d47dbf035e9a25cfc9caa229}
org/apache/sshd: {org/apache/sshd, 5c7d1de79fe9ced95c0164a39b8a7cd3}
t2: {t2, 3d3942ed3db59d7c43ea4bfbe9df5ec3}
yd: {yd, 6b8a65da49622e7270add9922e848702}
s5: {s5, a37b57a731aa31aba032701096a9ec09}
d9: {d9, 010a1a3633386bec41d115211f1a5492}
k: {k, 5e5b7c0621b1d2ef952bc1af110a6e25}
androidx/core/os: {androidx/core/os, eadfd1a36a1002a16beef06a7612df90}
p3: {p3, 8c309cdab641da7c3b0ef3c3c3edc9d8}
e5: {e5, 1e3b401b4a6c20c439f2572b69339077}
b2: {b2, 2ef4aba82aed129122c8ce9166c0ddeb}
q3: {q3, 5fe0664050a892c2ff784cbb34fa26ff}
com/thegrizzlylabs/sardineandroid: {com/thegrizzlylabs/sardineandroid, 06d18c9352d0ba65ba82c923783c692f}
v3: {v3, 6cda661a614ff64ea6322229df76be87}
org/simpleframework/xml: {org/simpleframework/xml, 3ffee5a55bd1a7a2785ae8369c24417d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 82edac2d88cfe8c5a7b76669d4808aad}
r: {r, f1b85151d371ab478fa2e8d60885e182}
kd: {kd, 790e7d05c5e7b4476ee0616633ec9428}
qa: {qa, a4b67b14a66619e439225d38d51dd500}
f5: {f5, 9923d0595a6a9ea49729d7dbf49763ed}
g9: {g9, 6e222a2a6be42a1fd9d71a50f9875f1c}
n5: {n5, 18c4c2f27fcce2ea7a683cc1b6cfeb25}
androidx/loader/app: {androidx/loader/app, c974c1cbc4bd2d32a6deeef0272ec8ca}
v8: {v8, 40000f82751e444daf436f66880b990b}
zb: {zb, 33a627d920581a88761f8e2660f8884d}
androidx/room: {androidx/room, 3fa6fd25b1e43a616187a5622cd4f2df}
w2: {w2, 284aaab1d42f5d1cb3048cb7d0a9e766}
androidx/test/core: {androidx/test/core, 156a0fc68d41ffc55abfd1b673db3e53}
aa: {aa, b9613279d86af5ad5d7f2c01d5796329}
z7: {z7, 9eee06d668ded542e101068dee31d39f}
k3: {k3, 26ed10e8beb049dfd8558993adcd7d72}
p4: {p4, 9282fc382bb2f2e21e0f49e25e471e52}
l: {l, eb3c1b972a78f21b8c4dc4fcb17a23f9}
wd: {wd, 3ec5e21ac46688aa443ea192d63b77a2}
d2: {d2, 6ef91491f21a2e53442a003a1f4ac412}
ec: {ec, 0495b1dc4eb4a95f9f66bd314e3fb6a6}
x1: {x1, c38a15cfa2da21b1723c5f5b78ce6f7c}
y5: {y5, 80e8f3020501c7e115d39f018052954e}
xc: {xc, f6b23c070a09cd70e3c8276b9f8b27d6}
m2: {m2, 808edd8c90b346c63e4f10d85e75249a}
j9: {j9, 57b0ba97471aa4d758f9765d0d043498}
n8: {n8, 2a12695c974778a99f96223453e5cb4b}
a3: {a3, 447416c7203ee76edd69e0529376b32f}
androidx/fragment/app: {androidx/fragment/app, 2c9c5765e207f442f9a946f5ad036b78}
n3: {n3, df70033019442513c1988fc8316ad357}
x8: {x8, 89f532828d0afc581d74f6d50fd4c2a5}
jb: {jb, cd55c7ea88351f72daaa802c02a17ae2}
u9: {u9, e3edf6ab89cabea92942022193aa8721}
pa: {pa, 9324bf8eb00dbc14a7e807d7d4b2973f}
v1: {v1, dc86f2540fdc03cc988e464136b3d8a9}
n4: {n4, edb6458fc87e23c251e2c3d98477d764}
m9: {m9, 3cfe53d6ed69db8922449f3dc4867120}
r5: {r5, 4125e22e6adc3906baf4be04e8bd7b9c}
f8: {f8, 99bc1326bc2722e74f394811d7d87c3e}
vc: {vc, 975b0c2d65ace635074b559b68a025e9}
rd: {rd, 47fbaeae851453fa66e83b917074a552}
g2: {g2, c00c894396a47719f91de34bc5b3265d}
h6: {h6, f9092a94ab45db90706e014699d9dc37}
u0: {u0, fcb288a1fc64fd2ea839b1022e268712}
i9: {i9, fadc6bef111d5309974f270a8a773faf}
i1: {i1, 58cd44f0badc6d3fcf7b85c3dc3ddc5a}
oa: {oa, 0f0d826d2431682c804973c44af02e56}
l4: {l4, 308d8a6c11e69bb7f79f7d8d0b2d6a88}
s1: {s1, 0e214d4c527a830b9eafd1d0847e72c2}
t6: {t6, 4ad2b59dbbdc30714ddc144ae40dcc1c}
xd: {xd, 346f66417aeb00411b817c5814b94ef5}
hc: {hc, 00f87f70218451904219f322bb5fd6d6}
fc: {fc, 169b1ab761df507488cad0eba769def6}
lb: {lb, 5dfdd41bb8b6ca356a9a925084bbaa06}
b6: {b6, 970b039145dcff9c9fbedef04796bfdc}
c4: {c4, 9d967c42b29f4ad5431980f5b9492e1a}
f1: {f1, 9440181fe51450235bc6a53ea4b305fa}
com/bumptech/glide: {com/bumptech/glide, 5eef2f10e8975e77acfcdf60edab2f7b}
w: {w, e8248caa6cc7c9a47fa8d64e54146241}
td: {td, 6952b221f3330295b5203bb08daeb56d}
p9: {p9, f7179afdccdbe9d1f647a3c0b36ed61d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 3cec2cf339bbaad8656b8b344feb1847}
b9: {b9, 75884063e3d34df970d72e27a8ec581a}
hd: {hd, b7d80859e8fb9c6d1060765b1547bac1}
kotlinx/coroutines/scheduling: {kotlinx/coroutines/scheduling, 6ecd55802e2a39e48868c7c07b4ac332}
com/google/crypto: {com/google/crypto, 656b075ec0febf8569f4239f0c854a58}
r2: {r2, b66e89cd30f5d9a5973fd298a35d9b04}
w6: {w6, 1d8f4f639025d5c7a87699e08dad519d}
dd: {dd, d0dd6adf56d59ed40bb33b050a43871c}
h: {h, 050675b9c1cecb35ba1876e4dc8cf92f}
d6: {d6, c8733276eee7b6d23e208ad0f60052c8}
androidx/core/view: {androidx/core/view, d1b741cda4a18dc1d78fbcaa92001d44}
p0: {p0, 9c8d535036a9324466e8c7ee4baff39a}
o6: {o6, 103fd7e81911d9bf83bf22d9804a22a9}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 51e4201535ec787ec20b54f7afcf6a03}
q6: {q6, 5e35ffb43f5056e350e178a6075bebeb}
e0: {e0, c7dc3cd7e85d80050d9384dd1e70e792}
qd: {qd, 9e5c9938bab99e841b347a3a763ac8a2}
f6: {f6, 5009cece357cd7e2c4b1bfb9019b4c0e}
z9: {z9, dd4c12b64569c8f3accacb4c2b706d2e}
gc: {gc, 0aebdd0b71104cb198c50ac4de1f3816}
md: {md, 777c9ce7727989ae7567040703cd3cf8}
